ko:K19079	saut:SAI1T1_2005110
ko:K20118	saut:SAI1T1_2001390
ko:K20116	saut:SAI1T1_2018900
ko:K20117	saut:SAI1T1_2018900
ko:K20118	saut:SAI1T1_2018900
ko:K20338	saut:SAI1T1_2012950
ko:K21949	saut:SAI1T1_2000720
ko:K20534	saut:SAI1T1_2005440
ko:K21721	saut:SAI1T1_2000730
ko:K02790	saut:SAI1T1_2001850
ko:K02791	saut:SAI1T1_2001850
ko:K21029	saut:SAI1T1_2016790
ko:K21030	saut:SAI1T1_2001920
ko:K00525	saut:SAI1T1_2005670
ko:K21030	saut:SAI1T1_2001960
ko:K21064	saut:SAI1T1_2006810
ko:K00435	saut:SAI1T1_2004510
ko:K00526	saut:SAI1T1_2005680
ko:K00632	saut:SAI1T1_2001760
ko:K02314	saut:SAI1T1_2000130
ko:K11038	saut:SAI1T1_2017940
ko:K11038	saut:SAI1T1_2017950
ko:K11038	saut:SAI1T1_2017960
ko:K04068	saut:SAI1T1_2019540
ko:K01174	saut:SAI1T1_2006220
ko:K03553	saut:SAI1T1_2009240
ko:K03546	saut:SAI1T1_2009660
ko:K00287	saut:SAI1T1_2010310
ko:K00560	saut:SAI1T1_2010320
ko:K02316	saut:SAI1T1_2011340
ko:K06217	saut:SAI1T1_2011400
ko:K01493	saut:SAI1T1_2011550
ko:K11038	saut:SAI1T1_2013340
ko:K11038	saut:SAI1T1_2013350
ko:K00857	saut:SAI1T1_2015610
ko:K06958	saut:SAI1T1_2005980
ko:K05020	saut:SAI1T1_2016260
ko:K02335	saut:SAI1T1_2012300
ko:K21285	saut:SAI1T1_2004930
ko:K02032	saut:SAI1T1_2006980
ko:K00108	saut:SAI1T1_2019500
ko:K13714	saut:SAI1T1_2007440
ko:K03296	saut:SAI1T1_2016690
ko:K02031	saut:SAI1T1_2009950
ko:K22044	saut:SAI1T1_2002790
ko:K21453	saut:SAI1T1_2019990
ko:K21478	saut:SAI1T1_2020010
ko:K21567	saut:SAI1T1_2017590
ko:K21591	saut:SAI1T1_2001950
ko:K18704	saut:SAI1T1_2001980
ko:K21828	saut:SAI1T1_2019680
ko:K22136	saut:SAI1T1_2008350
ko:K00754	saut:SAI1T1_2010530
ko:K22135	saut:SAI1T1_2004380
ko:K03595	saut:SAI1T1_2011390
ko:K22132	saut:SAI1T1_2011820
ko:K22109	saut:SAI1T1_2019520
ko:K03547	saut:SAI1T1_2013630
ko:K17758	saut:SAI1T1_2000060
ko:K02257	saut:SAI1T1_2007940
ko:K22409	saut:SAI1T1_2003400
ko:K13566	saut:SAI1T1_2014930
ko:K22441	saut:SAI1T1_2017570
