ko:K03638	lmox:AX24_02635
ko:K14228	lmox:AX24_08270
ko:K14228	lmox:AX24_09625
ko:K14237	lmox:AX24_06085
ko:K14237	lmox:AX24_09675
ko:K14237	lmox:AX24_13790
ko:K01980	lmox:AX24_06095
ko:K01980	lmox:AX24_13840
ko:K01980	lmox:AX24_06620
ko:K01980	lmox:AX24_13780
ko:K01980	lmox:AX24_09700
ko:K01980	lmox:AX24_10940
ko:K14222	lmox:AX24_09630
ko:K14235	lmox:AX24_09650
ko:K09809	lmox:AX24_02835
ko:K00285	lmox:AX24_07325
ko:K18672	lmox:AX24_08470
ko:K18673	lmox:AX24_11985
ko:K18682	lmox:AX24_04480
ko:K07171	lmox:AX24_01785
ko:K18892	lmox:AX24_11895
ko:K18891	lmox:AX24_11890
ko:K03790	lmox:AX24_12420
ko:K09692	lmox:AX24_02770
ko:K18821	lmox:AX24_10790
ko:K18967	lmox:AX24_08775
ko:K03502	lmox:AX24_11440
ko:K03169	lmox:AX24_11925
ko:K03497	lmox:AX24_12115
ko:K03496	lmox:AX24_12120
ko:K03497	lmox:AX24_12135
ko:K03111	lmox:AX24_12765
ko:K08151	lmox:AX24_01510
ko:K18231	lmox:AX24_01975
ko:K07467	lmox:AX24_09180
ko:K03111	lmox:AX24_10560
ko:K00662	lmox:AX24_06245
ko:K01699	lmox:AX24_03135
ko:K19005	lmox:AX24_02010
ko:K04028	lmox:AX24_03305
ko:K00634	lmox:AX24_04305
ko:K07029	lmox:AX24_06490
ko:K03526	lmox:AX24_04695
ko:K07483	lmox:AX24_00615
ko:K18979	lmox:AX24_02050
ko:K13052	lmox:AX24_13700
ko:K07483	lmox:AX24_01465
ko:K07816	lmox:AX24_01305
ko:K19002	lmox:AX24_10725
ko:K00354	lmox:AX24_10280
ko:K03339	lmox:AX24_10730
ko:K00798	lmox:AX24_03425
ko:K16960	lmox:AX24_09520
ko:K05881	lmox:AX24_14540
ko:K02777	lmox:AX24_02480
ko:K05881	lmox:AX24_11555
ko:K00020	lmox:AX24_02415
ko:K00571	lmox:AX24_05435
ko:K16644	lmox:AX24_13630
ko:K07451	lmox:AX24_14325
ko:K19225	lmox:AX24_04140
ko:K19285	lmox:AX24_02060
ko:K03722	lmox:AX24_07270
ko:K01990	lmox:AX24_01100
ko:K01992	lmox:AX24_02000
ko:K01992	lmox:AX24_05730
ko:K19351	lmox:AX24_13625
ko:K01990	lmox:AX24_01995
ko:K01990	lmox:AX24_05725
ko:K19411	lmox:AX24_13855
ko:K19302	lmox:AX24_07860
ko:K19267	lmox:AX24_15110
ko:K04771	lmox:AX24_14235
ko:K19405	lmox:AX24_13860
ko:K19302	lmox:AX24_05660
ko:K03574	lmox:AX24_05915
ko:K19509	lmox:AX24_07765
ko:K19508	lmox:AX24_07770
ko:K19507	lmox:AX24_07775
ko:K19504	lmox:AX24_07760
ko:K06881	lmox:AX24_05400
ko:K19510	lmox:AX24_07755
ko:K19504	lmox:AX24_12715
ko:K00887	lmox:AX24_04810
ko:K02796	lmox:AX24_13100
ko:K02796	lmox:AX24_12630
ko:K02796	lmox:AX24_01195
ko:K19689	lmox:AX24_06265
ko:K19689	lmox:AX24_05550
ko:K01258	lmox:AX24_04340
ko:K00547	lmox:AX24_05960
ko:K00297	lmox:AX24_05960
ko:K02538	lmox:AX24_08590
ko:K09681	lmox:AX24_06390
ko:K21636	lmox:AX24_14160
ko:K19976	lmox:AX24_07005
ko:K20074	lmox:AX24_06870
ko:K15780	lmox:AX24_13710
ko:K12132	lmox:AX24_06865
ko:K20265	lmox:AX24_09610
ko:K20265	lmox:AX24_12725
ko:K20201	lmox:AX24_10655
ko:K00525	lmox:AX24_08675
ko:K18889	lmox:AX24_05800
ko:K18890	lmox:AX24_05795
ko:K20885	lmox:AX24_01655
ko:K01208	lmox:AX24_08505
ko:K21030	lmox:AX24_02820
ko:K21029	lmox:AX24_02640
ko:K08968	lmox:AX24_05515
ko:K21064	lmox:AX24_09420
ko:K00821	lmox:AX24_05470
ko:K00435	lmox:AX24_08430
ko:K04068	lmox:AX24_14165
ko:K13730	lmox:AX24_15090
ko:K02314	lmox:AX24_12810
ko:K00558	lmox:AX24_14320
ko:K09935	lmox:AX24_01855
ko:K07313	lmox:AX24_00580
ko:K00857	lmox:AX24_10675
ko:K00287	lmox:AX24_07135
ko:K00560	lmox:AX24_07140
ko:K02316	lmox:AX24_04765
ko:K03553	lmox:AX24_04475
ko:K03546	lmox:AX24_05770
ko:K01520	lmox:AX24_06155
ko:K06217	lmox:AX24_04825
ko:K01493	lmox:AX24_04910
ko:K21298	lmox:AX24_06355
ko:K02335	lmox:AX24_05345
ko:K21285	lmox:AX24_02840
ko:K00980	lmox:AX24_02845
ko:K00526	lmox:AX24_08670
ko:K21252	lmox:AX24_06215
ko:K22044	lmox:AX24_02455
ko:K03892	lmox:AX24_09075
ko:K21481	lmox:AX24_08975
ko:K21465	lmox:AX24_04680
ko:K21467	lmox:AX24_15130
ko:K03892	lmox:AX24_09085
ko:K21471	lmox:AX24_10450
ko:K21471	lmox:AX24_10455
ko:K21494	lmox:AX24_12925
ko:K18704	lmox:AX24_02805
ko:K21567	lmox:AX24_09860
ko:K21567	lmox:AX24_07595
ko:K21600	lmox:AX24_07035
ko:K21560	lmox:AX24_13610
ko:K21493	lmox:AX24_12920
ko:K00680	lmox:AX24_09540
ko:K21993	lmox:AX24_01940
ko:K22043	lmox:AX24_10395
ko:K00936	lmox:AX24_03250
ko:K21960	lmox:AX24_09550
ko:K21903	lmox:AX24_09130
ko:K03547	lmox:AX24_09020
ko:K03595	lmox:AX24_04800
ko:K22103	lmox:AX24_08400
ko:K01537	lmox:AX24_01520
ko:K22251	lmox:AX24_14505
ko:K22278	lmox:AX24_14895
ko:K17758	lmox:AX24_05655
ko:K02257	lmox:AX24_08115
ko:K05592	lmox:AX24_03655
ko:K13566	lmox:AX24_14180
