ko:K19743	apw:APA42C_08140
ko:K07483	apw:APA42C_24050
ko:K07483	apw:APA42C_40980
ko:K07483	apw:APA42C_41160
ko:K07483	apw:APA42C_41440
ko:K19813	apw:APA42C_22380
ko:K21679	apw:APA42C_01980
ko:K00380	apw:APA42C_42070
ko:K00864	apw:APA42C_12550
ko:K20074	apw:APA42C_01740
ko:K12132	apw:APA42C_01750
ko:K07484	apw:APA42C_01780
ko:K07484	apw:APA42C_17910
ko:K07484	apw:APA42C_18220
ko:K07484	apw:APA42C_08390
ko:K07484	apw:APA42C_21630
ko:K12132	apw:APA42C_01760
ko:K20531	apw:APA42C_23880
ko:K20532	apw:APA42C_23870
ko:K20533	apw:APA42C_23840
ko:K20539	apw:APA42C_16230
ko:K20534	apw:APA42C_17550
ko:K22066	apw:APA42C_11130
ko:K11529	apw:APA42C_05700
ko:K01214	apw:APA42C_20830
ko:K11529	apw:APA42C_00840
ko:K00821	apw:APA42C_07300
ko:K21029	apw:APA42C_06140
ko:K03553	apw:APA42C_00440
ko:K09961	apw:APA42C_05210
ko:K09960	apw:APA42C_05220
ko:K02314	apw:APA42C_06910
ko:K06217	apw:APA42C_10770
ko:K01520	apw:APA42C_12370
ko:K02316	apw:APA42C_09900
ko:K09882	apw:APA42C_11110
ko:K03676	apw:APA42C_11220
ko:K07336	apw:APA42C_15430
ko:K01185	apw:APA42C_19980
ko:K06904	apw:APA42C_20140
ko:K07336	apw:APA42C_22250
ko:K03465	apw:APA42C_24920
ko:K06919	apw:APA42C_26880
ko:K07451	apw:APA42C_04750
ko:K09806	apw:APA42C_26390
ko:K02335	apw:APA42C_21430
ko:K02482	apw:APA42C_10210
ko:K02014	apw:APA42C_05630
ko:K00525	apw:APA42C_10600
ko:K00526	apw:APA42C_10610
ko:K21416	apw:APA42C_05940
ko:K21417	apw:APA42C_05950
ko:K02483	apw:APA42C_09180
ko:K02483	apw:APA42C_15920
ko:K02483	apw:APA42C_42180
ko:K21420	apw:APA42C_19390
ko:K22044	apw:APA42C_26330
ko:K01420	apw:APA42C_25650
ko:K10026	apw:APA42C_11580
ko:K21495	apw:APA42C_43870
ko:K21686	apw:APA42C_03580
ko:K00344	apw:APA42C_24830
ko:K21929	apw:APA42C_16940
ko:K21929	apw:APA42C_04010
ko:K22027	apw:APA42C_22070
ko:K22067	apw:APA42C_42050
ko:K03595	apw:APA42C_06490
ko:K07183	apw:APA42C_42060
ko:K08994	apw:APA42C_10140
ko:K22296	apw:APA42C_23800
ko:K11991	apw:APA42C_25670
ko:K02257	apw:APA42C_16820
