ko:K13628	lpa:lpa_02528
ko:K20528	lpa:lpa_00225
ko:K20529	lpa:lpa_00226
ko:K20532	lpa:lpa_00807
ko:K20533	lpa:lpa_00810
ko:K20532	lpa:lpa_00231
ko:K20534	lpa:lpa_03609
ko:K20528	lpa:lpa_00798
ko:K20530	lpa:lpa_00228
ko:K20533	lpa:lpa_00234
ko:K20531	lpa:lpa_00230
ko:K21071	lpa:lpa_02768
ko:K21218	lpa:lpa_04343
ko:K21929	lpa:lpa_00458
ko:K01634	lpa:lpa_03118
ko:K05802	lpa:lpa_02266
ko:K17759	lpa:lpa_04097
ko:K02257	lpa:lpa_00647
ko:K11206	lpa:lpa_01433
