ko:K03457	abn:AB57_1559
ko:K00249	abn:AB57_3464
ko:K03535	abn:AB57_1182
ko:K01263	abn:AB57_2787
ko:K00355	abn:AB57_3273
ko:K06954	abn:AB57_2547
ko:K01524	abn:AB57_0710
ko:K00249	abn:AB57_1864
ko:K14226	abn:AB57_4805
ko:K14218	abn:AB57_4826
ko:K14222	abn:AB57_4831
ko:K15778	abn:AB57_0935
ko:K01800	abn:AB57_3868
ko:K14219	abn:AB57_4815
ko:K16238	abn:AB57_2435
ko:K04750	abn:AB57_3347
ko:K07397	abn:AB57_1763
ko:K14229	abn:AB57_4790
ko:K14230	abn:AB57_4843
ko:K14230	abn:AB57_4846
ko:K06133	abn:AB57_0161
ko:K01980	abn:AB57_4863
ko:K01980	abn:AB57_4872
ko:K01980	abn:AB57_4868
ko:K01980	abn:AB57_4870
ko:K01980	abn:AB57_4871
ko:K01980	abn:AB57_4864
ko:K14233	abn:AB57_4813
ko:K05559	abn:AB57_0422
ko:K14230	abn:AB57_4847
ko:K14218	abn:AB57_4821
ko:K14218	abn:AB57_4827
ko:K14218	abn:AB57_4825
ko:K14218	abn:AB57_4823
ko:K14218	abn:AB57_4824
ko:K14218	abn:AB57_4822
ko:K01081	abn:AB57_1986
ko:K09483	abn:AB57_2216
ko:K14742	abn:AB57_0748
ko:K07168	abn:AB57_3566
ko:K07278	abn:AB57_2465
ko:K08316	abn:AB57_1099
ko:K14652	abn:AB57_3838
ko:K08196	abn:AB57_0767
ko:K08196	abn:AB57_1587
ko:K04085	abn:AB57_2619
ko:K00799	abn:AB57_0176
ko:K00799	abn:AB57_0484
ko:K00799	abn:AB57_1724
ko:K00799	abn:AB57_2419
ko:K00799	abn:AB57_3918
ko:K06177	abn:AB57_2450
ko:K11939	abn:AB57_3608
ko:K00220	abn:AB57_2630
ko:K00800	abn:AB57_2630
ko:K15725	abn:AB57_3668
ko:K00249	abn:AB57_1192
ko:K01096	abn:AB57_3155
ko:K01173	abn:AB57_3700
ko:K07467	abn:AB57_2008
ko:K07666	abn:AB57_3173
ko:K00799	abn:AB57_1335
ko:K00131	abn:AB57_0591
ko:K01139	abn:AB57_3629
ko:K07394	abn:AB57_3471
ko:K03293	abn:AB57_3185
ko:K03293	abn:AB57_3590
ko:K01457	abn:AB57_1472
ko:K01055	abn:AB57_2222
ko:K06996	abn:AB57_0950
ko:K00657	abn:AB57_1826
ko:K07263	abn:AB57_2911
ko:K14682	abn:AB57_0071
ko:K11741	abn:AB57_0759
ko:K15553	abn:AB57_2484
ko:K15724	abn:AB57_0004
ko:K15554	abn:AB57_0067
ko:K02428	abn:AB57_0572
ko:K15633	abn:AB57_0321
ko:K15551	abn:AB57_1674
ko:K10831	abn:AB57_1675
ko:K15555	abn:AB57_0066
ko:K15553	abn:AB57_0069
ko:K15553	abn:AB57_0070
ko:K15552	abn:AB57_1676
ko:K15256	abn:AB57_1604
ko:K18147	abn:AB57_2080
ko:K01082	abn:AB57_1840
ko:K01692	abn:AB57_1524
ko:K01692	abn:AB57_0148
ko:K03286	abn:AB57_1488
ko:K12543	abn:AB57_1414
ko:K15726	abn:AB57_3666
ko:K15461	abn:AB57_3428
ko:K15536	abn:AB57_0016
ko:K15727	abn:AB57_3667
ko:K15342	abn:AB57_2906
ko:K03298	abn:AB57_0343
ko:K14415	abn:AB57_3342
ko:K15866	abn:AB57_1525
ko:K12542	abn:AB57_1416
ko:K12541	abn:AB57_1415
ko:K10716	abn:AB57_2460
ko:K15977	abn:AB57_0168
ko:K15984	abn:AB57_0749
ko:K03327	abn:AB57_3873
ko:K02226	abn:AB57_1886
ko:K03781	abn:AB57_1549
ko:K07467	abn:AB57_2072
ko:K07467	abn:AB57_2056
ko:K07467	abn:AB57_2049
ko:K07467	abn:AB57_2040
ko:K07467	abn:AB57_2021
ko:K14219	abn:AB57_4817
ko:K16092	abn:AB57_3381
ko:K16090	abn:AB57_0578
ko:K16088	abn:AB57_2401
ko:K14235	abn:AB57_4830
ko:K16088	abn:AB57_1893
ko:K16137	abn:AB57_3741
ko:K02014	abn:AB57_1876
ko:K16087	abn:AB57_0987
ko:K02029	abn:AB57_1632
ko:K02028	abn:AB57_1633
ko:K02030	abn:AB57_1635
ko:K03320	abn:AB57_3170
ko:K16053	abn:AB57_2407
ko:K02030	abn:AB57_1634
ko:K02617	abn:AB57_1530
ko:K00882	abn:AB57_2286
ko:K07165	abn:AB57_0986
ko:K02014	abn:AB57_2408
ko:K16345	abn:AB57_3338
ko:K11733	abn:AB57_3341
ko:K11734	abn:AB57_3866
ko:K11735	abn:AB57_3730
ko:K16235	abn:AB57_3661
ko:K11737	abn:AB57_1175
ko:K22617	abn:AB57_3443
ko:K16264	abn:AB57_3665
ko:K07122	abn:AB57_3549
ko:K01166	abn:AB57_3475
ko:K10014	abn:AB57_2659
ko:K16839	abn:AB57_3806
ko:K16137	abn:AB57_3057
ko:K16842	abn:AB57_3801
ko:K16872	abn:AB57_1343
ko:K16840	abn:AB57_3802
ko:K16841	abn:AB57_1678
ko:K17103	abn:AB57_3469
ko:K19611	abn:AB57_1059
ko:K11209	abn:AB57_0697
ko:K17218	abn:AB57_1937
ko:K17713	abn:AB57_0607
ko:K17228	abn:AB57_3753
ko:K01990	abn:AB57_2744
ko:K01992	abn:AB57_2745
ko:K01992	abn:AB57_3031
ko:K00821	abn:AB57_2274
ko:K17686	abn:AB57_0659
ko:K00254	abn:AB57_2609
ko:K07318	abn:AB57_0313
ko:K17733	abn:AB57_1495
ko:K17737	abn:AB57_1964
ko:K00001	abn:AB57_2374
ko:K03298	abn:AB57_1506
ko:K11734	abn:AB57_2876
ko:K03321	abn:AB57_2295
ko:K18139	abn:AB57_3158
ko:K13794	abn:AB57_0774
ko:K11939	abn:AB57_3609
ko:K02031	abn:AB57_1837
ko:K02032	abn:AB57_1837
ko:K17938	abn:AB57_3291
ko:K03366	abn:AB57_1932
ko:K08485	abn:AB57_0692
ko:K22589	abn:AB57_2823
ko:K18143	abn:AB57_2084
ko:K18144	abn:AB57_2083
ko:K18118	abn:AB57_3679
ko:K18383	abn:AB57_1195
ko:K18303	abn:AB57_3903
ko:K18302	abn:AB57_3904
ko:K18301	abn:AB57_3905
ko:K00138	abn:AB57_2434
ko:K03446	abn:AB57_2107
ko:K01426	abn:AB57_2199
ko:K16234	abn:AB57_3858
ko:K11904	abn:AB57_1442
ko:K03462	abn:AB57_2114
ko:K21645	abn:AB57_1958
ko:K18902	abn:AB57_2663
ko:K18794	abn:AB57_1757
ko:K18900	abn:AB57_2660
ko:K18850	abn:AB57_1784
ko:K18901	abn:AB57_2662
ko:K18903	abn:AB57_2664
ko:K02625	abn:AB57_1953
ko:K03976	abn:AB57_1868
ko:K03526	abn:AB57_0604
ko:K18974	abn:AB57_0294
ko:K18979	abn:AB57_1751
ko:K18997	abn:AB57_0441
ko:K19129	abn:AB57_2902
ko:K19127	abn:AB57_2904
ko:K22444	abn:AB57_0903
ko:K00499	abn:AB57_2841
ko:K19130	abn:AB57_2901
ko:K07012	abn:AB57_2905
ko:K03446	abn:AB57_2126
ko:K19128	abn:AB57_2903
ko:K19165	abn:AB57_2832
ko:K01066	abn:AB57_0899
ko:K01992	abn:AB57_3032
ko:K00638	abn:AB57_3104
ko:K03862	abn:AB57_1200
ko:K19302	abn:AB57_0598
ko:K04771	abn:AB57_2966
ko:K19272	abn:AB57_0288
ko:K19577	abn:AB57_2459
ko:K19577	abn:AB57_3897
ko:K17686	abn:AB57_1353
ko:K00992	abn:AB57_1793
ko:K00799	abn:AB57_1645
ko:K06132	abn:AB57_3442
ko:K15777	abn:AB57_1109
ko:K19810	abn:AB57_2849
ko:K22443	abn:AB57_0900
ko:K03809	abn:AB57_0891
ko:K20276	abn:AB57_3113
ko:K20455	abn:AB57_0124
ko:K09788	abn:AB57_3183
ko:K20534	abn:AB57_3034
ko:K20881	abn:AB57_2305
ko:K21053	abn:AB57_1219
ko:K21062	abn:AB57_1505
ko:K13877	abn:AB57_2172
ko:K21061	abn:AB57_1510
ko:K01768	abn:AB57_1850
ko:K11931	abn:AB57_2497
ko:K11937	abn:AB57_2495
ko:K21105	abn:AB57_1188
ko:K13877	abn:AB57_2124
ko:K13877	abn:AB57_1515
ko:K21021	abn:AB57_3439
ko:K21801	abn:AB57_2109
ko:K13877	abn:AB57_1186
ko:K06889	abn:AB57_2088
ko:K03863	abn:AB57_1199
ko:K21416	abn:AB57_1928
ko:K21417	abn:AB57_1929
ko:K21472	abn:AB57_3888
ko:K21420	abn:AB57_0920
ko:K21699	abn:AB57_2595
ko:K21747	abn:AB57_1862
ko:K21756	abn:AB57_2178
ko:K21757	abn:AB57_1351
ko:K21758	abn:AB57_1344
ko:K21802	abn:AB57_1194
ko:K19591	abn:AB57_1354
ko:K21990	abn:AB57_3880
ko:K22003	abn:AB57_0772
ko:K22027	abn:AB57_2198
ko:K22025	abn:AB57_2120
ko:K22105	abn:AB57_2890
ko:K22067	abn:AB57_2355
ko:K13874	abn:AB57_2132
ko:K22132	abn:AB57_0637
ko:K22186	abn:AB57_2123
ko:K13875	abn:AB57_2175
ko:K18698	abn:AB57_06335
ko:K22292	abn:AB57_0075
ko:K01937	abn:AB57_06495
ko:K18793	abn:AB57_06435
ko:K02257	abn:AB57_2508
ko:K01810	abn:AB57_06160
ko:K00611	abn:AB57_2326
ko:K13061	abn:AB57_0151
ko:K00424	abn:AB57_05635
ko:K03043	abn:AB57_06420
ko:K22550	abn:AB57_1511
ko:K22549	abn:AB57_1512
