ko:K04042	cbk:CLL_A0148
ko:K14237	cbk:CLL_A0512
ko:K02057	cbk:CLL_A2972
ko:K14233	cbk:CLL_A3451
ko:K14226	cbk:CLL_A0423
ko:K14226	cbk:CLL_A0430
ko:K14235	cbk:CLL_A0534
ko:K14235	cbk:CLL_A0542
ko:K00008	cbk:CLL_A3334
ko:K14219	cbk:CLL_A3466
ko:K07052	cbk:CLL_A3394
ko:K01715	cbk:CLL_A1990
ko:K07723	cbk:CLL_A3363
ko:K00971	cbk:CLL_A0368
ko:K02529	cbk:CLL_A0134
ko:K01119	cbk:CLL_A1838
ko:K03079	cbk:CLL_A3261
ko:K06147	cbk:CLL_A2538
ko:K08234	cbk:CLL_A2068
ko:K01226	cbk:CLL_A2058
ko:K01183	cbk:CLL_A0620
ko:K01183	cbk:CLL_A1378
ko:K09835	cbk:CLL_A0660
ko:K01537	cbk:CLL_A0359
ko:K00537	cbk:CLL_A2963
ko:K03296	cbk:CLL_A0335
ko:K01286	cbk:CLL_A2588
ko:K06909	cbk:CLL_A2744
ko:K14540	cbk:CLL_A1251
ko:K07216	cbk:CLL_A1335
ko:K07216	cbk:CLL_A1468
ko:K07216	cbk:CLL_A1847
ko:K02241	cbk:CLL_A1680
ko:K03091	cbk:CLL_A0047
ko:K06881	cbk:CLL_A1275
ko:K02017	cbk:CLL_A1391
ko:K15771	cbk:CLL_A2025
ko:K00284	cbk:CLL_A1048
ko:K01239	cbk:CLL_A3021
ko:K03324	cbk:CLL_A1058
ko:K03215	cbk:CLL_A3330
ko:K15582	cbk:CLL_A2491
ko:K10823	cbk:CLL_A2489
ko:K15583	cbk:CLL_A2490
ko:K15581	cbk:CLL_A2492
ko:K15633	cbk:CLL_A3058
ko:K15738	cbk:CLL_A1830
ko:K01026	cbk:CLL_A1989
ko:K01035	cbk:CLL_A2132
ko:K15898	cbk:CLL_A0832
ko:K19221	cbk:CLL_A2924
ko:K15580	cbk:CLL_A2488
ko:K15580	cbk:CLL_A2494
ko:K02594	cbk:CLL_A0128
ko:K01835	cbk:CLL_A2461
ko:K07260	cbk:CLL_A1481
ko:K15986	cbk:CLL_A0867
ko:K15987	cbk:CLL_A3052
ko:K02358	cbk:CLL_A0236
ko:K20038	cbk:CLL_A1453
ko:K20037	cbk:CLL_A1454
ko:K18926	cbk:CLL_A0693
ko:K03699	cbk:CLL_A3436
ko:K15035	cbk:CLL_A0690
ko:K01223	cbk:CLL_A1519
ko:K09022	cbk:CLL_A0677
ko:K04759	cbk:CLL_A1781
ko:K03299	cbk:CLL_A2355
ko:K11737	cbk:CLL_A1399
ko:K15772	cbk:CLL_A2024
ko:K15770	cbk:CLL_A2023
ko:K02027	cbk:CLL_A3192
ko:K16786	cbk:CLL_A0269
ko:K16624	cbk:CLL_0035
ko:K16625	cbk:CLL_0034
ko:K06011	cbk:CLL_0038
ko:K16623	cbk:CLL_0037
ko:K16787	cbk:CLL_A0270
ko:K16788	cbk:CLL_A2852
ko:K16789	cbk:CLL_A1416
ko:K02025	cbk:CLL_A3191
ko:K16789	cbk:CLL_A0123
ko:K16626	cbk:CLL_0033
ko:K02027	cbk:CLL_A0459
ko:K10119	cbk:CLL_A2655
ko:K10118	cbk:CLL_A2654
ko:K10117	cbk:CLL_A2653
ko:K16898	cbk:CLL_A0025
ko:K00128	cbk:CLL_A1665
ko:K16950	cbk:CLL_A3041
ko:K16951	cbk:CLL_A3040
ko:K02028	cbk:CLL_A3278
ko:K02030	cbk:CLL_A3280
ko:K16785	cbk:CLL_A0271
ko:K11991	cbk:CLL_A3453
ko:K16923	cbk:CLL_A3020
ko:K01985	cbk:CLL_A3383
ko:K00882	cbk:CLL_A2297
ko:K17828	cbk:CLL_A2576
ko:K16899	cbk:CLL_A0024
ko:K02028	cbk:CLL_A1099
ko:K17103	cbk:CLL_A3086
ko:K02029	cbk:CLL_A3279
ko:K01992	cbk:CLL_A3011
ko:K01760	cbk:CLL_A3320
ko:K00096	cbk:CLL_A2956
ko:K02012	cbk:CLL_A0384
ko:K05601	cbk:CLL_A2045
ko:K01990	cbk:CLL_A1673
ko:K08316	cbk:CLL_A1229
ko:K05601	cbk:CLL_A0736
ko:K01992	cbk:CLL_A3441
ko:K05601	cbk:CLL_A1869
ko:K17686	cbk:CLL_A3311
ko:K17675	cbk:CLL_A2225
ko:K17836	cbk:CLL_A2831
ko:K10027	cbk:CLL_A1832
ko:K17758	cbk:CLL_A3365
ko:K17759	cbk:CLL_A3365
ko:K17722	cbk:CLL_A2318
ko:K17723	cbk:CLL_A2317
ko:K09022	cbk:CLL_A0630
ko:K02171	cbk:CLL_A1971
ko:K00004	cbk:CLL_A0664
ko:K02172	cbk:CLL_A2154
ko:K22597	cbk:CLL_A2124
ko:K07076	cbk:CLL_A1005
ko:K02107	cbk:CLL_A2867
ko:K18231	cbk:CLL_A2014
ko:K18427	cbk:CLL_A1723
ko:K18428	cbk:CLL_A1724
ko:K18475	cbk:CLL_A0701
ko:K18475	cbk:CLL_A0392
ko:K18475	cbk:CLL_A0834
ko:K03462	cbk:CLL_A1660
ko:K18475	cbk:CLL_A2122
ko:K18475	cbk:CLL_A1787
ko:K02803	cbk:CLL_A0718
ko:K02804	cbk:CLL_A0718
ko:K06896	cbk:CLL_A0332
ko:K18707	cbk:CLL_A0897
ko:K18682	cbk:CLL_A1288
ko:K18672	cbk:CLL_A0293
ko:K06147	cbk:CLL_A2953
ko:K06147	cbk:CLL_A2952
ko:K18888	cbk:CLL_A0725
ko:K09693	cbk:CLL_A3247
ko:K18887	cbk:CLL_A0724
ko:K01872	cbk:CLL_A1751
ko:K03429	cbk:CLL_A0478
ko:K03526	cbk:CLL_A1267
ko:K07816	cbk:CLL_A1707
ko:K14761	cbk:CLL_A0003
ko:K05881	cbk:CLL_A0111
ko:K01990	cbk:CLL_A1407
ko:K01990	cbk:CLL_A3442
ko:K19302	cbk:CLL_A3452
ko:K01567	cbk:CLL_A2453
ko:K12952	cbk:CLL_A3468
ko:K12952	cbk:CLL_A1426
ko:K19271	cbk:CLL_A2166
ko:K04771	cbk:CLL_A0456
ko:K19411	cbk:CLL_A0205
ko:K19689	cbk:CLL_A2646
ko:K21636	cbk:CLL_A0127
ko:K00100	cbk:CLL_A2510
ko:K11751	cbk:CLL_A2858
ko:K05770	cbk:CLL_A2637
ko:K20074	cbk:CLL_A1220
ko:K12132	cbk:CLL_A1221
ko:K20107	cbk:CLL_A0331
ko:K20108	cbk:CLL_A0331
ko:K20074	cbk:CLL_A1604
ko:K20117	cbk:CLL_A3423
ko:K20118	cbk:CLL_A3423
ko:K00532	cbk:CLL_A0052
ko:K20491	cbk:CLL_A2210
ko:K20492	cbk:CLL_A2209
ko:K20444	cbk:CLL_A3246
ko:K20487	cbk:CLL_A2206
ko:K20488	cbk:CLL_A2207
ko:K20490	cbk:CLL_A2211
ko:K07404	cbk:CLL_A2914
ko:K07706	cbk:CLL_A0741
ko:K20534	cbk:CLL_A3242
ko:K20885	cbk:CLL_A2061
ko:K01208	cbk:CLL_A2022
ko:K21071	cbk:CLL_A0769
ko:K07258	cbk:CLL_A2362
ko:K07258	cbk:CLL_A0587
ko:K02077	cbk:CLL_A0533
ko:K21405	cbk:CLL_A1796
ko:K22044	cbk:CLL_A3589
ko:K21405	cbk:CLL_A0663
ko:K21467	cbk:CLL_A0618
ko:K03892	cbk:CLL_A2293
ko:K05364	cbk:CLL_A3345
ko:K21471	cbk:CLL_0011
ko:K21471	cbk:CLL_A3376
ko:K21600	cbk:CLL_A3312
ko:K21562	cbk:CLL_A2037
ko:K21903	cbk:CLL_A0370
ko:K22132	cbk:CLL_A3430
ko:K22230	cbk:CLL_A0700
ko:K01905	cbk:CLL_A1114
ko:K01046	cbk:CLL_A3317
ko:K06993	cbk:CLL_A0747
ko:K05592	cbk:CLL_A1340
