ko:K07696	sad:SAAV_2456
ko:K01493	sad:SAAV_1580
ko:K11038	sad:SAAV_1828
ko:K11038	sad:SAAV_1829
ko:K11038	sad:SAAV_2072
ko:K11038	sad:SAAV_2073
ko:K11038	sad:SAAV_2485
ko:K11038	sad:SAAV_2486
ko:K11038	sad:SAAV_2487
ko:K04068	sad:SAAV_2682
ko:K00857	sad:SAAV_2174
ko:K02314	sad:SAAV_0018
ko:K01520	sad:SAAV_0845
ko:K06904	sad:SAAV_0858
ko:K06223	sad:SAAV_0820
ko:K06958	sad:SAAV_0729
ko:K05020	sad:SAAV_2246
ko:K02335	sad:SAAV_1680
ko:K21285	sad:SAAV_0602
ko:K22044	sad:SAAV_0329
ko:K21478	sad:SAAV_2740
ko:K21453	sad:SAAV_2737
ko:K21567	sad:SAAV_2437
ko:K21591	sad:SAAV_0222
ko:K21600	sad:SAAV_2141
ko:K18704	sad:SAAV_0225
ko:K21828	sad:SAAV_2700
ko:K22043	sad:SAAV_2200
ko:K22136	sad:SAAV_1148
ko:K00754	sad:SAAV_1445
ko:K22135	sad:SAAV_0530
ko:K03595	sad:SAAV_1559
ko:K22132	sad:SAAV_1621
ko:K22109	sad:SAAV_2680
ko:K03547	sad:SAAV_1863
ko:K17758	sad:SAAV_0007
ko:K02257	sad:SAAV_1082
ko:K22409	sad:SAAV_0407
ko:K13566	sad:SAAV_2081
ko:K22441	sad:SAAV_2434
