ko:K11720	syy:SYNGTS_2880
ko:K07494	syy:SYNGTS_1460
ko:K07492	syy:SYNGTS_1256
ko:K07492	syy:SYNGTS_2789
ko:K13010	syy:SYNGTS_0333
ko:K07814	syy:SYNGTS_1196
ko:K07222	syy:SYNGTS_2756
ko:K01286	syy:SYNGTS_2004
ko:K00091	syy:SYNGTS_0664
ko:K00436	syy:SYNGTS_1516
ko:K06921	syy:SYNGTS_1246
ko:K01768	syy:SYNGTS_0393
ko:K18235	syy:SYNGTS_2093
ko:K18234	syy:SYNGTS_1604
ko:K14223	syy:SYNGTS_t0023
ko:K14226	syy:SYNGTS_t0022
ko:K14229	syy:SYNGTS_t0027
ko:K11955	syy:SYNGTS_1340
ko:K03969	syy:SYNGTS_3130
ko:K06196	syy:SYNGTS_2372
ko:K05568	syy:SYNGTS_0679
ko:K02652	syy:SYNGTS_2589
ko:K02456	syy:SYNGTS_2952
ko:K14227	syy:SYNGTS_t0029
ko:K14227	syy:SYNGTS_t0040
ko:K14225	syy:SYNGTS_t0030
ko:K14233	syy:SYNGTS_t0021
ko:K14218	syy:SYNGTS_t0026
ko:K14228	syy:SYNGTS_t0041
ko:K07260	syy:SYNGTS_2834
ko:K11326	syy:SYNGTS_2737
ko:K07494	syy:SYNGTS_1712
ko:K07494	syy:SYNGTS_1711
ko:K07492	syy:SYNGTS_0880
ko:K07492	syy:SYNGTS_1153
ko:K07492	syy:SYNGTS_1255
ko:K07492	syy:SYNGTS_1344
ko:K07492	syy:SYNGTS_1367
ko:K07492	syy:SYNGTS_1524
ko:K07492	syy:SYNGTS_2002
ko:K07492	syy:SYNGTS_2018
ko:K07492	syy:SYNGTS_2105
ko:K07492	syy:SYNGTS_2106
ko:K14225	syy:SYNGTS_t0036
ko:K03742	syy:SYNGTS_2444
ko:K03462	syy:SYNGTS_2731
ko:K01437	syy:SYNGTS_0663
ko:K00681	syy:SYNGTS_1695
ko:K18534	syy:SYNGTS_1914
ko:K02659	syy:SYNGTS_0625
ko:K00241	syy:SYNGTS_2457
ko:K18678	syy:SYNGTS_3063
ko:K14233	syy:SYNGTS_t0002
ko:K05946	syy:SYNGTS_1697
ko:K18828	syy:SYNGTS_0436
ko:K18910	syy:SYNGTS_1069
ko:K18829	syy:SYNGTS_0437
ko:K18814	syy:SYNGTS_1449
ko:K03789	syy:SYNGTS_2210
ko:K05366	syy:SYNGTS_2244
ko:K07171	syy:SYNGTS_0954
ko:K07171	syy:SYNGTS_0338
ko:K18829	syy:SYNGTS_2368
ko:K07480	syy:SYNGTS_0787
ko:K11811	syy:SYNGTS_1832
ko:K03496	syy:SYNGTS_2686
ko:K03502	syy:SYNGTS_2733
ko:K03111	syy:SYNGTS_2886
ko:K03496	syy:SYNGTS_2889
ko:K07480	syy:SYNGTS_1257
ko:K09797	syy:SYNGTS_1276
ko:K07389	syy:SYNGTS_3060
ko:K07480	syy:SYNGTS_1414
ko:K07480	syy:SYNGTS_0598
ko:K09932	syy:SYNGTS_2336
ko:K11521	syy:SYNGTS_0870
ko:K01665	syy:SYNGTS_1641
ko:K03668	syy:SYNGTS_2564
ko:K07495	syy:SYNGTS_1580
ko:K07495	syy:SYNGTS_2104
ko:K02663	syy:SYNGTS_1701
ko:K18979	syy:SYNGTS_0992
ko:K19032	syy:SYNGTS_2511
ko:K02664	syy:SYNGTS_1702
ko:K16149	syy:SYNGTS_3037
ko:K19159	syy:SYNGTS_1465
ko:K19159	syy:SYNGTS_1892
ko:K19155	syy:SYNGTS_0094
ko:K19156	syy:SYNGTS_0093
ko:K19221	syy:SYNGTS_1360
ko:K19159	syy:SYNGTS_1902
ko:K01046	syy:SYNGTS_0829
ko:K00002	syy:SYNGTS_1828
ko:K08678	syy:SYNGTS_1536
ko:K01710	syy:SYNGTS_2556
ko:K05978	syy:SYNGTS_3034
ko:K01621	syy:SYNGTS_3102
ko:K00020	syy:SYNGTS_2269
ko:K19302	syy:SYNGTS_2525
ko:K09690	syy:SYNGTS_3145
ko:K07495	syy:SYNGTS_0523
ko:K03722	syy:SYNGTS_0041
ko:K07496	syy:SYNGTS_1294
ko:K07497	syy:SYNGTS_1459
ko:K07494	syy:SYNGTS_0550
ko:K07492	syy:SYNGTS_2749
ko:K07493	syy:SYNGTS_2774
ko:K07494	syy:SYNGTS_0389
ko:K07494	syy:SYNGTS_3031
ko:K07494	syy:SYNGTS_3030
ko:K07494	syy:SYNGTS_2270
ko:K07494	syy:SYNGTS_2778
ko:K07494	syy:SYNGTS_2296
ko:K07494	syy:SYNGTS_2199
ko:K07494	syy:SYNGTS_1754
ko:K07494	syy:SYNGTS_1560
ko:K07494	syy:SYNGTS_1559
ko:K07494	syy:SYNGTS_1473
ko:K07494	syy:SYNGTS_1221
ko:K07494	syy:SYNGTS_0997
ko:K07492	syy:SYNGTS_0435
ko:K07492	syy:SYNGTS_0471
ko:K07492	syy:SYNGTS_0472
ko:K07492	syy:SYNGTS_0788
ko:K07492	syy:SYNGTS_0789
ko:K07492	syy:SYNGTS_2625
ko:K07492	syy:SYNGTS_2196
ko:K07492	syy:SYNGTS_2230
ko:K07492	syy:SYNGTS_2773
ko:K07492	syy:SYNGTS_2777
ko:K02031	syy:SYNGTS_0672
ko:K02032	syy:SYNGTS_0672
ko:K07494	syy:SYNGTS_0109
ko:K07492	syy:SYNGTS_2001
ko:K07495	syy:SYNGTS_1797
ko:K07013	syy:SYNGTS_1973
ko:K07492	syy:SYNGTS_2017
ko:K07492	syy:SYNGTS_2748
ko:K07066	syy:SYNGTS_2803
ko:K07494	syy:SYNGTS_0042
ko:K05275	syy:SYNGTS_1429
ko:K15669	syy:SYNGTS_2223
ko:K09690	syy:SYNGTS_0320
ko:K09691	syy:SYNGTS_0324
ko:K09690	syy:SYNGTS_1466
ko:K09691	syy:SYNGTS_1467
ko:K19707	syy:SYNGTS_2300
ko:K20024	syy:SYNGTS_1681
ko:K05770	syy:SYNGTS_2035
ko:K12132	syy:SYNGTS_0661
ko:K20074	syy:SYNGTS_1095
ko:K12132	syy:SYNGTS_0660
ko:K20207	syy:SYNGTS_1769
ko:K20207	syy:SYNGTS_1305
ko:K00507	syy:SYNGTS_2538
ko:K09691	syy:SYNGTS_3144
ko:K20534	syy:SYNGTS_2871
ko:K18889	syy:SYNGTS_2650
ko:K20534	syy:SYNGTS_2038
ko:K18890	syy:SYNGTS_0732
ko:K07242	syy:SYNGTS_0683
ko:K01179	syy:SYNGTS_2484
ko:K01214	syy:SYNGTS_0122
ko:K01214	syy:SYNGTS_1078
ko:K01208	syy:SYNGTS_1233
ko:K02487	syy:SYNGTS_0623
ko:K02487	syy:SYNGTS_2578
ko:K21071	syy:SYNGTS_0269
ko:K00525	syy:SYNGTS_1759
ko:K01768	syy:SYNGTS_1250
ko:K01768	syy:SYNGTS_1304
ko:K21071	syy:SYNGTS_2807
ko:K00821	syy:SYNGTS_0584
ko:K21231	syy:SYNGTS_2003
ko:K06223	syy:SYNGTS_3047
ko:K05371	syy:SYNGTS_2691
ko:K02715	syy:SYNGTS_1056
ko:K13522	syy:SYNGTS_2730
ko:K02703	syy:SYNGTS_3123
ko:K03553	syy:SYNGTS_3151
ko:K06223	syy:SYNGTS_1152
ko:K02706	syy:SYNGTS_1224
ko:K02314	syy:SYNGTS_2554
ko:K02706	syy:SYNGTS_2888
ko:K02316	syy:SYNGTS_1654
ko:K02703	syy:SYNGTS_1655
ko:K07313	syy:SYNGTS_1662
ko:K00558	syy:SYNGTS_2246
ko:K02638	syy:SYNGTS_2263
ko:K03676	syy:SYNGTS_0958
ko:K03676	syy:SYNGTS_2997
ko:K06217	syy:SYNGTS_0540
ko:K03465	syy:SYNGTS_0498
ko:K03546	syy:SYNGTS_0456
ko:K00526	syy:SYNGTS_3146
ko:K02703	syy:SYNGTS_0008
ko:K02335	syy:SYNGTS_2785
ko:K21147	syy:SYNGTS_1864
ko:K02022	syy:SYNGTS_1689
ko:K03636	syy:SYNGTS_1561
ko:K01090	syy:SYNGTS_0195
ko:K11527	syy:SYNGTS_1422
ko:K11527	syy:SYNGTS_1309
ko:K11527	syy:SYNGTS_1416
ko:K11527	syy:SYNGTS_1417
ko:K11527	syy:SYNGTS_1511
ko:K14333	syy:SYNGTS_2656
ko:K22044	syy:SYNGTS_0599
ko:K21480	syy:SYNGTS_0288
ko:K21480	syy:SYNGTS_1644
ko:K21430	syy:SYNGTS_0445
ko:K21563	syy:SYNGTS_3090
ko:K10026	syy:SYNGTS_1136
ko:K10914	syy:SYNGTS_1685
ko:K21703	syy:SYNGTS_1348
ko:K10914	syy:SYNGTS_0686
ko:K21600	syy:SYNGTS_2089
ko:K21561	syy:SYNGTS_1435
ko:K21703	syy:SYNGTS_2839
ko:K13638	syy:SYNGTS_2770
ko:K03741	syy:SYNGTS_1833
ko:K22044	syy:SYNGTS_2806
ko:K21903	syy:SYNGTS_2743
ko:K22044	syy:SYNGTS_0174
ko:K03595	syy:SYNGTS_2058
ko:K08994	syy:SYNGTS_0367
ko:K02257	syy:SYNGTS_1606
ko:K03181	syy:SYNGTS_0777
ko:K22305	syy:SYNGTS_0073
ko:K02226	syy:SYNGTS_0920
ko:K01551	syy:SYNGTS_2584
ko:K11206	syy:SYNGTS_2407
ko:K00728	syy:SYNGTS_0459
ko:K01007	syy:SYNGTS_2705
