ko:K01006	cbj:H04402_03029
ko:K03497	cbj:H04402_03738
ko:K03496	cbj:H04402_03739
ko:K03497	cbj:H04402_03740
ko:K03169	cbj:H04402_01360
ko:K19055	cbj:H04402_01579
ko:K02315	cbj:H04402_02355
ko:K07483	cbj:H04402_00866
ko:K07496	cbj:H04402_00974
ko:K16626	cbj:H04402_00859
ko:K04028	cbj:H04402_02116
ko:K03526	cbj:H04402_02451
ko:K02663	cbj:H04402_01912
ko:K03429	cbj:H04402_00118
ko:K02031	cbj:H04402_01425
ko:K19141	cbj:H04402_02180
ko:K19142	cbj:H04402_02179
ko:K02777	cbj:H04402_00262
ko:K02777	cbj:H04402_00269
ko:K02777	cbj:H04402_00281
ko:K02777	cbj:H04402_02917
ko:K10793	cbj:H04402_02508
ko:K19221	cbj:H04402_01023
ko:K19174	cbj:H04402_02098
ko:K14761	cbj:H04402_00003
ko:K01710	cbj:H04402_02080
ko:K07061	cbj:H04402_02186
ko:K10811	cbj:H04402_00829
ko:K10796	cbj:H04402_02503
ko:K10795	cbj:H04402_02504
ko:K19076	cbj:H04402_02185
ko:K19175	cbj:H04402_02097
ko:K19173	cbj:H04402_02099
ko:K19091	cbj:H04402_02187
ko:K01990	cbj:H04402_00514
ko:K01990	cbj:H04402_01258
ko:K01990	cbj:H04402_01448
ko:K01990	cbj:H04402_03447
ko:K01066	cbj:H04402_02196
ko:K19271	cbj:H04402_02050
ko:K19302	cbj:H04402_00358
ko:K07497	cbj:H04402_00867
ko:K01567	cbj:H04402_03166
ko:K12952	cbj:H04402_01377
ko:K19310	cbj:H04402_02385
ko:K07216	cbj:H04402_00543
ko:K00638	cbj:H04402_00956
ko:K04771	cbj:H04402_03643
ko:K19405	cbj:H04402_03615
ko:K09459	cbj:H04402_02797
ko:K19271	cbj:H04402_01614
ko:K19411	cbj:H04402_03616
ko:K19350	cbj:H04402_02944
ko:K19302	cbj:H04402_03508
ko:K19302	cbj:H04402_03507
ko:K10793	cbj:H04402_02492
ko:K10794	cbj:H04402_02490
ko:K10794	cbj:H04402_02506
ko:K02650	cbj:H04402_01918
ko:K02796	cbj:H04402_02930
ko:K02796	cbj:H04402_02931
ko:K19689	cbj:H04402_02875
ko:K06011	cbj:H04402_00864
ko:K10670	cbj:H04402_01335
ko:K10670	cbj:H04402_01334
ko:K13607	cbj:H04402_03377
ko:K03616	cbj:H04402_00385
ko:K06888	cbj:H04402_01137
ko:K21636	cbj:H04402_00085
ko:K00100	cbj:H04402_01476
ko:K01560	cbj:H04402_01098
ko:K20107	cbj:H04402_01675
ko:K20108	cbj:H04402_01675
ko:K01560	cbj:H04402_00935
ko:K20074	cbj:H04402_02533
ko:K20037	cbj:H04402_02122
ko:K21252	cbj:H04402_02218
ko:K12132	cbj:H04402_02532
ko:K20116	cbj:H04402_02833
ko:K20117	cbj:H04402_02833
ko:K20118	cbj:H04402_02833
ko:K01977	cbj:16SrRNA-1
ko:K01977	cbj:16SrRNA-4
ko:K01977	cbj:16SrRNA-8
ko:K01977	cbj:16SrRNA-3
ko:K01977	cbj:16SrRNA-2
ko:K01977	cbj:16SrRNA-7
ko:K01977	cbj:16SrRNA-5
ko:K01977	cbj:16SrRNA-6
ko:K01980	cbj:23SrRNA-6
ko:K01980	cbj:23SrRNA-4
ko:K01980	cbj:23SrRNA-3
ko:K01980	cbj:23SrRNA-2
ko:K01980	cbj:23SrRNA-1
ko:K01980	cbj:23SrRNA-5
ko:K01980	cbj:23SrRNA-8
ko:K01980	cbj:23SrRNA-7
ko:K01980	cbj:23SrRNA-9
ko:K07800	cbj:H04402_00341
ko:K20265	cbj:H04402_02500
ko:K20265	cbj:H04402_00351
ko:K20116	cbj:H04402_01397
ko:K20117	cbj:H04402_01397
ko:K20118	cbj:H04402_01397
ko:K01400	cbj:H04402_01515
ko:K20491	cbj:H04402_01652
ko:K20492	cbj:H04402_01653
ko:K00526	cbj:H04402_02893
ko:K20486	cbj:H04402_03418
ko:K20487	cbj:H04402_01655
ko:K20488	cbj:H04402_01654
ko:K20490	cbj:H04402_01651
ko:K07800	cbj:H04402_00347
ko:K20534	cbj:H04402_00288
ko:K20488	cbj:H04402_01944
ko:K20487	cbj:H04402_01941
ko:K20487	cbj:H04402_01942
ko:K20487	cbj:H04402_01943
ko:K22103	cbj:H04402_01686
ko:K02790	cbj:H04402_00259
ko:K02791	cbj:H04402_00259
ko:K02790	cbj:H04402_00279
ko:K02791	cbj:H04402_00279
ko:K20882	cbj:H04402_02208
ko:K20026	cbj:H04402_02206
ko:K20904	cbj:H04402_03374
ko:K01985	cbj:5SrRNA-2
ko:K01985	cbj:5SrRNA-3
ko:K20903	cbj:H04402_03375
ko:K21028	cbj:H04402_01216
ko:K08968	cbj:H04402_02996
ko:K00248	cbj:H04402_03287
ko:K00525	cbj:H04402_02895
ko:K02335	cbj:H04402_03109
ko:K13730	cbj:H04402_03181
ko:K00857	cbj:H04402_00127
ko:K01493	cbj:H04402_00137
ko:K00560	cbj:H04402_00826
ko:K00560	cbj:H04402_00827
ko:K04068	cbj:H04402_01075
ko:K06223	cbj:H04402_02296
ko:K07474	cbj:H04402_02330
ko:K07455	cbj:H04402_02360
ko:K03553	cbj:H04402_02431
ko:K07474	cbj:H04402_02614
ko:K06919	cbj:H04402_02617
ko:K07455	cbj:H04402_02651
ko:K00525	cbj:H04402_02894
ko:K02316	cbj:H04402_03025
ko:K04068	cbj:H04402_00086
ko:K03546	cbj:H04402_00492
ko:K01520	cbj:H04402_01304
ko:K03465	cbj:H04402_03603
ko:K02315	cbj:H04402_03708
ko:K02314	cbj:H04402_03720
ko:K07258	cbj:H04402_01848
ko:K02003	cbj:H04402_00973
ko:K02004	cbj:H04402_00973
ko:K05799	cbj:H04402_01168
ko:K05799	cbj:H04402_01587
ko:K09469	cbj:H04402_02798
ko:K07258	cbj:H04402_03073
ko:K02077	cbj:H04402_03401
ko:K07005	cbj:H04402_01045
ko:K07005	cbj:H04402_01380
ko:K07005	cbj:H04402_00708
ko:K07005	cbj:H04402_00710
ko:K21417	cbj:H04402_01703
ko:K21405	cbj:H04402_01718
ko:K21405	cbj:H04402_01958
ko:K21416	cbj:H04402_01702
ko:K22044	cbj:H04402_03731
ko:K21405	cbj:H04402_01700
ko:K21405	cbj:H04402_01714
ko:K21471	cbj:H04402_00527
ko:K01271	cbj:H04402_00352
ko:K01777	cbj:H04402_02502
ko:K00433	cbj:H04402_00900
ko:K00634	cbj:H04402_03528
ko:K05364	cbj:H04402_03482
ko:K21471	cbj:H04402_00056
ko:K21576	cbj:H04402_01337
ko:K21577	cbj:H04402_01336
ko:K21600	cbj:H04402_02110
ko:K10672	cbj:H04402_01331
ko:K21600	cbj:H04402_01374
ko:K14218	cbj:tRNA-Ala-1
ko:K14218	cbj:tRNA-Ala-3
ko:K14229	cbj:tRNA-Lys-1
ko:K14229	cbj:tRNA-Lys-6
ko:K14229	cbj:tRNA-Lys-4
ko:K14229	cbj:tRNA-Lys-2
ko:K14229	cbj:tRNA-Lys-5
ko:K14229	cbj:tRNA-Lys-7
ko:K14229	cbj:tRNA-Lys-3
ko:K21600	cbj:H04402_02688
ko:K10672	cbj:H04402_01330
ko:K00863	cbj:H04402_01046
ko:K10671	cbj:H04402_01329
ko:K21562	cbj:H04402_00729
ko:K21562	cbj:H04402_00730
ko:K14232	cbj:tRNA-Pro-1
ko:K14232	cbj:tRNA-Pro-2
ko:K14232	cbj:tRNA-Pro-3
ko:K21929	cbj:H04402_00034
ko:K21929	cbj:H04402_00066
ko:K21898	cbj:H04402_01999
ko:K14230	cbj:tRNA-Met-5
ko:K14230	cbj:tRNA-Met-7
ko:K03741	cbj:H04402_00811
ko:K03892	cbj:H04402_00812
ko:K03892	cbj:CBZ02629.1
ko:K21903	cbj:H04402_00495
ko:K22129	cbj:H04402_02221
ko:K14227	cbj:tRNA-Ile-1
ko:K14227	cbj:tRNA-Ile-2
ko:K22024	cbj:H04402_02220
ko:K03595	cbj:H04402_03033
ko:K22132	cbj:H04402_00032
ko:K07456	cbj:H04402_00705
ko:K01046	cbj:H04402_02082
ko:K01585	cbj:H04402_03199
ko:K01585	cbj:H04402_03198
ko:K05592	cbj:H04402_01774
ko:K05592	cbj:H04402_01775
ko:K07755	cbj:H04402_00818
ko:K22405	cbj:H04402_02712
ko:K22430	cbj:H04402_02205
ko:K22431	cbj:H04402_03372
ko:K22432	cbj:H04402_02203
ko:K22373	cbj:H04402_01079
ko:K22431	cbj:H04402_02204
ko:K22432	cbj:H04402_03371
ko:K22430	cbj:H04402_03373
ko:K14230	cbj:tRNA-Met-4
