ko:K19079	sauu:SA957_0616
ko:K02031	sauu:SA957_1271
ko:K02483	sauu:SA957_2191
ko:K22044	sauu:SA957_0332
ko:K21453	sauu:SA957_2507
ko:K21478	sauu:SA957_2510
ko:K21567	sauu:SA957_2205
ko:K21591	sauu:SA957_0227
ko:K21600	sauu:SA957_1928
ko:K18704	sauu:SA957_0230
ko:K21828	sauu:SA957_2471
ko:K22043	sauu:SA957_1988
ko:K22136	sauu:SA957_1063
ko:K00754	sauu:SA957_1348
ko:K22135	sauu:SA957_0523
ko:K03595	sauu:SA957_1521
ko:K22132	sauu:SA957_1581
ko:K22109	sauu:SA957_2452
ko:K22212	sauu:SA957_0723
ko:K03547	sauu:SA957_1769
ko:K17758	sauu:SA957_0008
ko:K02257	sauu:SA957_1002
ko:K22409	sauu:SA957_0418
ko:K13566	sauu:SA957_1874
ko:K22441	sauu:SA957_2202
