ko:K19416	amao:I634_10555
ko:K07660	amao:I634_06970
ko:K00569	amao:I634_07065
ko:K02014	amao:I634_07115
ko:K02017	amao:I634_11350
ko:K03635	amao:I634_11365
ko:K02014	amao:I634_15745
ko:K03406	amao:I634_15925
ko:K15727	amao:I634_01915
ko:K15725	amao:I634_01920
ko:K00575	amao:I634_01950
ko:K03406	amao:I634_01955
ko:K03406	amao:I634_01960
ko:K03406	amao:I634_01980
ko:K00575	amao:I634_01995
ko:K03406	amao:I634_02000
ko:K03406	amao:I634_02020
ko:K01560	amao:I634_02105
ko:K05499	amao:I634_02145
ko:K06147	amao:I634_06460
ko:K03560	amao:I634_06620
ko:K03548	amao:I634_10760
ko:K06445	amao:I634_10815
ko:K12961	amao:I634_15110
ko:K08981	amao:I634_15220
ko:K09167	amao:I634_15225
ko:K01243	amao:I634_15260
ko:K06858	amao:I634_15270
ko:K00799	amao:I634_15345
ko:K01834	amao:I634_02195
ko:K09705	amao:I634_02200
ko:K03406	amao:I634_02305
ko:K08305	amao:I634_02335
ko:K04767	amao:I634_06715
ko:K00652	amao:I634_06830
ko:K01104	amao:I634_06850
ko:K06147	amao:I634_06880
ko:K01885	amao:I634_06900
ko:K02014	amao:I634_11065
ko:K01322	amao:I634_11075
ko:K03711	amao:I634_11135
ko:K06889	amao:I634_11245
ko:K01679	amao:I634_15380
ko:K02055	amao:I634_15495
ko:K02806	amao:I634_04155
ko:K02067	amao:I634_04210
ko:K11105	amao:I634_04280
ko:K03298	amao:I634_04290
ko:K01724	amao:I634_08540
ko:K03177	amao:I634_08575
ko:K07004	amao:I634_08625
ko:K03386	amao:I634_08640
ko:K02674	amao:I634_13000
ko:K03406	amao:I634_13165
ko:K00088	amao:I634_13185
ko:K00383	amao:I634_17295
ko:K01259	amao:I634_17450
ko:K05595	amao:I634_17510
ko:K00970	amao:I634_17540
ko:K01580	amao:I634_17560
ko:K03498	amao:I634_00080
ko:K03499	amao:I634_00085
ko:K03747	amao:I634_00115
ko:K14162	amao:I634_00175
ko:K01479	amao:I634_04485
ko:K02428	amao:I634_04675
ko:K00974	amao:I634_04685
ko:K02450	amao:I634_04690
ko:K01424	amao:I634_08975
ko:K07258	amao:I634_08995
ko:K13628	amao:I634_13260
ko:K01092	amao:I634_13310
ko:K02004	amao:I634_13405
ko:K01077	amao:I634_13420
ko:K07386	amao:I634_17680
ko:K08234	amao:I634_17710
ko:K03442	amao:I634_17715
ko:K05341	amao:I634_17725
ko:K00568	amao:I634_17815
ko:K09966	amao:I634_17820
ko:K12942	amao:I634_17845
ko:K10563	amao:I634_00265
ko:K00639	amao:I634_00300
ko:K02441	amao:I634_00315
ko:K09806	amao:I634_00345
ko:K16012	amao:I634_00435
ko:K16013	amao:I634_00440
ko:K03386	amao:I634_00470
ko:K03743	amao:I634_04745
ko:K09697	amao:I634_04755
ko:K09696	amao:I634_04760
ko:K02193	amao:I634_04775
ko:K02200	amao:I634_04810
ko:K01784	amao:I634_04825
ko:K02851	amao:I634_04865
ko:K00030	amao:I634_04890
ko:K00674	amao:I634_04965
ko:K02427	amao:I634_09080
ko:K03307	amao:I634_09160
ko:K02014	amao:I634_13710
ko:K03409	amao:I634_17925
ko:K02004	amao:I634_18010
ko:K03776	amao:I634_18015
ko:K05350	amao:I634_18065
ko:K02014	amao:I634_18120
ko:K02030	amao:I634_02975
ko:K02014	amao:I634_07280
ko:K07305	amao:I634_11665
ko:K00033	amao:I634_11670
ko:K00700	amao:I634_11680
ko:K00845	amao:I634_11705
ko:K01243	amao:I634_11735
ko:K00065	amao:I634_11810
ko:K00101	amao:I634_15975
ko:K03406	amao:I634_16115
ko:K02014	amao:I634_16135
ko:K00813	amao:I634_11020
ko:K17686	amao:I634_01780
ko:K01533	amao:I634_10345
ko:K00130	amao:I634_13785
ko:K01069	amao:I634_11990
ko:K09857	amao:I634_06760
ko:K00537	amao:I634_10775
ko:K00971	amao:I634_14350
ko:K06138	amao:I634_15860
ko:K02477	amao:I634_09805
ko:K17758	amao:I634_17890
ko:K17759	amao:I634_17890
ko:K00290	amao:I634_15070
ko:K14742	amao:I634_12465
ko:K05540	amao:I634_18540
ko:K05799	amao:I634_14535
ko:K03892	amao:I634_14985
ko:K03767	amao:I634_03475
ko:K01658	amao:I634_07010
ko:K00632	amao:I634_06270
ko:K00248	amao:I634_11055
ko:K00128	amao:I634_02905
ko:K01190	amao:I634_15615
ko:K00632	amao:I634_03135
ko:K08485	amao:I634_04145
ko:K00018	amao:I634_19010
ko:K01467	amao:I634_18310
ko:K01840	amao:I634_09550
ko:K00661	amao:I634_07050
ko:K03566	amao:I634_07395
ko:K12574	amao:I634_11505
ko:K01190	amao:I634_01195
ko:K05603	amao:I634_06320
ko:K01497	amao:I634_00975
ko:K03790	amao:I634_12410
ko:K03286	amao:I634_17935
ko:K07186	amao:I634_12865
ko:K17737	amao:I634_09980
ko:K01487	amao:I634_07640
ko:K01046	amao:I634_17810
ko:K03973	amao:I634_05645
ko:K18138	amao:I634_00930
ko:K18138	amao:I634_03645
ko:K07814	amao:I634_03860
ko:K00520	amao:I634_14315
ko:K01659	amao:I634_15170
ko:K03719	amao:I634_10630
ko:K00956	amao:I634_06195
ko:K00020	amao:I634_15940
ko:K07814	amao:I634_08550
ko:K00114	amao:I634_15815
ko:K00557	amao:I634_16195
ko:K00344	amao:I634_11300
ko:K03741	amao:I634_14990
ko:K09017	amao:I634_07675
ko:K03296	amao:I634_11180
ko:K02483	amao:I634_15015
ko:K01447	amao:I634_15235
ko:K00118	amao:I634_15670
ko:K03772	amao:I634_18785
ko:K07003	amao:I634_10145
ko:K03585	amao:I634_03640
ko:K03605	amao:I634_01720
ko:K18298	amao:I634_14505
ko:K18299	amao:I634_14500
ko:K03832	amao:I634_09430
ko:K03563	amao:I634_14260
ko:K03796	amao:I634_18565
ko:K01669	amao:I634_10240
ko:K07787	amao:I634_14705
ko:K07787	amao:I634_14710
ko:K03411	amao:I634_01990
ko:K03408	amao:I634_02005
ko:K02406	amao:I634_06570
ko:K02014	amao:I634_15155
ko:K02015	amao:I634_06855
ko:K07302	amao:I634_11220
ko:K01255	amao:I634_15845
ko:K02358	amao:I634_02835
ko:K01625	amao:I634_11855
ko:K01560	amao:I634_08330
ko:K07165	amao:I634_15955
ko:K07165	amao:I634_18370
ko:K07165	amao:I634_06045
ko:K02554	amao:I634_16035
ko:K00138	amao:I634_15910
ko:K00108	amao:I634_13790
ko:K09017	amao:I634_16585
ko:K18446	amao:I634_03255
ko:K07645	amao:I634_04090
ko:K01437	amao:I634_14590
ko:K00681	amao:I634_02380
ko:K00681	amao:I634_02920
ko:K00681	amao:I634_07760
ko:K00681	amao:I634_10970
ko:K20978	amao:I634_06530
ko:K18676	amao:I634_14390
ko:K18691	amao:I634_05090
ko:K06218	amao:I634_03035
ko:K18850	amao:I634_08870
ko:K06218	amao:I634_03050
ko:K18800	amao:I634_14425
ko:K18829	amao:I634_18415
ko:K18831	amao:I634_19190
ko:K20862	amao:I634_01025
ko:K20881	amao:I634_18705
ko:K18778	amao:I634_14580
ko:K22452	amao:I634_07440
ko:K00526	amao:I634_10700
ko:K10747	amao:I634_03905
ko:K18893	amao:I634_17670
ko:K03746	amao:I634_11110
ko:K08722	amao:I634_11200
ko:K08722	amao:I634_11205
ko:K08722	amao:I634_11260
ko:K14266	amao:I634_09610
ko:K00520	amao:I634_00800
ko:K08364	amao:I634_00805
ko:K08363	amao:I634_00810
ko:K03496	amao:I634_05485
ko:K03496	amao:I634_14165
ko:K03497	amao:I634_14170
ko:K00520	amao:I634_14310
ko:K08364	amao:I634_14325
ko:K08363	amao:I634_14330
ko:K09797	amao:I634_14495
ko:K03496	amao:I634_14740
ko:K04565	amao:I634_14875
ko:K11811	amao:I634_14995
ko:K03497	amao:I634_19295
ko:K03496	amao:I634_19300
ko:K03646	amao:I634_06625
ko:K03976	amao:I634_07970
ko:K10277	amao:I634_01490
ko:K07484	amao:I634_02100
ko:K07483	amao:I634_03105
ko:K07483	amao:I634_00875
ko:K03526	amao:I634_13225
ko:K02663	amao:I634_02540
ko:K18979	amao:I634_17895
ko:K02664	amao:I634_02535
ko:K01729	amao:I634_16085
ko:K07746	amao:I634_12195
ko:K07746	amao:I634_15595
ko:K19155	amao:I634_17385
ko:K19156	amao:I634_17380
ko:K00476	amao:I634_01535
ko:K05375	amao:I634_01480
ko:K19058	amao:I634_14320
ko:K19163	amao:I634_09200
ko:K19158	amao:I634_11400
ko:K17248	amao:I634_07890
ko:K19159	amao:I634_11395
ko:K01710	amao:I634_16910
ko:K19166	amao:I634_19195
ko:K19228	amao:I634_05615
ko:K19229	amao:I634_05610
ko:K00798	amao:I634_07985
ko:K19227	amao:I634_05620
ko:K19092	amao:I634_12190
ko:K19230	amao:I634_05605
ko:K19164	amao:I634_09205
ko:K07497	amao:I634_00735
ko:K07497	amao:I634_00745
ko:K07497	amao:I634_00880
ko:K03722	amao:I634_12470
ko:K07496	amao:I634_09885
ko:K00839	amao:I634_07750
ko:K19337	amao:I634_11725
ko:K01175	amao:I634_11115
ko:K19302	amao:I634_01060
ko:K19302	amao:I634_03495
ko:K02650	amao:I634_14560
ko:K19577	amao:I634_14910
ko:K02030	amao:I634_18530
ko:K19707	amao:I634_09060
ko:K01214	amao:I634_11675
ko:K01069	amao:I634_09930
ko:K07119	amao:I634_18240
ko:K07147	amao:I634_11270
ko:K07662	amao:I634_02640
ko:K07274	amao:I634_04520
ko:K19804	amao:I634_10645
ko:K19810	amao:I634_03435
ko:K19954	amao:I634_02185
ko:K09796	amao:I634_02855
ko:K20264	amao:I634_16020
ko:K00507	amao:I634_16205
ko:K09788	amao:I634_15180
ko:K20455	amao:I634_15175
ko:K20444	amao:I634_16905
ko:K20542	amao:I634_16430
ko:K20543	amao:I634_16425
ko:K16044	amao:I634_18280
ko:K11529	amao:I634_15195
ko:K01200	amao:I634_09625
ko:K20920	amao:I634_07840
ko:K20988	amao:I634_07845
ko:K16554	amao:I634_07850
ko:K03148	amao:I634_00615
ko:K21029	amao:I634_11385
ko:K21053	amao:I634_07695
ko:K00821	amao:I634_02465
ko:K01768	amao:I634_02390
ko:K00525	amao:I634_10695
ko:K14379	amao:I634_08180
ko:K21023	amao:I634_11935
ko:K16011	amao:I634_16895
ko:K08968	amao:I634_10085
ko:K02495	amao:I634_11345
ko:K20977	amao:I634_06535
ko:K20975	amao:I634_15895
ko:K21218	amao:I634_06070
ko:K02315	amao:I634_19315
ko:K06223	amao:I634_02505
ko:K03676	amao:I634_02675
ko:K06217	amao:I634_07235
ko:K00287	amao:I634_03180
ko:K00560	amao:I634_03290
ko:K02316	amao:I634_03670
ko:K03546	amao:I634_04470
ko:K07336	amao:I634_17600
ko:K03553	amao:I634_04750
ko:K00857	amao:I634_13705
ko:K02314	amao:I634_17940
ko:K09882	amao:I634_14275
ko:K02335	amao:I634_00070
ko:K02481	amao:I634_14760
ko:K01139	amao:I634_00675
ko:K21217	amao:I634_17170
ko:K00249	amao:I634_11310
ko:K02483	amao:I634_04095
ko:K02483	amao:I634_17585
ko:K02483	amao:I634_13870
ko:K21420	amao:I634_08925
ko:K21470	amao:I634_12265
ko:K01420	amao:I634_10360
ko:K21498	amao:I634_03020
ko:K07334	amao:I634_03025
ko:K21575	amao:I634_09650
ko:K21498	amao:I634_17130
ko:K21699	amao:I634_06145
ko:K10914	amao:I634_12185
ko:K10914	amao:I634_16590
ko:K08365	amao:I634_00815
ko:K08365	amao:I634_14335
ko:K21973	amao:I634_00895
ko:K21990	amao:I634_12580
ko:K22105	amao:I634_16200
ko:K22132	amao:I634_09535
ko:K01816	amao:I634_02165
ko:K03595	amao:I634_12880
ko:K22293	amao:I634_15580
ko:K01505	amao:I634_15040
ko:K02257	amao:I634_18385
ko:K02257	amao:I634_18875
ko:K01439	amao:I634_13090
ko:K11391	amao:I634_03480
ko:K00424	amao:I634_18090
ko:K00275	amao:I634_08425
ko:K01007	amao:I634_08830
