ko:K19079	sauq:SAI4T8_1005110
ko:K00221	sauq:SAI4T8_20180
ko:K07029	sauq:SAI4T8_1014400
ko:K07498	sauq:SAI4T8_20130
ko:K07498	sauq:SAI4T8_20160
ko:K01271	sauq:SAI4T8_1012470
ko:K18979	sauq:SAI4T8_1013740
ko:K00949	sauq:SAI4T8_1008720
ko:K01318	sauq:SAI4T8_1007410
ko:K07498	sauq:SAI4T8_20010
ko:K07816	sauq:SAI4T8_1018670
ko:K03429	sauq:SAI4T8_1007190
ko:K02755	sauq:SAI4T8_1002050
ko:K03293	sauq:SAI4T8_1017120
ko:K19077	sauq:SAI4T8_1005100
ko:K01174	sauq:SAI4T8_1009500
ko:K19078	sauq:SAI4T8_1005090
ko:K01239	sauq:SAI4T8_1016870
ko:K19225	sauq:SAI4T8_1011240
ko:K02777	sauq:SAI4T8_1010280
ko:K14198	sauq:SAI4T8_1014720
ko:K19068	sauq:SAI4T8_1001090
ko:K19081	sauq:SAI4T8_1019630
ko:K19082	sauq:SAI4T8_1019640
ko:K19083	sauq:SAI4T8_1019620
ko:K19084	sauq:SAI4T8_1019610
ko:K08259	sauq:SAI4T8_1002140
ko:K02031	sauq:SAI4T8_1006970
ko:K14195	sauq:SAI4T8_1018580
ko:K14195	sauq:SAI4T8_1018590
ko:K02032	sauq:SAI4T8_1009940
ko:K07485	sauq:SAI4T8_1002910
ko:K03722	sauq:SAI4T8_1010510
ko:K01992	sauq:SAI4T8_1018730
ko:K19411	sauq:SAI4T8_1004000
ko:K01046	sauq:SAI4T8_1002460
ko:K19302	sauq:SAI4T8_1010240
ko:K19405	sauq:SAI4T8_1004010
ko:K07485	sauq:SAI4T8_1004360
ko:K07485	sauq:SAI4T8_1004840
ko:K07485	sauq:SAI4T8_1006510
ko:K07485	sauq:SAI4T8_1008240
ko:K07485	sauq:SAI4T8_1012580
ko:K07485	sauq:SAI4T8_1013780
ko:K07485	sauq:SAI4T8_1015340
ko:K03574	sauq:SAI4T8_1013150
ko:K19279	sauq:SAI4T8_1006320
ko:K19576	sauq:SAI4T8_1005370
ko:K06881	sauq:SAI4T8_1012440
ko:K01906	sauq:SAI4T8_1017990
ko:K03483	sauq:SAI4T8_1015940
ko:K19689	sauq:SAI4T8_1014240
ko:K01258	sauq:SAI4T8_1011000
ko:K07119	sauq:SAI4T8_1016290
ko:K00547	sauq:SAI4T8_1002750
ko:K00297	sauq:SAI4T8_1002750
ko:K02538	sauq:SAI4T8_1019780
ko:K21636	sauq:SAI4T8_1019560
ko:K19976	sauq:SAI4T8_1004860
ko:K12132	sauq:SAI4T8_1008690
ko:K20074	sauq:SAI4T8_1008680
ko:K20116	sauq:SAI4T8_1001390
ko:K20117	sauq:SAI4T8_1001390
ko:K20118	sauq:SAI4T8_1001390
ko:K20116	sauq:SAI4T8_1018910
ko:K20117	sauq:SAI4T8_1018910
ko:K20118	sauq:SAI4T8_1018910
ko:K20338	sauq:SAI4T8_1012960
ko:K21949	sauq:SAI4T8_1000720
ko:K20534	sauq:SAI4T8_1005440
ko:K21721	sauq:SAI4T8_1000730
ko:K02790	sauq:SAI4T8_1001850
ko:K02791	sauq:SAI4T8_1001850
ko:K21029	sauq:SAI4T8_1016800
ko:K21030	sauq:SAI4T8_1001920
ko:K00525	sauq:SAI4T8_1005670
ko:K21030	sauq:SAI4T8_1001960
ko:K21064	sauq:SAI4T8_1006810
ko:K00435	sauq:SAI4T8_1004510
ko:K00526	sauq:SAI4T8_1005680
ko:K00632	sauq:SAI4T8_1001760
ko:K02314	sauq:SAI4T8_1000130
ko:K03553	sauq:SAI4T8_1009240
ko:K03546	sauq:SAI4T8_1009660
ko:K00287	sauq:SAI4T8_1010310
ko:K00560	sauq:SAI4T8_1010320
ko:K11038	sauq:SAI4T8_1017950
ko:K11038	sauq:SAI4T8_1017960
ko:K11038	sauq:SAI4T8_1017970
ko:K02316	sauq:SAI4T8_1011350
ko:K06217	sauq:SAI4T8_1011410
ko:K01493	sauq:SAI4T8_1011560
ko:K04068	sauq:SAI4T8_1019550
ko:K11038	sauq:SAI4T8_1013350
ko:K11038	sauq:SAI4T8_1013360
ko:K01174	sauq:SAI4T8_1006220
ko:K00857	sauq:SAI4T8_1015620
ko:K06958	sauq:SAI4T8_1005980
ko:K05020	sauq:SAI4T8_1016270
ko:K02335	sauq:SAI4T8_1012310
ko:K00108	sauq:SAI4T8_1019510
ko:K21285	sauq:SAI4T8_1004930
ko:K02032	sauq:SAI4T8_1006980
ko:K03296	sauq:SAI4T8_1016700
ko:K02031	sauq:SAI4T8_1009950
ko:K22044	sauq:SAI4T8_1002790
ko:K21453	sauq:SAI4T8_1020000
ko:K21478	sauq:SAI4T8_1020020
ko:K21567	sauq:SAI4T8_1017600
ko:K21591	sauq:SAI4T8_1001950
ko:K18704	sauq:SAI4T8_1001980
ko:K21828	sauq:SAI4T8_1019690
ko:K22136	sauq:SAI4T8_1008350
ko:K00754	sauq:SAI4T8_1010540
ko:K22135	sauq:SAI4T8_1004380
ko:K03595	sauq:SAI4T8_1011400
ko:K22132	sauq:SAI4T8_1011830
ko:K22109	sauq:SAI4T8_1019530
ko:K03547	sauq:SAI4T8_1013640
ko:K17758	sauq:SAI4T8_1000060
ko:K02257	sauq:SAI4T8_1007940
ko:K22409	sauq:SAI4T8_1003400
ko:K13566	sauq:SAI4T8_1014940
ko:K22441	sauq:SAI4T8_1017580
