ko:K15581	see:SNSL254_A1873
ko:K09996	see:SNSL254_A0959
ko:K09998	see:SNSL254_A0960
ko:K09999	see:SNSL254_A0961
ko:K09997	see:SNSL254_A0962
ko:K10000	see:SNSL254_A0963
ko:K11066	see:SNSL254_A0966
ko:K01620	see:SNSL254_A0969
ko:K00156	see:SNSL254_A0970
ko:K09824	see:SNSL254_A0975
ko:K03704	see:SNSL254_A0978
ko:K06891	see:SNSL254_A0979
ko:K03694	see:SNSL254_A0980
ko:K06911	see:SNSL254_A0985
ko:K02518	see:SNSL254_A0987
ko:K04103	see:SNSL254_A2597
ko:K09761	see:SNSL254_A3341
ko:K01920	see:SNSL254_A3342
ko:K07735	see:SNSL254_A3343
ko:K07447	see:SNSL254_A3344
ko:K02669	see:SNSL254_A3346
ko:K06997	see:SNSL254_A3347
ko:K02221	see:SNSL254_A3348
ko:K09131	see:SNSL254_A3349
ko:K03576	see:SNSL254_A4243
ko:K04564	see:SNSL254_A4341
ko:K03186	see:SNSL254_A3126
ko:K06194	see:SNSL254_A3131
ko:K00573	see:SNSL254_A3132
ko:K06176	see:SNSL254_A3134
ko:K09923	see:SNSL254_A3356
ko:K03439	see:SNSL254_A3357
ko:K03575	see:SNSL254_A3358
ko:K08306	see:SNSL254_A3360
ko:K03289	see:SNSL254_A3362
ko:K07150	see:SNSL254_A3365
ko:K06871	see:SNSL254_A3372
ko:K00549	see:SNSL254_A4244
ko:K06871	see:SNSL254_A4246
ko:K09760	see:SNSL254_A4249
ko:K03183	see:SNSL254_A4250
ko:K03690	see:SNSL254_A4251
ko:K03688	see:SNSL254_A4252
ko:K03116	see:SNSL254_A4253
ko:K03117	see:SNSL254_A4254
ko:K03118	see:SNSL254_A4255
ko:K03424	see:SNSL254_A4256
ko:K05785	see:SNSL254_A4257
ko:K03182	see:SNSL254_A4258
ko:K03498	see:SNSL254_A4265
ko:K03753	see:SNSL254_A4274
ko:K03752	see:SNSL254_A4275
ko:K09896	see:SNSL254_A4276
ko:K03673	see:SNSL254_A4278
ko:K02335	see:SNSL254_A4281
ko:K03978	see:SNSL254_A4283
ko:K09894	see:SNSL254_A4285
ko:K07712	see:SNSL254_A4287
ko:K07708	see:SNSL254_A4288
ko:K01915	see:SNSL254_A4289
ko:K06207	see:SNSL254_A4290
ko:K07676	see:SNSL254_A2454
ko:K00337	see:SNSL254_A2506
ko:K00336	see:SNSL254_A2507
ko:K00335	see:SNSL254_A2508
ko:K00334	see:SNSL254_A2509
ko:K00331	see:SNSL254_A2511
ko:K00330	see:SNSL254_A2512
ko:K09161	see:SNSL254_A2520
ko:K09899	see:SNSL254_A2521
ko:K00925	see:SNSL254_A2523
ko:K00615	see:SNSL254_A2526
ko:K00615	see:SNSL254_A2527
ko:K03475	see:SNSL254_A2528
ko:K02822	see:SNSL254_A2529
ko:K02821	see:SNSL254_A2531
ko:K07095	see:SNSL254_A2534
ko:K07071	see:SNSL254_A2537
ko:K10017	see:SNSL254_A2538
ko:K10015	see:SNSL254_A2539
ko:K10016	see:SNSL254_A2540
ko:K10014	see:SNSL254_A2541
ko:K03186	see:SNSL254_A2544
ko:K01586	see:SNSL254_A2548
ko:K00764	see:SNSL254_A2550
ko:K03431	see:SNSL254_A3553
ko:K02553	see:SNSL254_A4419
ko:K02548	see:SNSL254_A4420
ko:K04565	see:SNSL254_A1082
ko:K00281	see:SNSL254_A3288
ko:K00615	see:SNSL254_A3322
ko:K01480	see:SNSL254_A3324
ko:K00789	see:SNSL254_A3336
ko:K02742	see:SNSL254_A3339
ko:K03558	see:SNSL254_A2551
ko:K03749	see:SNSL254_A2552
ko:K03975	see:SNSL254_A2555
ko:K06173	see:SNSL254_A2556
ko:K03473	see:SNSL254_A2558
ko:K07645	see:SNSL254_A3434
ko:K03923	see:SNSL254_A3436
ko:K07000	see:SNSL254_A3440
ko:K03651	see:SNSL254_A3441
ko:K09920	see:SNSL254_A3442
ko:K07238	see:SNSL254_A3448
ko:K03673	see:SNSL254_A3451
ko:K03611	see:SNSL254_A3452
ko:K02858	see:SNSL254_A3453
ko:K00982	see:SNSL254_A3461
ko:K07184	see:SNSL254_A3463
ko:K06153	see:SNSL254_A3465
ko:K01633	see:SNSL254_A3466
ko:K08591	see:SNSL254_A3467
ko:K01409	see:SNSL254_A3468
ko:K02970	see:SNSL254_A3469
ko:K02316	see:SNSL254_A3470
ko:K03086	see:SNSL254_A3471
ko:K03776	see:SNSL254_A3477
ko:K06871	see:SNSL254_A4084
ko:K00389	see:SNSL254_A4086
ko:K07085	see:SNSL254_A4089
ko:K04081	see:SNSL254_A4090
ko:K04080	see:SNSL254_A4091
ko:K00428	see:SNSL254_A4103
ko:K07811	see:SNSL254_A4105
ko:K03532	see:SNSL254_A4106
ko:K07043	see:SNSL254_A3482
ko:K07862	see:SNSL254_A3486
ko:K07393	see:SNSL254_A3494
ko:K06903	see:SNSL254_A4378
ko:K06907	see:SNSL254_A4383
ko:K06908	see:SNSL254_A4384
ko:K06906	see:SNSL254_A4388
ko:K02048	see:SNSL254_A4392
ko:K00847	see:SNSL254_A4395
ko:K02521	see:SNSL254_A4190
ko:K00053	see:SNSL254_A4191
ko:K03656	see:SNSL254_A4193
ko:K03732	see:SNSL254_A4195
ko:K03671	see:SNSL254_A4196
ko:K03628	see:SNSL254_A4197
ko:K05790	see:SNSL254_A4199
ko:K02472	see:SNSL254_A4201
ko:K02853	see:SNSL254_A4208
ko:K02496	see:SNSL254_A4218
ko:K01719	see:SNSL254_A4219
ko:K10558	see:SNSL254_A4402
ko:K10556	see:SNSL254_A4404
ko:K10557	see:SNSL254_A4405
ko:K10555	see:SNSL254_A4406
ko:K08321	see:SNSL254_A4407
ko:K01783	see:SNSL254_A4409
ko:K00219	see:SNSL254_A3480
ko:K02020	see:SNSL254_A3394
ko:K02016	see:SNSL254_A3395
ko:K04653	see:SNSL254_A3396
ko:K06281	see:SNSL254_A3400
ko:K03559	see:SNSL254_A3412
ko:K00655	see:SNSL254_A3429
ko:K07058	see:SNSL254_A4305
ko:K07560	see:SNSL254_A4306
ko:K02380	see:SNSL254_A4314
ko:K00127	see:SNSL254_A4315
ko:K02379	see:SNSL254_A4319
ko:K03534	see:SNSL254_A4326
ko:K01629	see:SNSL254_A4328
ko:K00848	see:SNSL254_A4330
ko:K02855	see:SNSL254_A4331
ko:K02854	see:SNSL254_A4332
ko:K02856	see:SNSL254_A4333
ko:K07640	see:SNSL254_A4345
ko:K07662	see:SNSL254_A4346
ko:K00528	see:SNSL254_A4413
ko:K02446	see:SNSL254_A4414
ko:K00864	see:SNSL254_A4415
ko:K02440	see:SNSL254_A4416
ko:K09892	see:SNSL254_A4417
ko:K09906	see:SNSL254_A2570
ko:K07261	see:SNSL254_A2572
ko:K01736	see:SNSL254_A2573
ko:K08296	see:SNSL254_A2576
ko:K06076	see:SNSL254_A2580
ko:K04754	see:SNSL254_A2581
ko:K00845	see:SNSL254_A2595
ko:K03322	see:SNSL254_A2600
ko:K01885	see:SNSL254_A2607
ko:K01749	see:SNSL254_A4220
ko:K06202	see:SNSL254_A4222
ko:K01778	see:SNSL254_A4227
ko:K09921	see:SNSL254_A4228
ko:K03657	see:SNSL254_A4231
ko:K03284	see:SNSL254_A4232
ko:K05786	see:SNSL254_A4235
ko:K03654	see:SNSL254_A4238
ko:K08363	see:SNSL254_p_0167
ko:K10748	see:SNSL254_p_0183
ko:K01803	see:SNSL254_A4410
ko:K02469	see:SNSL254_A2457
ko:K00525	see:SNSL254_A2462
ko:K00526	see:SNSL254_A2463
ko:K11107	see:SNSL254_A2464
ko:K01126	see:SNSL254_A2467
ko:K02445	see:SNSL254_A2468
ko:K00111	see:SNSL254_A2469
ko:K04565	see:SNSL254_A1550
ko:K08191	see:SNSL254_A3386
ko:K01686	see:SNSL254_A3387
ko:K01812	see:SNSL254_A3389
ko:K03555	see:SNSL254_A3114
ko:K01770	see:SNSL254_A3135
ko:K00991	see:SNSL254_A3136
ko:K05589	see:SNSL254_A3137
ko:K00860	see:SNSL254_A3139
ko:K00957	see:SNSL254_A3141
ko:K07784	see:SNSL254_A4068
ko:K07783	see:SNSL254_A4069
ko:K02429	see:SNSL254_A4073
ko:K00852	see:SNSL254_A4074
ko:K01653	see:SNSL254_A4076
ko:K01753	see:SNSL254_A4082
ko:K03535	see:SNSL254_A3184
ko:K06175	see:SNSL254_A3187
ko:K06966	see:SNSL254_A3192
ko:K03837	see:SNSL254_A3193
ko:K01752	see:SNSL254_A3194
ko:K00048	see:SNSL254_A3196
ko:K02429	see:SNSL254_A3200
ko:K01818	see:SNSL254_A3201
ko:K03630	see:SNSL254_A4009
ko:K01520	see:SNSL254_A4011
ko:K05501	see:SNSL254_A4012
ko:K00762	see:SNSL254_A4013
ko:K00989	see:SNSL254_A4014
ko:K01972	see:SNSL254_A4019
ko:K00942	see:SNSL254_A4020
ko:K03060	see:SNSL254_A4021
ko:K00556	see:SNSL254_A4023
ko:K03655	see:SNSL254_A4024
ko:K03312	see:SNSL254_A4026
ko:K01811	see:SNSL254_A4029
ko:K01531	see:SNSL254_A4041
ko:K07507	see:SNSL254_A4043
ko:K02775	see:SNSL254_A4063
ko:K02774	see:SNSL254_A4064
ko:K02773	see:SNSL254_A4065
ko:K07773	see:SNSL254_A4956
ko:K02533	see:SNSL254_A4957
ko:K04773	see:SNSL254_p_0013
ko:K03530	see:SNSL254_p_0022
ko:K07738	see:SNSL254_A0462
ko:K00794	see:SNSL254_A0464
ko:K03625	see:SNSL254_A0465
ko:K00946	see:SNSL254_A0466
ko:K01095	see:SNSL254_A0467
ko:K01662	see:SNSL254_A0469
ko:K00795	see:SNSL254_A0470
ko:K03602	see:SNSL254_A0471
ko:K03151	see:SNSL254_A0472
ko:K00390	see:SNSL254_A3157
ko:K00381	see:SNSL254_A3158
ko:K00380	see:SNSL254_A3159
ko:K01737	see:SNSL254_A3160
ko:K06897	see:SNSL254_A3162
ko:K01689	see:SNSL254_A3168
ko:K01937	see:SNSL254_A3169
ko:K03215	see:SNSL254_A3179
ko:K07678	see:SNSL254_A3180
ko:K00865	see:SNSL254_A3181
ko:K01706	see:SNSL254_A3182
ko:K08151	see:SNSL254_p_0042
ko:K08302	see:SNSL254_A3514
ko:K02773	see:SNSL254_A3516
ko:K02774	see:SNSL254_A3517
ko:K02775	see:SNSL254_A3518
ko:K07056	see:SNSL254_A3521
ko:K07121	see:SNSL254_A3522
ko:K07460	see:SNSL254_A3523
ko:K07461	see:SNSL254_A3528
ko:K03824	see:SNSL254_A3530
ko:K08303	see:SNSL254_A3532
ko:K03835	see:SNSL254_A3535
ko:K05592	see:SNSL254_A3536
ko:K05803	see:SNSL254_A3537
ko:K02956	see:SNSL254_A3540
ko:K03177	see:SNSL254_A3542
ko:K02834	see:SNSL254_A3543
ko:K02519	see:SNSL254_A3544
ko:K02600	see:SNSL254_A3545
ko:K09748	see:SNSL254_A3546
ko:K01940	see:SNSL254_A3549
ko:K00112	see:SNSL254_A2470
ko:K10012	see:SNSL254_A2483
ko:K10011	see:SNSL254_A2484
ko:K02549	see:SNSL254_A2491
ko:K01661	see:SNSL254_A2492
ko:K08680	see:SNSL254_A2493
ko:K02551	see:SNSL254_A2494
ko:K02552	see:SNSL254_A2495
ko:K05594	see:SNSL254_A2496
ko:K02348	see:SNSL254_A2498
ko:K00784	see:SNSL254_A2497
ko:K03415	see:SNSL254_A2499
ko:K00343	see:SNSL254_A2500
ko:K00342	see:SNSL254_A2501
ko:K00341	see:SNSL254_A2502
ko:K00340	see:SNSL254_A2503
ko:K00339	see:SNSL254_A2504
ko:K00338	see:SNSL254_A2505
ko:K06995	see:SNSL254_A3377
ko:K09471	see:SNSL254_A3378
ko:K00883	see:SNSL254_A4114
ko:K02470	see:SNSL254_A4120
ko:K03629	see:SNSL254_A4121
ko:K02338	see:SNSL254_A4122
ko:K03815	see:SNSL254_A2615
ko:K09954	see:SNSL254_A2619
ko:K01752	see:SNSL254_A3502
ko:K00656	see:SNSL254_A3503
ko:K01754	see:SNSL254_A3506
ko:K03169	see:SNSL254_p_0063
ko:K03981	see:SNSL254_p_0081
ko:K03098	see:SNSL254_p_0084
ko:K02430	see:SNSL254_A3204
ko:K06968	see:SNSL254_A3205
ko:K07274	see:SNSL254_A1397
ko:K08723	see:SNSL254_A4915
ko:K00658	see:SNSL254_A0796
ko:K02381	see:SNSL254_A0582
ko:K03224	see:SNSL254_A1526
ko:K05787	see:SNSL254_A4503
ko:K00058	see:SNSL254_A3300
ko:K11392	see:SNSL254_A1989
ko:K04774	see:SNSL254_A1843
ko:K07496	see:SNSL254_A2805
ko:K08992	see:SNSL254_A1833
ko:K02824	see:SNSL254_A2692
ko:K07688	see:SNSL254_A0602
ko:K07686	see:SNSL254_A4071
ko:K09477	see:SNSL254_A0672
ko:K03148	see:SNSL254_A4494
ko:K04652	see:SNSL254_A3060
ko:K04042	see:SNSL254_A4143
ko:K01091	see:SNSL254_A3754
ko:K02431	see:SNSL254_A3203
ko:K05527	see:SNSL254_A0495
ko:K07675	see:SNSL254_A4070
ko:K01962	see:SNSL254_A0254
ko:K00564	see:SNSL254_A4912
ko:K11202	see:SNSL254_A4444
ko:K02622	see:SNSL254_A3439
ko:K11216	see:SNSL254_A4400
ko:K03645	see:SNSL254_A0757
ko:K03273	see:SNSL254_A0270
ko:K11750	see:SNSL254_A0357
ko:K08167	see:SNSL254_A1689
ko:K02566	see:SNSL254_A0740
ko:K08161	see:SNSL254_A0424
ko:K11203	see:SNSL254_A4443
ko:K07701	see:SNSL254_A4650
ko:K03228	see:SNSL254_A1531
ko:K07642	see:SNSL254_A2316
ko:K03569	see:SNSL254_A3637
ko:K00567	see:SNSL254_A1782
ko:K06958	see:SNSL254_A3584
ko:K02619	see:SNSL254_A1297
ko:K03316	see:SNSL254_A4615
ko:K00832	see:SNSL254_A4592
ko:K11604	see:SNSL254_A3066
ko:K01840	see:SNSL254_A2286
ko:K01840	see:SNSL254_A2262
ko:K01874	see:SNSL254_A2344
ko:K07090	see:SNSL254_A2571
ko:K07090	see:SNSL254_A4296
ko:K01895	see:SNSL254_A4621
ko:K06203	see:SNSL254_A2622
ko:K00247	see:SNSL254_A4701
ko:K06149	see:SNSL254_A3861
ko:K07703	see:SNSL254_A4649
ko:K00609	see:SNSL254_A4807
ko:K01834	see:SNSL254_A0836
ko:K06212	see:SNSL254_A1007
ko:K07792	see:SNSL254_A4647
ko:K03574	see:SNSL254_A0149
ko:K11754	see:SNSL254_A2553
ko:K01625	see:SNSL254_A2043
ko:K03566	see:SNSL254_A3207
ko:K07637	see:SNSL254_A1331
ko:K07660	see:SNSL254_A1332
ko:K05802	see:SNSL254_A0528
ko:K03772	see:SNSL254_A3723
ko:K00245	see:SNSL254_A4703
ko:K03718	see:SNSL254_A4159
ko:K01644	see:SNSL254_A0065
ko:K03561	see:SNSL254_A3413
ko:K01631	see:SNSL254_A4113
ko:K00868	see:SNSL254_A1560
ko:K02017	see:SNSL254_A0847
ko:K01466	see:SNSL254_A0576
ko:K00073	see:SNSL254_A0581
ko:K02529	see:SNSL254_A4169
ko:K02529	see:SNSL254_A2382
ko:K02529	see:SNSL254_A1669
ko:K02529	see:SNSL254_A3241
ko:K02529	see:SNSL254_A3940
ko:K03466	see:SNSL254_A0994
ko:K07772	see:SNSL254_A4107
ko:K07684	see:SNSL254_A1898
ko:K07657	see:SNSL254_A0441
ko:K00868	see:SNSL254_A2629
ko:K07647	see:SNSL254_A4109
ko:K00090	see:SNSL254_A3925
ko:K01911	see:SNSL254_A2490
ko:K07687	see:SNSL254_A2455
ko:K07677	see:SNSL254_A2456
ko:K07235	see:SNSL254_A3721
ko:K02116	see:SNSL254_A4153
ko:K01525	see:SNSL254_A0093
ko:K07659	see:SNSL254_A3775
ko:K00113	see:SNSL254_A2471
ko:K12265	see:SNSL254_A3043
ko:K07702	see:SNSL254_A0681
ko:K12147	see:SNSL254_A1249
ko:K12148	see:SNSL254_A1258
ko:K12071	see:SNSL254_p_0066
ko:K12149	see:SNSL254_A1259
ko:K12064	see:SNSL254_p_0077
ko:K12065	see:SNSL254_p_0076
ko:K07702	see:SNSL254_A0057
ko:K07804	see:SNSL254_A1349
ko:K01079	see:SNSL254_A4936
ko:K02024	see:SNSL254_A4574
ko:K00632	see:SNSL254_A2578
ko:K12058	see:SNSL254_p_0101
ko:K12289	see:SNSL254_A3763
ko:K12061	see:SNSL254_p_0098
ko:K12062	see:SNSL254_p_0097
ko:K03279	see:SNSL254_A3997
ko:K12063	see:SNSL254_p_0095
ko:K09810	see:SNSL254_A1318
ko:K12266	see:SNSL254_A3041
ko:K11991	see:SNSL254_A2771
ko:K00703	see:SNSL254_A3802
ko:K12264	see:SNSL254_A3042
ko:K12340	see:SNSL254_A3444
ko:K07666	see:SNSL254_A3433
ko:K06282	see:SNSL254_A3403
ko:K03533	see:SNSL254_A4104
ko:K07307	see:SNSL254_A1608
ko:K08325	see:SNSL254_A3419
ko:K07304	see:SNSL254_A4772
ko:K01628	see:SNSL254_A3197
ko:K01096	see:SNSL254_A1834
ko:K01784	see:SNSL254_A0840
ko:K00575	see:SNSL254_A2078
ko:K09898	see:SNSL254_A3734
ko:K03773	see:SNSL254_A4757
ko:K07278	see:SNSL254_A4774
ko:K08224	see:SNSL254_A1597
ko:K02574	see:SNSL254_A2441
ko:K11941	see:SNSL254_A1245
ko:K01485	see:SNSL254_A3597
ko:K12152	see:SNSL254_A1336
ko:K03810	see:SNSL254_A1266
ko:K07251	see:SNSL254_A1307
ko:K03496	see:SNSL254_A2836
ko:K01835	see:SNSL254_A0758
ko:K11742	see:SNSL254_A1593
ko:K03496	see:SNSL254_p_0049
ko:K11900	see:SNSL254_A0300
ko:K12262	see:SNSL254_A1756
ko:K04763	see:SNSL254_A3278
ko:K03733	see:SNSL254_A4229
ko:K03686	see:SNSL254_A0014
ko:K03632	see:SNSL254_A1027
ko:K03804	see:SNSL254_A1026
ko:K04047	see:SNSL254_A0896
ko:K11258	see:SNSL254_A4184
ko:K02784	see:SNSL254_A2625
ko:K01652	see:SNSL254_A0128
ko:K03477	see:SNSL254_A4742
ko:K00027	see:SNSL254_A1680
ko:K00970	see:SNSL254_A0201
ko:K00821	see:SNSL254_A3739
ko:K01890	see:SNSL254_A1449
ko:K11202	see:SNSL254_A4447
ko:K11085	see:SNSL254_A1017
ko:K08483	see:SNSL254_A4442
ko:K11189	see:SNSL254_A4442
ko:K11201	see:SNSL254_A4442
ko:K01673	see:SNSL254_A0187
ko:K06518	see:SNSL254_A2371
ko:K05876	see:SNSL254_A1740
ko:K02100	see:SNSL254_A3247
ko:K01023	see:SNSL254_A3450
ko:K03633	see:SNSL254_A1025
ko:K03075	see:SNSL254_A3552
ko:K01652	see:SNSL254_A4183
ko:K01652	see:SNSL254_A4077
ko:K08682	see:SNSL254_A0448
ko:K05835	see:SNSL254_A4239
ko:K03497	see:SNSL254_p_0050
ko:K07404	see:SNSL254_A0849
ko:K03222	see:SNSL254_A1520
ko:K05596	see:SNSL254_A3302
ko:K03230	see:SNSL254_A3101
ko:K03230	see:SNSL254_A1525
ko:K00757	see:SNSL254_A4248
ko:K07806	see:SNSL254_A2482
ko:K01582	see:SNSL254_A2760
ko:K07774	see:SNSL254_A2981
ko:K02507	see:SNSL254_A3760
ko:K03841	see:SNSL254_A4780
ko:K00813	see:SNSL254_A1031
ko:K07309	see:SNSL254_A1610
ko:K07310	see:SNSL254_A1609
ko:K07639	see:SNSL254_A1580
ko:K01582	see:SNSL254_A0256
ko:K08722	see:SNSL254_A2517
ko:K01581	see:SNSL254_A3363
ko:K01581	see:SNSL254_A0761
ko:K07312	see:SNSL254_A1607
ko:K01585	see:SNSL254_A3333
ko:K19504	see:SNSL254_A4894
ko:K02805	see:SNSL254_A4205
ko:K02679	see:SNSL254_A3226
ko:K02680	see:SNSL254_A3225
ko:K02682	see:SNSL254_A0157
ko:K02504	see:SNSL254_A0156
ko:K13920	see:SNSL254_A2219
ko:K03719	see:SNSL254_A0993
ko:K02505	see:SNSL254_A0155
ko:K04651	see:SNSL254_A3059
ko:K04651	see:SNSL254_A1643
ko:K04651	see:SNSL254_A3397
ko:K02401	see:SNSL254_A2074
ko:K03229	see:SNSL254_A1532
ko:K03787	see:SNSL254_A3133
ko:K00266	see:SNSL254_A3593
ko:K06222	see:SNSL254_A0280
ko:K08161	see:SNSL254_A1250
ko:K11391	see:SNSL254_A3481
ko:K01643	see:SNSL254_A0066
ko:K01643	see:SNSL254_A0675
ko:K03711	see:SNSL254_A0752
ko:K03636	see:SNSL254_A0868
ko:K00059	see:SNSL254_A1294
ko:K07122	see:SNSL254_A3570
ko:K10026	see:SNSL254_A3167
ko:K00040	see:SNSL254_A3388
ko:K00040	see:SNSL254_A1619
ko:K07264	see:SNSL254_A2486
ko:K05396	see:SNSL254_A2115
ko:K08219	see:SNSL254_A1001
ko:K00758	see:SNSL254_A4924
ko:K01760	see:SNSL254_A3415
ko:K01104	see:SNSL254_A2299
ko:K11903	see:SNSL254_A3382
ko:K00031	see:SNSL254_A1339
ko:K11530	see:SNSL254_A4408
ko:K07689	see:SNSL254_A2110
ko:K01897	see:SNSL254_A1958
ko:K11531	see:SNSL254_A4401
ko:K03748	see:SNSL254_A2374
ko:K11072	see:SNSL254_A1327
ko:K11535	see:SNSL254_A2601
ko:K03780	see:SNSL254_A3617
ko:K03779	see:SNSL254_A3618
ko:K11896	see:SNSL254_A0293
ko:K11892	see:SNSL254_A0308
ko:K02217	see:SNSL254_A2097
ko:K11747	see:SNSL254_A3727
ko:K07592	see:SNSL254_A3507
ko:K03972	see:SNSL254_A1810
ko:K06934	see:SNSL254_A3311
ko:K01420	see:SNSL254_A1783
ko:K01894	see:SNSL254_A0202
ko:K11537	see:SNSL254_A2614
ko:K00228	see:SNSL254_A2645
ko:K02598	see:SNSL254_A3748
ko:K07011	see:SNSL254_A0780
ko:K09251	see:SNSL254_A3479
ko:K08359	see:SNSL254_A1497
ko:K08322	see:SNSL254_A1617
ko:K06956	see:SNSL254_A1481
ko:K04334	see:SNSL254_A1240
ko:K00262	see:SNSL254_A1410
ko:K11749	see:SNSL254_A0245
ko:K03208	see:SNSL254_A2288
ko:K04335	see:SNSL254_A1239
ko:K04333	see:SNSL254_A1238
ko:K03746	see:SNSL254_p_0196
ko:K01042	see:SNSL254_A4792
ko:K09974	see:SNSL254_A4439
ko:K07470	see:SNSL254_A2238
ko:K08317	see:SNSL254_A0655
ko:K07724	see:SNSL254_A3567
ko:K01916	see:SNSL254_A1424
ko:K07726	see:SNSL254_A4058
ko:K06889	see:SNSL254_A4741
ko:K07782	see:SNSL254_A2112
ko:K04751	see:SNSL254_A2762
ko:K07790	see:SNSL254_A2018
ko:K11755	see:SNSL254_A2257
ko:K07343	see:SNSL254_A1113
ko:K07126	see:SNSL254_A0711
ko:K09953	see:SNSL254_A1442
ko:K12975	see:SNSL254_A3913
ko:K12962	see:SNSL254_A2487
ko:K12963	see:SNSL254_A2488
ko:K12981	see:SNSL254_A3995
ko:K02851	see:SNSL254_A4198
ko:K01779	see:SNSL254_A4865
ko:K01460	see:SNSL254_A3392
ko:K00906	see:SNSL254_A4522
ko:K10906	see:SNSL254_A2842
ko:K01534	see:SNSL254_A3845
ko:K07794	see:SNSL254_A2983
ko:K03278	see:SNSL254_A3998
ko:K01176	see:SNSL254_A2125
ko:K06183	see:SNSL254_A2416
ko:K12370	see:SNSL254_A3904
ko:K09476	see:SNSL254_A1032
ko:K03769	see:SNSL254_A4192
ko:K00138	see:SNSL254_A3958
ko:K01130	see:SNSL254_A3371
ko:K05874	see:SNSL254_A4887
ko:K07186	see:SNSL254_A4935
ko:K08324	see:SNSL254_A1637
ko:K06905	see:SNSL254_A4389
ko:K06218	see:SNSL254_A4796
ko:K05875	see:SNSL254_A3476
ko:K12944	see:SNSL254_A2480
ko:K12979	see:SNSL254_A4632
ko:K01424	see:SNSL254_A1405
ko:K13288	see:SNSL254_A4711
ko:K00558	see:SNSL254_A2155
ko:K00558	see:SNSL254_p_0125
ko:K00799	see:SNSL254_A1561
ko:K11209	see:SNSL254_A3393
ko:K03324	see:SNSL254_A4527
ko:K00748	see:SNSL254_A0251
ko:K11929	see:SNSL254_A0360
ko:K11898	see:SNSL254_A0295
ko:K03755	see:SNSL254_A4641
ko:K07307	see:SNSL254_A4652
ko:K04065	see:SNSL254_A4917
ko:K09017	see:SNSL254_A1216
ko:K02436	see:SNSL254_A3520
ko:K03759	see:SNSL254_A4640
ko:K12070	see:SNSL254_p_0065
ko:K11738	see:SNSL254_A1699
ko:K02009	see:SNSL254_A2198
ko:K03757	see:SNSL254_A2759
ko:K03535	see:SNSL254_A3978
ko:K04775	see:SNSL254_A1594
ko:K07347	see:SNSL254_A0191
ko:K01573	see:SNSL254_A0830
ko:K11753	see:SNSL254_A0049
ko:K11735	see:SNSL254_A2990
ko:K11745	see:SNSL254_A0091
ko:K04018	see:SNSL254_A4627
ko:K04750	see:SNSL254_A4634
ko:K03760	see:SNSL254_A4639
ko:K08314	see:SNSL254_A4441
ko:K12297	see:SNSL254_A1102
ko:K12290	see:SNSL254_A3762
ko:K00632	see:SNSL254_A4261
ko:K12288	see:SNSL254_A3764
ko:K11732	see:SNSL254_A0620
ko:K12060	see:SNSL254_p_0100
ko:K01207	see:SNSL254_A1308
ko:K04477	see:SNSL254_A1232
ko:K04337	see:SNSL254_A1237
ko:K04045	see:SNSL254_A0716
ko:K03478	see:SNSL254_A1431
ko:K03827	see:SNSL254_A4517
ko:K08344	see:SNSL254_A1209
ko:K12056	see:SNSL254_p_0189
ko:K12072	see:SNSL254_p_0188
ko:K00046	see:SNSL254_A4831
ko:K02002	see:SNSL254_A3011
ko:K07289	see:SNSL254_A2303
ko:K12057	see:SNSL254_p_0187
ko:K01809	see:SNSL254_A1576
ko:K03426	see:SNSL254_A4499
ko:K06146	see:SNSL254_A4829
ko:K04021	see:SNSL254_A2656
ko:K04025	see:SNSL254_A2648
ko:K12452	see:SNSL254_A2272
ko:K12410	see:SNSL254_A1321
ko:K09979	see:SNSL254_A3529
ko:K08485	see:SNSL254_A3585
ko:K05540	see:SNSL254_A3648
ko:K12067	see:SNSL254_p_0074
ko:K08163	see:SNSL254_A4128
ko:K08092	see:SNSL254_A3946
ko:K01934	see:SNSL254_A3298
ko:K00879	see:SNSL254_A3202
ko:K05934	see:SNSL254_A2203
ko:K02068	see:SNSL254_A0556
ko:K07351	see:SNSL254_A0597
ko:K01175	see:SNSL254_A0756
ko:K11736	see:SNSL254_A0445
ko:K06079	see:SNSL254_A0263
ko:K00385	see:SNSL254_A2750
ko:K11737	see:SNSL254_A4759
ko:K07027	see:SNSL254_A0874
ko:K01497	see:SNSL254_A1835
ko:K01491	see:SNSL254_A0595
ko:K06889	see:SNSL254_A2747
ko:K03078	see:SNSL254_A4747
ko:K12372	see:SNSL254_A3902
ko:K03394	see:SNSL254_A2200
ko:K13053	see:SNSL254_A1112
ko:K04336	see:SNSL254_A1241
ko:K01069	see:SNSL254_A0286
ko:K12068	see:SNSL254_p_0073
ko:K12069	see:SNSL254_p_0078
ko:K01813	see:SNSL254_A4329
ko:K05595	see:SNSL254_A1634
ko:K00537	see:SNSL254_A2690
ko:K05368	see:SNSL254_A4259
ko:K02840	see:SNSL254_A3999
ko:K07459	see:SNSL254_A0974
ko:K12525	see:SNSL254_A4432
ko:K12500	see:SNSL254_A0503
ko:K02478	see:SNSL254_A2349
ko:K03970	see:SNSL254_A1813
ko:K08137	see:SNSL254_A3338
ko:K03819	see:SNSL254_A2296
ko:K13051	see:SNSL254_A0915
ko:K13085	see:SNSL254_A1187
ko:K12961	see:SNSL254_A3524
ko:K10804	see:SNSL254_A0561
ko:K13014	see:SNSL254_A2485
