ko:K00090	bpr:GBP346_A2224
ko:K13934	bpr:GBP346_A1489
ko:K13930	bpr:GBP346_A1490
ko:K13929	bpr:GBP346_A1485
ko:K13931	bpr:GBP346_A1486
ko:K13932	bpr:GBP346_A1487
ko:K13933	bpr:GBP346_A1488
ko:K01487	bpr:GBP346_A3117
ko:K14058	bpr:GBP346_A0246
ko:K14060	bpr:GBP346_A3093
ko:K04091	bpr:GBP346_A1859
ko:K00102	bpr:GBP346_A3473
ko:K03767	bpr:GBP346_A2668
ko:K07117	bpr:GBP346_A4184
ko:K07485	bpr:GBP346_A1742
ko:K13821	bpr:GBP346_A4132
ko:K05973	bpr:GBP346_A1206
ko:K03342	bpr:GBP346_A3453
ko:K07516	bpr:GBP346_A2403
ko:K02483	bpr:GBP346_A0735
ko:K00799	bpr:GBP346_A3532
ko:K07346	bpr:GBP346_A1662
ko:K06867	bpr:GBP346_A2386
ko:K13472	bpr:GBP346_A2114
ko:K01782	bpr:GBP346_A4262
ko:K07497	bpr:GBP346_A0991
ko:K07245	bpr:GBP346_A0669
ko:K07782	bpr:GBP346_A2851
ko:K01147	bpr:GBP346_A3641
ko:K12368	bpr:GBP346_A0158
ko:K01087	bpr:GBP346_A2935
ko:K06147	bpr:GBP346_A2933
ko:K07677	bpr:GBP346_A2148
ko:K12369	bpr:GBP346_A0159
ko:K02075	bpr:GBP346_A0792
ko:K02077	bpr:GBP346_A0794
ko:K01297	bpr:GBP346_A2505
ko:K12511	bpr:GBP346_A1813
ko:K00854	bpr:GBP346_A0811
ko:K02663	bpr:GBP346_A3888
ko:K06879	bpr:GBP346_A0589
ko:K00281	bpr:GBP346_A4101
ko:K08305	bpr:GBP346_A3053
ko:K10947	bpr:GBP346_A4252
ko:K02069	bpr:GBP346_A2261
ko:K05845	bpr:GBP346_A2021
ko:K01555	bpr:GBP346_A3352
ko:K02068	bpr:GBP346_A2260
ko:K07506	bpr:GBP346_A3344
ko:K00058	bpr:GBP346_A1360
ko:K00344	bpr:GBP346_A1262
ko:K07397	bpr:GBP346_A3557
ko:K01630	bpr:GBP346_A0078
ko:K10012	bpr:GBP346_A2346
ko:K01156	bpr:GBP346_A4237
ko:K13979	bpr:GBP346_A0091
ko:K05712	bpr:GBP346_A3356
ko:K02650	bpr:GBP346_A0742
ko:K07497	bpr:GBP346_A0936
ko:K13634	bpr:GBP346_A0999
ko:K13643	bpr:GBP346_A2780
ko:K01070	bpr:GBP346_A0791
ko:K01077	bpr:GBP346_A0309
ko:K10778	bpr:GBP346_A0034
ko:K13481	bpr:GBP346_A3340
ko:K02303	bpr:GBP346_A1005
ko:K02614	bpr:GBP346_A3723
ko:K14218	bpr:GBP346_A2608
ko:K07516	bpr:GBP346_A0608
ko:K07346	bpr:GBP346_A1061
ko:K01897	bpr:GBP346_A3710
ko:K04772	bpr:GBP346_A3836
ko:K02056	bpr:GBP346_A1701
ko:K02651	bpr:GBP346_A1908
ko:K01759	bpr:GBP346_A0625
ko:K11902	bpr:GBP346_A3803
ko:K00652	bpr:GBP346_A0316
ko:K02651	bpr:GBP346_A1805
ko:K13893	bpr:GBP346_A2616
ko:K02871	bpr:GBP346_A3555
ko:K01079	bpr:GBP346_A2265
ko:K05799	bpr:GBP346_A3604
ko:K13954	bpr:GBP346_A2168
ko:K13896	bpr:GBP346_A2613
ko:K02004	bpr:GBP346_A1275
ko:K13894	bpr:GBP346_A2615
ko:K13895	bpr:GBP346_A2614
ko:K03782	bpr:GBP346_A3498
ko:K04098	bpr:GBP346_A0963
ko:K03762	bpr:GBP346_A3508
ko:K03297	bpr:GBP346_A1854
ko:K06893	bpr:GBP346_A4248
ko:K05847	bpr:GBP346_A2019
ko:K14232	bpr:GBP346_A3677
ko:K14221	bpr:GBP346_A2422
ko:K14221	bpr:GBP346_A2604
ko:K14221	bpr:GBP346_A2606
ko:K14229	bpr:GBP346_A3384
ko:K01983	bpr:GBP346_A2316
ko:K14233	bpr:GBP346_A2660
ko:K14225	bpr:GBP346_A3952
ko:K14228	bpr:GBP346_A2459
ko:K14228	bpr:GBP346_A1313
ko:K14162	bpr:GBP346_A0438
ko:K13580	bpr:GBP346_A1982
ko:K07518	bpr:GBP346_A3326
ko:K08281	bpr:GBP346_A2402
ko:K13635	bpr:GBP346_A1888
ko:K07483	bpr:GBP346_A2064
ko:K03394	bpr:GBP346_A1989
ko:K13771	bpr:GBP346_A2333
ko:K02224	bpr:GBP346_A1971
ko:K13771	bpr:GBP346_A2890
ko:K00632	bpr:GBP346_A0609
ko:K00941	bpr:GBP346_A3295
ko:K14160	bpr:GBP346_A0436
ko:K14236	bpr:GBP346_A3953
ko:K14232	bpr:GBP346_A1537
ko:K01434	bpr:GBP346_A2054
ko:K14220	bpr:GBP346_A2997
ko:K14220	bpr:GBP346_A2998
ko:K02058	bpr:GBP346_A1703
ko:K14219	bpr:GBP346_A3149
ko:K14219	bpr:GBP346_A3150
ko:K02053	bpr:GBP346_A1435
ko:K02053	bpr:GBP346_A1438
ko:K02029	bpr:GBP346_A1923
ko:K02029	bpr:GBP346_A1924
ko:K02053	bpr:GBP346_A2126
ko:K02010	bpr:GBP346_A1400
ko:K14287	bpr:GBP346_A1343
ko:K00941	bpr:GBP346_A2585
ko:K12256	bpr:GBP346_A2834
ko:K14233	bpr:GBP346_A3158
ko:K14347	bpr:GBP346_A0258
ko:K14260	bpr:GBP346_A2341
ko:K14233	bpr:GBP346_A3176
ko:K01139	bpr:GBP346_A3151
ko:K01561	bpr:GBP346_A0267
ko:K14232	bpr:GBP346_A1767
ko:K02055	bpr:GBP346_A1439
ko:K03566	bpr:GBP346_A0369
ko:K14234	bpr:GBP346_A3951
ko:K06015	bpr:GBP346_A0586
ko:K01977	bpr:GBP346_A1353
ko:K01977	bpr:GBP346_A3959
ko:K01977	bpr:GBP346_A3716
ko:K14393	bpr:GBP346_A0384
ko:K00058	bpr:GBP346_A0055
ko:K00657	bpr:GBP346_A0029
ko:K14225	bpr:GBP346_A3235
ko:K14161	bpr:GBP346_A0437
ko:K14219	bpr:GBP346_A4087
ko:K14237	bpr:GBP346_A2831
ko:K14219	bpr:GBP346_A1153
ko:K14231	bpr:GBP346_A0071
ko:K14224	bpr:GBP346_A2605
ko:K14224	bpr:GBP346_A2607
ko:K03762	bpr:GBP346_A1495
ko:K14228	bpr:GBP346_A1836
ko:K14228	bpr:GBP346_A1837
ko:K02803	bpr:GBP346_A0466
ko:K02804	bpr:GBP346_A0466
ko:K00548	bpr:GBP346_A0340
ko:K00548	bpr:GBP346_A0341
ko:K01119	bpr:GBP346_A0358
ko:K02067	bpr:GBP346_A0361
ko:K07258	bpr:GBP346_A0366
ko:K10563	bpr:GBP346_A0501
ko:K06023	bpr:GBP346_A0505
ko:K13993	bpr:GBP346_A3566
ko:K02533	bpr:GBP346_A2673
ko:K09810	bpr:GBP346_A2763
ko:K03307	bpr:GBP346_A1192
ko:K02054	bpr:GBP346_A2127
ko:K02057	bpr:GBP346_A1702
ko:K01985	bpr:GBP346_A1356
ko:K01985	bpr:GBP346_A3956
ko:K01985	bpr:GBP346_A3713
ko:K14235	bpr:GBP346_A3949
ko:K14267	bpr:GBP346_A2573
ko:K02433	bpr:GBP346_A0087
ko:K01980	bpr:GBP346_A4280
ko:K01980	bpr:GBP346_A4282
ko:K01980	bpr:GBP346_A4281
ko:K14234	bpr:GBP346_A3130
ko:K00459	bpr:GBP346_A4018
ko:K01434	bpr:GBP346_A0710
ko:K14441	bpr:GBP346_A2270
ko:K14225	bpr:GBP346_A2946
ko:K14225	bpr:GBP346_A2947
ko:K01607	bpr:GBP346_A2327
ko:K01183	bpr:GBP346_A1987
ko:K08196	bpr:GBP346_A0985
ko:K02358	bpr:GBP346_A3950
ko:K00383	bpr:GBP346_A0222
ko:K09806	bpr:GBP346_A0396
ko:K02821	bpr:GBP346_A0401
ko:K08483	bpr:GBP346_A0403
ko:K02274	bpr:GBP346_A0418
ko:K02258	bpr:GBP346_A0420
ko:K03406	bpr:GBP346_A0430
ko:K01989	bpr:GBP346_A0433
ko:K05832	bpr:GBP346_A0434
ko:K05833	bpr:GBP346_A0435
ko:K01077	bpr:GBP346_A0310
ko:K06201	bpr:GBP346_A0313
ko:K00626	bpr:GBP346_A0323
ko:K01524	bpr:GBP346_A1528
ko:K02049	bpr:GBP346_A0690
ko:K02050	bpr:GBP346_A0691
ko:K03776	bpr:GBP346_A0679
ko:K07019	bpr:GBP346_A0753
ko:K02843	bpr:GBP346_A0755
ko:K02858	bpr:GBP346_A0645
ko:K00854	bpr:GBP346_A0788
ko:K07304	bpr:GBP346_A0824
ko:K00567	bpr:GBP346_A0837
ko:K04763	bpr:GBP346_A0838
ko:K00939	bpr:GBP346_A0850
ko:K01907	bpr:GBP346_A0988
ko:K02806	bpr:GBP346_A0506
ko:K03455	bpr:GBP346_A0514
ko:K01192	bpr:GBP346_A0564
ko:K03606	bpr:GBP346_A0573
ko:K08738	bpr:GBP346_A1012
ko:K04750	bpr:GBP346_A1193
ko:K00616	bpr:GBP346_A1194
ko:K03616	bpr:GBP346_A1204
ko:K00059	bpr:GBP346_A1260
ko:K02050	bpr:GBP346_A1097
ko:K02049	bpr:GBP346_A1098
ko:K06910	bpr:GBP346_A1107
ko:K03593	bpr:GBP346_A1053
ko:K00059	bpr:GBP346_A1074
ko:K01507	bpr:GBP346_A1076
ko:K01515	bpr:GBP346_A1329
ko:K01262	bpr:GBP346_A1357
ko:K14652	bpr:GBP346_A3206
ko:K15125	bpr:GBP346_A1121
ko:K03406	bpr:GBP346_A1834
ko:K03177	bpr:GBP346_A1786
ko:K11159	bpr:GBP346_A1457
ko:K01596	bpr:GBP346_A1478
ko:K10531	bpr:GBP346_A1968
ko:K02014	bpr:GBP346_A1969
ko:K00595	bpr:GBP346_A1994
ko:K03405	bpr:GBP346_A1980
ko:K02274	bpr:GBP346_A1375
ko:K01243	bpr:GBP346_A1716
ko:K03406	bpr:GBP346_A1719
ko:K08178	bpr:GBP346_A1826
ko:K02342	bpr:GBP346_A1499
ko:K03469	bpr:GBP346_A1500
ko:K02427	bpr:GBP346_A1516
ko:K00700	bpr:GBP346_A1582
ko:K07657	bpr:GBP346_A1525
ko:K01478	bpr:GBP346_A2012
ko:K10440	bpr:GBP346_A1893
ko:K00852	bpr:GBP346_A1895
ko:K02051	bpr:GBP346_A1903
ko:K02049	bpr:GBP346_A1906
ko:K02050	bpr:GBP346_A1907
ko:K10440	bpr:GBP346_A1949
ko:K00854	bpr:GBP346_A1952
ko:K00010	bpr:GBP346_A1705
ko:K00010	bpr:GBP346_A1706
ko:K15035	bpr:GBP346_A3073
ko:K14218	bpr:GBP346_A1355
ko:K14218	bpr:GBP346_A3957
ko:K14218	bpr:GBP346_A3714
ko:K14226	bpr:GBP346_A1865
ko:K01978	bpr:GBP346_A3558
ko:K14229	bpr:GBP346_A0051
ko:K14230	bpr:GBP346_A0731
ko:K00249	bpr:GBP346_A1337
ko:K16238	bpr:GBP346_A4112
ko:K07491	bpr:GBP346_A3876
ko:K14237	bpr:GBP346_A1755
ko:K14227	bpr:GBP346_A1354
ko:K14227	bpr:GBP346_A3958
ko:K14227	bpr:GBP346_A3715
ko:K14237	bpr:GBP346_A2430
ko:K14234	bpr:GBP346_A3829
ko:K14222	bpr:GBP346_A2945
ko:K00799	bpr:GBP346_A1342
ko:K14219	bpr:GBP346_A1551
ko:K06133	bpr:GBP346_A2848
ko:K14223	bpr:GBP346_A0497
ko:K14230	bpr:GBP346_A1852
ko:K14230	bpr:GBP346_A2801
ko:K14218	bpr:GBP346_A4001
ko:K14170	bpr:GBP346_A3065
ko:K00800	bpr:GBP346_A3064
ko:K02074	bpr:GBP346_A0793
ko:K06147	bpr:GBP346_A0615
ko:K14742	bpr:GBP346_A2590
ko:K05998	bpr:GBP346_A2543
ko:K02525	bpr:GBP346_A2223
ko:K05973	bpr:GBP346_A1587
ko:K01458	bpr:GBP346_A2838
ko:K02424	bpr:GBP346_A3193
ko:K10009	bpr:GBP346_A3194
ko:K13409	bpr:GBP346_A3793
ko:K13408	bpr:GBP346_A3792
ko:K15011	bpr:GBP346_A0102
ko:K02351	bpr:GBP346_A2940
ko:K18129	bpr:GBP346_A1926
ko:K15012	bpr:GBP346_A0103
ko:K00477	bpr:GBP346_A0115
ko:K05874	bpr:GBP346_A1896
ko:K03566	bpr:GBP346_A0197
ko:K14761	bpr:GBP346_A3004
ko:K12976	bpr:GBP346_A0477
ko:K07326	bpr:GBP346_A1124
ko:K06919	bpr:GBP346_A1148
ko:K15034	bpr:GBP346_A1412
ko:K00108	bpr:GBP346_A4172
ko:K00008	bpr:GBP346_A1951
ko:K01713	bpr:GBP346_A4138
ko:K00141	bpr:GBP346_A0815
ko:K11741	bpr:GBP346_A1273
ko:K15554	bpr:GBP346_A1860
ko:K15634	bpr:GBP346_A3545
ko:K15555	bpr:GBP346_A1861
ko:K15553	bpr:GBP346_A1364
ko:K15738	bpr:GBP346_A1165
ko:K02428	bpr:GBP346_A3156
ko:K00249	bpr:GBP346_A0450
ko:K00249	bpr:GBP346_A2829
ko:K00043	bpr:GBP346_A1691
ko:K00459	bpr:GBP346_A0265
ko:K00459	bpr:GBP346_A0984
ko:K00459	bpr:GBP346_A2255
ko:K00459	bpr:GBP346_A2873
ko:K08100	bpr:GBP346_A0886
ko:K02484	bpr:GBP346_A0774
ko:K07346	bpr:GBP346_A1938
ko:K02055	bpr:GBP346_A0043
ko:K02055	bpr:GBP346_A2128
ko:K02052	bpr:GBP346_A1433
ko:K02052	bpr:GBP346_A2125
ko:K02030	bpr:GBP346_A1920
ko:K02028	bpr:GBP346_A3195
ko:K07492	bpr:GBP346_A1778
ko:K15539	bpr:GBP346_A2299
ko:K08261	bpr:GBP346_A0797
ko:K15724	bpr:GBP346_A3553
ko:K01692	bpr:GBP346_A0347
ko:K01692	bpr:GBP346_A3718
ko:K15669	bpr:GBP346_A3419
ko:K04093	bpr:GBP346_A3143
ko:K16011	bpr:GBP346_A3437
ko:K03286	bpr:GBP346_A3802
ko:K12340	bpr:GBP346_A3794
ko:K00128	bpr:GBP346_A2256
ko:K15461	bpr:GBP346_A4191
ko:K16011	bpr:GBP346_A0556
ko:K15778	bpr:GBP346_A3263
ko:K01432	bpr:GBP346_A0997
ko:K15408	bpr:GBP346_A0700
ko:K15268	bpr:GBP346_A0832
ko:K01992	bpr:GBP346_A0445
ko:K01990	bpr:GBP346_A0446
ko:K01990	bpr:GBP346_A2182
ko:K05874	bpr:GBP346_A0256
ko:K05874	bpr:GBP346_A2028
ko:K05874	bpr:GBP346_A2877
ko:K05874	bpr:GBP346_A4039
ko:K07213	bpr:GBP346_A0228
ko:K00344	bpr:GBP346_A1310
ko:K07749	bpr:GBP346_A2310
ko:K01073	bpr:GBP346_A3008
ko:K01185	bpr:GBP346_A2693
ko:K06016	bpr:GBP346_A1175
ko:K06016	bpr:GBP346_A2091
ko:K01167	bpr:GBP346_A3619
ko:K07485	bpr:GBP346_A2212
ko:K03285	bpr:GBP346_A3147
ko:K07011	bpr:GBP346_A3273
ko:K07011	bpr:GBP346_A3276
ko:K07100	bpr:GBP346_A0695
ko:K15866	bpr:GBP346_A3722
ko:K12542	bpr:GBP346_A2112
ko:K15977	bpr:GBP346_A1039
ko:K18139	bpr:GBP346_A1929
ko:K01523	bpr:GBP346_A3843
ko:K01496	bpr:GBP346_A3844
ko:K05595	bpr:GBP346_A3848
ko:K01724	bpr:GBP346_A4180
ko:K02454	bpr:GBP346_A4198
ko:K09983	bpr:GBP346_A2510
ko:K01092	bpr:GBP346_A2674
ko:K04488	bpr:GBP346_A2778
ko:K00374	bpr:GBP346_A2808
ko:K00851	bpr:GBP346_A3583
ko:K03299	bpr:GBP346_A3584
ko:K02051	bpr:GBP346_A4229
ko:K02049	bpr:GBP346_A4230
ko:K02050	bpr:GBP346_A4231
ko:K07316	bpr:GBP346_A4236
ko:K00626	bpr:GBP346_A2268
ko:K00626	bpr:GBP346_A2273
ko:K03087	bpr:GBP346_A2306
ko:K00088	bpr:GBP346_A2528
ko:K01679	bpr:GBP346_A3007
ko:K06013	bpr:GBP346_A3029
ko:K02067	bpr:GBP346_A3860
ko:K03153	bpr:GBP346_A3866
ko:K05816	bpr:GBP346_A3879
ko:K05815	bpr:GBP346_A3880
ko:K05814	bpr:GBP346_A3881
ko:K00674	bpr:GBP346_A2574
ko:K01439	bpr:GBP346_A2576
ko:K02238	bpr:GBP346_A2761
ko:K04488	bpr:GBP346_A2886
ko:K00799	bpr:GBP346_A2901
ko:K12541	bpr:GBP346_A2113
ko:K02348	bpr:GBP346_A2941
ko:K03286	bpr:GBP346_A3070
ko:K00127	bpr:GBP346_A3099
ko:K00124	bpr:GBP346_A3100
ko:K02433	bpr:GBP346_A3111
ko:K03743	bpr:GBP346_A3623
ko:K00626	bpr:GBP346_A4261
ko:K03635	bpr:GBP346_A2335
ko:K00059	bpr:GBP346_A2971
ko:K06179	bpr:GBP346_A2982
ko:K05524	bpr:GBP346_A2996
ko:K02014	bpr:GBP346_A3138
ko:K02342	bpr:GBP346_A3144
ko:K01525	bpr:GBP346_A3286
ko:K03560	bpr:GBP346_A3379
ko:K00856	bpr:GBP346_A3653
ko:K06910	bpr:GBP346_A3978
ko:K00845	bpr:GBP346_A3192
ko:K02014	bpr:GBP346_A3335
ko:K07031	bpr:GBP346_A3421
ko:K02653	bpr:GBP346_A3680
ko:K00575	bpr:GBP346_A4038
ko:K01466	bpr:GBP346_A2092
ko:K03442	bpr:GBP346_A3440
ko:K03406	bpr:GBP346_A4082
ko:K00135	bpr:GBP346_A2123
ko:K01424	bpr:GBP346_A2376
ko:K00626	bpr:GBP346_A2401
ko:K07305	bpr:GBP346_A2407
ko:K03769	bpr:GBP346_A2410
ko:K01262	bpr:GBP346_A3534
ko:K01560	bpr:GBP346_A3756
ko:K01262	bpr:GBP346_A3759
ko:K03406	bpr:GBP346_A2180
ko:K01885	bpr:GBP346_A2609
ko:K05524	bpr:GBP346_A2624
ko:K03781	bpr:GBP346_A4274
ko:K15977	bpr:GBP346_A2083
ko:K10009	bpr:GBP346_A1846
ko:K16092	bpr:GBP346_A1026
ko:K16147	bpr:GBP346_A1584
ko:K02424	bpr:GBP346_A1847
ko:K10014	bpr:GBP346_A1088
ko:K10013	bpr:GBP346_A2900
ko:K16066	bpr:GBP346_A3376
ko:K16320	bpr:GBP346_A0962
ko:K01801	bpr:GBP346_A0487
ko:K16215	bpr:GBP346_A2040
ko:K16371	bpr:GBP346_A0799
ko:K01834	bpr:GBP346_A0407
ko:K00209	bpr:GBP346_A1672
ko:K16345	bpr:GBP346_A1248
ko:K01992	bpr:GBP346_A2181
ko:K01992	bpr:GBP346_A3855
ko:K16319	bpr:GBP346_A0961
ko:K06919	bpr:GBP346_A3077
ko:K11735	bpr:GBP346_A3749
ko:K16171	bpr:GBP346_A0345
ko:K11959	bpr:GBP346_A3247
ko:K11960	bpr:GBP346_A3248
ko:K16692	bpr:GBP346_A3398
ko:K12368	bpr:GBP346_A0329
ko:K05825	bpr:GBP346_A1182
ko:K11961	bpr:GBP346_A3249
ko:K11962	bpr:GBP346_A3250
ko:K11963	bpr:GBP346_A3251
ko:K02849	bpr:GBP346_A1231
ko:K02226	bpr:GBP346_A1031
ko:K11991	bpr:GBP346_A2506
ko:K03559	bpr:GBP346_A3596
ko:K00681	bpr:GBP346_A0375
ko:K00681	bpr:GBP346_A0661
ko:K16841	bpr:GBP346_A2501
ko:K13485	bpr:GBP346_A2499
ko:K03458	bpr:GBP346_A0787
ko:K17315	bpr:GBP346_A3189
ko:K17317	bpr:GBP346_A3186
ko:K17316	bpr:GBP346_A3187
ko:K10439	bpr:GBP346_A1947
ko:K11209	bpr:GBP346_A3549
ko:K08738	bpr:GBP346_A4002
ko:K11209	bpr:GBP346_A2005
ko:K17713	bpr:GBP346_A2295
ko:K17247	bpr:GBP346_A3895
ko:K00265	bpr:GBP346_A3875
ko:K17218	bpr:GBP346_A2245
ko:K10112	bpr:GBP346_A3185
ko:K17103	bpr:GBP346_A1301
ko:K10439	bpr:GBP346_A1890
ko:K01990	bpr:GBP346_A3856
ko:K10111	bpr:GBP346_A0805
ko:K01658	bpr:GBP346_A3731
ko:K06518	bpr:GBP346_A4215
ko:K02768	bpr:GBP346_A0465
ko:K08483	bpr:GBP346_A0465
ko:K11183	bpr:GBP346_A0465
ko:K00128	bpr:GBP346_A2130
ko:K00254	bpr:GBP346_A1848
ko:K17733	bpr:GBP346_A3797
ko:K18139	bpr:GBP346_A0784
ko:K17947	bpr:GBP346_A3277
ko:K05396	bpr:GBP346_A3196
ko:K11896	bpr:GBP346_A1616
ko:K00249	bpr:GBP346_A0567
ko:K18095	bpr:GBP346_A1928
ko:K00329	bpr:GBP346_A0173
ko:K00356	bpr:GBP346_A0173
ko:K21449	bpr:GBP346_A2062
ko:K07346	bpr:GBP346_A2159
ko:K22589	bpr:GBP346_A3214
ko:K01533	bpr:GBP346_A0230
ko:K03761	bpr:GBP346_A1902
ko:K13954	bpr:GBP346_A2169
ko:K00957	bpr:GBP346_A2632
ko:K01998	bpr:GBP346_A4165
ko:K11896	bpr:GBP346_A0707
ko:K08195	bpr:GBP346_A0965
ko:K00249	bpr:GBP346_A4259
ko:K01816	bpr:GBP346_A2371
ko:K21345	bpr:GBP346_A0353
ko:K21344	bpr:GBP346_A3057
ko:K01738	bpr:GBP346_A2630
ko:K01697	bpr:GBP346_A2630
ko:K00138	bpr:GBP346_A4109
ko:K11904	bpr:GBP346_A1626
ko:K18480	bpr:GBP346_A0362
ko:K16234	bpr:GBP346_A1405
ko:K18676	bpr:GBP346_A4053
ko:K18138	bpr:GBP346_A0783
ko:K18778	bpr:GBP346_A3683
ko:K18850	bpr:GBP346_A2740
ko:K18928	bpr:GBP346_A2784
ko:K09691	bpr:GBP346_A3279
ko:K18900	bpr:GBP346_A0711
ko:K03169	bpr:GBP346_A0057
ko:K14060	bpr:GBP346_A0022
ko:K03497	bpr:GBP346_A0945
ko:K03496	bpr:GBP346_A0956
ko:K03205	bpr:GBP346_A0968
ko:K03111	bpr:GBP346_A0522
ko:K14060	bpr:GBP346_A1138
ko:K03496	bpr:GBP346_A1040
ko:K04565	bpr:GBP346_A1054
ko:K03746	bpr:GBP346_A1650
ko:K03746	bpr:GBP346_A1608
ko:K03586	bpr:GBP346_A1630
ko:K07278	bpr:GBP346_A1046
ko:K03646	bpr:GBP346_A3380
ko:K03746	bpr:GBP346_A4013
ko:K03746	bpr:GBP346_A4048
ko:K03746	bpr:GBP346_A2059
ko:K03746	bpr:GBP346_A2119
ko:K03497	bpr:GBP346_A4153
ko:K03496	bpr:GBP346_A4154
ko:K07485	bpr:GBP346_A3940
ko:K07050	bpr:GBP346_A1279
ko:K03526	bpr:GBP346_A2298
ko:K00820	bpr:GBP346_A0464
ko:K18979	bpr:GBP346_A0836
ko:K00335	bpr:GBP346_A1319
ko:K00336	bpr:GBP346_A1320
ko:K07485	bpr:GBP346_A3552
ko:K07485	bpr:GBP346_A1905
ko:K07485	bpr:GBP346_A3572
ko:K19221	bpr:GBP346_A1972
ko:K01710	bpr:GBP346_A3284
ko:K00571	bpr:GBP346_A3817
ko:K03328	bpr:GBP346_A3264
ko:K19339	bpr:GBP346_A2193
ko:K19265	bpr:GBP346_A0117
ko:K01066	bpr:GBP346_A2395
ko:K01785	bpr:GBP346_A3626
ko:K03722	bpr:GBP346_A2278
ko:K04771	bpr:GBP346_A2964
ko:K07497	bpr:GBP346_A1127
ko:K07497	bpr:GBP346_A1129
ko:K07497	bpr:GBP346_A1636
ko:K07497	bpr:GBP346_A2079
ko:K19337	bpr:GBP346_A3589
ko:K19342	bpr:GBP346_A2189
ko:K09690	bpr:GBP346_A3280
ko:K04771	bpr:GBP346_A0776
ko:K19416	bpr:GBP346_A2302
ko:K19340	bpr:GBP346_A2187
ko:K19341	bpr:GBP346_A2188
ko:K07344	bpr:GBP346_A0975
ko:K11209	bpr:GBP346_A3550
ko:K19577	bpr:GBP346_A0642
ko:K19577	bpr:GBP346_A3350
ko:K00525	bpr:GBP346_A3658
ko:K00799	bpr:GBP346_A0174
ko:K00992	bpr:GBP346_A0617
ko:K07666	bpr:GBP346_A0773
ko:K07025	bpr:GBP346_A0724
ko:K06131	bpr:GBP346_A0605
ko:K08744	bpr:GBP346_A2948
ko:K07147	bpr:GBP346_A3896
ko:K07119	bpr:GBP346_A2396
ko:K15777	bpr:GBP346_A3768
ko:K08992	bpr:GBP346_A3060
ko:K19804	bpr:GBP346_A3059
ko:K21636	bpr:GBP346_A2864
ko:K14731	bpr:GBP346_A0580
ko:K09796	bpr:GBP346_A2939
ko:K20034	bpr:GBP346_A2405
ko:K20035	bpr:GBP346_A3045
ko:K20266	bpr:GBP346_A0974
ko:K20329	bpr:GBP346_A1389
ko:K00507	bpr:GBP346_A0901
ko:K20429	bpr:GBP346_A4061
ko:K20527	bpr:GBP346_A0970
ko:K20531	bpr:GBP346_A0976
ko:K20532	bpr:GBP346_A0977
ko:K20533	bpr:GBP346_A0978
ko:K20528	bpr:GBP346_A0971
ko:K20529	bpr:GBP346_A0972
ko:K20530	bpr:GBP346_A0973
ko:K01214	bpr:GBP346_A1581
ko:K21053	bpr:GBP346_A3115
ko:K00840	bpr:GBP346_A2907
ko:K08968	bpr:GBP346_A2944
ko:K21029	bpr:GBP346_A0405
ko:K06919	bpr:GBP346_A0011
ko:K03553	bpr:GBP346_A0736
ko:K03676	bpr:GBP346_A0409
ko:K06217	bpr:GBP346_A0637
ko:K01520	bpr:GBP346_A0893
ko:K00526	bpr:GBP346_A3657
ko:K02314	bpr:GBP346_A2358
ko:K06223	bpr:GBP346_A2458
ko:K06223	bpr:GBP346_A2691
ko:K06905	bpr:GBP346_A2696
ko:K06906	bpr:GBP346_A2698
ko:K06908	bpr:GBP346_A2702
ko:K06907	bpr:GBP346_A2703
ko:K06903	bpr:GBP346_A2708
ko:K00560	bpr:GBP346_A3013
ko:K00287	bpr:GBP346_A3022
ko:K05375	bpr:GBP346_A1957
ko:K05375	bpr:GBP346_A2037
ko:K13993	bpr:GBP346_A1472
ko:K03293	bpr:GBP346_A4000
ko:K09983	bpr:GBP346_A1963
ko:K03328	bpr:GBP346_A0554
ko:K03651	bpr:GBP346_A1432
ko:K21449	bpr:GBP346_A1605
ko:K21449	bpr:GBP346_A2154
ko:K21420	bpr:GBP346_A1849
ko:K10026	bpr:GBP346_A0074
ko:K21563	bpr:GBP346_A2874
ko:K10914	bpr:GBP346_A0860
ko:K21645	bpr:GBP346_A3579
ko:K21825	bpr:GBP346_A2909
ko:K21929	bpr:GBP346_A2588
ko:K05802	bpr:GBP346_A2196
ko:K22003	bpr:GBP346_A3338
ko:K22132	bpr:GBP346_A0829
ko:K03595	bpr:GBP346_A2959
ko:K00090	bpr:GBP346_A2991
ko:K22185	bpr:GBP346_A3627
ko:K22292	bpr:GBP346_A3072
ko:K02257	bpr:GBP346_A0427
ko:K00611	bpr:GBP346_A0844
ko:K11206	bpr:GBP346_A3467
ko:K00424	bpr:GBP346_A2206
ko:K00424	bpr:GBP346_A0471
ko:K01007	bpr:GBP346_A2540
