ko:K01006	lmog:BN389_18920
ko:K03294	lmog:BN389_06840
ko:K00382	lmog:BN389_10860
ko:K04750	lmog:BN389_12650
ko:K02245	lmog:BN389_13690
ko:K02954	lmog:BN389_19070
ko:K03530	lmog:BN389_19590
ko:K13731	lmog:BN389_25190
ko:K09017	lmog:BN389_19880
ko:K22579	lmog:BN389_04380
ko:K02538	lmog:BN389_04490
ko:K03483	lmog:BN389_26110
ko:K01297	lmog:BN389_16620
ko:K15780	lmog:BN389_02330
ko:K03742	lmog:BN389_14230
ko:K03328	lmog:BN389_02290
ko:K04749	lmog:BN389_09220
ko:K09809	lmog:BN389_11160
ko:K00285	lmog:BN389_19350
ko:K18672	lmog:BN389_21520
ko:K18673	lmog:BN389_27410
ko:K18682	lmog:BN389_14250
ko:K18692	lmog:BN389_14760
ko:K03790	lmog:BN389_28250
ko:K07171	lmog:BN389_09170
ko:K18892	lmog:BN389_27270
ko:K18891	lmog:BN389_27260
ko:K18821	lmog:BN389_25270
ko:K18967	lmog:BN389_22070
ko:K03502	lmog:BN389_26420
ko:K08151	lmog:BN389_08670
ko:K03111	lmog:BN389_00550
ko:K00662	lmog:BN389_17360
ko:K03169	lmog:BN389_27320
ko:K03111	lmog:BN389_24860
ko:K03497	lmog:BN389_27670
ko:K03496	lmog:BN389_27680
ko:K03497	lmog:BN389_27710
ko:K19005	lmog:BN389_09570
ko:K04028	lmog:BN389_12030
ko:K00634	lmog:BN389_13930
ko:K07029	lmog:BN389_17800
ko:K07483	lmog:BN389_07000
ko:K03526	lmog:BN389_14670
ko:K18979	lmog:BN389_09640
ko:K07483	lmog:BN389_08600
ko:K07816	lmog:BN389_08280
ko:K19002	lmog:BN389_25160
ko:K02777	lmog:BN389_10490
ko:K00354	lmog:BN389_24340
ko:K03339	lmog:BN389_25170
ko:K00798	lmog:BN389_12270
ko:K05881	lmog:BN389_03740
ko:K05881	lmog:BN389_26650
ko:K00020	lmog:BN389_10360
ko:K00571	lmog:BN389_16070
ko:K16644	lmog:BN389_02180
ko:K07451	lmog:BN389_03300
ko:K19225	lmog:BN389_13610
ko:K19285	lmog:BN389_09660
ko:K03722	lmog:BN389_19240
ko:K01990	lmog:BN389_07890
ko:K01992	lmog:BN389_09550
ko:K01992	lmog:BN389_16610
ko:K19351	lmog:BN389_02170
ko:K01990	lmog:BN389_09540
ko:K01990	lmog:BN389_16600
ko:K19411	lmog:BN389_02450
ko:K19302	lmog:BN389_20370
ko:K19267	lmog:BN389_04810
ko:K04771	lmog:BN389_03160
ko:K19405	lmog:BN389_02460
ko:K19302	lmog:BN389_16460
ko:K03574	lmog:BN389_16970
ko:K19509	lmog:BN389_20180
ko:K19508	lmog:BN389_20190
ko:K19507	lmog:BN389_20200
ko:K19504	lmog:BN389_20170
ko:K06881	lmog:BN389_16000
ko:K19510	lmog:BN389_20160
ko:K19504	lmog:BN389_00450
ko:K02796	lmog:BN389_01160
ko:K02796	lmog:BN389_08070
ko:K02796	lmog:BN389_00280
ko:K00887	lmog:BN389_14890
ko:K19689	lmog:BN389_16270
ko:K01258	lmog:BN389_14000
ko:K00547	lmog:BN389_17060
ko:K00297	lmog:BN389_17060
ko:K02538	lmog:BN389_21710
ko:K21636	lmog:BN389_03020
ko:K19976	lmog:BN389_18730
ko:K20074	lmog:BN389_18460
ko:K12132	lmog:BN389_18450
ko:K20265	lmog:BN389_23280
ko:K20265	lmog:BN389_00470
ko:K20201	lmog:BN389_25020
ko:K00525	lmog:BN389_21880
ko:K18889	lmog:BN389_16750
ko:K18890	lmog:BN389_16740
ko:K22103	lmog:BN389_21380
ko:K20885	lmog:BN389_08920
ko:K01208	lmog:BN389_21590
ko:K21030	lmog:BN389_11130
ko:K21029	lmog:BN389_10800
ko:K08968	lmog:BN389_16200
ko:K21064	lmog:BN389_22930
ko:K00821	lmog:BN389_16130
ko:K00435	lmog:BN389_21440
ko:K04068	lmog:BN389_03030
ko:K00558	lmog:BN389_03290
ko:K13730	lmog:BN389_04780
ko:K07313	lmog:BN389_06940
ko:K09935	lmog:BN389_09290
ko:K06217	lmog:BN389_14920
ko:K01493	lmog:BN389_15080
ko:K02314	lmog:BN389_00640
ko:K03553	lmog:BN389_14240
ko:K02316	lmog:BN389_14810
ko:K01520	lmog:BN389_17190
ko:K03546	lmog:BN389_16690
ko:K00287	lmog:BN389_18990
ko:K00560	lmog:BN389_19000
ko:K00857	lmog:BN389_25060
ko:K21298	lmog:BN389_17550
ko:K02335	lmog:BN389_15900
ko:K21285	lmog:BN389_11170
ko:K00526	lmog:BN389_21870
ko:K21252	lmog:BN389_17300
ko:K22044	lmog:BN389_10440
ko:K21481	lmog:BN389_22460
ko:K21465	lmog:BN389_14640
ko:K21467	lmog:BN389_04850
ko:K21471	lmog:BN389_24670
ko:K21471	lmog:BN389_24680
ko:K21494	lmog:BN389_00840
ko:K18704	lmog:BN389_11100
ko:K21567	lmog:BN389_23580
ko:K21567	lmog:BN389_19870
ko:K21600	lmog:BN389_18790
ko:K21560	lmog:BN389_02140
ko:K21493	lmog:BN389_00830
ko:K00680	lmog:BN389_23160
ko:K21993	lmog:BN389_09430
ko:K22043	lmog:BN389_24560
ko:K00936	lmog:BN389_11920
ko:K21960	lmog:BN389_23180
ko:K03547	lmog:BN389_22550
ko:K03595	lmog:BN389_14880
ko:K01537	lmog:BN389_08690
ko:K22251	lmog:BN389_03670
ko:K22278	lmog:BN389_04420
ko:K17758	lmog:BN389_16450
ko:K02257	lmog:BN389_20850
ko:K05592	lmog:BN389_12680
ko:K13566	lmog:BN389_03060
