ko:K01813	llx:NCDO2118_1683
ko:K21567	llx:NCDO2118_1749
ko:K21977	llx:NCDO2118_0557
ko:K03741	llx:NCDO2118_1426
ko:K21993	llx:NCDO2118_1033
ko:K22044	llx:NCDO2118_1318
ko:K03595	llx:NCDO2118_0414
ko:K01537	llx:NCDO2118_1417
ko:K22212	llx:NCDO2118_0920
ko:K03077	llx:NCDO2118_1518
ko:K17758	llx:NCDO2118_0254
ko:K22441	llx:NCDO2118_1249
