ko:K22306	aact:ACT75_04875
ko:K14219	aact:ACT75_06770
ko:K14219	aact:ACT75_01465
ko:K14229	aact:ACT75_02570
ko:K02775	aact:ACT75_10795
ko:K01980	aact:ACT75_01440
ko:K01347	aact:ACT75_02845
ko:K21948	aact:ACT75_08435
ko:K22015	aact:ACT75_09995
ko:K22015	aact:ACT75_10000
ko:K22132	aact:ACT75_02700
ko:K08319	aact:ACT75_08440
ko:K22131	aact:ACT75_08425
ko:K22105	aact:ACT75_05995
ko:K22130	aact:ACT75_08430
ko:K03079	aact:ACT75_02415
ko:K03077	aact:ACT75_02410
ko:K22252	aact:ACT75_06325
ko:K18446	aact:ACT75_02010
