ko:K02548	ypg:YpAngola_A0111
ko:K00876	ypg:YpAngola_A3195
ko:K03593	ypg:YpAngola_A3196
ko:K07390	ypg:YpAngola_A2569
ko:K03604	ypg:YpAngola_A2572
ko:K00574	ypg:YpAngola_A2575
ko:K03327	ypg:YpAngola_A2579
ko:K00873	ypg:YpAngola_A2582
ko:K09013	ypg:YpAngola_A2592
ko:K01007	ypg:YpAngola_A2600
ko:K01626	ypg:YpAngola_A2602
ko:K03214	ypg:YpAngola_A3462
ko:K03704	ypg:YpAngola_A3545
ko:K02035	ypg:YpAngola_A3547
ko:K02033	ypg:YpAngola_A3548
ko:K02034	ypg:YpAngola_A3549
ko:K02031	ypg:YpAngola_A3550
ko:K02032	ypg:YpAngola_A3551
ko:K08717	ypg:YpAngola_A3561
ko:K07241	ypg:YpAngola_A3562
ko:K02952	ypg:YpAngola_A0603
ko:K09890	ypg:YpAngola_A0609
ko:K03282	ypg:YpAngola_A0611
ko:K00604	ypg:YpAngola_A0614
ko:K01462	ypg:YpAngola_A0615
ko:K04096	ypg:YpAngola_A0616
ko:K07479	ypg:YpAngola_A0620
ko:K07566	ypg:YpAngola_A0621
ko:K00014	ypg:YpAngola_A0622
ko:K00651	ypg:YpAngola_A0637
ko:K01638	ypg:YpAngola_A0639
ko:K01637	ypg:YpAngola_A0640
ko:K07112	ypg:YpAngola_A0641
ko:K03750	ypg:YpAngola_A3002
ko:K06871	ypg:YpAngola_A3003
ko:K02003	ypg:YpAngola_A3004
ko:K07085	ypg:YpAngola_A3793
ko:K01754	ypg:YpAngola_A3798
ko:K01750	ypg:YpAngola_A3799
ko:K03764	ypg:YpAngola_A3808
ko:K06949	ypg:YpAngola_A0709
ko:K01613	ypg:YpAngola_A0710
ko:K00246	ypg:YpAngola_A0716
ko:K04078	ypg:YpAngola_A0723
ko:K07113	ypg:YpAngola_A0724
ko:K01744	ypg:YpAngola_A0725
ko:K05796	ypg:YpAngola_A0730
ko:K02856	ypg:YpAngola_A0737
ko:K02854	ypg:YpAngola_A0738
ko:K02855	ypg:YpAngola_A0740
ko:K00848	ypg:YpAngola_A0743
ko:K01629	ypg:YpAngola_A0745
ko:K03534	ypg:YpAngola_A0748
ko:K01775	ypg:YpAngola_A0754
ko:K03584	ypg:YpAngola_A3613
ko:K02818	ypg:YpAngola_A1163
ko:K02819	ypg:YpAngola_A1163
ko:K07306	ypg:YpAngola_A0922
ko:K06179	ypg:YpAngola_A3506
ko:K07306	ypg:YpAngola_A2716
ko:K02511	ypg:YpAngola_A1641
ko:K00242	ypg:YpAngola_A1381
ko:K06941	ypg:YpAngola_A0421
ko:K01996	ypg:YpAngola_A3664
ko:K02193	ypg:YpAngola_A0395
ko:K03116	ypg:YpAngola_A3638
ko:K02887	ypg:YpAngola_A2622
ko:K03767	ypg:YpAngola_A3707
ko:K08312	ypg:YpAngola_A3734
ko:K05365	ypg:YpAngola_A1000
ko:K03579	ypg:YpAngola_A1001
ko:K02742	ypg:YpAngola_A3346
ko:K03559	ypg:YpAngola_A0267
ko:K02858	ypg:YpAngola_A0289
ko:K06140	ypg:YpAngola_A1165
ko:K06287	ypg:YpAngola_A1195
ko:K03571	ypg:YpAngola_A1196
ko:K09823	ypg:YpAngola_A1301
ko:K03179	ypg:YpAngola_A0679
ko:K03181	ypg:YpAngola_A0678
ko:K03615	ypg:YpAngola_A2252
ko:K07034	ypg:YpAngola_A0798
ko:K01810	ypg:YpAngola_A3918
ko:K00928	ypg:YpAngola_A3919
ko:K00548	ypg:YpAngola_A3923
ko:K07771	ypg:YpAngola_A3980
ko:K03747	ypg:YpAngola_A0619
ko:K06190	ypg:YpAngola_A2326
ko:K01419	ypg:YpAngola_A0113
ko:K03667	ypg:YpAngola_A0112
ko:K03564	ypg:YpAngola_A3130
ko:K01224	ypg:YpAngola_A3886
ko:K01755	ypg:YpAngola_A3896
ko:K00930	ypg:YpAngola_A3897
ko:K00145	ypg:YpAngola_A3898
ko:K01438	ypg:YpAngola_A3899
ko:K01595	ypg:YpAngola_A3900
ko:K01495	ypg:YpAngola_A3014
ko:K07148	ypg:YpAngola_A3015
ko:K03225	ypg:YpAngola_A3930
ko:K06178	ypg:YpAngola_A2309
ko:K03226	ypg:YpAngola_A3929
ko:K03592	ypg:YpAngola_A1169
ko:K03770	ypg:YpAngola_A3049
ko:K01338	ypg:YpAngola_A3052
ko:K07286	ypg:YpAngola_A3057
ko:K01141	ypg:YpAngola_A3083
ko:K09802	ypg:YpAngola_A3087
ko:K07664	ypg:YpAngola_A3098
ko:K00375	ypg:YpAngola_A3105
ko:K04046	ypg:YpAngola_A3110
ko:K00937	ypg:YpAngola_A3113
ko:K02038	ypg:YpAngola_A3115
ko:K02036	ypg:YpAngola_A3116
ko:K01933	ypg:YpAngola_A3120
ko:K09800	ypg:YpAngola_A3963
ko:K01507	ypg:YpAngola_A3965
ko:K02558	ypg:YpAngola_A3967
ko:K02682	ypg:YpAngola_A1041
ko:K01489	ypg:YpAngola_A3023
ko:K02919	ypg:YpAngola_A3032
ko:K05839	ypg:YpAngola_A3034
ko:K07443	ypg:YpAngola_A3036
ko:K09914	ypg:YpAngola_A3035
ko:K03320	ypg:YpAngola_A3038
ko:K04752	ypg:YpAngola_A3039
ko:K05800	ypg:YpAngola_A3042
ko:K01738	ypg:YpAngola_A3043
ko:K06920	ypg:YpAngola_A3046
ko:K06180	ypg:YpAngola_A3477
ko:K15555	ypg:YpAngola_A1237
ko:K06916	ypg:YpAngola_A1135
ko:K00324	ypg:YpAngola_A2296
ko:K08680	ypg:YpAngola_A1784
ko:K02523	ypg:YpAngola_A3973
ko:K07574	ypg:YpAngola_A3983
ko:K02427	ypg:YpAngola_A3984
ko:K03798	ypg:YpAngola_A3985
ko:K00796	ypg:YpAngola_A3986
ko:K03431	ypg:YpAngola_A3987
ko:K09748	ypg:YpAngola_A3991
ko:K00962	ypg:YpAngola_A3999
ko:K11085	ypg:YpAngola_A1959
ko:K02387	ypg:YpAngola_A0227
ko:K00537	ypg:YpAngola_A3126
ko:K02082	ypg:YpAngola_A3375
ko:K02079	ypg:YpAngola_A3370
ko:K01903	ypg:YpAngola_A1386
ko:K05873	ypg:YpAngola_A1350
ko:K02968	ypg:YpAngola_A0792
ko:K00363	ypg:YpAngola_A3716
ko:K00163	ypg:YpAngola_A1034
ko:K00956	ypg:YpAngola_A0968
ko:K07345	ypg:YpAngola_A2660
ko:K00575	ypg:YpAngola_A3518
ko:K07675	ypg:YpAngola_A4131
ko:K07640	ypg:YpAngola_A0080
ko:K10914	ypg:YpAngola_A3702
ko:K07678	ypg:YpAngola_A0986
ko:K07677	ypg:YpAngola_A1308
ko:K07638	ypg:YpAngola_A3740
ko:K02386	ypg:YpAngola_A0228
ko:K01902	ypg:YpAngola_A1387
ko:K02170	ypg:YpAngola_A3748
ko:K02081	ypg:YpAngola_A3377
ko:K04772	ypg:YpAngola_A1137
ko:K02821	ypg:YpAngola_A0342
ko:K03182	ypg:YpAngola_A1909
ko:K03786	ypg:YpAngola_A1203
ko:K02392	ypg:YpAngola_A0222
ko:K02340	ypg:YpAngola_A1844
ko:K01892	ypg:YpAngola_A0417
ko:K02341	ypg:YpAngola_A3492
ko:K04564	ypg:YpAngola_A3773
ko:K02391	ypg:YpAngola_A0223
ko:K02115	ypg:YpAngola_A4203
ko:K03778	ypg:YpAngola_A2212
ko:K03668	ypg:YpAngola_A2211
ko:K03721	ypg:YpAngola_A2529
ko:K03970	ypg:YpAngola_A2536
ko:K07275	ypg:YpAngola_A2322
ko:K06131	ypg:YpAngola_A2156
ko:K04773	ypg:YpAngola_A2346
ko:K07180	ypg:YpAngola_A2354
ko:K03603	ypg:YpAngola_A2363
ko:K03611	ypg:YpAngola_A2365
ko:K03610	ypg:YpAngola_A2399
ko:K03684	ypg:YpAngola_A2402
ko:K06201	ypg:YpAngola_A2431
ko:K05591	ypg:YpAngola_A1633
ko:K08289	ypg:YpAngola_A1634
ko:K02795	ypg:YpAngola_A1652
ko:K02793	ypg:YpAngola_A1651
ko:K02794	ypg:YpAngola_A1651
ko:K02420	ypg:YpAngola_A0240
ko:K00793	ypg:YpAngola_A2577
ko:K01961	ypg:YpAngola_A1205
ko:K02411	ypg:YpAngola_A0232
ko:K01589	ypg:YpAngola_A1274
ko:K01807	ypg:YpAngola_A3822
ko:K03412	ypg:YpAngola_A3519
ko:K02343	ypg:YpAngola_A2889
ko:K03092	ypg:YpAngola_A1153
ko:K00609	ypg:YpAngola_A1158
ko:K03806	ypg:YpAngola_A1039
ko:K01447	ypg:YpAngola_A3523
ko:K00281	ypg:YpAngola_A3832
ko:K03223	ypg:YpAngola_B0063
ko:K03106	ypg:YpAngola_A0884
ko:K02346	ypg:YpAngola_A3308
ko:K02337	ypg:YpAngola_A3420
ko:K02338	ypg:YpAngola_A4176
ko:K02339	ypg:YpAngola_A4046
ko:K10542	ypg:YpAngola_A3018
ko:K02056	ypg:YpAngola_A1520
ko:K10440	ypg:YpAngola_A1759
ko:K10441	ypg:YpAngola_A1760
ko:K10439	ypg:YpAngola_A1761
ko:K02057	ypg:YpAngola_A3078
ko:K10541	ypg:YpAngola_A3019
ko:K04565	ypg:YpAngola_A0978
ko:K00647	ypg:YpAngola_A0371
ko:K03723	ypg:YpAngola_A2864
ko:K10441	ypg:YpAngola_A4096
ko:K10440	ypg:YpAngola_A4097
ko:K10439	ypg:YpAngola_A4098
ko:K04477	ypg:YpAngola_A2446
ko:K10544	ypg:YpAngola_A4156
ko:K03553	ypg:YpAngola_A0901
ko:K04067	ypg:YpAngola_A2885
ko:K06177	ypg:YpAngola_A0767
ko:K05589	ypg:YpAngola_A0965
ko:K00230	ypg:YpAngola_A1916
ko:K01588	ypg:YpAngola_A1275
ko:K08300	ypg:YpAngola_A3507
ko:K02342	ypg:YpAngola_A2682
ko:K02313	ypg:YpAngola_A4177
ko:K03646	ypg:YpAngola_A1396
ko:K03640	ypg:YpAngola_A1398
ko:K03616	ypg:YpAngola_A2253
ko:K00239	ypg:YpAngola_A1382
ko:K00346	ypg:YpAngola_A3317
ko:K00347	ypg:YpAngola_A3316
ko:K00348	ypg:YpAngola_A3315
ko:K00349	ypg:YpAngola_A3314
ko:K07274	ypg:YpAngola_A2353
ko:K02335	ypg:YpAngola_A0023
ko:K00658	ypg:YpAngola_A1385
ko:K02509	ypg:YpAngola_A1643
ko:K01439	ypg:YpAngola_A3141
ko:K03768	ypg:YpAngola_A1277
ko:K00090	ypg:YpAngola_A3789
ko:K00058	ypg:YpAngola_A3823
ko:K04774	ypg:YpAngola_A2306
ko:K08992	ypg:YpAngola_A2233
ko:K01515	ypg:YpAngola_A0283
ko:K07688	ypg:YpAngola_A2113
ko:K07686	ypg:YpAngola_A4132
ko:K04042	ypg:YpAngola_A4200
ko:K01091	ypg:YpAngola_A3722
ko:K05527	ypg:YpAngola_A3056
ko:K00059	ypg:YpAngola_A3499
ko:K00885	ypg:YpAngola_A2773
ko:K11202	ypg:YpAngola_A0867
ko:K02464	ypg:YpAngola_A3259
ko:K03060	ypg:YpAngola_A0044
ko:K11216	ypg:YpAngola_A0855
ko:K09001	ypg:YpAngola_A2557
ko:K06183	ypg:YpAngola_A1490
ko:K02484	ypg:YpAngola_A2752
ko:K11203	ypg:YpAngola_A0866
ko:K03760	ypg:YpAngola_A2563
ko:K03228	ypg:YpAngola_A3927
ko:K04759	ypg:YpAngola_A3746
ko:K04060	ypg:YpAngola_B0036
ko:K04057	ypg:YpAngola_B0043
ko:K04051	ypg:YpAngola_B0058
ko:K04050	ypg:YpAngola_B0056
ko:K03221	ypg:YpAngola_B0057
ko:K04052	ypg:YpAngola_B0059
ko:K04054	ypg:YpAngola_B0062
ko:K08303	ypg:YpAngola_A4010
ko:K03824	ypg:YpAngola_A4012
ko:K00337	ypg:YpAngola_A1810
ko:K00567	ypg:YpAngola_A2292
ko:K06958	ypg:YpAngola_A1156
ko:K03316	ypg:YpAngola_A1234
ko:K00832	ypg:YpAngola_A0753
ko:K01840	ypg:YpAngola_A1256
ko:K01840	ypg:YpAngola_A1738
ko:K01874	ypg:YpAngola_A3197
ko:K01895	ypg:YpAngola_A3947
ko:K06039	ypg:YpAngola_A2882
ko:K06149	ypg:YpAngola_A4090
ko:K01834	ypg:YpAngola_A1407
ko:K00350	ypg:YpAngola_A2125
ko:K05794	ypg:YpAngola_A0665
ko:K01625	ypg:YpAngola_A2411
ko:K02282	ypg:YpAngola_A0259
ko:K07660	ypg:YpAngola_A2855
ko:K05802	ypg:YpAngola_A2883
ko:K03561	ypg:YpAngola_A0268
ko:K02017	ypg:YpAngola_A1421
ko:K02529	ypg:YpAngola_A1069
ko:K02529	ypg:YpAngola_A4155
ko:K02529	ypg:YpAngola_A3249
ko:K02529	ypg:YpAngola_A2273
ko:K02529	ypg:YpAngola_A1758
ko:K07052	ypg:YpAngola_A1414
ko:K07657	ypg:YpAngola_A3286
ko:K01911	ypg:YpAngola_A1781
ko:K07687	ypg:YpAngola_A1307
ko:K00564	ypg:YpAngola_A0840
ko:K01525	ypg:YpAngola_A0774
ko:K07659	ypg:YpAngola_A3741
ko:K12149	ypg:YpAngola_A0403
ko:K01079	ypg:YpAngola_A0826
ko:K02024	ypg:YpAngola_A3356
ko:K02024	ypg:YpAngola_A3911
ko:K02483	ypg:YpAngola_A2753
ko:K12289	ypg:YpAngola_A3731
ko:K12290	ypg:YpAngola_A3730
ko:K04049	ypg:YpAngola_B0052
ko:K12342	ypg:YpAngola_A1950
ko:K12342	ypg:YpAngola_A1951
ko:K00703	ypg:YpAngola_A4121
ko:K12340	ypg:YpAngola_A0284
ko:K11991	ypg:YpAngola_A3621
ko:K03219	ypg:YpAngola_B0054
ko:K03220	ypg:YpAngola_B0055
ko:K00380	ypg:YpAngola_A0975
ko:K02746	ypg:YpAngola_A3373
ko:K03274	ypg:YpAngola_A0064
ko:K02521	ypg:YpAngola_A0492
ko:K01784	ypg:YpAngola_A1413
ko:K11750	ypg:YpAngola_A3303
ko:K08964	ypg:YpAngola_A3331
ko:K01139	ypg:YpAngola_A0043
ko:K07304	ypg:YpAngola_A3961
ko:K11911	ypg:YpAngola_A2997
ko:K01096	ypg:YpAngola_A2232
ko:K03892	ypg:YpAngola_A0944
ko:K01270	ypg:YpAngola_A3307
ko:K04783	ypg:YpAngola_A2094
ko:K04785	ypg:YpAngola_A2096
ko:K00523	ypg:YpAngola_A2896
ko:K11928	ypg:YpAngola_A2039
ko:K00971	ypg:YpAngola_A1254
ko:K01485	ypg:YpAngola_A3714
ko:K12152	ypg:YpAngola_A2850
ko:K01835	ypg:YpAngola_A3574
ko:K11742	ypg:YpAngola_A2408
ko:K11900	ypg:YpAngola_A2872
ko:K08305	ypg:YpAngola_A2396
ko:K01259	ypg:YpAngola_A1626
ko:K12262	ypg:YpAngola_A0918
ko:K00813	ypg:YpAngola_A1976
ko:K03229	ypg:YpAngola_B0048
ko:K04053	ypg:YpAngola_B0060
ko:K03591	ypg:YpAngola_A0114
ko:K04047	ypg:YpAngola_A1771
ko:K03497	ypg:YpAngola_0139
ko:K02784	ypg:YpAngola_A2748
ko:K00970	ypg:YpAngola_A1008
ko:K00821	ypg:YpAngola_A3704
ko:K01890	ypg:YpAngola_A2620
ko:K11202	ypg:YpAngola_A0869
ko:K11016	ypg:YpAngola_A3922
ko:K11017	ypg:YpAngola_A2439
ko:K11009	ypg:YpAngola_0119
ko:K03772	ypg:YpAngola_A3683
ko:K02852	ypg:YpAngola_A0523
ko:K11021	ypg:YpAngola_A1189
ko:K03189	ypg:YpAngola_A3559
ko:K11021	ypg:YpAngola_A2566
ko:K04077	ypg:YpAngola_A0722
ko:K09973	ypg:YpAngola_A1264
ko:K08483	ypg:YpAngola_A0865
ko:K11189	ypg:YpAngola_A0865
ko:K11201	ypg:YpAngola_A0865
ko:K01679	ypg:YpAngola_A2270
ko:K01807	ypg:YpAngola_A1518
ko:K03188	ypg:YpAngola_A3558
ko:K08301	ypg:YpAngola_A1194
ko:K02372	ypg:YpAngola_A3424
ko:K02536	ypg:YpAngola_A3425
ko:K02566	ypg:YpAngola_A0335
ko:K02393	ypg:YpAngola_A0221
ko:K02395	ypg:YpAngola_A2006
ko:K02388	ypg:YpAngola_A0226
ko:K00127	ypg:YpAngola_A3768
ko:K02886	ypg:YpAngola_A0587
ko:K02965	ypg:YpAngola_A0588
ko:K03087	ypg:YpAngola_A0958
ko:K01676	ypg:YpAngola_A0933
ko:K02439	ypg:YpAngola_A3755
ko:K11102	ypg:YpAngola_A3946
ko:K02507	ypg:YpAngola_A3728
ko:K03753	ypg:YpAngola_A0018
ko:K07090	ypg:YpAngola_A0375
ko:K03784	ypg:YpAngola_A0828
ko:K11175	ypg:YpAngola_A3119
ko:K07806	ypg:YpAngola_A2612
ko:K07862	ypg:YpAngola_A1099
ko:K07264	ypg:YpAngola_A2608
ko:K00123	ypg:YpAngola_A3770
ko:K01448	ypg:YpAngola_A0702
ko:K07347	ypg:YpAngola_A1531
ko:K11103	ypg:YpAngola_A4067
ko:K00340	ypg:YpAngola_A1807
ko:K04485	ypg:YpAngola_A0825
ko:K02744	ypg:YpAngola_A3371
ko:K00339	ypg:YpAngola_A1808
ko:K00338	ypg:YpAngola_A1809
ko:K00336	ypg:YpAngola_A1811
ko:K00335	ypg:YpAngola_A1812
ko:K11179	ypg:YpAngola_A3211
ko:K07235	ypg:YpAngola_A3681
ko:K04085	ypg:YpAngola_A0570
ko:K02745	ypg:YpAngola_A3374
ko:K10009	ypg:YpAngola_A2032
ko:K10010	ypg:YpAngola_A2033
ko:K00341	ypg:YpAngola_A1806
ko:K02747	ypg:YpAngola_A3372
ko:K00343	ypg:YpAngola_A1804
ko:K00342	ypg:YpAngola_A1805
ko:K00331	ypg:YpAngola_A1815
ko:K00330	ypg:YpAngola_A1816
ko:K04056	ypg:YpAngola_B0042
ko:K03227	ypg:YpAngola_B0046
ko:K03226	ypg:YpAngola_B0045
ko:K02904	ypg:YpAngola_A0592
ko:K03570	ypg:YpAngola_A1197
ko:K02760	ypg:YpAngola_A3568
ko:K03787	ypg:YpAngola_A0961
ko:K11258	ypg:YpAngola_A0483
ko:K02802	ypg:YpAngola_A0339
ko:K02803	ypg:YpAngola_A0339
ko:K02804	ypg:YpAngola_A0339
ko:K03281	ypg:YpAngola_A0993
ko:K04758	ypg:YpAngola_A3745
ko:K02438	ypg:YpAngola_A4119
ko:K03228	ypg:YpAngola_B0047
ko:K04058	ypg:YpAngola_B0040
ko:K01652	ypg:YpAngola_A0482
ko:K01681	ypg:YpAngola_A2230
ko:K11068	ypg:YpAngola_A3838
ko:K04753	ypg:YpAngola_A0274
ko:K02453	ypg:YpAngola_A3269
ko:K09125	ypg:YpAngola_A0569
ko:K03222	ypg:YpAngola_A3937
ko:K03719	ypg:YpAngola_A2838
ko:K03719	ypg:YpAngola_A1612
ko:K03230	ypg:YpAngola_B0035
ko:K11066	ypg:YpAngola_A2652
ko:K07305	ypg:YpAngola_A2350
ko:K02843	ypg:YpAngola_A0063
ko:K03501	ypg:YpAngola_A4210
ko:K06175	ypg:YpAngola_A3441
ko:K03229	ypg:YpAngola_A3926
ko:K02805	ypg:YpAngola_A0519
ko:K02679	ypg:YpAngola_A3237
ko:K02680	ypg:YpAngola_A3236
ko:K02681	ypg:YpAngola_A3234
ko:K03227	ypg:YpAngola_A3928
ko:K02459	ypg:YpAngola_A3264
ko:K02455	ypg:YpAngola_A3267
ko:K03711	ypg:YpAngola_A0322
ko:K11892	ypg:YpAngola_A1938
ko:K05396	ypg:YpAngola_A2030
ko:K00758	ypg:YpAngola_A0830
ko:K00031	ypg:YpAngola_A2848
ko:K11530	ypg:YpAngola_A0863
ko:K00040	ypg:YpAngola_A1507
ko:K10026	ypg:YpAngola_A0977
ko:K11900	ypg:YpAngola_A0175
ko:K07689	ypg:YpAngola_A2052
ko:K01897	ypg:YpAngola_A2403
ko:K02217	ypg:YpAngola_A1624
ko:K07122	ypg:YpAngola_A1142
ko:K09898	ypg:YpAngola_A3698
ko:K07278	ypg:YpAngola_A3962
ko:K03426	ypg:YpAngola_A0457
ko:K11896	ypg:YpAngola_A2993
ko:K11896	ypg:YpAngola_A2697
ko:K11747	ypg:YpAngola_A3687
ko:K01420	ypg:YpAngola_A2293
ko:K01894	ypg:YpAngola_A1006
ko:K06889	ypg:YpAngola_A0684
ko:K08682	ypg:YpAngola_A3386
ko:K07724	ypg:YpAngola_A1882
ko:K10716	ypg:YpAngola_A3564
ko:K06938	ypg:YpAngola_A2562
ko:K08317	ypg:YpAngola_A3080
ko:K00262	ypg:YpAngola_A4089
ko:K11749	ypg:YpAngola_A3428
ko:K07126	ypg:YpAngola_A2494
ko:K11755	ypg:YpAngola_A3176
ko:K11903	ypg:YpAngola_A3906
ko:K12974	ypg:YpAngola_A1232
ko:K12975	ypg:YpAngola_A4133
ko:K08325	ypg:YpAngola_A0271
ko:K02458	ypg:YpAngola_A3265
ko:K09946	ypg:YpAngola_A3097
ko:K12962	ypg:YpAngola_A2607
ko:K12963	ypg:YpAngola_A2606
ko:K02598	ypg:YpAngola_A3718
ko:K00228	ypg:YpAngola_A2784
ko:K00215	ypg:YpAngola_A0785
ko:K00906	ypg:YpAngola_A3925
ko:K00219	ypg:YpAngola_A1093
ko:K00059	ypg:YpAngola_A2968
ko:K00046	ypg:YpAngola_A1800
ko:K07665	ypg:YpAngola_A2480
ko:K07289	ypg:YpAngola_A3193
ko:K01207	ypg:YpAngola_A2818
ko:K03478	ypg:YpAngola_A3572
ko:K12370	ypg:YpAngola_A4058
ko:K12500	ypg:YpAngola_A3047
ko:K00657	ypg:YpAngola_A3118
ko:K08599	ypg:YpAngola_B0016
ko:K13301	ypg:YpAngola_A2910
ko:K01424	ypg:YpAngola_A2347
ko:K07251	ypg:YpAngola_A2817
ko:K00799	ypg:YpAngola_A2552
ko:K11209	ypg:YpAngola_A1225
ko:K01950	ypg:YpAngola_A3630
ko:K11074	ypg:YpAngola_A1566
ko:K04775	ypg:YpAngola_A2221
ko:K06079	ypg:YpAngola_A3411
ko:K03759	ypg:YpAngola_A1326
ko:K01093	ypg:YpAngola_A2841
ko:K11898	ypg:YpAngola_A1931
ko:K07307	ypg:YpAngola_A2717
ko:K11743	ypg:YpAngola_A2409
ko:K11738	ypg:YpAngola_A2127
ko:K11076	ypg:YpAngola_A1564
ko:K11753	ypg:YpAngola_A0791
ko:K12297	ypg:YpAngola_A1987
ko:K12288	ypg:YpAngola_A3732
ko:K00748	ypg:YpAngola_A3422
ko:K11937	ypg:YpAngola_A2144
ko:K02002	ypg:YpAngola_A3534
ko:K01809	ypg:YpAngola_A2269
ko:K01730	ypg:YpAngola_A2654
ko:K12453	ypg:YpAngola_A2900
ko:K05540	ypg:YpAngola_A1211
ko:K05875	ypg:YpAngola_A3774
ko:K07473	ypg:YpAngola_A1236
ko:K00823	ypg:YpAngola_A3106
ko:K01497	ypg:YpAngola_A2231
ko:K01491	ypg:YpAngola_A1281
ko:K12372	ypg:YpAngola_A4060
ko:K16345	ypg:YpAngola_A0039
ko:K01150	ypg:YpAngola_A3345
ko:K13053	ypg:YpAngola_A3200
ko:K08967	ypg:YpAngola_A3329
ko:K01069	ypg:YpAngola_A2685
ko:K00647	ypg:YpAngola_A2967
ko:K11933	ypg:YpAngola_A1590
ko:K05595	ypg:YpAngola_A2628
ko:K05368	ypg:YpAngola_A1910
ko:K07459	ypg:YpAngola_A1594
ko:K03490	ypg:YpAngola_A3571
ko:K12525	ypg:YpAngola_A3806
ko:K06889	ypg:YpAngola_A2478
ko:K02478	ypg:YpAngola_A4117
ko:K02485	ypg:YpAngola_A2331
ko:K05603	ypg:YpAngola_A2510
ko:K12961	ypg:YpAngola_A1122
ko:K13292	ypg:YpAngola_A3239
ko:K12984	ypg:YpAngola_A0060
ko:K10804	ypg:YpAngola_A1271
ko:K05877	ypg:YpAngola_A3517
ko:K13014	ypg:YpAngola_A2609
ko:K01011	ypg:YpAngola_A1333
ko:K11897	ypg:YpAngola_A1930
ko:K04771	ypg:YpAngola_A0987
ko:K11744	ypg:YpAngola_A1709
ko:K11938	ypg:YpAngola_A3044
ko:K01048	ypg:YpAngola_A0558
ko:K00060	ypg:YpAngola_A0066
ko:K00598	ypg:YpAngola_A1770
ko:K01739	ypg:YpAngola_A3807
ko:K00568	ypg:YpAngola_A1311
ko:K11936	ypg:YpAngola_A2143
ko:K11910	ypg:YpAngola_A2990
ko:K11893	ypg:YpAngola_A0174
ko:K11907	ypg:YpAngola_A2982
ko:K11907	ypg:YpAngola_A2696
ko:K11891	ypg:YpAngola_A1937
ko:K11935	ypg:YpAngola_A2141
ko:K11925	ypg:YpAngola_A2942
ko:K11075	ypg:YpAngola_A1565
ko:K11752	ypg:YpAngola_A3163
ko:K01766	ypg:YpAngola_A3222
ko:K11931	ypg:YpAngola_A2142
ko:K11905	ypg:YpAngola_A3903
ko:K11906	ypg:YpAngola_A2874
ko:K11926	ypg:YpAngola_A3302
ko:K11901	ypg:YpAngola_A2871
ko:K00965	ypg:YpAngola_A1412
ko:K11901	ypg:YpAngola_A3905
ko:K11891	ypg:YpAngola_A2989
ko:K11754	ypg:YpAngola_A0358
ko:K11903	ypg:YpAngola_A2873
ko:K11895	ypg:YpAngola_A2698
ko:K00632	ypg:YpAngola_A0383
ko:K11907	ypg:YpAngola_A0170
ko:K11903	ypg:YpAngola_A0171
ko:K04487	ypg:YpAngola_A0435
ko:K11717	ypg:YpAngola_A2590
ko:K00632	ypg:YpAngola_A1911
ko:K11934	ypg:YpAngola_A1767
ko:K11893	ypg:YpAngola_A2875
ko:K11895	ypg:YpAngola_A2994
ko:K03524	ypg:YpAngola_A3396
ko:K00029	ypg:YpAngola_A2786
ko:K01710	ypg:YpAngola_A0516
ko:K11073	ypg:YpAngola_A1563
ko:K02001	ypg:YpAngola_A3535
ko:K02000	ypg:YpAngola_A3536
ko:K01759	ypg:YpAngola_A2567
ko:K01119	ypg:YpAngola_A3956
ko:K04786	ypg:YpAngola_A2097
ko:K04784	ypg:YpAngola_A2098
ko:K01187	ypg:YpAngola_A3281
ko:K03386	ypg:YpAngola_A3387
ko:K06957	ypg:YpAngola_A3138
ko:K03472	ypg:YpAngola_A3815
ko:K04487	ypg:YpAngola_A2368
ko:K11900	ypg:YpAngola_A3904
ko:K08234	ypg:YpAngola_A3418
ko:K01190	ypg:YpAngola_A2834
ko:K00853	ypg:YpAngola_A2260
ko:K02302	ypg:YpAngola_A3719
ko:K03425	ypg:YpAngola_A1856
ko:K10193	ypg:YpAngola_A2645
ko:K01358	ypg:YpAngola_A3054
ko:K11748	ypg:YpAngola_A3688
ko:K02532	ypg:YpAngola_A1680
ko:K02099	ypg:YpAngola_A2264
ko:K00024	ypg:YpAngola_A3971
ko:K11906	ypg:YpAngola_A2995
ko:K08313	ypg:YpAngola_A2241
ko:K11905	ypg:YpAngola_A2996
ko:K09810	ypg:YpAngola_A2862
ko:K10192	ypg:YpAngola_A2648
ko:K10036	ypg:YpAngola_A1773
ko:K10037	ypg:YpAngola_A1774
ko:K10038	ypg:YpAngola_A1775
ko:K10195	ypg:YpAngola_A2647
ko:K01089	ypg:YpAngola_A3172
ko:K11940	ypg:YpAngola_A3208
ko:K03286	ypg:YpAngola_A3199
ko:K07307	ypg:YpAngola_A0921
ko:K01760	ypg:YpAngola_A0645
ko:K02426	ypg:YpAngola_A3223
ko:K03119	ypg:YpAngola_A3692
ko:K04751	ypg:YpAngola_A3631
ko:K01243	ypg:YpAngola_A0989
ko:K01185	ypg:YpAngola_A2180
ko:K11720	ypg:YpAngola_A4049
ko:K01092	ypg:YpAngola_A0438
ko:K02237	ypg:YpAngola_A3048
ko:K08368	ypg:YpAngola_A1720
