ko:K01006	pav:TIA2EST22_10015
ko:K22010	pav:TIA2EST22_03905
ko:K22044	pav:TIA2EST22_11265
ko:K00015	pav:TIA2EST22_11030
ko:K03595	pav:TIA2EST22_04660
ko:K03077	pav:TIA2EST22_04395
ko:K03077	pav:TIA2EST22_11515
ko:K01046	pav:TIA2EST22_10245
ko:K14441	pav:TIA2EST22_05000
ko:K17758	pav:TIA2EST22_08795
ko:K17759	pav:TIA2EST22_08795
ko:K02257	pav:TIA2EST22_07830
ko:K22306	pav:TIA2EST22_04215
ko:K00728	pav:TIA2EST22_02615
ko:K22468	pav:TIA2EST22_05900
ko:K07566	pav:TIA2EST22_06220
