ko:K19744	paev:N297_3988
ko:K00059	paev:N297_4534
ko:K07443	paev:N297_4537
ko:K08218	paev:N297_4538
ko:K03442	paev:N297_4539
ko:K09767	paev:N297_4540
ko:K00077	paev:N297_4542
ko:K00798	paev:N297_4544
ko:K03574	paev:N297_4545
ko:K00620	paev:N297_4547
ko:K03070	paev:N297_4548
ko:K02535	paev:N297_4551
ko:K03531	paev:N297_4552
ko:K03590	paev:N297_4553
ko:K03589	paev:N297_4554
ko:K01921	paev:N297_4555
ko:K01924	paev:N297_4556
ko:K02563	paev:N297_4557
ko:K03588	paev:N297_4558
ko:K01925	paev:N297_4559
ko:K01000	paev:N297_4560
ko:K01929	paev:N297_4561
ko:K01928	paev:N297_4562
ko:K03587	paev:N297_4563
ko:K03586	paev:N297_4564
ko:K03438	paev:N297_4565
ko:K03925	paev:N297_4566
ko:K07056	paev:N297_4567
ko:K07121	paev:N297_4568
ko:K07460	paev:N297_4569
ko:K03271	paev:N297_4570
ko:K03600	paev:N297_4572
ko:K03599	paev:N297_4573
ko:K00413	paev:N297_4574
ko:K00412	paev:N297_4575
ko:K00411	paev:N297_4576
ko:K02996	paev:N297_4577
ko:K02871	paev:N297_4578
ko:K06916	paev:N297_4583
ko:K01867	paev:N297_4584
ko:K07018	paev:N297_4585
ko:K09908	paev:N297_4586
ko:K00955	paev:N297_4587
ko:K00957	paev:N297_4588
ko:K08305	paev:N297_4590
ko:K04691	paev:N297_4591
ko:K00817	paev:N297_4592
ko:K00013	paev:N297_4593
ko:K00765	paev:N297_4594
ko:K00790	paev:N297_4595
ko:K07122	paev:N297_4597
ko:K07323	paev:N297_4598
ko:K02067	paev:N297_4599
ko:K02066	paev:N297_4600
ko:K02065	paev:N297_4601
ko:K06041	paev:N297_4603
ko:K03270	paev:N297_4604
ko:K11719	paev:N297_4605
ko:K09774	paev:N297_4606
ko:K06861	paev:N297_4607
ko:K03092	paev:N297_4608
ko:K05808	paev:N297_4609
ko:K02806	paev:N297_4610
ko:K06958	paev:N297_4611
ko:K11189	paev:N297_4612
ko:K07238	paev:N297_4613
ko:K04564	paev:N297_4614
ko:K01679	paev:N297_4616
ko:K03592	paev:N297_4618
ko:K09889	paev:N297_4619
ko:K03568	paev:N297_4620
ko:K08301	paev:N297_4623
ko:K06287	paev:N297_4624
ko:K03571	paev:N297_4625
ko:K03570	paev:N297_4626
ko:K03569	paev:N297_4627
ko:K02435	paev:N297_4628
ko:K02433	paev:N297_4629
ko:K02434	paev:N297_4630
ko:K03642	paev:N297_4631
ko:K01607	paev:N297_4632
ko:K06894	paev:N297_4635
ko:K09934	paev:N297_4636
ko:K15012	paev:N297_4639
ko:K15011	paev:N297_4640
ko:K12368	paev:N297_4642
ko:K12368	paev:N297_4643
ko:K12368	paev:N297_4646
ko:K12368	paev:N297_4648
ko:K12369	paev:N297_4649
ko:K12370	paev:N297_4650
ko:K12372	paev:N297_4652
ko:K03719	paev:N297_4654
ko:K07160	paev:N297_4657
ko:K00380	paev:N297_4659
ko:K16090	paev:N297_4660
ko:K07126	paev:N297_4662
ko:K07032	paev:N297_4664
ko:K01581	paev:N297_4665
ko:K03406	paev:N297_4666
ko:K03807	paev:N297_4667
ko:K03806	paev:N297_4668
ko:K00767	paev:N297_4670
ko:K02652	paev:N297_4672
ko:K02653	paev:N297_4673
ko:K02654	paev:N297_4674
ko:K00859	paev:N297_4675
ko:K09862	paev:N297_4676
ko:K03885	paev:N297_4684
ko:K06916	paev:N297_4685
ko:K03695	paev:N297_4691
ko:K05810	paev:N297_4692
ko:K06180	paev:N297_4693
ko:K05807	paev:N297_4694
ko:K06950	paev:N297_4695
ko:K02668	paev:N297_4696
ko:K02667	paev:N297_4697
ko:K03153	paev:N297_4698
ko:K08084	paev:N297_4699
ko:K02671	paev:N297_4701
ko:K02672	paev:N297_4702
ko:K02673	paev:N297_4703
ko:K02674	paev:N297_4704
ko:K12371	paev:N297_4651
ko:K06949	paev:N297_5124
ko:K03457	paev:N297_5272
ko:K14161	paev:N297_689
ko:K03088	paev:N297_694
ko:K02459	paev:N297_696
ko:K02457	paev:N297_697
ko:K02452	paev:N297_698
ko:K02458	paev:N297_699
ko:K02456	paev:N297_700
ko:K02460	paev:N297_701
ko:K02462	paev:N297_704
ko:K02453	paev:N297_705
ko:K02454	paev:N297_706
ko:K02455	paev:N297_707
ko:K03561	paev:N297_713
ko:K03559	paev:N297_714
ko:K01426	paev:N297_725
ko:K11530	paev:N297_730
ko:K01759	paev:N297_731
ko:K03824	paev:N297_732
ko:K09982	paev:N297_733
ko:K06183	paev:N297_756
ko:K07118	paev:N297_766
ko:K00140	paev:N297_772
ko:K18346	paev:N297_774
ko:K03648	paev:N297_775
ko:K07120	paev:N297_776
ko:K07793	paev:N297_777
ko:K07795	paev:N297_779
ko:K07774	paev:N297_781
ko:K07649	paev:N297_782
ko:K06980	paev:N297_784
ko:K09159	paev:N297_785
ko:K00278	paev:N297_786
ko:K03088	paev:N297_788
ko:K03597	paev:N297_789
ko:K03598	paev:N297_790
ko:K03803	paev:N297_791
ko:K03596	paev:N297_793
ko:K03100	paev:N297_794
ko:K03685	paev:N297_796
ko:K03584	paev:N297_798
ko:K03474	paev:N297_799
ko:K15257	paev:N297_800
ko:K15256	paev:N297_801
ko:K02030	paev:N297_803
ko:K14475	paev:N297_804
ko:K01338	paev:N297_805
ko:K02014	paev:N297_807
ko:K13821	paev:N297_808
ko:K11928	paev:N297_809
ko:K01118	paev:N297_811
ko:K07090	paev:N297_817
ko:K01720	paev:N297_818
ko:K01659	paev:N297_822
ko:K03417	paev:N297_823
ko:K03322	paev:N297_836
ko:K01560	paev:N297_837
ko:K06991	paev:N297_844
ko:K07044	paev:N297_857
ko:K13788	paev:N297_862
ko:K00925	paev:N297_863
ko:K03775	paev:N297_864
ko:K00432	paev:N297_865
ko:K16137	paev:N297_866
ko:K01114	paev:N297_871
ko:K06203	paev:N297_873
ko:K03386	paev:N297_875
ko:K01754	paev:N297_878
ko:K01679	paev:N297_881
ko:K09924	paev:N297_883
ko:K05527	paev:N297_884
ko:K07146	paev:N297_885
ko:K07396	paev:N297_886
ko:K00457	paev:N297_893
ko:K11734	paev:N297_894
ko:K15034	paev:N297_896
ko:K07262	paev:N297_897
ko:K00832	paev:N297_898
ko:K01724	paev:N297_899
ko:K00500	paev:N297_900
ko:K03721	paev:N297_901
ko:K18289	paev:N297_910
ko:K18292	paev:N297_911
ko:K11688	paev:N297_912
ko:K02393	paev:N297_1120
ko:K02394	paev:N297_1121
ko:K02395	paev:N297_1122
ko:K02396	paev:N297_1123
ko:K02397	paev:N297_1124
ko:K02406	paev:N297_1129
ko:K06603	paev:N297_1130
ko:K02407	paev:N297_1131
ko:K02422	paev:N297_1132
ko:K01462	paev:N297_1161
ko:K01129	paev:N297_1164
ko:K12410	paev:N297_1165
ko:K12990	paev:N297_1169
ko:K12536	paev:N297_1285
ko:K12537	paev:N297_1286
ko:K12538	paev:N297_1287
ko:K03406	paev:N297_1290
ko:K02028	paev:N297_1295
ko:K02029	paev:N297_1296
ko:K02029	paev:N297_1297
ko:K02030	paev:N297_1299
ko:K12658	paev:N297_1308
ko:K16092	paev:N297_1311
ko:K02224	paev:N297_1313
ko:K04719	paev:N297_1314
ko:K02227	paev:N297_1315
ko:K02225	paev:N297_1316
ko:K02232	paev:N297_1317
ko:K02231	paev:N297_1318
ko:K03548	paev:N297_1040
ko:K03564	paev:N297_1041
ko:K03567	paev:N297_1042
ko:K01714	paev:N297_1043
ko:K07287	paev:N297_1044
ko:K01923	paev:N297_1046
ko:K07068	paev:N297_1050
ko:K08196	paev:N297_1054
ko:K00459	paev:N297_1060
ko:K00128	paev:N297_1063
ko:K04765	paev:N297_967
ko:K09912	paev:N297_969
ko:K11175	paev:N297_977
ko:K01933	paev:N297_978
ko:K09938	paev:N297_979
ko:K10763	paev:N297_980
ko:K03809	paev:N297_982
ko:K00537	paev:N297_983
ko:K07058	paev:N297_984
ko:K01512	paev:N297_988
ko:K01881	paev:N297_990
ko:K18093	paev:N297_992
ko:K03745	paev:N297_994
ko:K03704	paev:N297_995
ko:K04047	paev:N297_996
ko:K01876	paev:N297_997
ko:K01159	paev:N297_999
ko:K03550	paev:N297_1000
ko:K03551	paev:N297_1001
ko:K01075	paev:N297_1002
ko:K03562	paev:N297_1003
ko:K03560	paev:N297_1004
ko:K03641	paev:N297_1006
ko:K03640	paev:N297_1007
ko:K10026	paev:N297_1009
ko:K06920	paev:N297_1010
ko:K12339	paev:N297_964
ko:K03215	paev:N297_965
ko:K00951	paev:N297_966
ko:K09760	paev:N297_1067
ko:K07116	paev:N297_1068
ko:K09858	paev:N297_1075
ko:K08993	paev:N297_1078
ko:K00275	paev:N297_1085
ko:K02647	paev:N297_1086
ko:K03299	paev:N297_1087
ko:K00865	paev:N297_1089
ko:K06077	paev:N297_1090
ko:K05559	paev:N297_1091
ko:K05560	paev:N297_1092
ko:K03639	paev:N297_1547
ko:K11903	paev:N297_1554
ko:K01483	paev:N297_1556
ko:K01477	paev:N297_1557
ko:K02226	paev:N297_1320
ko:K02233	paev:N297_1322
ko:K08167	paev:N297_1321
ko:K00432	paev:N297_1327
ko:K06076	paev:N297_1328
ko:K01011	paev:N297_1332
ko:K03684	paev:N297_1334
ko:K09902	paev:N297_1335
ko:K09160	paev:N297_1339
ko:K03088	paev:N297_1340
ko:K07165	paev:N297_1341
ko:K16087	paev:N297_1342
ko:K03100	paev:N297_1343
ko:K01354	paev:N297_1344
ko:K03430	paev:N297_1350
ko:K05306	paev:N297_1351
ko:K00860	paev:N297_1434
ko:K06969	paev:N297_1448
ko:K11073	paev:N297_1451
ko:K01652	paev:N297_1458
ko:K03307	paev:N297_1459
ko:K12255	paev:N297_1462
ko:K03406	paev:N297_1464
ko:K03827	paev:N297_1469
ko:K07665	paev:N297_1478
ko:K14977	paev:N297_1180
ko:K05523	paev:N297_1175
ko:K05561	paev:N297_1093
ko:K05562	paev:N297_1094
ko:K05563	paev:N297_1095
ko:K05564	paev:N297_1096
ko:K01738	paev:N297_1098
ko:K08985	paev:N297_1101
ko:K04079	paev:N297_1105
ko:K01996	paev:N297_1107
ko:K01995	paev:N297_1108
ko:K01998	paev:N297_1109
ko:K07644	paev:N297_1479
ko:K09790	paev:N297_1480
ko:K07039	paev:N297_1481
ko:K02414	paev:N297_1482
ko:K02415	paev:N297_1483
ko:K02416	paev:N297_1484
ko:K02417	paev:N297_1485
ko:K02418	paev:N297_1486
ko:K02419	paev:N297_1487
ko:K01712	paev:N297_5273
ko:K02002	paev:N297_5276
ko:K09975	paev:N297_5277
ko:K05836	paev:N297_5278
ko:K05603	paev:N297_5279
ko:K03098	paev:N297_5280
ko:K03841	paev:N297_5283
ko:K01759	paev:N297_5284
ko:K12686	paev:N297_5285
ko:K06207	paev:N297_5290
ko:K03151	paev:N297_5291
ko:K01915	paev:N297_5292
ko:K07708	paev:N297_5297
ko:K07712	paev:N297_5298
ko:K03216	paev:N297_5300
ko:K03071	paev:N297_5301
ko:K15633	paev:N297_5304
ko:K07052	paev:N297_5305
ko:K03797	paev:N297_5307
ko:K09798	paev:N297_5308
ko:K02030	paev:N297_5312
ko:K02500	paev:N297_5313
ko:K01814	paev:N297_5314
ko:K02501	paev:N297_5316
ko:K01693	paev:N297_5317
ko:K07289	paev:N297_5321
ko:K03575	paev:N297_5322
ko:K02028	paev:N297_5328
ko:K02030	paev:N297_5329
ko:K02029	paev:N297_5330
ko:K02029	paev:N297_5331
ko:K03543	paev:N297_5335
ko:K03446	paev:N297_5336
ko:K00067	paev:N297_5339
ko:K00973	paev:N297_5340
ko:K01790	paev:N297_5341
ko:K10125	paev:N297_5342
ko:K10126	paev:N297_5343
ko:K11688	paev:N297_5344
ko:K11689	paev:N297_5345
ko:K03758	paev:N297_5347
ko:K01478	paev:N297_5348
ko:K00611	paev:N297_5349
ko:K00926	paev:N297_5350
ko:K01082	paev:N297_5352
ko:K08312	paev:N297_5353
ko:K02379	paev:N297_5357
ko:K04093	paev:N297_5363
ko:K07107	paev:N297_5362
ko:K01610	paev:N297_5370
ko:K04083	paev:N297_5371
ko:K04762	paev:N297_5373
ko:K05844	paev:N297_5375
ko:K01297	paev:N297_5376
ko:K07638	paev:N297_5377
ko:K07659	paev:N297_5378
ko:K06959	paev:N297_5379
ko:K02614	paev:N297_5380
ko:K01919	paev:N297_5381
ko:K14682	paev:N297_5382
ko:K05595	paev:N297_5384
ko:K01438	paev:N297_5383
ko:K03306	paev:N297_5385
ko:K07220	paev:N297_5386
ko:K02454	paev:N297_5388
ko:K07340	paev:N297_5389
ko:K00281	paev:N297_5391
ko:K02437	paev:N297_5392
ko:K00605	paev:N297_5393
ko:K02011	paev:N297_5394
ko:K02012	paev:N297_5395
ko:K03185	paev:N297_5401
ko:K01262	paev:N297_5402
ko:K09895	paev:N297_5403
ko:K09888	paev:N297_5405
ko:K01934	paev:N297_5406
ko:K13926	paev:N297_5410
ko:K01993	paev:N297_5411
ko:K02415	paev:N297_5412
ko:K02445	paev:N297_5414
ko:K00523	paev:N297_5415
ko:K03182	paev:N297_5416
ko:K03628	paev:N297_5418
ko:K03671	paev:N297_5419
ko:K01524	paev:N297_5421
ko:K00937	paev:N297_5420
ko:K01698	paev:N297_5422
ko:K09768	paev:N297_5425
ko:K07243	paev:N297_5427
ko:K05834	paev:N297_5428
ko:K06158	paev:N297_5431
ko:K03773	paev:N297_5434
ko:K07740	paev:N297_5435
ko:K03611	paev:N297_5436
ko:K02498	paev:N297_5437
ko:K02496	paev:N297_5438
ko:K01719	paev:N297_5439
ko:K01749	paev:N297_5440
ko:K08083	paev:N297_5441
ko:K08082	paev:N297_5442
ko:K01755	paev:N297_5443
ko:K11903	paev:N297_5447
ko:K03284	paev:N297_5448
ko:K02030	paev:N297_5450
ko:K05851	paev:N297_5452
ko:K06140	paev:N297_5454
ko:K06202	paev:N297_5455
ko:K02420	paev:N297_1488
ko:K01997	paev:N297_1110
ko:K01999	paev:N297_1111
ko:K02387	paev:N297_1114
ko:K02388	paev:N297_1115
ko:K02389	paev:N297_1116
ko:K02390	paev:N297_1117
ko:K02391	paev:N297_1118
ko:K02392	paev:N297_1119
ko:K06872	paev:N297_1492
ko:K02400	paev:N297_1493
ko:K02404	paev:N297_1494
ko:K04562	paev:N297_1495
ko:K02405	paev:N297_1496
ko:K03413	paev:N297_1497
ko:K03414	paev:N297_1498
ko:K03407	paev:N297_1499
ko:K03412	paev:N297_1500
ko:K02556	paev:N297_1501
ko:K02557	paev:N297_1502
ko:K03408	paev:N297_1504
ko:K03408	paev:N297_1505
ko:K00799	paev:N297_1507
ko:K05810	paev:N297_1510
ko:K00059	paev:N297_1511
ko:K04061	paev:N297_1514
ko:K02193	paev:N297_1516
ko:K02194	paev:N297_1517
ko:K02195	paev:N297_1518
ko:K02196	paev:N297_1519
ko:K10942	paev:N297_1135
ko:K10943	paev:N297_1136
ko:K02408	paev:N297_1137
ko:K02409	paev:N297_1138
ko:K02410	paev:N297_1139
ko:K02411	paev:N297_1140
ko:K02412	paev:N297_1141
ko:K02413	paev:N297_1142
ko:K06182	paev:N297_1147
ko:K06147	paev:N297_1152
ko:K00243	paev:N297_1155
ko:K10941	paev:N297_1134
ko:K07491	paev:N297_1192
ko:K07661	paev:N297_1195
ko:K07639	paev:N297_1196
ko:K03704	paev:N297_1197
ko:K00563	paev:N297_1199
ko:K01439	paev:N297_1200
ko:K02362	paev:N297_1202
ko:K02571	paev:N297_1215
ko:K07660	paev:N297_1217
ko:K07637	paev:N297_1218
ko:K11103	paev:N297_1221
ko:K03566	paev:N297_1222
ko:K02742	paev:N297_1227
ko:K14058	paev:N297_1230
ko:K03758	paev:N297_1232
ko:K01482	paev:N297_1233
ko:K06714	paev:N297_1234
ko:K12410	paev:N297_1235
ko:K07397	paev:N297_1241
ko:K06911	paev:N297_1243
ko:K11747	paev:N297_1245
ko:K02569	paev:N297_1210
ko:K02568	paev:N297_1211
ko:K02567	paev:N297_1212
ko:K02570	paev:N297_1213
ko:K02572	paev:N297_1214
ko:K06911	paev:N297_1248
ko:K01649	paev:N297_1255
ko:K08304	paev:N297_1260
ko:K00355	paev:N297_1262
ko:K00355	paev:N297_1263
ko:K03543	paev:N297_1275
ko:K00768	paev:N297_1319
ko:K02197	paev:N297_1520
ko:K02198	paev:N297_1521
ko:K02199	paev:N297_1522
ko:K02200	paev:N297_1523
ko:K02200	paev:N297_1524
ko:K01266	paev:N297_1528
ko:K00864	paev:N297_1529
ko:K00111	paev:N297_1531
ko:K02444	paev:N297_1532
ko:K04023	paev:N297_1533
ko:K02048	paev:N297_1535
ko:K10716	paev:N297_1538
ko:K08717	paev:N297_1539
ko:K00873	paev:N297_1540
ko:K01608	paev:N297_1544
ko:K07347	paev:N297_1027
ko:K00567	paev:N297_1028
ko:K01657	paev:N297_1034
ko:K01658	paev:N297_1036
ko:K03517	paev:N297_1037
ko:K02297	paev:N297_1357
ko:K02298	paev:N297_1358
ko:K02299	paev:N297_1359
ko:K02300	paev:N297_1360
ko:K16090	paev:N297_1362
ko:K01754	paev:N297_1366
ko:K01173	paev:N297_1368
ko:K10680	paev:N297_1374
ko:K17061	paev:N297_1375
ko:K17060	paev:N297_1376
ko:K05597	paev:N297_1377
ko:K10004	paev:N297_1379
ko:K10002	paev:N297_1380
ko:K10003	paev:N297_1381
ko:K10001	paev:N297_1382
ko:K03088	paev:N297_1391
ko:K04750	paev:N297_1393
ko:K11939	paev:N297_1401
ko:K03327	paev:N297_1400
ko:K03088	paev:N297_1403
ko:K02014	paev:N297_1405
ko:K04095	paev:N297_1406
ko:K09458	paev:N297_1414
ko:K03473	paev:N297_1416
ko:K00906	paev:N297_1417
ko:K03825	paev:N297_1418
ko:K02453	paev:N297_1423
ko:K01784	paev:N297_1425
ko:K02421	paev:N297_1489
ko:K02401	paev:N297_1490
ko:K06872	paev:N297_1491
ko:K01586	paev:N297_5457
ko:K01778	paev:N297_5458
ko:K09921	paev:N297_5459
ko:K03733	paev:N297_5460
ko:K03320	paev:N297_5467
ko:K04752	paev:N297_5468
ko:K09806	paev:N297_5469
ko:K07391	paev:N297_5470
ko:K02168	paev:N297_5471
ko:K03327	paev:N297_5475
ko:K03656	paev:N297_5476
ko:K00156	paev:N297_5477
ko:K03816	paev:N297_5478
ko:K01775	paev:N297_5482
ko:K00285	paev:N297_5484
ko:K09978	paev:N297_5485
ko:K03719	paev:N297_5488
ko:K12254	paev:N297_5492
ko:K00822	paev:N297_5493
ko:K06995	paev:N297_5494
ko:K02913	paev:N297_5495
ko:K02902	paev:N297_5496
ko:K02035	paev:N297_5497
ko:K03630	paev:N297_5499
ko:K13038	paev:N297_5500
ko:K15778	paev:N297_5502
ko:K00930	paev:N297_5503
ko:K07107	paev:N297_5510
ko:K00762	paev:N297_5511
ko:K01142	paev:N297_5512
ko:K09940	paev:N297_5513
ko:K00989	paev:N297_5514
ko:K00942	paev:N297_5516
ko:K03060	paev:N297_5517
ko:K04761	paev:N297_5524
ko:K03655	paev:N297_5525
ko:K05787	paev:N297_5528
ko:K05297	paev:N297_5529
ko:K11477	paev:N297_5532
ko:K11473	paev:N297_5533
ko:K11472	paev:N297_5534
ko:K00104	paev:N297_5535
ko:K11474	paev:N297_5536
ko:K03181	paev:N297_5537
ko:K03179	paev:N297_5538
ko:K07657	paev:N297_5540
ko:K07636	paev:N297_5541
ko:K02039	paev:N297_5545
ko:K02036	paev:N297_5546
ko:K02038	paev:N297_5547
ko:K02037	paev:N297_5548
ko:K02040	paev:N297_5549
ko:K10806	paev:N297_5556
ko:K02167	paev:N297_5559
ko:K02168	paev:N297_5560
ko:K02000	paev:N297_5561
ko:K02001	paev:N297_5562
ko:K02002	paev:N297_5563
ko:K01752	paev:N297_5564
ko:K07107	paev:N297_5570
ko:K17735	paev:N297_5571
ko:K02002	paev:N297_5573
ko:K17736	paev:N297_5575
ko:K01438	paev:N297_5574
ko:K07222	paev:N297_5578
ko:K06131	paev:N297_5579
ko:K09958	paev:N297_5580
ko:K01273	paev:N297_5581
ko:K03522	paev:N297_5585
ko:K03521	paev:N297_5586
ko:K07727	paev:N297_5588
ko:K00479	paev:N297_5596
ko:K01620	paev:N297_5599
ko:K00600	paev:N297_5601
ko:K00303	paev:N297_5602
ko:K00305	paev:N297_5605
ko:K01433	paev:N297_5606
ko:K01792	paev:N297_5608
ko:K09950	paev:N297_5609
ko:K01589	paev:N297_5611
ko:K01588	paev:N297_5612
ko:K13953	paev:N297_5613
ko:K01744	paev:N297_5615
ko:K07112	paev:N297_5616
ko:K00375	paev:N297_5617
ko:K03835	paev:N297_5620
ko:K01960	paev:N297_5621
ko:K01959	paev:N297_5622
ko:K00036	paev:N297_5626
ko:K08303	paev:N297_5628
ko:K03657	paev:N297_5631
ko:K08978	paev:N297_5632
ko:K02557	paev:N297_5125
ko:K02556	paev:N297_5126
ko:K01011	paev:N297_5128
ko:K01613	paev:N297_5129
ko:K01079	paev:N297_5132
ko:K07038	paev:N297_5134
ko:K09857	paev:N297_5135
ko:K02621	paev:N297_5136
ko:K06985	paev:N297_5137
ko:K02622	paev:N297_5139
ko:K07000	paev:N297_5140
ko:K03651	paev:N297_5141
ko:K09920	paev:N297_5142
ko:K01515	paev:N297_5143
ko:K03147	paev:N297_5145
ko:K12340	paev:N297_5146
ko:K00355	paev:N297_5147
ko:K12252	paev:N297_5148
ko:K15866	paev:N297_5152
ko:K02205	paev:N297_5153
ko:K02030	paev:N297_5155
ko:K02055	paev:N297_5158
ko:K02527	paev:N297_5161
ko:K03272	paev:N297_5169
ko:K11085	paev:N297_5170
ko:K18118	paev:N297_5633
ko:K12995	paev:N297_5635
ko:K01711	paev:N297_5641
ko:K07088	paev:N297_5654
ko:K03300	paev:N297_5656
ko:K02839	paev:N297_5658
ko:K03324	paev:N297_5661
ko:K11102	paev:N297_5667
ko:K11384	paev:N297_5670
ko:K11066	paev:N297_5673
ko:K13590	paev:N297_5675
ko:K03673	paev:N297_5677
ko:K03978	paev:N297_5680
ko:K02204	paev:N297_5683
ko:K09815	paev:N297_5686
ko:K09823	paev:N297_5687
ko:K09817	paev:N297_5688
ko:K09816	paev:N297_5689
ko:K02071	paev:N297_5691
ko:K02072	paev:N297_5692
ko:K02073	paev:N297_5693
ko:K01915	paev:N297_5696
ko:K10126	paev:N297_5699
ko:K10125	paev:N297_5700
ko:K00868	paev:N297_5704
ko:K03455	paev:N297_5706
ko:K01915	paev:N297_5710
ko:K01845	paev:N297_5711
ko:K00059	paev:N297_5712
ko:K03455	paev:N297_5717
ko:K03832	paev:N297_5719
ko:K06204	paev:N297_5724
ko:K01448	paev:N297_5725
ko:K09007	paev:N297_5727
ko:K01465	paev:N297_5729
ko:K07080	paev:N297_5733
ko:K00574	paev:N297_5734
ko:K00820	paev:N297_5737
ko:K04042	paev:N297_5740
ko:K02114	paev:N297_5741
ko:K02112	paev:N297_5742
ko:K02115	paev:N297_5743
ko:K02111	paev:N297_5744
ko:K02113	paev:N297_5745
ko:K02109	paev:N297_5746
ko:K02110	paev:N297_5747
ko:K02108	paev:N297_5748
ko:K02116	paev:N297_5749
ko:K03501	paev:N297_5752
ko:K03495	paev:N297_5753
ko:K03650	paev:N297_5755
ko:K03217	paev:N297_5756
ko:K03536	paev:N297_5757
ko:K02914	paev:N297_5758
ko:K06989	paev:N297_3628
ko:K01652	paev:N297_3629
ko:K02050	paev:N297_3635
ko:K02051	paev:N297_3636
ko:K02049	paev:N297_3637
ko:K01756	paev:N297_3639
ko:K01756	paev:N297_3640
ko:K07213	paev:N297_3643
ko:K01759	paev:N297_3647
ko:K01940	paev:N297_3648
ko:K01465	paev:N297_3650
ko:K03683	paev:N297_3651
ko:K03386	paev:N297_3652
ko:K02192	paev:N297_3653
ko:K03594	paev:N297_3654
ko:K07390	paev:N297_3656
ko:K12685	paev:N297_3658
ko:K00611	paev:N297_3660
ko:K02010	paev:N297_3661
ko:K09861	paev:N297_3662
ko:K00066	paev:N297_3663
ko:K16081	paev:N297_3667
ko:K07806	paev:N297_3675
ko:K10012	paev:N297_3676
ko:K10011	paev:N297_3677
ko:K13014	paev:N297_3678
ko:K07264	paev:N297_3679
ko:K12962	paev:N297_3680
ko:K12963	paev:N297_3681
ko:K00012	paev:N297_3682
ko:K02769	paev:N297_3683
ko:K02770	paev:N297_3683
ko:K00882	paev:N297_3684
ko:K02768	paev:N297_3685
ko:K08483	paev:N297_3685
ko:K11183	paev:N297_3685
ko:K03435	paev:N297_3686
ko:K03424	paev:N297_3687
ko:K01908	paev:N297_3692
ko:K00140	paev:N297_3694
ko:K07552	paev:N297_3697
ko:K07213	paev:N297_3698
ko:K00864	paev:N297_3703
ko:K02440	paev:N297_3705
ko:K00864	paev:N297_3706
ko:K02444	paev:N297_3707
ko:K00111	paev:N297_3708
ko:K02442	paev:N297_3709
ko:K03576	paev:N297_3711
ko:K00626	paev:N297_3713
ko:K00074	paev:N297_3714
ko:K10778	paev:N297_3719
ko:K02919	paev:N297_3724
ko:K02909	paev:N297_3725
ko:K00901	paev:N297_3727
ko:K05812	paev:N297_3730
ko:K11072	paev:N297_3731
ko:K11071	paev:N297_3732
ko:K11070	paev:N297_3733
ko:K11069	paev:N297_3734
ko:K09954	paev:N297_3736
ko:K07576	paev:N297_3738
ko:K06966	paev:N297_3739
ko:K03565	paev:N297_3740
ko:K03743	paev:N297_3742
ko:K03555	paev:N297_3744
ko:K05524	paev:N297_3745
ko:K03087	paev:N297_3746
ko:K06194	paev:N297_3747
ko:K00573	paev:N297_3748
ko:K03787	paev:N297_3749
ko:K06176	paev:N297_3750
ko:K01770	paev:N297_3751
ko:K01070	paev:N297_3752
ko:K00121	paev:N297_3753
ko:K07112	paev:N297_3755
ko:K00991	paev:N297_3757
ko:K05589	paev:N297_3758
ko:K01689	paev:N297_3759
ko:K01627	paev:N297_3760
ko:K01937	paev:N297_3761
ko:K04075	paev:N297_3762
ko:K01962	paev:N297_3763
ko:K02337	paev:N297_3764
ko:K03310	paev:N297_3765
ko:K03470	paev:N297_3766
ko:K00748	paev:N297_3767
ko:K00677	paev:N297_3768
ko:K02372	paev:N297_3769
ko:K02536	paev:N297_3770
ko:K06142	paev:N297_3771
ko:K07277	paev:N297_3772
ko:K11749	paev:N297_3773
ko:K00099	paev:N297_3774
ko:K00981	paev:N297_3775
ko:K00806	paev:N297_3776
ko:K02838	paev:N297_3777
ko:K09903	paev:N297_3778
ko:K02357	paev:N297_3779
ko:K02967	paev:N297_3780
ko:K01265	paev:N297_3781
ko:K00990	paev:N297_3782
ko:K14267	paev:N297_3783
ko:K03316	paev:N297_3784
ko:K06940	paev:N297_3787
ko:K00674	paev:N297_3790
ko:K01766	paev:N297_3791
ko:K02426	paev:N297_3792
ko:K01992	paev:N297_3795
ko:K01990	paev:N297_3796
ko:K00631	paev:N297_3797
ko:K09914	paev:N297_3798
ko:K18303	paev:N297_3800
ko:K18302	paev:N297_3801
ko:K18301	paev:N297_3802
ko:K15984	paev:N297_3804
ko:K00939	paev:N297_3810
ko:K01595	paev:N297_3811
ko:K01534	paev:N297_3814
ko:K06889	paev:N297_3819
ko:K04567	paev:N297_3824
ko:K02836	paev:N297_3825
ko:K11444	paev:N297_3826
ko:K13491	paev:N297_3827
ko:K13490	paev:N297_3828
ko:K13489	paev:N297_3829
ko:K13486	paev:N297_3830
ko:K13488	paev:N297_3831
ko:K13487	paev:N297_3832
ko:K00316	paev:N297_3837
ko:K07687	paev:N297_3838
ko:K07462	paev:N297_3848
ko:K09980	paev:N297_3855
ko:K01733	paev:N297_3859
ko:K00003	paev:N297_3860
ko:K03981	paev:N297_3861
ko:K04763	paev:N297_3862
ko:K02884	paev:N297_3866
ko:K00554	paev:N297_3867
