ko:K19079	saun:SAKOR_00656
ko:K14198	saun:SAKOR_01923
ko:K19068	saun:SAKOR_00134
ko:K19081	saun:SAKOR_02622
ko:K19082	saun:SAKOR_02623
ko:K19083	saun:SAKOR_02621
ko:K19084	saun:SAKOR_02620
ko:K08259	saun:SAKOR_00256
ko:K19159	saun:SAKOR_02386
ko:K14195	saun:SAKOR_02484
ko:K02031	saun:SAKOR_00909
ko:K02032	saun:SAKOR_01315
ko:K12472	saun:SAKOR_02127
ko:K07485	saun:SAKOR_00580
ko:K03722	saun:SAKOR_01397
ko:K01992	saun:SAKOR_02503
ko:K19411	saun:SAKOR_00508
ko:K19302	saun:SAKOR_01354
ko:K19405	saun:SAKOR_00509
ko:K07485	saun:SAKOR_01337
ko:K07485	saun:SAKOR_02094
ko:K03574	saun:SAKOR_01738
ko:K02031	saun:SAKOR_01316
ko:K19576	saun:SAKOR_00692
ko:K06881	saun:SAKOR_01644
ko:K01906	saun:SAKOR_02404
ko:K21721	saun:SAKOR_00091
ko:K19689	saun:SAKOR_01835
ko:K01258	saun:SAKOR_01457
ko:K07119	saun:SAKOR_02155
ko:K00547	saun:SAKOR_00354
ko:K00297	saun:SAKOR_00354
ko:K02538	saun:SAKOR_02641
ko:K21636	saun:SAKOR_02612
ko:K19976	saun:SAKOR_00626
ko:K20074	saun:SAKOR_01146
ko:K12132	saun:SAKOR_01147
ko:K20116	saun:SAKOR_00169
ko:K20117	saun:SAKOR_00169
ko:K20118	saun:SAKOR_00169
ko:K20116	saun:SAKOR_02528
ko:K20117	saun:SAKOR_02528
ko:K20118	saun:SAKOR_02528
ko:K20338	saun:SAKOR_01705
ko:K20494	saun:SAKOR_01764
ko:K21949	saun:SAKOR_00090
ko:K20335	saun:SAKOR_05003
ko:K20335	saun:SAKOR_05002
ko:K20337	saun:SAKOR_01099
ko:K20337	saun:SAKOR_01100
ko:K20336	saun:SAKOR_05001
ko:K20534	saun:SAKOR_00701
ko:K02790	saun:SAKOR_00218
ko:K02791	saun:SAKOR_00218
ko:K21029	saun:SAKOR_02241
ko:K21030	saun:SAKOR_00228
ko:K00525	saun:SAKOR_00732
ko:K21030	saun:SAKOR_00234
ko:K21064	saun:SAKOR_00887
ko:K08968	saun:SAKOR_01660
ko:K00435	saun:SAKOR_00577
ko:K00526	saun:SAKOR_00733
ko:K04068	saun:SAKOR_02611
ko:K14199	saun:SAKOR_01080
ko:K14199	saun:SAKOR_01918
ko:K14199	saun:SAKOR_01919
ko:K07455	saun:SAKOR_01965
ko:K03553	saun:SAKOR_01213
ko:K11038	saun:SAKOR_01986
ko:K11038	saun:SAKOR_01987
ko:K03546	saun:SAKOR_01282
ko:K00857	saun:SAKOR_02086
ko:K00287	saun:SAKOR_01363
ko:K00560	saun:SAKOR_01364
ko:K02316	saun:SAKOR_01509
ko:K06217	saun:SAKOR_01518
ko:K01174	saun:SAKOR_00795
ko:K01493	saun:SAKOR_01536
ko:K11038	saun:SAKOR_02399
ko:K11038	saun:SAKOR_02401
ko:K11038	saun:SAKOR_02402
ko:K02314	saun:SAKOR_00016
ko:K11038	saun:SAKOR_01767
ko:K11038	saun:SAKOR_01768
ko:K14199	saun:SAKOR_00203
ko:K06958	saun:SAKOR_00768
ko:K05020	saun:SAKOR_02153
ko:K13714	saun:SAKOR_00974
ko:K02335	saun:SAKOR_01630
ko:K21285	saun:SAKOR_00633
ko:K02032	saun:SAKOR_00910
ko:K00108	saun:SAKOR_02606
ko:K03296	saun:SAKOR_02224
ko:K00980	saun:SAKOR_00635
ko:K22044	saun:SAKOR_00359
ko:K21453	saun:SAKOR_02667
ko:K21478	saun:SAKOR_02669
ko:K21478	saun:SAKOR_02670
ko:K21467	saun:SAKOR_00039
ko:K21567	saun:SAKOR_02351
ko:K21591	saun:SAKOR_00233
ko:K21600	saun:SAKOR_02052
ko:K18704	saun:SAKOR_00236
ko:K21828	saun:SAKOR_02631
ko:K22043	saun:SAKOR_02113
ko:K22136	saun:SAKOR_01103
ko:K00754	saun:SAKOR_01400
ko:K22135	saun:SAKOR_00556
ko:K03595	saun:SAKOR_01514
ko:K22132	saun:SAKOR_01576
ko:K22109	saun:SAKOR_02608
ko:K03547	saun:SAKOR_01799
ko:K17758	saun:SAKOR_00007
ko:K02257	saun:SAKOR_01038
ko:K22409	saun:SAKOR_00448
ko:K13566	saun:SAKOR_01998
ko:K22441	saun:SAKOR_02346
