ko:K00887	lpb:SH83_08180
ko:K00086	lpb:SH83_12770
ko:K00980	lpb:SH83_01130
ko:K03741	lpb:SH83_00260
ko:K03293	lpb:SH83_07530
ko:K00980	lpb:SH83_05185
ko:K02538	lpb:SH83_13520
ko:K03483	lpb:SH83_14700
ko:K00633	lpb:SH83_01730
ko:K02756	lpb:SH83_03580
ko:K02757	lpb:SH83_03580
ko:K03328	lpb:SH83_02275
ko:K03293	lpb:SH83_00515
ko:K14232	lpb:SH83_04210
ko:K14232	lpb:SH83_09505
ko:K14222	lpb:SH83_05390
ko:K14229	lpb:SH83_09530
ko:K14229	lpb:SH83_09545
ko:K14229	lpb:SH83_09560
ko:K14234	lpb:SH83_11820
ko:K14223	lpb:SH83_10605
ko:K14218	lpb:SH83_14170
ko:K14228	lpb:SH83_02460
ko:K14219	lpb:SH83_04830
ko:K14230	lpb:SH83_09495
ko:K14220	lpb:SH83_10420
ko:K00526	lpb:SH83_02735
ko:K02755	lpb:SH83_12285
ko:K00344	lpb:SH83_06905
ko:K14220	lpb:SH83_03390
ko:K14223	lpb:SH83_05385
ko:K14228	lpb:SH83_04185
ko:K14219	lpb:SH83_03165
ko:K14237	lpb:SH83_05360
ko:K14237	lpb:SH83_09535
ko:K14237	lpb:SH83_09550
ko:K14237	lpb:SH83_09565
ko:K14235	lpb:SH83_05375
ko:K14235	lpb:SH83_10415
ko:K14226	lpb:SH83_05380
ko:K14226	lpb:SH83_05670
ko:K14225	lpb:SH83_05750
ko:K14225	lpb:SH83_09470
ko:K14225	lpb:SH83_10575
ko:K14221	lpb:SH83_05755
ko:K14221	lpb:SH83_09445
ko:K14221	lpb:SH83_09480
ko:K14230	lpb:SH83_09450
ko:K14230	lpb:SH83_09485
ko:K14230	lpb:SH83_09500
ko:K14234	lpb:SH83_09525
ko:K01101	lpb:SH83_09610
ko:K02035	lpb:SH83_00850
ko:K07313	lpb:SH83_02385
ko:K03651	lpb:SH83_13580
ko:K03293	lpb:SH83_09630
ko:K03293	lpb:SH83_13885
ko:K01271	lpb:SH83_09700
ko:K18704	lpb:SH83_07570
ko:K09809	lpb:SH83_01135
ko:K21562	lpb:SH83_05960
ko:K21498	lpb:SH83_01890
ko:K21713	lpb:SH83_07075
ko:K21567	lpb:SH83_10950
ko:K00863	lpb:SH83_00700
ko:K21562	lpb:SH83_14275
ko:K07334	lpb:SH83_01885
ko:K22044	lpb:SH83_09720
ko:K05275	lpb:SH83_00590
ko:K03595	lpb:SH83_08175
ko:K22212	lpb:SH83_04640
ko:K03547	lpb:SH83_05860
ko:K22213	lpb:SH83_12405
ko:K03077	lpb:SH83_14755
ko:K17758	lpb:SH83_05520
ko:K22296	lpb:SH83_13905
ko:K22373	lpb:SH83_00445
ko:K13566	lpb:SH83_01900
ko:K22441	lpb:SH83_07575
ko:K09121	lpb:SH83_00460
ko:K01990	lpb:SH83_15415
