ko:K19079	suc:ECTR2_612
ko:K07485	suc:ECTR2_1936
ko:K07485	suc:ECTR2_2422
ko:K07485	suc:ECTR2_411
ko:K07485	suc:ECTR2_582
ko:K19405	suc:ECTR2_477
ko:K03574	suc:ECTR2_1628
ko:K19279	suc:ECTR2_125
ko:K19576	suc:ECTR2_646
ko:K06881	suc:ECTR2_1544
ko:K21721	suc:ECTR2_73
ko:K19689	suc:ECTR2_1750
ko:K01258	suc:ECTR2_1363
ko:K07119	suc:ECTR2_2048
ko:K00547	suc:ECTR2_318
ko:K00297	suc:ECTR2_318
ko:K02538	suc:ECTR2_2494
ko:K21636	suc:ECTR2_2471
ko:K19975	suc:ECTR2_583
ko:K19976	suc:ECTR2_584
ko:K19973	suc:ECTR2_585
ko:K20074	suc:ECTR2_1075
ko:K12132	suc:ECTR2_1076
ko:K20116	suc:ECTR2_152
ko:K20117	suc:ECTR2_152
ko:K20118	suc:ECTR2_152
ko:K20116	suc:ECTR2_2390
ko:K20117	suc:ECTR2_2390
ko:K20118	suc:ECTR2_2390
ko:K20338	suc:ECTR2_1602
ko:K20494	suc:ECTR2_1648
ko:K21949	suc:ECTR2_72
ko:K20337	suc:ECTR2_1029
ko:K20337	suc:ECTR2_1030
ko:K20534	suc:ECTR2_655
ko:K02790	suc:ECTR2_203
ko:K02791	suc:ECTR2_203
ko:K21029	suc:ECTR2_2137
ko:K21030	suc:ECTR2_212
ko:K00525	suc:ECTR2_681
ko:K21030	suc:ECTR2_216
ko:K21064	suc:ECTR2_827
ko:K08968	suc:ECTR2_1559
ko:K00435	suc:ECTR2_540
ko:K00526	suc:ECTR2_682
ko:K03553	suc:ECTR2_1141
ko:K01174	suc:ECTR2_743
ko:K02316	suc:ECTR2_1412
ko:K06217	suc:ECTR2_1421
ko:K11038	suc:ECTR2_1652
ko:K11038	suc:ECTR2_1653
ko:K14199	suc:ECTR2_1013
ko:K01493	suc:ECTR2_1438
ko:K14199	suc:ECTR2_189
ko:K03546	suc:ECTR2_1205
ko:K00287	suc:ECTR2_1282
ko:K00560	suc:ECTR2_1283
ko:K14199	suc:ECTR2_1814
ko:K07455	suc:ECTR2_1858
ko:K11038	suc:ECTR2_2280
ko:K11038	suc:ECTR2_1876
ko:K11038	suc:ECTR2_1877
ko:K11038	suc:ECTR2_2278
ko:K11038	suc:ECTR2_2279
ko:K00857	suc:ECTR2_1975
ko:K04068	suc:ECTR2_2470
ko:K02314	suc:ECTR2_16
ko:K06958	suc:ECTR2_715
ko:K05020	suc:ECTR2_2046
ko:K02335	suc:ECTR2_1530
ko:K21285	suc:ECTR2_591
ko:K03296	suc:ECTR2_2123
ko:K22044	suc:ECTR2_322
ko:K21453	suc:ECTR2_2519
ko:K21478	suc:ECTR2_2521
ko:K21567	suc:ECTR2_2232
ko:K21591	suc:ECTR2_215
ko:K21600	suc:ECTR2_1943
ko:K18704	suc:ECTR2_218
ko:K21828	suc:ECTR2_2485
ko:K22043	suc:ECTR2_2001
ko:K22136	suc:ECTR2_1033
ko:K00754	suc:ECTR2_1312
ko:K22135	suc:ECTR2_521
ko:K03595	suc:ECTR2_1417
ko:K22132	suc:ECTR2_1477
ko:K22109	suc:ECTR2_2467
ko:K03547	suc:ECTR2_1686
ko:K17758	suc:ECTR2_7
ko:K02257	suc:ECTR2_971
ko:K22409	suc:ECTR2_398
ko:K13566	suc:ECTR2_1885
ko:K22441	suc:ECTR2_2229
