ko:K22220	mavd:NF84_17360
ko:K18913	mavd:NF84_01850
ko:K01985	mavd:NF84_06770
ko:K14218	mavd:NF84_18140
ko:K18955	mavd:NF84_19100
ko:K14222	mavd:NF84_16020
ko:K14225	mavd:NF84_16015
ko:K18851	mavd:NF84_01015
ko:K18851	mavd:NF84_12545
ko:K01980	mavd:NF84_06765
ko:K01971	mavd:NF84_04590
ko:K18911	mavd:NF84_01845
ko:K18912	mavd:NF84_01835
ko:K03822	mavd:NF84_13860
ko:K02113	mavd:NF84_06720
ko:K02109	mavd:NF84_06720
ko:K01239	mavd:NF84_19940
ko:K01768	mavd:NF84_06805
ko:K00336	mavd:NF84_18460
ko:K05898	mavd:NF84_02820
ko:K01436	mavd:NF84_19640
ko:K00335	mavd:NF84_18455
ko:K13572	mavd:NF84_10845
ko:K02483	mavd:NF84_03185
ko:K02483	mavd:NF84_01370
ko:K01768	mavd:NF84_06340
ko:K00529	mavd:NF84_12705
ko:K01768	mavd:NF84_14215
ko:K01768	mavd:NF84_02305
ko:K00020	mavd:NF84_20300
ko:K14215	mavd:NF84_09140
ko:K16048	mavd:NF84_02670
ko:K00344	mavd:NF84_15020
ko:K08095	mavd:NF84_12195
ko:K08095	mavd:NF84_12285
ko:K08095	mavd:NF84_20175
ko:K03111	mavd:NF84_00370
ko:K03496	mavd:NF84_19070
ko:K04565	mavd:NF84_20035
ko:K03111	mavd:NF84_07545
ko:K04565	mavd:NF84_21800
ko:K03496	mavd:NF84_13755
ko:K03526	mavd:NF84_16955
ko:K07746	mavd:NF84_20980
ko:K06912	mavd:NF84_01120
ko:K00273	mavd:NF84_12455
ko:K07448	mavd:NF84_02030
ko:K01822	mavd:NF84_05330
ko:K16229	mavd:NF84_14625
ko:K00798	mavd:NF84_06750
ko:K01710	mavd:NF84_18685
ko:K01710	mavd:NF84_20235
ko:K05898	mavd:NF84_13205
ko:K01621	mavd:NF84_12735
ko:K08095	mavd:NF84_19650
ko:K08095	mavd:NF84_20180
ko:K12466	mavd:NF84_03825
ko:K03722	mavd:NF84_06850
ko:K12952	mavd:NF84_04485
ko:K01992	mavd:NF84_13845
ko:K07497	mavd:NF84_09725
ko:K07497	mavd:NF84_23305
ko:K07497	mavd:NF84_14610
ko:K07497	mavd:NF84_14730
ko:K07497	mavd:NF84_06530
ko:K07497	mavd:NF84_06590
ko:K07497	mavd:NF84_11250
ko:K07497	mavd:NF84_02200
ko:K07497	mavd:NF84_11930
ko:K07497	mavd:NF84_07480
ko:K07497	mavd:NF84_07530
ko:K07497	mavd:NF84_11990
ko:K07497	mavd:NF84_08395
ko:K01822	mavd:NF84_03200
ko:K21672	mavd:NF84_08195
ko:K07068	mavd:NF84_14190
ko:K07068	mavd:NF84_02795
ko:K01066	mavd:NF84_13540
ko:K01267	mavd:NF84_03385
ko:K19302	mavd:NF84_14480
ko:K15868	mavd:NF84_07225
ko:K01822	mavd:NF84_06480
ko:K20074	mavd:NF84_00110
ko:K16444	mavd:NF84_16615
ko:K07098	mavd:NF84_02055
ko:K14237	mavd:NF84_16010
ko:K19710	mavd:NF84_15820
ko:K19777	mavd:NF84_00665
ko:K07119	mavd:NF84_22405
ko:K00632	mavd:NF84_03890
ko:K08744	mavd:NF84_12920
ko:K00059	mavd:NF84_13920
ko:K13775	mavd:NF84_19125
ko:K15510	mavd:NF84_21990
ko:K07535	mavd:NF84_22015
ko:K05770	mavd:NF84_17780
ko:K12132	mavd:NF84_00090
ko:K12132	mavd:NF84_06350
ko:K12132	mavd:NF84_15690
ko:K12132	mavd:NF84_00095
ko:K20467	mavd:NF84_23005
ko:K20497	mavd:NF84_09790
ko:K00525	mavd:NF84_17885
ko:K20470	mavd:NF84_22990
ko:K20469	mavd:NF84_22995
ko:K20497	mavd:NF84_08735
ko:K07695	mavd:NF84_18810
ko:K20466	mavd:NF84_23010
ko:K20468	mavd:NF84_23000
ko:K16227	mavd:NF84_14635
ko:K14230	mavd:NF84_09435
ko:K14228	mavd:NF84_14205
ko:K14226	mavd:NF84_07395
ko:K14236	mavd:NF84_21075
ko:K05977	mavd:NF84_17355
ko:K01179	mavd:NF84_01480
ko:K01214	mavd:NF84_14455
ko:K07100	mavd:NF84_10560
ko:K20814	mavd:NF84_10820
ko:K14219	mavd:NF84_06640
ko:K21071	mavd:NF84_17595
ko:K21014	mavd:NF84_09255
ko:K00821	mavd:NF84_13990
ko:K21119	mavd:NF84_06290
ko:K21147	mavd:NF84_19030
ko:K14228	mavd:NF84_05190
ko:K00632	mavd:NF84_19190
ko:K00526	mavd:NF84_17860
ko:K00526	mavd:NF84_22840
ko:K02335	mavd:NF84_14185
ko:K02314	mavd:NF84_00385
ko:K07465	mavd:NF84_10790
ko:K01520	mavd:NF84_16300
ko:K03553	mavd:NF84_16490
ko:K03465	mavd:NF84_16580
ko:K00287	mavd:NF84_16600
ko:K00560	mavd:NF84_16605
ko:K06191	mavd:NF84_17895
ko:K06217	mavd:NF84_09100
ko:K02316	mavd:NF84_09190
ko:K05364	mavd:NF84_00100
ko:K21302	mavd:NF84_19670
ko:K08884	mavd:NF84_10425
ko:K00108	mavd:NF84_23045
ko:K00091	mavd:NF84_08280
ko:K05375	mavd:NF84_10655
ko:K05375	mavd:NF84_09055
ko:K20938	mavd:NF84_18565
ko:K22468	mavd:NF84_19235
ko:K08884	mavd:NF84_19440
ko:K03272	mavd:NF84_18710
ko:K00249	mavd:NF84_04760
ko:K00249	mavd:NF84_18365
ko:K00249	mavd:NF84_22850
ko:K03636	mavd:NF84_04310
ko:K00249	mavd:NF84_12020
ko:K21200	mavd:NF84_00055
ko:K21310	mavd:NF84_19260
ko:K07005	mavd:NF84_14475
ko:K00632	mavd:NF84_16740
ko:K07027	mavd:NF84_21000
ko:K07054	mavd:NF84_21870
ko:K21397	mavd:NF84_13470
ko:K21397	mavd:NF84_14140
ko:K21416	mavd:NF84_13175
ko:K21417	mavd:NF84_13180
ko:K21473	mavd:NF84_14900
ko:K21474	mavd:NF84_14895
ko:K21401	mavd:NF84_21115
ko:K21481	mavd:NF84_02510
ko:K21397	mavd:NF84_09360
ko:K21397	mavd:NF84_09365
ko:K00146	mavd:NF84_09455
ko:K21397	mavd:NF84_19850
ko:K21397	mavd:NF84_19855
ko:K21397	mavd:NF84_19860
ko:K21600	mavd:NF84_23085
ko:K10914	mavd:NF84_02095
ko:K21687	mavd:NF84_04305
ko:K21672	mavd:NF84_01615
ko:K21672	mavd:NF84_09800
ko:K21686	mavd:NF84_01585
ko:K10914	mavd:NF84_00440
ko:K21672	mavd:NF84_23140
ko:K21689	mavd:NF84_12555
ko:K00344	mavd:NF84_01390
ko:K14234	mavd:NF84_02315
ko:K14237	mavd:NF84_09920
ko:K21929	mavd:NF84_06305
ko:K21929	mavd:NF84_18735
ko:K14220	mavd:NF84_09200
ko:K14230	mavd:NF84_18945
ko:K14225	mavd:NF84_07630
ko:K14228	mavd:NF84_06910
ko:K14218	mavd:NF84_00045
ko:K21961	mavd:NF84_00825
ko:K21992	mavd:NF84_12840
ko:K21962	mavd:NF84_14915
ko:K21993	mavd:NF84_11240
ko:K21992	mavd:NF84_18165
ko:K14219	mavd:NF84_07500
ko:K14229	mavd:NF84_03560
ko:K14229	mavd:NF84_03565
ko:K14234	mavd:NF84_20855
ko:K00936	mavd:NF84_19105
ko:K22010	mavd:NF84_14200
ko:K14232	mavd:NF84_07635
ko:K14229	mavd:NF84_07365
ko:K00257	mavd:NF84_12835
ko:K22044	mavd:NF84_18295
ko:K14223	mavd:NF84_17515
ko:K14223	mavd:NF84_05070
ko:K14227	mavd:NF84_00040
ko:K14231	mavd:NF84_03580
ko:K22107	mavd:NF84_02625
ko:K05275	mavd:NF84_15845
ko:K05275	mavd:NF84_21175
ko:K14224	mavd:NF84_17510
ko:K14224	mavd:NF84_03570
ko:K03595	mavd:NF84_09120
ko:K14233	mavd:NF84_01200
ko:K14238	mavd:NF84_01930
ko:K14228	mavd:NF84_00125
ko:K22108	mavd:NF84_02715
ko:K14232	mavd:NF84_02045
ko:K14232	mavd:NF84_13725
ko:K00467	mavd:NF84_19950
ko:K22219	mavd:NF84_17350
ko:K14233	mavd:NF84_01740
ko:K14235	mavd:NF84_20825
ko:K14218	mavd:NF84_04835
ko:K22209	mavd:NF84_21320
ko:K14230	mavd:NF84_20850
ko:K12436	mavd:NF84_11045
ko:K17758	mavd:NF84_20090
ko:K17759	mavd:NF84_20090
ko:K01585	mavd:NF84_09125
ko:K22297	mavd:NF84_12250
ko:K22306	mavd:NF84_07830
ko:K02257	mavd:NF84_15025
ko:K22316	mavd:NF84_09975
ko:K01563	mavd:NF84_09585
ko:K01934	mavd:NF84_04810
ko:K04780	mavd:NF84_10660
ko:K00721	mavd:NF84_11030
ko:K01066	mavd:NF84_17385
ko:K22295	mavd:NF84_19985
ko:K22298	mavd:NF84_09155
ko:K01551	mavd:NF84_10385
ko:K22303	mavd:NF84_19990
ko:K11206	mavd:NF84_21540
ko:K00728	mavd:NF84_04910
ko:K08300	mavd:NF84_07710
ko:K08301	mavd:NF84_07710
ko:K07566	mavd:NF84_06690
ko:K22476	mavd:NF84_21820
