ko:K12132	btht:H175_ch3922
ko:K01425	btht:H175_ch0424
ko:K02803	btht:H175_ch0425
ko:K02804	btht:H175_ch0425
ko:K00656	btht:H175_ch0433
ko:K04069	btht:H175_ch0434
ko:K07071	btht:H175_ch0439
ko:K03565	btht:H175_ch0440
ko:K06428	btht:H175_ch0443
ko:K07038	btht:H175_ch0445
ko:K03575	btht:H175_ch0446
ko:K06422	btht:H175_ch0448
ko:K01845	btht:H175_ch0456
ko:K08713	btht:H175_ch0460
ko:K03564	btht:H175_ch0461
ko:K00023	btht:H175_ch1261
ko:K03821	btht:H175_ch1262
ko:K02012	btht:H175_ch1267
ko:K02011	btht:H175_ch1269
ko:K05306	btht:H175_ch1270
ko:K03430	btht:H175_ch1271
ko:K09798	btht:H175_ch1280
ko:K13532	btht:H175_ch1282
ko:K15973	btht:H175_ch1283
ko:K07697	btht:H175_ch1287
ko:K06920	btht:H175_ch1288
ko:K01737	btht:H175_ch1289
ko:K10026	btht:H175_ch1290
ko:K09457	btht:H175_ch1291
ko:K06416	btht:H175_ch2123
ko:K06950	btht:H175_ch2128
ko:K15738	btht:H175_ch2129
ko:K01887	btht:H175_ch2139
ko:K01870	btht:H175_ch2142
ko:K01929	btht:H175_ch2147
ko:K03466	btht:H175_ch2152
ko:K03308	btht:H175_ch2167
ko:K09962	btht:H175_ch2169
ko:K01091	btht:H175_ch2171
ko:K01779	btht:H175_ch2174
ko:K00800	btht:H175_ch2990
ko:K00817	btht:H175_ch2992
ko:K01736	btht:H175_ch2993
ko:K13853	btht:H175_ch2994
ko:K00116	btht:H175_ch3010
ko:K10555	btht:H175_ch3011
ko:K10557	btht:H175_ch3012
ko:K10556	btht:H175_ch3013
ko:K10558	btht:H175_ch3014
ko:K11216	btht:H175_ch3017
ko:K16323	btht:H175_ch3024
ko:K00147	btht:H175_ch3025
ko:K00931	btht:H175_ch3026
ko:K00286	btht:H175_ch3027
ko:K02205	btht:H175_ch3030
ko:K01962	btht:H175_ch3034
ko:K10255	btht:H175_ch3036
ko:K06411	btht:H175_ch3860
ko:K06410	btht:H175_ch3861
ko:K00962	btht:H175_ch3865
ko:K02956	btht:H175_ch3866
ko:K11753	btht:H175_ch3867
ko:K02834	btht:H175_ch3869
ko:K02519	btht:H175_ch3871
ko:K06969	btht:H175_ch4634
ko:K08600	btht:H175_ch4636
ko:K02013	btht:H175_ch4637
ko:K02015	btht:H175_ch4638
ko:K02016	btht:H175_ch4639
ko:K03311	btht:H175_ch4643
ko:K06182	btht:H175_ch4644
ko:K07456	btht:H175_ch4645
ko:K02347	btht:H175_ch4646
ko:K09888	btht:H175_ch4648
ko:K01893	btht:H175_ch4651
ko:K01890	btht:H175_ch4652
ko:K01889	btht:H175_ch4653
ko:K03437	btht:H175_ch4654
ko:K06426	btht:H175_ch4655
ko:K06950	btht:H175_ch4656
ko:K02887	btht:H175_ch4665
ko:K02916	btht:H175_ch4666
ko:K02520	btht:H175_ch4667
ko:K01868	btht:H175_ch4668
ko:K07738	btht:H175_ch4673
ko:K01611	btht:H175_ch4674
ko:K00134	btht:H175_ch4676
ko:K00859	btht:H175_ch4677
ko:K02035	btht:H175_ch1136
ko:K16509	btht:H175_ch1138
ko:K00666	btht:H175_ch1962
ko:K01916	btht:H175_ch1977
ko:K03406	btht:H175_ch1988
ko:K07094	btht:H175_ch0282
ko:K00294	btht:H175_ch0287
ko:K02433	btht:H175_ch0297
ko:K00135	btht:H175_ch0303
ko:K03317	btht:H175_ch0310
ko:K00819	btht:H175_ch1100
ko:K07533	btht:H175_ch1111
ko:K02035	btht:H175_ch1130
ko:K15582	btht:H175_ch1132
ko:K15583	btht:H175_ch1133
ko:K10823	btht:H175_ch1134
ko:K06925	btht:H175_ch0233
ko:K03789	btht:H175_ch0235
ko:K06158	btht:H175_ch0237
ko:K01926	btht:H175_ch0238
ko:K04078	btht:H175_ch0241
ko:K04077	btht:H175_ch0242
ko:K01951	btht:H175_ch0246
ko:K06901	btht:H175_ch0247
ko:K01588	btht:H175_ch0265
ko:K01589	btht:H175_ch0266
ko:K01756	btht:H175_ch0267
ko:K01421	btht:H175_ch1045
ko:K03800	btht:H175_ch1053
ko:K02048	btht:H175_ch1057
ko:K02046	btht:H175_ch1058
ko:K02047	btht:H175_ch1059
ko:K02045	btht:H175_ch1060
ko:K11032	btht:H175_ch1061
ko:K06885	btht:H175_ch1063
ko:K03088	btht:H175_ch1065
ko:K13653	btht:H175_ch1066
ko:K01638	btht:H175_ch1077
ko:K01637	btht:H175_ch1078
ko:K03704	btht:H175_ch1081
ko:K02250	btht:H175_ch1085
ko:K03100	btht:H175_ch1087
ko:K06304	btht:H175_ch1091
ko:K06303	btht:H175_ch1092
ko:K06302	btht:H175_ch1093
ko:K06301	btht:H175_ch1094
ko:K06300	btht:H175_ch1095
ko:K06299	btht:H175_ch1096
ko:K01999	btht:H175_ch1905
ko:K01995	btht:H175_ch1906
ko:K01996	btht:H175_ch1907
ko:K01997	btht:H175_ch1908
ko:K01998	btht:H175_ch1909
ko:K00425	btht:H175_ch1917
ko:K00426	btht:H175_ch1918
ko:K07078	btht:H175_ch1931
ko:K07006	btht:H175_ch1946
ko:K00003	btht:H175_ch1947
ko:K01733	btht:H175_ch1948
ko:K00872	btht:H175_ch1949
ko:K07507	btht:H175_ch1958
ko:K01449	btht:H175_ch2792
ko:K00453	btht:H175_ch2796
ko:K07130	btht:H175_ch2797
ko:K01556	btht:H175_ch2798
ko:K00382	btht:H175_ch2814
ko:K00627	btht:H175_ch2815
ko:K02001	btht:H175_ch2828
ko:K02000	btht:H175_ch2829
ko:K06306	btht:H175_ch3612
ko:K06431	btht:H175_ch3613
ko:K01681	btht:H175_ch3621
ko:K06432	btht:H175_ch3622
ko:K06433	btht:H175_ch3625
ko:K06335	btht:H175_ch3626
ko:K03523	btht:H175_ch3634
ko:K06999	btht:H175_ch3647
ko:K15975	btht:H175_ch3648
ko:K07736	btht:H175_ch3652
ko:K01468	btht:H175_ch3654
ko:K01712	btht:H175_ch3655
ko:K01745	btht:H175_ch3656
ko:K09683	btht:H175_ch3657
ko:K07015	btht:H175_ch4423
ko:K06371	btht:H175_ch4424
ko:K01613	btht:H175_ch4425
ko:K03091	btht:H175_ch4426
ko:K02913	btht:H175_ch4429
ko:K14647	btht:H175_ch4442
ko:K00500	btht:H175_ch4444
ko:K02013	btht:H175_ch4453
ko:K02015	btht:H175_ch4454
ko:K02016	btht:H175_ch4455
ko:K04072	btht:H175_ch4457
ko:K03624	btht:H175_ch4465
ko:K00876	btht:H175_ch4466
ko:K08303	btht:H175_ch4467
ko:K08303	btht:H175_ch4468
ko:K07082	btht:H175_ch4470
ko:K07447	btht:H175_ch4472
ko:K02016	btht:H175_ch5235
ko:K03664	btht:H175_ch5238
ko:K12573	btht:H175_ch5239
ko:K02115	btht:H175_ch5435
ko:K02111	btht:H175_ch5436
ko:K02113	btht:H175_ch5437
ko:K02109	btht:H175_ch5438
ko:K02110	btht:H175_ch5439
ko:K02108	btht:H175_ch5440
ko:K00761	btht:H175_ch5444
ko:K00600	btht:H175_ch5445
ko:K01808	btht:H175_ch5447
ko:K15977	btht:H175_ch5450
ko:K07566	btht:H175_ch5454
ko:K06387	btht:H175_ch5456
ko:K02493	btht:H175_ch5457
ko:K02835	btht:H175_ch5458
ko:K02909	btht:H175_ch5460
ko:K03628	btht:H175_ch5461
ko:K00790	btht:H175_ch5463
ko:K01624	btht:H175_ch5464
ko:K02490	btht:H175_ch5465
ko:K01937	btht:H175_ch5467
ko:K00074	btht:H175_ch5472
ko:K06131	btht:H175_ch5475
ko:K07693	btht:H175_ch5483
ko:K07778	btht:H175_ch5484
ko:K00274	btht:H175_ch1997
ko:K00657	btht:H175_ch2001
ko:K09815	btht:H175_ch2002
ko:K03386	btht:H175_ch0323
ko:K06325	btht:H175_ch0333
ko:K06325	btht:H175_ch0334
ko:K03406	btht:H175_ch0348
ko:K15986	btht:H175_ch2868
ko:K01478	btht:H175_ch0350
ko:K01479	btht:H175_ch3653
ko:K06196	btht:H175_ch3664
ko:K09976	btht:H175_ch3685
ko:K01119	btht:H175_ch3693
ko:K03713	btht:H175_ch3701
ko:K01243	btht:H175_ch4460
ko:K02851	btht:H175_ch5315
ko:K03478	btht:H175_ch5320
ko:K01222	btht:H175_ch5321
ko:K03317	btht:H175_ch5355
ko:K05020	btht:H175_ch5359
ko:K04042	btht:H175_ch0044
ko:K00948	btht:H175_ch0045
ko:K01056	btht:H175_ch0046
ko:K03723	btht:H175_ch0048
ko:K04769	btht:H175_ch0049
ko:K07571	btht:H175_ch0056
ko:K06382	btht:H175_ch0057
ko:K04075	btht:H175_ch0058
ko:K00760	btht:H175_ch0059
ko:K03798	btht:H175_ch0060
ko:K03525	btht:H175_ch0061
ko:K04083	btht:H175_ch0062
ko:K01738	btht:H175_ch0063
ko:K01665	btht:H175_ch0064
ko:K00796	btht:H175_ch0067
ko:K01633	btht:H175_ch0068
ko:K00950	btht:H175_ch0069
ko:K04567	btht:H175_ch0072
ko:K00375	btht:H175_ch0073
ko:K00318	btht:H175_ch0074
ko:K03696	btht:H175_ch0078
ko:K04485	btht:H175_ch0079
ko:K00991	btht:H175_ch0082
ko:K01770	btht:H175_ch0083
ko:K00640	btht:H175_ch0085
ko:K01883	btht:H175_ch0086
ko:K11145	btht:H175_ch0087
ko:K03218	btht:H175_ch0088
ko:K05520	btht:H175_ch0825
ko:K03781	btht:H175_ch0826
ko:K03758	btht:H175_ch0828
ko:K01776	btht:H175_ch0829
ko:K02424	btht:H175_ch0834
ko:K10009	btht:H175_ch0835
ko:K10010	btht:H175_ch0836
ko:K01652	btht:H175_ch0846
ko:K01575	btht:H175_ch0847
ko:K03652	btht:H175_ch0849
ko:K03321	btht:H175_ch0857
ko:K01448	btht:H175_ch0867
ko:K02034	btht:H175_ch0875
ko:K01753	btht:H175_ch1683
ko:K06131	btht:H175_ch1694
ko:K09903	btht:H175_ch1695
ko:K11102	btht:H175_ch1696
ko:K01744	btht:H175_ch1697
ko:K07717	btht:H175_ch1699
ko:K07719	btht:H175_ch1700
ko:K01914	btht:H175_ch1705
ko:K00928	btht:H175_ch1708
ko:K00648	btht:H175_ch1718
ko:K03665	btht:H175_ch1721
ko:K08223	btht:H175_ch1722
ko:K01738	btht:H175_ch1723
ko:K03308	btht:H175_ch1727
ko:K04566	btht:H175_ch2565
ko:K01449	btht:H175_ch2566
ko:K11635	btht:H175_ch2576
ko:K11636	btht:H175_ch2577
ko:K00003	btht:H175_ch2581
ko:K01921	btht:H175_ch2583
ko:K03707	btht:H175_ch2584
ko:K03093	btht:H175_ch3416
ko:K05601	btht:H175_ch3428
ko:K09936	btht:H175_ch3439
ko:K02016	btht:H175_ch3456
ko:K01531	btht:H175_ch4226
ko:K07507	btht:H175_ch4227
ko:K02346	btht:H175_ch4228
ko:K03790	btht:H175_ch4230
ko:K09699	btht:H175_ch4242
ko:K00167	btht:H175_ch4243
ko:K00166	btht:H175_ch4244
ko:K00382	btht:H175_ch4245
ko:K00263	btht:H175_ch4247
ko:K01126	btht:H175_ch4251
ko:K07699	btht:H175_ch4254
ko:K06399	btht:H175_ch4255
ko:K03631	btht:H175_ch4256
ko:K03402	btht:H175_ch4257
ko:K06442	btht:H175_ch4258
ko:K01662	btht:H175_ch4259
ko:K13789	btht:H175_ch4260
ko:K03602	btht:H175_ch4261
ko:K03601	btht:H175_ch4262
ko:K01491	btht:H175_ch4263
ko:K03625	btht:H175_ch4264
ko:K01961	btht:H175_ch4266
ko:K02160	btht:H175_ch4267
ko:K06397	btht:H175_ch4268
ko:K06396	btht:H175_ch4269
ko:K06395	btht:H175_ch4270
ko:K03928	btht:H175_ch5240
ko:K03075	btht:H175_ch5241
ko:K01689	btht:H175_ch5245
ko:K15633	btht:H175_ch5246
ko:K01803	btht:H175_ch5247
ko:K00927	btht:H175_ch5248
ko:K00134	btht:H175_ch5249
ko:K05311	btht:H175_ch5250
ko:K03092	btht:H175_ch5252
ko:K07680	btht:H175_ch5255
ko:K07691	btht:H175_ch5256
ko:K06405	btht:H175_ch5259
ko:K06406	btht:H175_ch5260
ko:K06407	btht:H175_ch5261
ko:K01358	btht:H175_ch5264
ko:K11184	btht:H175_ch5265
ko:K06958	btht:H175_ch5268
ko:K00384	btht:H175_ch5271
ko:K06019	btht:H175_ch5274
ko:K13292	btht:H175_ch5275
ko:K08972	btht:H175_ch5277
ko:K03701	btht:H175_ch5279
ko:K03702	btht:H175_ch5280
ko:K03406	btht:H175_ch0365
ko:K07816	btht:H175_ch1149
ko:K01426	btht:H175_ch2041
ko:K01834	btht:H175_ch2047
ko:K01281	btht:H175_ch2903
ko:K01243	btht:H175_ch2909
ko:K01243	btht:H175_ch2910
ko:K00882	btht:H175_ch3716
ko:K03436	btht:H175_ch3717
ko:K07098	btht:H175_ch3724
ko:K03830	btht:H175_ch3727
ko:K07213	btht:H175_ch3729
ko:K07017	btht:H175_ch3734
ko:K01258	btht:H175_ch3743
ko:K01834	btht:H175_ch3746
ko:K07105	btht:H175_ch4516
ko:K04518	btht:H175_ch4518
ko:K02004	btht:H175_ch4519
ko:K02004	btht:H175_ch4520
ko:K07584	btht:H175_ch4527
ko:K06402	btht:H175_ch4530
ko:K01719	btht:H175_ch4546
ko:K04076	btht:H175_ch4554
ko:K02004	btht:H175_ch5375
ko:K02005	btht:H175_ch5377
ko:K01784	btht:H175_ch5388
ko:K01104	btht:H175_ch5403
ko:K03574	btht:H175_233p075
ko:K02004	btht:H175_233p109
ko:K03091	btht:H175_ch0625
ko:K06153	btht:H175_ch0664
ko:K03305	btht:H175_ch0671
ko:K03311	btht:H175_ch0673
ko:K03887	btht:H175_ch1468
ko:K03888	btht:H175_ch1469
ko:K06973	btht:H175_ch1473
ko:K00215	btht:H175_ch1477
ko:K01734	btht:H175_ch1478
ko:K03524	btht:H175_ch1482
ko:K00606	btht:H175_ch1484
ko:K01918	btht:H175_ch1485
ko:K01579	btht:H175_ch1486
ko:K00812	btht:H175_ch1490
ko:K10773	btht:H175_ch1492
ko:K05366	btht:H175_ch1494
ko:K06327	btht:H175_ch1502
ko:K07444	btht:H175_ch1505
ko:K01299	btht:H175_ch1508
ko:K01265	btht:H175_ch1510
ko:K03816	btht:H175_ch1511
ko:K16169	btht:H175_ch1512
ko:K07148	btht:H175_ch1513
ko:K00231	btht:H175_ch2350
ko:K03704	btht:H175_ch2354
ko:K00133	btht:H175_ch2359
ko:K02003	btht:H175_ch3236
ko:K06207	btht:H175_ch4024
ko:K00686	btht:H175_ch4031
ko:K00382	btht:H175_ch4037
ko:K00627	btht:H175_ch4038
ko:K00162	btht:H175_ch4039
ko:K00161	btht:H175_ch4040
ko:K01462	btht:H175_ch4042
ko:K00426	btht:H175_ch4047
ko:K05823	btht:H175_ch4048
ko:K09776	btht:H175_ch4053
ko:K00937	btht:H175_ch4064
ko:K01524	btht:H175_ch4065
ko:K01869	btht:H175_ch4838
ko:K07228	btht:H175_ch4841
ko:K02003	btht:H175_ch4844
ko:K07139	btht:H175_ch4850
ko:K01779	btht:H175_ch4854
ko:K16188	btht:H175_ch4857
ko:K03752	btht:H175_ch4862
ko:K03638	btht:H175_ch4863
ko:K00789	btht:H175_ch4865
ko:K01610	btht:H175_ch4867
ko:K03781	btht:H175_ch4882
ko:K02049	btht:H175_ch0370
ko:K11070	btht:H175_ch1233
ko:K01977	btht:H175_rrna34
ko:K01977	btht:H175_rrna16
ko:K01977	btht:H175_rrna13
ko:K01977	btht:H175_rrna01
ko:K01977	btht:H175_rrna31
ko:K01980	btht:H175_rrna11
ko:K01980	btht:H175_rrna14
ko:K01980	btht:H175_rrna38
ko:K01980	btht:H175_rrna26
ko:K01980	btht:H175_rrna23
ko:K01980	btht:H175_rrna29
ko:K01980	btht:H175_rrna17
ko:K01980	btht:H175_rrna20
ko:K01980	btht:H175_rrna02
ko:K01980	btht:H175_rrna08
ko:K01980	btht:H175_rrna32
ko:K01980	btht:H175_rrna35
ko:K01980	btht:H175_rrna05
ko:K03574	btht:H175_ch3077
ko:K01897	btht:H175_ch1055
ko:K01843	btht:H175_ch2251
ko:K00505	btht:H175_328p166
ko:K11033	btht:H175_ch1768
ko:K17103	btht:H175_ch0916
ko:K11035	btht:H175_ch2477
ko:K11035	btht:H175_ch2476
ko:K11036	btht:H175_ch2474
ko:K11037	btht:H175_ch2475
ko:K01200	btht:H175_ch4802
ko:K00344	btht:H175_ch3466
ko:K01977	btht:H175_rrna04
ko:K01977	btht:H175_rrna39
ko:K01977	btht:H175_rrna10
ko:K01977	btht:H175_rrna28
ko:K01977	btht:H175_rrna25
ko:K01977	btht:H175_rrna19
ko:K01977	btht:H175_rrna22
ko:K01977	btht:H175_rrna07
ko:K01990	btht:H175_ch2181
ko:K01992	btht:H175_ch2182
ko:K16922	btht:H175_233p113
ko:K00034	btht:H175_ch4816
ko:K07284	btht:H175_ch0669
ko:K01436	btht:H175_ch0690
ko:K01436	btht:H175_ch1320
ko:K01271	btht:H175_ch3938
ko:K01271	btht:H175_ch4708
ko:K08651	btht:H175_ch2313
ko:K07979	btht:H175_ch4304
ko:K03719	btht:H175_ch1308
ko:K03574	btht:H175_ch0467
ko:K01387	btht:H175_ch0479
ko:K07192	btht:H175_ch0481
ko:K03406	btht:H175_ch0482
ko:K02443	btht:H175_ch0490
ko:K05816	btht:H175_ch0491
ko:K05814	btht:H175_ch0492
ko:K05815	btht:H175_ch0493
ko:K03406	btht:H175_ch0500
ko:K00027	btht:H175_ch0504
ko:K07052	btht:H175_ch1306
ko:K01297	btht:H175_ch1312
ko:K03498	btht:H175_ch1336
ko:K02480	btht:H175_ch2214
ko:K13953	btht:H175_ch2218
ko:K01077	btht:H175_ch3039
ko:K01759	btht:H175_ch3046
ko:K03177	btht:H175_ch3868
ko:K09764	btht:H175_ch3870
ko:K09787	btht:H175_ch3906
ko:K11144	btht:H175_ch4671
ko:K03346	btht:H175_ch4672
ko:K10563	btht:H175_ch4679
ko:K07658	btht:H175_ch4682
ko:K00027	btht:H175_ch4697
ko:K00625	btht:H175_ch5518
ko:K01560	btht:H175_ch5540
ko:K09153	btht:H175_ch5561
ko:K01990	btht:H175_ch0457
ko:K11035	btht:H175_285p245
ko:K03294	btht:H175_ch0519
ko:K08234	btht:H175_ch0532
ko:K00639	btht:H175_ch0544
ko:K04748	btht:H175_ch0550
ko:K03486	btht:H175_ch0555
ko:K01226	btht:H175_ch0557
ko:K07052	btht:H175_ch0562
ko:K10041	btht:H175_ch0565
ko:K01496	btht:H175_ch1357
ko:K01523	btht:H175_ch1358
ko:K00366	btht:H175_ch1370
ko:K11617	btht:H175_ch1384
ko:K11618	btht:H175_ch1385
ko:K00851	btht:H175_ch2223
ko:K03299	btht:H175_ch2224
ko:K00033	btht:H175_ch2225
ko:K05845	btht:H175_ch2233
ko:K05846	btht:H175_ch2233
ko:K06377	btht:H175_ch2259
ko:K07533	btht:H175_ch2269
ko:K02004	btht:H175_ch3096
ko:K06351	btht:H175_ch3110
ko:K06201	btht:H175_ch3115
ko:K00059	btht:H175_ch3911
ko:K07030	btht:H175_ch3916
ko:K00949	btht:H175_ch3919
ko:K07025	btht:H175_ch3944
ko:K02823	btht:H175_ch3948
ko:K02824	btht:H175_ch3953
ko:K00059	btht:H175_ch4720
ko:K04750	btht:H175_ch4741
ko:K06286	btht:H175_ch4746
ko:K07504	btht:H175_ch4753
ko:K01784	btht:H175_ch5584
ko:K07652	btht:H175_ch5599
ko:K07668	btht:H175_ch5600
ko:K02035	btht:H175_ch0584
ko:K02033	btht:H175_ch0586
ko:K00852	btht:H175_ch0594
ko:K10440	btht:H175_ch0597
ko:K10439	btht:H175_ch0598
ko:K00616	btht:H175_ch0599
ko:K09607	btht:H175_ch0600
ko:K03784	btht:H175_ch1408
ko:K05337	btht:H175_ch1427
ko:K07052	btht:H175_ch1430
ko:K01424	btht:H175_ch1440
ko:K01823	btht:H175_ch1443
ko:K00805	btht:H175_ch1457
ko:K00805	btht:H175_ch1459
ko:K02004	btht:H175_ch2321
ko:K02033	btht:H175_ch2323
ko:K00158	btht:H175_ch2325
ko:K03325	btht:H175_ch3166
ko:K00657	btht:H175_ch3176
ko:K08724	btht:H175_ch3979
ko:K07177	btht:H175_ch3989
ko:K01455	btht:H175_ch4005
ko:K04767	btht:H175_ch4762
ko:K01259	btht:H175_ch4764
ko:K03810	btht:H175_ch4769
ko:K01439	btht:H175_ch4804
ko:K06183	btht:H175_ch4806
ko:K06346	btht:H175_ch5619
ko:K04763	btht:H175_9p02
ko:K01990	btht:H175_ch1006
ko:K03406	btht:H175_ch0665
ko:K07729	btht:H175_ch0678
ko:K03886	btht:H175_ch1467
ko:K00974	btht:H175_ch1481
ko:K02086	btht:H175_ch1491
ko:K03700	btht:H175_ch1495
ko:K06994	btht:H175_ch2340
ko:K03825	btht:H175_ch2345
ko:K07052	btht:H175_ch2355
ko:K09702	btht:H175_ch2366
ko:K01759	btht:H175_ch3189
ko:K14338	btht:H175_ch3219
ko:K02004	btht:H175_ch3237
ko:K02862	btht:H175_ch4008
ko:K02274	btht:H175_ch4011
ko:K01958	btht:H175_ch4015
ko:K01092	btht:H175_ch4026
ko:K03499	btht:H175_ch4046
ko:K05822	btht:H175_ch4049
ko:K03635	btht:H175_ch4820
ko:K03455	btht:H175_ch4840
ko:K02004	btht:H175_ch4843
ko:K01048	btht:H175_ch4858
ko:K04763	btht:H175_15p03
ko:K04763	btht:H175_16p18
ko:K04763	btht:H175_39p01
ko:K07250	btht:H175_ch0301
ko:K00634	btht:H175_ch4248
ko:K01739	btht:H175_ch4343
ko:K01046	btht:H175_ch2580
ko:K01046	btht:H175_ch4971
ko:K01239	btht:H175_ch2328
ko:K01239	btht:H175_ch2930
ko:K01239	btht:H175_ch5244
ko:K05281	btht:H175_ch3069
ko:K02476	btht:H175_ch0483
ko:K03499	btht:H175_ch0682
ko:K03307	btht:H175_ch0692
ko:K15599	btht:H175_ch0711
ko:K03153	btht:H175_ch0714
ko:K01011	btht:H175_ch1519
ko:K03469	btht:H175_ch1541
ko:K03469	btht:H175_ch1545
ko:K01834	btht:H175_ch2433
ko:K01270	btht:H175_ch2439
ko:K00058	btht:H175_ch3250
ko:K07098	btht:H175_ch4061
ko:K00841	btht:H175_ch4080
ko:K15770	btht:H175_ch4084
ko:K01182	btht:H175_ch4086
ko:K00626	btht:H175_ch4095
ko:K08969	btht:H175_ch4107
ko:K02116	btht:H175_ch4868
ko:K02051	btht:H175_ch4889
ko:K02049	btht:H175_ch4890
ko:K02050	btht:H175_ch4891
ko:K07025	btht:H175_ch4894
ko:K14233	btht:H175_trna28
ko:K14233	btht:H175_trna78
ko:K01992	btht:H175_ch3596
ko:K07012	btht:H175_285p188
ko:K01992	btht:H175_ch0827
ko:K01992	btht:H175_ch0458
ko:K01664	btht:H175_ch0065
ko:K01992	btht:H175_ch2945
ko:K01990	btht:H175_ch2946
ko:K01990	btht:H175_ch4303
ko:K01990	btht:H175_ch4602
ko:K01990	btht:H175_ch5414
ko:K01990	btht:H175_ch1302
ko:K01992	btht:H175_ch0459
ko:K01992	btht:H175_ch4300
ko:K01992	btht:H175_ch4301
ko:K01992	btht:H175_ch4302
ko:K01992	btht:H175_ch4601
ko:K03574	btht:H175_ch0891
ko:K17217	btht:H175_ch4458
ko:K17216	btht:H175_ch4459
ko:K01897	btht:H175_ch4618
ko:K17103	btht:H175_ch1362
ko:K17218	btht:H175_328p087
ko:K06298	btht:H175_ch4586
ko:K02028	btht:H175_ch0347
ko:K08986	btht:H175_ch2020
ko:K00265	btht:H175_ch0455
ko:K04091	btht:H175_ch2958
ko:K01537	btht:H175_ch3934
ko:K00971	btht:H175_ch5392
ko:K17462	btht:H175_ch4461
ko:K02029	btht:H175_ch4235
ko:K01537	btht:H175_ch0392
ko:K01992	btht:H175_ch1007
ko:K02028	btht:H175_ch4234
ko:K01992	btht:H175_ch3669
ko:K01992	btht:H175_ch2505
ko:K07260	btht:H175_ch3520
ko:K10947	btht:H175_ch4101
ko:K10947	btht:H175_ch4288
ko:K03574	btht:H175_ch0548
ko:K03574	btht:H175_ch3100
ko:K03574	btht:H175_ch5269
ko:K01992	btht:H175_ch1692
ko:K01992	btht:H175_ch3424
ko:K01992	btht:H175_ch5485
ko:K14228	btht:H175_trna41
ko:K14222	btht:H175_trna40
ko:K14219	btht:H175_trna81
ko:K01990	btht:H175_ch3425
ko:K01990	btht:H175_ch3597
ko:K01990	btht:H175_ch4150
ko:K01990	btht:H175_ch5486
ko:K10112	btht:H175_ch4087
ko:K14227	btht:H175_trna59
ko:K14227	btht:H175_trna69
ko:K01992	btht:H175_ch1305
ko:K01990	btht:H175_ch1691
ko:K01990	btht:H175_ch2504
ko:K01990	btht:H175_ch4629
ko:K05592	btht:H175_ch2420
ko:K14237	btht:H175_trna62
ko:K17472	btht:H175_ch4484
ko:K14236	btht:H175_trna08
ko:K14236	btht:H175_trna44
ko:K14236	btht:H175_trna35
ko:K17686	btht:H175_ch3728
ko:K14218	btht:H175_trna12
ko:K14218	btht:H175_trna51
ko:K14233	btht:H175_trna52
ko:K14233	btht:H175_trna53
ko:K14233	btht:H175_trna01
ko:K14228	btht:H175_trna21
ko:K14235	btht:H175_trna36
ko:K14235	btht:H175_trna58
ko:K01090	btht:H175_ch2060
ko:K01090	btht:H175_ch3085
ko:K01791	btht:H175_ch5313
ko:K17836	btht:H175_ch3215
ko:K14230	btht:H175_trna02
ko:K14229	btht:H175_trna10
ko:K14229	btht:H175_trna85
ko:K14229	btht:H175_trna71
ko:K14229	btht:H175_trna20
ko:K14219	btht:H175_trna22
ko:K14219	btht:H175_trna49
ko:K14232	btht:H175_trna23
ko:K14232	btht:H175_trna50
ko:K14228	btht:H175_trna48
ko:K14220	btht:H175_trna13
ko:K14220	btht:H175_trna68
ko:K14220	btht:H175_trna60
ko:K14220	btht:H175_trna27
ko:K14220	btht:H175_trna79
ko:K14220	btht:H175_trna04
ko:K17836	btht:H175_ch2499
ko:K06518	btht:H175_ch3674
ko:K06518	btht:H175_ch3757
ko:K14229	btht:H175_trna46
ko:K14225	btht:H175_trna11
ko:K14225	btht:H175_trna47
ko:K14225	btht:H175_trna39
ko:K07284	btht:H175_ch4923
ko:K00483	btht:H175_ch2554
ko:K11928	btht:H175_ch1181
ko:K01658	btht:H175_ch1184
ko:K17828	btht:H175_ch3947
ko:K00537	btht:H175_ch5132
ko:K17837	btht:H175_ch3429
ko:K07284	btht:H175_ch0906
ko:K12574	btht:H175_ch3799
ko:K12574	btht:H175_ch4045
ko:K18115	btht:H175_ch3559
ko:K07284	btht:H175_233p171
ko:K06378	btht:H175_ch4147
ko:K14219	btht:H175_trna64
ko:K14225	btht:H175_trna24
ko:K14225	btht:H175_trna70
ko:K14225	btht:H175_trna65
ko:K14225	btht:H175_trna42
ko:K14230	btht:H175_trna63
ko:K14230	btht:H175_trna80
ko:K14234	btht:H175_trna05
ko:K00661	btht:H175_ch3324
ko:K00661	btht:H175_ch4759
ko:K01069	btht:H175_328p088
ko:K14237	btht:H175_trna07
ko:K14237	btht:H175_trna30
ko:K14237	btht:H175_trna43
ko:K14237	btht:H175_trna76
ko:K14237	btht:H175_trna16
ko:K14221	btht:H175_trna18
ko:K14221	btht:H175_trna32
ko:K14221	btht:H175_trna83
ko:K14221	btht:H175_trna74
ko:K14221	btht:H175_trna55
ko:K14221	btht:H175_trna26
ko:K14230	btht:H175_trna31
ko:K14230	btht:H175_trna75
ko:K14230	btht:H175_trna54
ko:K14230	btht:H175_trna25
ko:K14230	btht:H175_trna17
ko:K14226	btht:H175_trna37
ko:K01183	btht:H175_ch3723
ko:K01183	btht:H175_ch0372
ko:K01497	btht:H175_ch3369
ko:K17733	btht:H175_328p130
