ko:K00499	lpm:LP6_2245
ko:K06223	lpm:LP6_2099
ko:K03676	lpm:LP6_2334
ko:K02316	lpm:LP6_2389
ko:K01520	lpm:LP6_2517
ko:K00560	lpm:LP6_2898
ko:K02335	lpm:LP6_0104
ko:K00525	lpm:LP6_1751
ko:K02058	lpm:LP6_0188
ko:K08365	lpm:LP6_0061
ko:K21929	lpm:LP6_0264
ko:K01634	lpm:LP6_0786
ko:K05802	lpm:LP6_1539
ko:K03595	lpm:LP6_0930
ko:K08994	lpm:LP6_0044
ko:K17759	lpm:LP6_2850
ko:K01505	lpm:LP6_1348
ko:K02257	lpm:LP6_0405
ko:K22352	lpm:LP6_1596
ko:K11206	lpm:LP6_0938
ko:K00424	lpm:LP6_1186
ko:K01007	lpm:LP6_2197
