ko:K04042	mab:MAB_1148c
ko:K01692	mab:MAB_3859c
ko:K15866	mab:MAB_0905
ko:K15866	mab:MAB_3281
ko:K15868	mab:MAB_2316
ko:K04093	mab:MAB_1053c
ko:K15977	mab:MAB_3332c
ko:K15977	mab:MAB_1931c
ko:K15981	mab:MAB_0613
ko:K15982	mab:MAB_4173
ko:K15983	mab:MAB_0583c
ko:K03320	mab:MAB_0355
ko:K03781	mab:MAB_1842c
ko:K16147	mab:MAB_1468c
ko:K16148	mab:MAB_1351c
ko:K16301	mab:MAB_1160
ko:K16149	mab:MAB_3365
ko:K16150	mab:MAB_3366
ko:K18958	mab:MAB_3508c
ko:K10716	mab:MAB_3514c
ko:K05898	mab:MAB_0622c
ko:K16047	mab:MAB_0584
ko:K16048	mab:MAB_0586
ko:K16049	mab:MAB_0585
ko:K15982	mab:MAB_0080c
ko:K16051	mab:MAB_0623
ko:K18955	mab:MAB_3606c
ko:K02067	mab:MAB_4153c
ko:K02067	mab:MAB_4150c
ko:K18851	mab:MAB_0175
ko:K18851	mab:MAB_0177
ko:K16228	mab:MAB_4099c
ko:K16229	mab:MAB_4098c
ko:K16227	mab:MAB_4100c
ko:K05375	mab:MAB_4692c
ko:K00675	mab:MAB_0013c
ko:K18553	mab:MAB_2983c
ko:K10673	mab:MAB_2385
ko:K11735	mab:MAB_4909
ko:K10831	mab:MAB_2178
ko:K15552	mab:MAB_2176
ko:K00055	mab:MAB_4388
ko:K16653	mab:MAB_0192c
ko:K16645	mab:MAB_4083c
ko:K10009	mab:MAB_0277c
ko:K02424	mab:MAB_0277c
ko:K02066	mab:MAB_4518c
ko:K02066	mab:MAB_1011c
ko:K02066	mab:MAB_1694
ko:K02066	mab:MAB_4517c
ko:K02066	mab:MAB_4600c
ko:K02066	mab:MAB_4029
ko:K02067	mab:MAB_1009c
ko:K02067	mab:MAB_4515c
ko:K02067	mab:MAB_1696
ko:K02067	mab:MAB_4567c
ko:K02067	mab:MAB_4598c
ko:K02067	mab:MAB_4031
ko:K16652	mab:MAB_0191c
ko:K16650	mab:MAB_0171
ko:K16647	mab:MAB_2978
ko:K02066	mab:MAB_1012c
ko:K02066	mab:MAB_1693
ko:K02066	mab:MAB_4601c
ko:K02066	mab:MAB_4028
ko:K16649	mab:MAB_0202c
ko:K02851	mab:MAB_1445
ko:K16648	mab:MAB_4472
ko:K00561	mab:MAB_2297
ko:K16906	mab:MAB_1859
ko:K02030	mab:MAB_4236c
ko:K16907	mab:MAB_1858
ko:K16785	mab:MAB_1714
ko:K16841	mab:MAB_2934
ko:K16937	mab:MAB_1882c
ko:K16936	mab:MAB_4741c
ko:K16937	mab:MAB_4741c
ko:K18654	mab:MAB_2611
ko:K18652	mab:MAB_2612
ko:K18653	mab:MAB_2610
ko:K16870	mab:MAB_3612c
ko:K16840	mab:MAB_2931c
ko:K16905	mab:MAB_1860
ko:K06046	mab:MAB_4675c
ko:K17218	mab:MAB_4743c
ko:K02066	mab:MAB_2149
ko:K15581	mab:MAB_0427
ko:K19311	mab:MAB_3517
ko:K03574	mab:MAB_4221c
ko:K17103	mab:MAB_0638c
ko:K14222	mab:MAB_t5032
ko:K17228	mab:MAB_1060
ko:K15580	mab:MAB_0426
ko:K15582	mab:MAB_0428
ko:K02067	mab:MAB_4032
ko:K02067	mab:MAB_4035
ko:K17476	mab:MAB_3961c
ko:K01990	mab:MAB_1359c
ko:K01990	mab:MAB_1689
ko:K01990	mab:MAB_2752
ko:K00384	mab:MAB_2739c
ko:K10112	mab:MAB_1375
ko:K17686	mab:MAB_3984c
ko:K07052	mab:MAB_0709
ko:K17836	mab:MAB_2875
ko:K12574	mab:MAB_3083c
ko:K06978	mab:MAB_2156
ko:K00138	mab:MAB_0972
ko:K17883	mab:MAB_0062
ko:K17947	mab:MAB_4111c
ko:K22552	mab:MAB_1271c
ko:K00249	mab:MAB_2085
ko:K17840	mab:MAB_4395
ko:K06889	mab:MAB_1710c
ko:K07397	mab:MAB_1710c
ko:K00138	mab:MAB_2792c
ko:K21688	mab:MAB_1130
ko:K21689	mab:MAB_4080c
ko:K19302	mab:MAB_0199
ko:K03742	mab:MAB_2443
ko:K18472	mab:MAB_1876c
ko:K18481	mab:MAB_4147c
ko:K18481	mab:MAB_4146c
ko:K18481	mab:MAB_4593c
ko:K18481	mab:MAB_1004c
ko:K18455	mab:MAB_1203
ko:K16234	mab:MAB_2535
ko:K18455	mab:MAB_4015c
ko:K03574	mab:MAB_3291
ko:K18688	mab:MAB_4163c
ko:K10531	mab:MAB_1937
ko:K18701	mab:MAB_4864
ko:K18687	mab:MAB_0596c
ko:K02493	mab:MAB_2510c
ko:K18851	mab:MAB_0176
ko:K18851	mab:MAB_1579
ko:K01990	mab:MAB_0203c
ko:K01992	mab:MAB_0201c
ko:K21672	mab:MAB_4633
ko:K14229	mab:MAB_t5030c
ko:K18917	mab:MAB_3512
ko:K18955	mab:MAB_0409
ko:K18955	mab:MAB_3726
ko:K18913	mab:MAB_0373
ko:K18955	mab:MAB_3539
ko:K01971	mab:MAB_1033
ko:K18911	mab:MAB_0372
ko:K18912	mab:MAB_0370
ko:K03976	mab:MAB_3544
ko:K07029	mab:MAB_3885
ko:K03526	mab:MAB_3169c
ko:K16238	mab:MAB_3829c
ko:K03325	mab:MAB_2567
ko:K19221	mab:MAB_3156c
ko:K19170	mab:MAB_1095
ko:K19172	mab:MAB_1097
ko:K00798	mab:MAB_1456c
ko:K19171	mab:MAB_1096
ko:K01621	mab:MAB_2505c
ko:K19169	mab:MAB_1094
ko:K01990	mab:MAB_4215c
ko:K12952	mab:MAB_0962
ko:K19271	mab:MAB_2989
ko:K01066	mab:MAB_0078
ko:K22476	mab:MAB_4188
ko:K20261	mab:MAB_0297
ko:K08744	mab:MAB_2398
ko:K19577	mab:MAB_1429
ko:K19710	mab:MAB_2897c
ko:K19777	mab:MAB_3490c
ko:K01431	mab:MAB_2818c
ko:K05770	mab:MAB_2223
ko:K03182	mab:MAB_2767
ko:K12132	mab:MAB_0033c
ko:K12132	mab:MAB_0034c
ko:K20074	mab:MAB_0037c
ko:K20265	mab:MAB_0815
ko:K20470	mab:MAB_4508
ko:K20469	mab:MAB_4521c
ko:K20466	mab:MAB_4529
ko:K06147	mab:MAB_1415c
ko:K20467	mab:MAB_4528c
ko:K20468	mab:MAB_4524
ko:K01768	mab:MAB_4523
ko:K18939	mab:MAB_3924c
ko:K01214	mab:MAB_2690
ko:K20814	mab:MAB_2170
ko:K20940	mab:MAB_2237c
ko:K21071	mab:MAB_3335c
ko:K21140	mab:MAB_1478
ko:K21014	mab:MAB_1546c
ko:K22445	mab:MAB_4136c
ko:K21119	mab:MAB_1406c
ko:K00821	mab:MAB_2339
ko:K21147	mab:MAB_3525c
ko:K22552	mab:MAB_0463c
ko:K21281	mab:MAB_2278
ko:K03636	mab:MAB_1479
ko:K21148	mab:MAB_1480
ko:K03636	mab:MAB_0870c
ko:K14215	mab:MAB_1676
ko:K21200	mab:MAB_1939
ko:K21401	mab:MAB_3406
ko:K21397	mab:MAB_3698
ko:K21473	mab:MAB_2728c
ko:K21480	mab:MAB_4773
ko:K21474	mab:MAB_2727c
ko:K21401	mab:MAB_3929
ko:K21481	mab:MAB_0553c
ko:K21691	mab:MAB_1597
ko:K21600	mab:MAB_4542c
ko:K10914	mab:MAB_0416c
ko:K21608	mab:MAB_1272
ko:K21687	mab:MAB_0869c
ko:K21672	mab:MAB_0258c
ko:K21686	mab:MAB_4616c
ko:K21885	mab:MAB_2604c
ko:K21961	mab:MAB_0984c
ko:K21962	mab:MAB_2731
ko:K21992	mab:MAB_3125c
ko:K00936	mab:MAB_3540c
ko:K22010	mab:MAB_2627c
ko:K22044	mab:MAB_3477c
ko:K22044	mab:MAB_1411
ko:K22107	mab:MAB_0579c
ko:K22108	mab:MAB_0599
ko:K00467	mab:MAB_2126
ko:K22270	mab:MAB_0288
ko:K22187	mab:MAB_0823
ko:K17758	mab:MAB_3741c
ko:K17759	mab:MAB_3741c
ko:K22303	mab:MAB_4209c
ko:K22297	mab:MAB_2471c
ko:K22306	mab:MAB_1623
ko:K02257	mab:MAB_2758c
ko:K22336	mab:MAB_0126c
ko:K22311	mab:MAB_2895c
ko:K22303	mab:MAB_0086
ko:K22316	mab:MAB_1905
ko:K22336	mab:MAB_0127c
ko:K22295	mab:MAB_0085c
ko:K22298	mab:MAB_1679c
ko:K01551	mab:MAB_1982
ko:K11206	mab:MAB_4076
ko:K00728	mab:MAB_1122c
ko:K22468	mab:MAB_4135c
ko:K22468	mab:MAB_1040
ko:K07566	mab:MAB_1444
ko:K08300	mab:MAB_1607
ko:K08301	mab:MAB_1607
