ko:K01699	lmow:AX10_14270
ko:K14225	lmow:AX10_13230
ko:K14225	lmow:AX10_02590
ko:K14225	lmow:AX10_09635
ko:K14225	lmow:AX10_05810
ko:K14219	lmow:AX10_14710
ko:K14219	lmow:AX10_02580
ko:K14219	lmow:AX10_09645
ko:K14219	lmow:AX10_02785
ko:K14219	lmow:AX10_06400
ko:K14227	lmow:AX10_02525
ko:K14227	lmow:AX10_07060
ko:K14227	lmow:AX10_05885
ko:K14226	lmow:AX10_02535
ko:K14226	lmow:AX10_05820
ko:K14231	lmow:AX10_02540
ko:K14231	lmow:AX10_05835
ko:K14230	lmow:AX10_02560
ko:K14230	lmow:AX10_02565
ko:K14232	lmow:AX10_02575
ko:K14232	lmow:AX10_09650
ko:K14230	lmow:AX10_02550
ko:K14230	lmow:AX10_05845
ko:K14218	lmow:AX10_05880
ko:K14218	lmow:AX10_07055
ko:K14218	lmow:AX10_09655
ko:K14218	lmow:AX10_02570
ko:K04749	lmow:AX10_13000
ko:K14228	lmow:AX10_02595
ko:K14228	lmow:AX10_09630
ko:K14228	lmow:AX10_04665
ko:K14228	lmow:AX10_05800
ko:K14237	lmow:AX10_02610
ko:K14237	lmow:AX10_09615
ko:K14237	lmow:AX10_05850
ko:K14222	lmow:AX10_05805
ko:K14235	lmow:AX10_05825
ko:K18672	lmow:AX10_04860
ko:K18673	lmow:AX10_08005
ko:K18682	lmow:AX10_01075
ko:K07171	lmow:AX10_12975
ko:K03790	lmow:AX10_08405
ko:K18892	lmow:AX10_07935
ko:K18891	lmow:AX10_07930
ko:K18821	lmow:AX10_06905
ko:K18967	lmow:AX10_05165
ko:K08151	lmow:AX10_12725
ko:K03111	lmow:AX10_08700
ko:K18231	lmow:AX10_13160
ko:K03111	lmow:AX10_06685
ko:K00662	lmow:AX10_02755
ko:K03502	lmow:AX10_07530
ko:K03169	lmow:AX10_07955
ko:K03497	lmow:AX10_08135
ko:K03496	lmow:AX10_08140
ko:K03497	lmow:AX10_08155
ko:K06148	lmow:AX10_14160
ko:K00020	lmow:AX10_13595
ko:K19005	lmow:AX10_13195
ko:K04028	lmow:AX10_14425
ko:K00634	lmow:AX10_00920
ko:K07483	lmow:AX10_11835
ko:K07029	lmow:AX10_02975
ko:K03526	lmow:AX10_01285
ko:K07483	lmow:AX10_12690
ko:K18979	lmow:AX10_13235
ko:K13052	lmow:AX10_09540
ko:K07816	lmow:AX10_12550
ko:K19002	lmow:AX10_06845
ko:K09681	lmow:AX10_02885
ko:K02777	lmow:AX10_13660
ko:K03339	lmow:AX10_06850
ko:K00798	lmow:AX10_14550
ko:K16960	lmow:AX10_05705
ko:K05881	lmow:AX10_10305
ko:K05881	lmow:AX10_07655
ko:K01710	lmow:AX10_13995
ko:K00571	lmow:AX10_01995
ko:K09951	lmow:AX10_07105
ko:K19137	lmow:AX10_07100
ko:K16644	lmow:AX10_09475
ko:K01447	lmow:AX10_00225
ko:K19225	lmow:AX10_00760
ko:K19285	lmow:AX10_13245
ko:K03722	lmow:AX10_03735
ko:K01990	lmow:AX10_12320
ko:K01992	lmow:AX10_02275
ko:K01992	lmow:AX10_13185
ko:K19351	lmow:AX10_09470
ko:K01990	lmow:AX10_02270
ko:K01990	lmow:AX10_13180
ko:K19411	lmow:AX10_09680
ko:K19302	lmow:AX10_04325
ko:K19267	lmow:AX10_10740
ko:K04771	lmow:AX10_10000
ko:K19405	lmow:AX10_09685
ko:K19302	lmow:AX10_02205
ko:K03574	lmow:AX10_02440
ko:K19509	lmow:AX10_04240
ko:K19508	lmow:AX10_04245
ko:K19507	lmow:AX10_04250
ko:K19504	lmow:AX10_04235
ko:K06881	lmow:AX10_01960
ko:K19510	lmow:AX10_04230
ko:K19504	lmow:AX10_08650
ko:K00887	lmow:AX10_01400
ko:K02796	lmow:AX10_08595
ko:K02796	lmow:AX10_12445
ko:K02796	lmow:AX10_08965
ko:K19689	lmow:AX10_02770
ko:K19689	lmow:AX10_02105
ko:K01258	lmow:AX10_00955
ko:K00547	lmow:AX10_02485
ko:K00297	lmow:AX10_02485
ko:K02538	lmow:AX10_04975
ko:K00285	lmow:AX10_03790
ko:K21636	lmow:AX10_09915
ko:K19976	lmow:AX10_03475
ko:K20074	lmow:AX10_03340
ko:K12132	lmow:AX10_03335
ko:K20265	lmow:AX10_05785
ko:K20265	lmow:AX10_08660
ko:K20265	lmow:AX10_10795
ko:K20201	lmow:AX10_06770
ko:K00525	lmow:AX10_05070
ko:K18889	lmow:AX10_02345
ko:K20534	lmow:AX10_13225
ko:K18890	lmow:AX10_02340
ko:K20534	lmow:AX10_06820
ko:K22103	lmow:AX10_04795
ko:K20885	lmow:AX10_12850
ko:K01208	lmow:AX10_04890
ko:K21030	lmow:AX10_14010
ko:K21029	lmow:AX10_13820
ko:K08968	lmow:AX10_02060
ko:K21064	lmow:AX10_05605
ko:K00821	lmow:AX10_02025
ko:K00435	lmow:AX10_04825
ko:K00287	lmow:AX10_03605
ko:K00560	lmow:AX10_03610
ko:K07313	lmow:AX10_11810
ko:K06919	lmow:AX10_00090
ko:K02314	lmow:AX10_08745
ko:K09935	lmow:AX10_13045
ko:K03553	lmow:AX10_01070
ko:K02316	lmow:AX10_01355
ko:K06217	lmow:AX10_01415
ko:K01493	lmow:AX10_01495
ko:K04068	lmow:AX10_09920
ko:K03546	lmow:AX10_02315
ko:K00857	lmow:AX10_06790
ko:K06919	lmow:AX10_14880
ko:K01520	lmow:AX10_02670
ko:K13730	lmow:AX10_10725
ko:K17733	lmow:AX10_15020
ko:K21298	lmow:AX10_02850
ko:K02335	lmow:AX10_01910
ko:K21285	lmow:AX10_14020
ko:K13731	lmow:AX10_06860
ko:K13731	lmow:AX10_10730
ko:K00980	lmow:AX10_14025
ko:K00526	lmow:AX10_05065
ko:K21252	lmow:AX10_02725
ko:K01658	lmow:AX10_07920
ko:K22044	lmow:AX10_13635
ko:K21481	lmow:AX10_05360
ko:K21465	lmow:AX10_01270
ko:K21467	lmow:AX10_10760
ko:K21471	lmow:AX10_06590
ko:K21471	lmow:AX10_06595
ko:K18704	lmow:AX10_14005
ko:K21567	lmow:AX10_06015
ko:K21567	lmow:AX10_04045
ko:K21600	lmow:AX10_03505
ko:K21560	lmow:AX10_09455
ko:K18704	lmow:AX10_13965
ko:K00680	lmow:AX10_05725
ko:K21993	lmow:AX10_13125
ko:K22043	lmow:AX10_06535
ko:K00936	lmow:AX10_14370
ko:K21960	lmow:AX10_05735
ko:K03547	lmow:AX10_05405
ko:K03595	lmow:AX10_01390
ko:K01537	lmow:AX10_12735
ko:K22251	lmow:AX10_10270
ko:K22278	lmow:AX10_10635
ko:K17758	lmow:AX10_02200
ko:K02257	lmow:AX10_04525
ko:K05592	lmow:AX10_00290
ko:K13566	lmow:AX10_09950
ko:K22441	lmow:AX10_12620
