ko:K04042	cbh:CLC_3523
ko:K02027	cbh:CLC_0155
ko:K16786	cbh:CLC_3394
ko:K16625	cbh:CLC_0858
ko:K16624	cbh:CLC_0859
ko:K06011	cbh:CLC_0862
ko:K16623	cbh:CLC_0861
ko:K05825	cbh:CLC_1744
ko:K16787	cbh:CLC_3393
ko:K03616	cbh:CLC_0431
ko:K16785	cbh:CLC_3392
ko:K07257	cbh:CLC_2595
ko:K16788	cbh:CLC_2493
ko:K16789	cbh:CLC_0612
ko:K02027	cbh:CLC_1551
ko:K10823	cbh:CLC_3056
ko:K16626	cbh:CLC_0857
ko:K16651	cbh:CLC_1009
ko:K02026	cbh:CLC_1550
ko:K02025	cbh:CLC_1549
ko:K02055	cbh:CLC_1158
ko:K13015	cbh:CLC_3010
ko:K18344	cbh:CLC_1914
ko:K16962	cbh:CLC_1223
ko:K16898	cbh:CLC_0511
ko:K01835	cbh:CLC_3618
ko:K16950	cbh:CLC_1013
ko:K16951	cbh:CLC_1014
ko:K16786	cbh:CLC_2020
ko:K16787	cbh:CLC_2020
ko:K02028	cbh:CLC_1962
ko:K02028	cbh:CLC_0486
ko:K11636	cbh:CLC_0380
ko:K16786	cbh:CLC_1918
ko:K16787	cbh:CLC_1918
ko:K11635	cbh:CLC_0379
ko:K02004	cbh:CLC_0334
ko:K18345	cbh:CLC_1913
ko:K11991	cbh:CLC_0048
ko:K16963	cbh:CLC_1439
ko:K16785	cbh:CLC_2021
ko:K16925	cbh:CLC_1919
ko:K16926	cbh:CLC_2022
ko:K16962	cbh:CLC_1438
ko:K17828	cbh:CLC_3147
ko:K16899	cbh:CLC_0492
ko:K00196	cbh:CLC_1370
ko:K02749	cbh:CLC_0336
ko:K02750	cbh:CLC_0336
ko:K02054	cbh:CLC_1159
ko:K01978	cbh:CLC_3733
ko:K01983	cbh:CLC_3700
ko:K15035	cbh:CLC_0292
ko:K14080	cbh:CLC_1531
ko:K07260	cbh:CLC_0664
ko:K01760	cbh:CLC_0782
ko:K17103	cbh:CLC_0254
ko:K03574	cbh:CLC_2027
ko:K01990	cbh:CLC_0038
ko:K01990	cbh:CLC_0494
ko:K01990	cbh:CLC_0682
ko:K01990	cbh:CLC_0763
ko:K01990	cbh:CLC_0821
ko:K01990	cbh:CLC_0898
ko:K01990	cbh:CLC_2665
ko:K19309	cbh:CLC_2210
ko:K14238	cbh:CLC_2871
ko:K14229	cbh:CLC_3172
ko:K14229	cbh:CLC_3185
ko:K14229	cbh:CLC_3180
ko:K14229	cbh:CLC_3193
ko:K14226	cbh:CLC_3197
ko:K05601	cbh:CLC_2668
ko:K01992	cbh:CLC_0493
ko:K01992	cbh:CLC_0567
ko:K01992	cbh:CLC_0568
ko:K01992	cbh:CLC_0764
ko:K01992	cbh:CLC_0834
ko:K01992	cbh:CLC_1232
ko:K01992	cbh:CLC_1417
ko:K01992	cbh:CLC_1418
ko:K01992	cbh:CLC_3295
ko:K10112	cbh:CLC_1548
ko:K17686	cbh:CLC_1342
ko:K17675	cbh:CLC_1401
ko:K17758	cbh:CLC_3343
ko:K17759	cbh:CLC_3343
ko:K17722	cbh:CLC_2696
ko:K17723	cbh:CLC_2695
ko:K02107	cbh:CLC_2504
ko:K02116	cbh:CLC_0197
ko:K07076	cbh:CLC_2979
ko:K00335	cbh:CLC_1791
ko:K00336	cbh:CLC_1790
ko:K03742	cbh:CLC_0267
ko:K18672	cbh:CLC_3375
ko:K18707	cbh:CLC_2851
ko:K18682	cbh:CLC_2250
ko:K20025	cbh:CLC_2141
ko:K06147	cbh:CLC_1876
ko:K07171	cbh:CLC_3339
ko:K06147	cbh:CLC_1877
ko:K18888	cbh:CLC_1898
ko:K18887	cbh:CLC_1899
ko:K19055	cbh:CLC_1543
ko:K02315	cbh:CLC_2940
ko:K03526	cbh:CLC_2271
ko:K19141	cbh:CLC_2114
ko:K19221	cbh:CLC_1010
ko:K14761	cbh:CLC_0003
ko:K19142	cbh:CLC_2113
ko:K10796	cbh:CLC_2327
ko:K19076	cbh:CLC_2117
ko:K07317	cbh:CLC_2992
ko:K19091	cbh:CLC_2121
ko:K01990	cbh:CLC_0566
ko:K01990	cbh:CLC_0833
ko:K01990	cbh:CLC_1231
ko:K01990	cbh:CLC_1416
ko:K01990	cbh:CLC_3296
ko:K01066	cbh:CLC_2129
ko:K19271	cbh:CLC_1966
ko:K19302	cbh:CLC_0408
ko:K01567	cbh:CLC_2993
ko:K12952	cbh:CLC_1344
ko:K19310	cbh:CLC_2209
ko:K00638	cbh:CLC_0939
ko:K04771	cbh:CLC_3519
ko:K19405	cbh:CLC_3459
ko:K19302	cbh:CLC_3352
ko:K19411	cbh:CLC_3460
ko:K19350	cbh:CLC_2735
ko:K02031	cbh:CLC_1699
ko:K02032	cbh:CLC_1699
ko:K19689	cbh:CLC_2670
ko:K21636	cbh:CLC_0141
ko:K00100	cbh:CLC_1444
ko:K01560	cbh:CLC_1076
ko:K12132	cbh:CLC_2359
ko:K20074	cbh:CLC_2360
ko:K20037	cbh:CLC_2059
ko:K20107	cbh:CLC_1633
ko:K20108	cbh:CLC_1633
ko:K20116	cbh:CLC_2628
ko:K20117	cbh:CLC_2628
ko:K20118	cbh:CLC_2628
ko:K07800	cbh:CLC_0390
ko:K20265	cbh:CLC_2322
ko:K20265	cbh:CLC_0401
ko:K20116	cbh:CLC_1364
ko:K20117	cbh:CLC_1364
ko:K20118	cbh:CLC_1364
ko:K01400	cbh:CLC_1483
ko:K20491	cbh:CLC_1613
ko:K20492	cbh:CLC_1614
ko:K20487	cbh:CLC_1870
ko:K20487	cbh:CLC_1616
ko:K20488	cbh:CLC_1615
ko:K20490	cbh:CLC_1612
ko:K07800	cbh:CLC_0397
ko:K20534	cbh:CLC_0356
ko:K20488	cbh:CLC_1871
ko:K22103	cbh:CLC_1644
ko:K20882	cbh:CLC_2142
ko:K20026	cbh:CLC_2140
ko:K20904	cbh:CLC_3231
ko:K20903	cbh:CLC_3232
ko:K21028	cbh:CLC_1190
ko:K08968	cbh:CLC_2804
ko:K07258	cbh:CLC_1796
ko:K07258	cbh:CLC_2876
ko:K02030	cbh:CLC_1963B
ko:K02029	cbh:CLC_1963A
ko:K02077	cbh:CLC_3263
ko:K21417	cbh:CLC_1657
ko:K21405	cbh:CLC_1672
ko:K21405	cbh:CLC_1882
ko:K22044	cbh:CLC_3630
ko:K21416	cbh:CLC_1656
ko:K21405	cbh:CLC_1668
ko:K05364	cbh:CLC_3326
ko:K21471	cbh:CLC_0110
ko:K21576	cbh:CLC_1302
ko:K21577	cbh:CLC_1301
ko:K21562	cbh:CLC_0710
ko:K21600	cbh:CLC_1341
ko:K21600	cbh:CLC_2470
ko:K10672	cbh:CLC_1297
ko:K10671	cbh:CLC_1296
ko:K21929	cbh:CLC_0071
ko:K21929	cbh:CLC_0121
ko:K21898	cbh:CLC_1920
ko:K22132	cbh:CLC_0061
ko:K07456	cbh:CLC_0685
ko:K01046	cbh:CLC_2005
ko:K01585	cbh:CLC_3020
ko:K22405	cbh:CLC_2492
ko:K22430	cbh:CLC_2139
ko:K22432	cbh:CLC_2137
ko:K22431	cbh:CLC_3229
ko:K05592	cbh:CLC_1723
ko:K22373	cbh:CLC_1059
ko:K22431	cbh:CLC_2138
ko:K22432	cbh:CLC_3228
ko:K22430	cbh:CLC_3230
ko:K22579	cbh:CLC_2454
