ko:K22306	aacn:AANUM_0700
ko:K03929	aacn:AANUM_0727
ko:K06915	aacn:AANUM_0732
ko:K09858	aacn:AANUM_0734
ko:K07058	aacn:AANUM_0735
ko:K07560	aacn:AANUM_0736
ko:K03312	aacn:AANUM_0737
ko:K07640	aacn:AANUM_0738
ko:K07662	aacn:AANUM_0739
ko:K06186	aacn:AANUM_0740
ko:K06899	aacn:AANUM_0741
ko:K09904	aacn:AANUM_0742
ko:K07014	aacn:AANUM_0743
ko:K04765	aacn:AANUM_0745
ko:K06149	aacn:AANUM_0746
ko:K01872	aacn:AANUM_0747
ko:K03563	aacn:AANUM_0748
ko:K01840	aacn:AANUM_0749
ko:K00963	aacn:AANUM_0750
ko:K03764	aacn:AANUM_0751
ko:K09761	aacn:AANUM_0752
ko:K07735	aacn:AANUM_0753
ko:K07447	aacn:AANUM_0754
ko:K01689	aacn:AANUM_0755
ko:K00566	aacn:AANUM_0756
ko:K05952	aacn:AANUM_0757
ko:K03734	aacn:AANUM_0758
ko:K00351	aacn:AANUM_0759
ko:K00350	aacn:AANUM_0760
ko:K00349	aacn:AANUM_0761
ko:K00348	aacn:AANUM_0762
ko:K00347	aacn:AANUM_0763
ko:K00346	aacn:AANUM_0764
ko:K05527	aacn:AANUM_0765
ko:K07286	aacn:AANUM_0766
ko:K08306	aacn:AANUM_0767
ko:K03575	aacn:AANUM_0769
ko:K03439	aacn:AANUM_0770
ko:K09923	aacn:AANUM_0771
ko:K02012	aacn:AANUM_0772
ko:K02011	aacn:AANUM_0773
ko:K02010	aacn:AANUM_0774
ko:K05541	aacn:AANUM_0775
ko:K05801	aacn:AANUM_0776
ko:K00762	aacn:AANUM_0777
ko:K00989	aacn:AANUM_0778
ko:K06980	aacn:AANUM_0780
ko:K00094	aacn:AANUM_1585
ko:K02436	aacn:AANUM_1586
ko:K01662	aacn:AANUM_1587
ko:K00795	aacn:AANUM_1588
ko:K03602	aacn:AANUM_1589
ko:K01963	aacn:AANUM_1590
ko:K11754	aacn:AANUM_1591
ko:K06131	aacn:AANUM_1593
ko:K06177	aacn:AANUM_1595
ko:K06193	aacn:AANUM_1598
ko:K05685	aacn:AANUM_1601
ko:K13888	aacn:AANUM_1602
ko:K01886	aacn:AANUM_1603
ko:K09160	aacn:AANUM_1606
ko:K09808	aacn:AANUM_1611
ko:K09810	aacn:AANUM_1612
ko:K09808	aacn:AANUM_1613
ko:K01626	aacn:AANUM_1614
ko:K01775	aacn:AANUM_1616
ko:K01810	aacn:AANUM_1617
ko:K00794	aacn:AANUM_1619
ko:K03625	aacn:AANUM_1620
ko:K00946	aacn:AANUM_1621
ko:K01095	aacn:AANUM_1622
ko:K00215	aacn:AANUM_1624
ko:K11107	aacn:AANUM_1625
ko:K01153	aacn:AANUM_1633
ko:K02012	aacn:AANUM_1634
ko:K02011	aacn:AANUM_1635
ko:K02010	aacn:AANUM_1636
ko:K01176	aacn:AANUM_1637
ko:K21029	aacn:AANUM_2098
ko:K01985	aacn:AANUM_r001
ko:K02495	aacn:AANUM_0488
ko:K01977	aacn:AANUM_r003
ko:K00001	aacn:AANUM_0982
ko:K00526	aacn:AANUM_1703
ko:K10747	aacn:AANUM_2139
ko:K03462	aacn:AANUM_2319
ko:K06866	aacn:AANUM_2357
ko:K02314	aacn:AANUM_1615
ko:K01520	aacn:AANUM_0809
ko:K06223	aacn:AANUM_0822
ko:K03553	aacn:AANUM_0903
ko:K06952	aacn:AANUM_1872
ko:K04068	aacn:AANUM_1108
ko:K02314	aacn:AANUM_1149
ko:K01160	aacn:AANUM_1156
ko:K03791	aacn:AANUM_1163
ko:K07474	aacn:AANUM_1166
ko:K09961	aacn:AANUM_1168
ko:K09960	aacn:AANUM_1171
ko:K00560	aacn:AANUM_1204
ko:K02335	aacn:AANUM_0303
ko:K01980	aacn:AANUM_r005
ko:K02335	aacn:AANUM_0304
ko:K00287	aacn:AANUM_0322
ko:K00857	aacn:AANUM_0117
ko:K02316	aacn:AANUM_0121
ko:K00525	aacn:AANUM_1632
ko:K07334	aacn:AANUM_0602
ko:K00526	aacn:AANUM_1627
ko:K07741	aacn:AANUM_1146
ko:K13695	aacn:AANUM_1734
ko:K21470	aacn:AANUM_2173
ko:K21498	aacn:AANUM_1605
ko:K01420	aacn:AANUM_1748
ko:K21498	aacn:AANUM_1720
ko:K07334	aacn:AANUM_1721
ko:K07334	aacn:AANUM_1604
ko:K01980	aacn:AANUM_r002
ko:K02775	aacn:AANUM_1584
ko:K10026	aacn:AANUM_1355
ko:K21948	aacn:AANUM_1070
ko:K22015	aacn:AANUM_2163
ko:K22015	aacn:AANUM_2162
ko:K22132	aacn:AANUM_2284
ko:K08319	aacn:AANUM_1071
ko:K22131	aacn:AANUM_1068
ko:K22105	aacn:AANUM_0368
ko:K14230	aacn:AANUM_t002
ko:K22130	aacn:AANUM_1069
ko:K03079	aacn:AANUM_1326
ko:K03077	aacn:AANUM_1327
ko:K18446	aacn:AANUM_1407
