ko:K11741	lcl:LOCK919_3044
ko:K02027	lcl:LOCK919_1140
ko:K07284	lcl:LOCK919_p16
ko:K02768	lcl:LOCK919_0407
ko:K02768	lcl:LOCK919_2995
ko:K17836	lcl:LOCK919_3033
ko:K00661	lcl:LOCK919_2626
ko:K00661	lcl:LOCK919_3119
ko:K12574	lcl:LOCK919_1509
ko:K07284	lcl:LOCK919_2590
ko:K01187	lcl:LOCK919_1127
ko:K07284	lcl:LOCK919_0549
ko:K01187	lcl:LOCK919_2278
ko:K01838	lcl:LOCK919_1130
ko:K18104	lcl:LOCK919_2309
ko:K08168	lcl:LOCK919_0399
ko:K01101	lcl:LOCK919_0926
ko:K02769	lcl:LOCK919_2994
ko:K02769	lcl:LOCK919_0408
ko:K02794	lcl:LOCK919_3015
ko:K02794	lcl:LOCK919_0427
ko:K02770	lcl:LOCK919_2993
ko:K01071	lcl:LOCK919_2434
ko:K17869	lcl:LOCK919_0299
ko:K02770	lcl:LOCK919_0409
ko:K00104	lcl:LOCK919_2546
ko:K02794	lcl:LOCK919_0311
ko:K02794	lcl:LOCK919_0467
ko:K02794	lcl:LOCK919_0498
ko:K02794	lcl:LOCK919_3038
ko:K22597	lcl:LOCK919_0455
ko:K02794	lcl:LOCK919_0433
ko:K18889	lcl:LOCK919_2072
ko:K03475	lcl:LOCK919_0387
ko:K03476	lcl:LOCK919_0389
ko:K02760	lcl:LOCK919_2891
ko:K02775	lcl:LOCK919_0416
ko:K01684	lcl:LOCK919_0417
ko:K02755	lcl:LOCK919_0419
ko:K02756	lcl:LOCK919_0419
ko:K02757	lcl:LOCK919_0419
ko:K05847	lcl:LOCK919_0443
ko:K05845	lcl:LOCK919_0444
ko:K00033	lcl:LOCK919_2997
ko:K02027	lcl:LOCK919_3102
ko:K03671	lcl:LOCK919_0622
ko:K03322	lcl:LOCK919_0644
ko:K03826	lcl:LOCK919_0651
ko:K01187	lcl:LOCK919_0673
ko:K07006	lcl:LOCK919_p17
ko:K00426	lcl:LOCK919_0016
ko:K02759	lcl:LOCK919_1953
ko:K01439	lcl:LOCK919_1964
ko:K05685	lcl:LOCK919_2848
ko:K00634	lcl:LOCK919_1623
ko:K01271	lcl:LOCK919_0912
ko:K03328	lcl:LOCK919_2764
ko:K09017	lcl:LOCK919_2053
ko:K03742	lcl:LOCK919_1066
ko:K00105	lcl:LOCK919_0762
ko:K03293	lcl:LOCK919_0735
ko:K05910	lcl:LOCK919_0494
ko:K01621	lcl:LOCK919_0193
ko:K06384	lcl:LOCK919_3114
ko:K18581	lcl:LOCK919_2918
ko:K18672	lcl:LOCK919_1171
ko:K18682	lcl:LOCK919_1068
ko:K18692	lcl:LOCK919_0883
ko:K07171	lcl:LOCK919_0093
ko:K18892	lcl:LOCK919_0717
ko:K18891	lcl:LOCK919_0716
ko:K07171	lcl:LOCK919_2775
ko:K01262	lcl:LOCK919_0323
ko:K18929	lcl:LOCK919_2249
ko:K18928	lcl:LOCK919_2250
ko:K03111	lcl:LOCK919_0011
ko:K03111	lcl:LOCK919_0013
ko:K03497	lcl:LOCK919_0227
ko:K03496	lcl:LOCK919_0228
ko:K03497	lcl:LOCK919_0229
ko:K03502	lcl:LOCK919_1205
ko:K03111	lcl:LOCK919_2128
ko:K03205	lcl:LOCK919_0615
ko:K03502	lcl:LOCK919_p29
ko:K03496	lcl:LOCK919_p32
ko:K07029	lcl:LOCK919_1217
ko:K03761	lcl:LOCK919_0485
ko:K19002	lcl:LOCK919_0963
ko:K07483	lcl:LOCK919_0670
ko:K19005	lcl:LOCK919_0970
ko:K13052	lcl:LOCK919_2762
ko:K18979	lcl:LOCK919_2394
ko:K03741	lcl:LOCK919_3025
ko:K19005	lcl:LOCK919_1281
ko:K06609	lcl:LOCK919_1931
ko:K07498	lcl:LOCK919_p11
ko:K19225	lcl:LOCK919_1832
ko:K07448	lcl:LOCK919_1962
ko:K02476	lcl:LOCK919_3128
ko:K02475	lcl:LOCK919_3129
ko:K19157	lcl:LOCK919_0496
ko:K05881	lcl:LOCK919_0514
ko:K03339	lcl:LOCK919_0251
ko:K01710	lcl:LOCK919_2218
ko:K00571	lcl:LOCK919_1186
ko:K09951	lcl:LOCK919_2372
ko:K19225	lcl:LOCK919_0755
ko:K19168	lcl:LOCK919_1915
ko:K01215	lcl:LOCK919_1132
ko:K12952	lcl:LOCK919_0853
ko:K19265	lcl:LOCK919_2862
ko:K00020	lcl:LOCK919_0262
ko:K19302	lcl:LOCK919_2929
ko:K03722	lcl:LOCK919_1665
ko:K01992	lcl:LOCK919_1168
ko:K01992	lcl:LOCK919_2557
ko:K04771	lcl:LOCK919_3065
ko:K08217	lcl:LOCK919_1117
ko:K19302	lcl:LOCK919_0985
ko:K19350	lcl:LOCK919_0731
ko:K02031	lcl:LOCK919_1783
ko:K16960	lcl:LOCK919_0481
ko:K06881	lcl:LOCK919_0882
ko:K06881	lcl:LOCK919_3042
ko:K03483	lcl:LOCK919_3143
ko:K02796	lcl:LOCK919_0435
ko:K02796	lcl:LOCK919_0500
ko:K02796	lcl:LOCK919_3017
ko:K02796	lcl:LOCK919_3039
ko:K02796	lcl:LOCK919_3090
ko:K02796	lcl:LOCK919_0313
ko:K19689	lcl:LOCK919_1240
ko:K02538	lcl:LOCK919_2954
ko:K02538	lcl:LOCK919_2998
ko:K19802	lcl:LOCK919_0529
ko:K19802	lcl:LOCK919_3034
ko:K21636	lcl:LOCK919_0137
ko:K00527	lcl:LOCK919_2525
ko:K19975	lcl:LOCK919_2647
ko:K12132	lcl:LOCK919_2086
ko:K05770	lcl:LOCK919_1299
ko:K19976	lcl:LOCK919_2648
ko:K20074	lcl:LOCK919_1794
ko:K12132	lcl:LOCK919_1793
ko:K20112	lcl:LOCK919_0772
ko:K20114	lcl:LOCK919_0774
ko:K20113	lcl:LOCK919_0773
ko:K00525	lcl:LOCK919_1644
ko:K20345	lcl:LOCK919_2607
ko:K20344	lcl:LOCK919_2608
ko:K20534	lcl:LOCK919_0809
ko:K20488	lcl:LOCK919_0552
ko:K18889	lcl:LOCK919_1764
ko:K18890	lcl:LOCK919_1763
ko:K02793	lcl:LOCK919_0502
ko:K22103	lcl:LOCK919_0268
ko:K02790	lcl:LOCK919_2935
ko:K02791	lcl:LOCK919_2935
ko:K01208	lcl:LOCK919_1128
ko:K08968	lcl:LOCK919_1423
ko:K00560	lcl:LOCK919_1561
ko:K00287	lcl:LOCK919_1562
ko:K00525	lcl:LOCK919_p23
ko:K06191	lcl:LOCK919_1643
ko:K03546	lcl:LOCK919_0784
ko:K01493	lcl:LOCK919_1658
ko:K02316	lcl:LOCK919_1680
ko:K06217	lcl:LOCK919_1690
ko:K07474	lcl:LOCK919_2477
ko:K02315	lcl:LOCK919_2493
ko:K07455	lcl:LOCK919_2496
ko:K01520	lcl:LOCK919_2562
ko:K02314	lcl:LOCK919_0116
ko:K07455	lcl:LOCK919_1007
ko:K02315	lcl:LOCK919_1009
ko:K07313	lcl:LOCK919_0185
ko:K03553	lcl:LOCK919_1067
ko:K04068	lcl:LOCK919_1916
ko:K06909	lcl:LOCK919_2113
ko:K07474	lcl:LOCK919_2114
ko:K03553	lcl:LOCK919_2874
ko:K00857	lcl:LOCK919_1333
ko:K07455	lcl:LOCK919_2131
ko:K02315	lcl:LOCK919_0591
ko:K02335	lcl:LOCK919_1880
ko:K02032	lcl:LOCK919_1782
ko:K00526	lcl:LOCK919_p22
ko:K00526	lcl:LOCK919_1645
ko:K03293	lcl:LOCK919_1188
ko:K21471	lcl:LOCK919_0025
ko:K21467	lcl:LOCK919_0351
ko:K21471	lcl:LOCK919_2194
ko:K21471	lcl:LOCK919_0294
ko:K21567	lcl:LOCK919_0930
ko:K21562	lcl:LOCK919_0078
ko:K22024	lcl:LOCK919_2956
ko:K22043	lcl:LOCK919_2646
ko:K22044	lcl:LOCK919_0908
ko:K22129	lcl:LOCK919_2957
ko:K03595	lcl:LOCK919_1686
ko:K22212	lcl:LOCK919_0843
ko:K03078	lcl:LOCK919_2988
ko:K22213	lcl:LOCK919_0124
ko:K03077	lcl:LOCK919_2984
ko:K03079	lcl:LOCK919_2986
ko:K17758	lcl:LOCK919_0991
