ko:K19416	amai:I635_11015
ko:K08981	amai:I635_15655
ko:K09167	amai:I635_15660
ko:K01243	amai:I635_15695
ko:K06858	amai:I635_15705
ko:K00799	amai:I635_15780
ko:K04085	amai:I635_20090
ko:K07114	amai:I635_20225
ko:K07114	amai:I635_20230
ko:K02014	amai:I635_03215
ko:K02014	amai:I635_03230
ko:K02303	amai:I635_03305
ko:K03406	amai:I635_03315
ko:K15576	amai:I635_03320
ko:K15577	amai:I635_03325
ko:K15578	amai:I635_03330
ko:K01409	amai:I635_03455
ko:K01835	amai:I635_07820
ko:K01439	amai:I635_07865
ko:K07305	amai:I635_12095
ko:K00033	amai:I635_12100
ko:K00700	amai:I635_12110
ko:K00845	amai:I635_12135
ko:K01243	amai:I635_12240
ko:K00101	amai:I635_16525
ko:K15629	amai:I635_16630
ko:K02441	amai:I635_00320
ko:K09806	amai:I635_00350
ko:K02200	amai:I635_04630
ko:K01784	amai:I635_04645
ko:K02851	amai:I635_04685
ko:K00030	amai:I635_04710
ko:K00674	amai:I635_04785
ko:K02348	amai:I635_09025
ko:K06179	amai:I635_09045
ko:K00059	amai:I635_09085
ko:K02619	amai:I635_09100
ko:K00626	amai:I635_09170
ko:K00045	amai:I635_09205
ko:K01724	amai:I635_09240
ko:K03803	amai:I635_13410
ko:K01916	amai:I635_13465
ko:K02674	amai:I635_13505
ko:K01113	amai:I635_17970
ko:K00639	amai:I635_00305
ko:K02030	amai:I635_02745
ko:K00652	amai:I635_07160
ko:K01104	amai:I635_07180
ko:K06147	amai:I635_07210
ko:K01885	amai:I635_07230
ko:K02004	amai:I635_07275
ko:K07660	amai:I635_07300
ko:K02014	amai:I635_11495
ko:K01322	amai:I635_11510
ko:K03711	amai:I635_11570
ko:K06889	amai:I635_11680
ko:K01679	amai:I635_15815
ko:K02055	amai:I635_15935
ko:K00845	amai:I635_20305
ko:K00799	amai:I635_20400
ko:K02116	amai:I635_20450
ko:K03087	amai:I635_02950
ko:K03406	amai:I635_02995
ko:K06177	amai:I635_03085
ko:K01515	amai:I635_03145
ko:K00569	amai:I635_07415
ko:K16012	amai:I635_00435
ko:K16013	amai:I635_00440
ko:K03386	amai:I635_00470
ko:K03451	amai:I635_00510
ko:K03455	amai:I635_04890
ko:K00575	amai:I635_05015
ko:K06603	amai:I635_05100
ko:K03177	amai:I635_09275
ko:K07004	amai:I635_09325
ko:K03386	amai:I635_09340
ko:K03406	amai:I635_13675
ko:K00088	amai:I635_13685
ko:K13628	amai:I635_13760
ko:K01092	amai:I635_13810
ko:K00383	amai:I635_18125
ko:K02014	amai:I635_07465
ko:K02014	amai:I635_07635
ko:K02017	amai:I635_11775
ko:K03635	amai:I635_11790
ko:K02014	amai:I635_16310
ko:K01719	amai:I635_00675
ko:K03442	amai:I635_00765
ko:K15727	amai:I635_00805
ko:K15725	amai:I635_00810
ko:K03406	amai:I635_00915
ko:K01854	amai:I635_05215
ko:K10942	amai:I635_05240
ko:K10943	amai:I635_05245
ko:K02414	amai:I635_05280
ko:K00548	amai:I635_05395
ko:K07386	amai:I635_05440
ko:K01424	amai:I635_09705
ko:K07258	amai:I635_09725
ko:K02427	amai:I635_09810
ko:K02004	amai:I635_13905
ko:K01077	amai:I635_13920
ko:K01259	amai:I635_18280
ko:K05595	amai:I635_18340
ko:K00970	amai:I635_18370
ko:K01580	amai:I635_18390
ko:K02010	amai:I635_00760
ko:K00799	amai:I635_00945
ko:K01507	amai:I635_01045
ko:K06889	amai:I635_01095
ko:K01785	amai:I635_01110
ko:K03307	amai:I635_01125
ko:K01784	amai:I635_01145
ko:K12279	amai:I635_01195
ko:K12280	amai:I635_01205
ko:K12281	amai:I635_01210
ko:K01571	amai:I635_05470
ko:K01572	amai:I635_05475
ko:K03307	amai:I635_09905
ko:K02014	amai:I635_14245
ko:K01692	amai:I635_14295
ko:K06970	amai:I635_14330
ko:K01759	amai:I635_14420
ko:K07386	amai:I635_18585
ko:K08234	amai:I635_18615
ko:K03442	amai:I635_18620
ko:K05341	amai:I635_18630
ko:K00568	amai:I635_18725
ko:K09966	amai:I635_18730
ko:K12942	amai:I635_18755
ko:K00813	amai:I635_11460
ko:K17686	amai:I635_01740
ko:K01533	amai:I635_10890
ko:K00130	amai:I635_14310
ko:K01069	amai:I635_12495
ko:K09857	amai:I635_07090
ko:K00537	amai:I635_11220
ko:K01130	amai:I635_20205
ko:K06138	amai:I635_16415
ko:K02477	amai:I635_10510
ko:K17758	amai:I635_18800
ko:K17759	amai:I635_18800
ko:K00290	amai:I635_15510
ko:K14742	amai:I635_12970
ko:K05540	amai:I635_19430
ko:K05799	amai:I635_14965
ko:K03892	amai:I635_15420
ko:K03767	amai:I635_03240
ko:K01791	amai:I635_14020
ko:K01658	amai:I635_07340
ko:K00632	amai:I635_06645
ko:K00248	amai:I635_11485
ko:K00128	amai:I635_02675
ko:K00632	amai:I635_02900
ko:K01190	amai:I635_16180
ko:K08485	amai:I635_03850
ko:K00018	amai:I635_20010
ko:K01467	amai:I635_19170
ko:K01840	amai:I635_10260
ko:K00661	amai:I635_07380
ko:K07675	amai:I635_16475
ko:K03566	amai:I635_07755
ko:K12574	amai:I635_11935
ko:K01190	amai:I635_01150
ko:K07552	amai:I635_04285
ko:K01497	amai:I635_00930
ko:K03286	amai:I635_18845
ko:K07186	amai:I635_13375
ko:K17737	amai:I635_10580
ko:K01487	amai:I635_07985
ko:K18139	amai:I635_06000
ko:K01046	amai:I635_18720
ko:K03973	amai:I635_05520
ko:K18138	amai:I635_00885
ko:K00520	amai:I635_14670
ko:K18138	amai:I635_03410
ko:K07814	amai:I635_03575
ko:K01659	amai:I635_15605
ko:K03719	amai:I635_11080
ko:K00956	amai:I635_06570
ko:K00020	amai:I635_16490
ko:K07814	amai:I635_09250
ko:K00114	amai:I635_16370
ko:K00557	amai:I635_16895
ko:K00344	amai:I635_11730
ko:K03741	amai:I635_15425
ko:K09017	amai:I635_08020
ko:K03296	amai:I635_11615
ko:K02483	amai:I635_15450
ko:K01447	amai:I635_15670
ko:K00118	amai:I635_16235
ko:K03772	amai:I635_19680
ko:K07003	amai:I635_10735
ko:K03585	amai:I635_03405
ko:K03605	amai:I635_01520
ko:K18298	amai:I635_14935
ko:K18299	amai:I635_14930
ko:K02358	amai:I635_18495
ko:K02358	amai:I635_18500
ko:K09948	amai:I635_10010
ko:K00382	amai:I635_05965
ko:K03832	amai:I635_10130
ko:K03832	amai:I635_10140
ko:K03796	amai:I635_19455
ko:K02406	amai:I635_06855
ko:K01181	amai:I635_19745
ko:K00615	amai:I635_19755
ko:K00616	amai:I635_19770
ko:K01785	amai:I635_19775
ko:K02014	amai:I635_15590
ko:K02015	amai:I635_07185
ko:K07302	amai:I635_11655
ko:K16264	amai:I635_16080
ko:K01243	amai:I635_20335
ko:K03495	amai:I635_20475
ko:K12205	amai:I635_21024
ko:K03522	amai:I635_12185
ko:K00311	amai:I635_12190
ko:K00845	amai:I635_12210
ko:K01255	amai:I635_16400
ko:K13409	amai:I635_21234
ko:K00971	amai:I635_08175
ko:K07733	amai:I635_08515
ko:K01356	amai:I635_08685
ko:K03782	amai:I635_17355
ko:K03782	amai:I635_17360
ko:K12282	amai:I635_21809
ko:K03554	amai:I635_21979
ko:K01560	amai:I635_09030
ko:K02406	amai:I635_05090
ko:K00059	amai:I635_05155
ko:K06958	amai:I635_05205
ko:K07165	amai:I635_16505
ko:K07165	amai:I635_19255
ko:K07165	amai:I635_06420
ko:K02554	amai:I635_16575
ko:K00138	amai:I635_16465
ko:K00108	amai:I635_14315
ko:K09017	amai:I635_17265
ko:K18446	amai:I635_03020
ko:K07645	amai:I635_03795
ko:K01437	amai:I635_15020
ko:K00681	amai:I635_08105
ko:K00681	amai:I635_02170
ko:K00681	amai:I635_11410
ko:K00681	amai:I635_02690
ko:K20978	amai:I635_06815
ko:K18640	amai:I635_21044
ko:K18676	amai:I635_14820
ko:K18640	amai:I635_05765
ko:K18691	amai:I635_04910
ko:K06218	amai:I635_02810
ko:K18850	amai:I635_09600
ko:K10747	amai:I635_18680
ko:K07171	amai:I635_16700
ko:K18800	amai:I635_14855
ko:K18829	amai:I635_19300
ko:K18831	amai:I635_20140
ko:K20862	amai:I635_00980
ko:K20881	amai:I635_19600
ko:K18778	amai:I635_15010
ko:K22452	amai:I635_07800
ko:K00526	amai:I635_11150
ko:K10747	amai:I635_03615
ko:K18893	amai:I635_18575
ko:K12204	amai:I635_21029
ko:K12203	amai:I635_21034
ko:K12217	amai:I635_21099
ko:K12218	amai:I635_21104
ko:K12214	amai:I635_21154
ko:K12213	amai:I635_21159
ko:K12206	amai:I635_21189
ko:K10748	amai:I635_21194
ko:K03503	amai:I635_21294
ko:K03502	amai:I635_21299
ko:K07467	amai:I635_04355
ko:K03497	amai:I635_22094
ko:K03496	amai:I635_05365
ko:K03646	amai:I635_18325
ko:K03502	amai:I635_05780
ko:K03503	amai:I635_05785
ko:K12070	amai:I635_05860
ko:K12071	amai:I635_05865
ko:K12068	amai:I635_05890
ko:K12067	amai:I635_05895
ko:K14266	amai:I635_10320
ko:K08364	amai:I635_14675
ko:K08363	amai:I635_14680
ko:K12063	amai:I635_06045
ko:K12062	amai:I635_06055
ko:K12061	amai:I635_06060
ko:K12060	amai:I635_06065
ko:K12058	amai:I635_06070
ko:K03111	amai:I635_06110
ko:K12057	amai:I635_06185
ko:K12072	amai:I635_06190
ko:K12056	amai:I635_06195
ko:K09797	amai:I635_14925
ko:K03496	amai:I635_15170
ko:K04565	amai:I635_15305
ko:K11811	amai:I635_15430
ko:K14266	amai:I635_19700
ko:K03646	amai:I635_06915
ko:K03746	amai:I635_11545
ko:K08722	amai:I635_11635
ko:K08722	amai:I635_11640
ko:K08722	amai:I635_11695
ko:K03497	amai:I635_20455
ko:K03496	amai:I635_20460
ko:K03496	amai:I635_22089
ko:K03976	amai:I635_08320
ko:K10277	amai:I635_21594
ko:K07484	amai:I635_01840
ko:K07484	amai:I635_09975
ko:K07484	amai:I635_14185
ko:K07484	amai:I635_16120
ko:K07483	amai:I635_21249
ko:K07483	amai:I635_21269
ko:K07483	amai:I635_04290
ko:K07483	amai:I635_00830
ko:K07483	amai:I635_09885
ko:K07483	amai:I635_10045
ko:K07483	amai:I635_20295
ko:K03526	amai:I635_13725
ko:K02663	amai:I635_02325
ko:K12064	amai:I635_05915
ko:K12069	amai:I635_05920
ko:K18979	amai:I635_18805
ko:K02664	amai:I635_02320
ko:K07746	amai:I635_12675
ko:K07746	amai:I635_14570
ko:K07746	amai:I635_16140
ko:K19155	amai:I635_18215
ko:K19156	amai:I635_18210
ko:K00476	amai:I635_21639
ko:K19166	amai:I635_20135
ko:K05375	amai:I635_21584
ko:K07448	amai:I635_00525
ko:K19158	amai:I635_11825
ko:K19159	amai:I635_11820
ko:K01710	amai:I635_17605
ko:K19166	amai:I635_20355
ko:K19228	amai:I635_05490
ko:K19229	amai:I635_05485
ko:K00798	amai:I635_08335
ko:K19227	amai:I635_05495
ko:K19092	amai:I635_12670
ko:K19230	amai:I635_05480
ko:K07448	amai:I635_16020
ko:K07497	amai:I635_21264
ko:K07497	amai:I635_00780
ko:K07497	amai:I635_00790
ko:K07497	amai:I635_00835
ko:K07497	amai:I635_14795
ko:K03722	amai:I635_12975
ko:K00839	amai:I635_08095
ko:K19337	amai:I635_12155
ko:K01175	amai:I635_11550
ko:K19302	amai:I635_01015
ko:K19302	amai:I635_03260
ko:K19337	amai:I635_12230
ko:K19337	amai:I635_20325
ko:K02650	amai:I635_14990
ko:K19577	amai:I635_15340
ko:K13665	amai:I635_14065
ko:K02030	amai:I635_19420
ko:K19592	amai:I635_05930
ko:K19594	amai:I635_05995
ko:K19707	amai:I635_09790
ko:K01214	amai:I635_12105
ko:K01069	amai:I635_10530
ko:K07119	amai:I635_19105
ko:K07147	amai:I635_11705
ko:K07662	amai:I635_02425
ko:K07274	amai:I635_04235
ko:K19804	amai:I635_11095
ko:K19810	amai:I635_03200
ko:K19954	amai:I635_01975
ko:K19170	amai:I635_20799
ko:K09796	amai:I635_02625
ko:K20035	amai:I635_12175
ko:K07484	amai:I635_04330
ko:K07484	amai:I635_17770
ko:K07484	amai:I635_09490
ko:K07484	amai:I635_10135
ko:K20264	amai:I635_16570
ko:K00507	amai:I635_16905
ko:K09788	amai:I635_15615
ko:K20455	amai:I635_15610
ko:K20444	amai:I635_17600
ko:K20542	amai:I635_17110
ko:K20543	amai:I635_17105
ko:K20541	amai:I635_17115
ko:K16044	amai:I635_19140
ko:K11529	amai:I635_15630
ko:K01200	amai:I635_10330
ko:K20920	amai:I635_08185
ko:K20988	amai:I635_08190
ko:K16554	amai:I635_08195
ko:K03148	amai:I635_00650
ko:K21029	amai:I635_11810
ko:K21053	amai:I635_08040
ko:K00821	amai:I635_02250
ko:K01768	amai:I635_02180
ko:K00525	amai:I635_11145
ko:K14379	amai:I635_08890
ko:K21023	amai:I635_12360
ko:K16011	amai:I635_17590
ko:K08968	amai:I635_10680
ko:K02495	amai:I635_11770
ko:K20977	amai:I635_06820
ko:K20975	amai:I635_16450
ko:K21218	amai:I635_06445
ko:K06223	amai:I635_02290
ko:K03676	amai:I635_02460
ko:K06223	amai:I635_16015
ko:K02315	amai:I635_20480
ko:K00287	amai:I635_02945
ko:K00560	amai:I635_03055
ko:K06217	amai:I635_07585
ko:K02316	amai:I635_03435
ko:K00558	amai:I635_12395
ko:K03546	amai:I635_04180
ko:K07455	amai:I635_08565
ko:K02314	amai:I635_08680
ko:K03553	amai:I635_04570
ko:K17733	amai:I635_08745
ko:K07474	amai:I635_08770
ko:K00558	amai:I635_00555
ko:K07336	amai:I635_18435
ko:K00857	amai:I635_14240
ko:K09882	amai:I635_14645
ko:K02314	amai:I635_18850
ko:K09882	amai:I635_06130
ko:K02335	amai:I635_00070
ko:K02481	amai:I635_15190
ko:K01139	amai:I635_00710
ko:K21217	amai:I635_18000
ko:K00249	amai:I635_11740
ko:K02483	amai:I635_03800
ko:K02483	amai:I635_18420
ko:K02483	amai:I635_14385
ko:K21420	amai:I635_09655
ko:K21470	amai:I635_12750
ko:K01420	amai:I635_10905
ko:K21498	amai:I635_02795
ko:K07334	amai:I635_02800
ko:K21575	amai:I635_10355
ko:K21498	amai:I635_17960
ko:K21699	amai:I635_06520
ko:K10914	amai:I635_12665
ko:K10914	amai:I635_17270
ko:K08365	amai:I635_14685
ko:K21973	amai:I635_00850
ko:K21990	amai:I635_13085
ko:K22105	amai:I635_16900
ko:K22132	amai:I635_10245
ko:K01816	amai:I635_01955
ko:K03595	amai:I635_13390
ko:K22293	amai:I635_16170
ko:K01505	amai:I635_15470
ko:K02257	amai:I635_19270
ko:K02257	amai:I635_19885
ko:K01439	amai:I635_13595
ko:K11391	amai:I635_03245
ko:K00275	amai:I635_09125
ko:K01007	amai:I635_09560
