ko:K00130	saux:SAI6T6_1019460
ko:K20118	saux:SAI6T6_1018840
ko:K20338	saux:SAI6T6_1012930
ko:K20534	saux:SAI6T6_1005420
ko:K21721	saux:SAI6T6_1000730
ko:K21949	saux:SAI6T6_1000720
ko:K02790	saux:SAI6T6_1001850
ko:K02791	saux:SAI6T6_1001850
ko:K21029	saux:SAI6T6_1016740
ko:K21030	saux:SAI6T6_1001920
ko:K00525	saux:SAI6T6_1005650
ko:K21030	saux:SAI6T6_1001960
ko:K21064	saux:SAI6T6_1006790
ko:K00435	saux:SAI6T6_1004490
ko:K00526	saux:SAI6T6_1005660
ko:K00632	saux:SAI6T6_1001760
ko:K06217	saux:SAI6T6_1011380
ko:K01493	saux:SAI6T6_1011530
ko:K11038	saux:SAI6T6_1013320
ko:K11038	saux:SAI6T6_1013330
ko:K00857	saux:SAI6T6_1015570
ko:K11038	saux:SAI6T6_1017880
ko:K11038	saux:SAI6T6_1017890
ko:K11038	saux:SAI6T6_1017900
ko:K04068	saux:SAI6T6_1019490
ko:K02314	saux:SAI6T6_1000130
ko:K01174	saux:SAI6T6_1006200
ko:K03553	saux:SAI6T6_1009220
ko:K03546	saux:SAI6T6_1009640
ko:K00287	saux:SAI6T6_1010290
ko:K00560	saux:SAI6T6_1010300
ko:K02316	saux:SAI6T6_1011320
ko:K06958	saux:SAI6T6_1005960
ko:K05020	saux:SAI6T6_1016210
ko:K13714	saux:SAI6T6_1007420
ko:K02335	saux:SAI6T6_1012280
ko:K21285	saux:SAI6T6_1004910
ko:K02032	saux:SAI6T6_1006960
ko:K00108	saux:SAI6T6_1019450
ko:K03296	saux:SAI6T6_1016640
ko:K02031	saux:SAI6T6_1009930
ko:K22044	saux:SAI6T6_1002790
ko:K21453	saux:SAI6T6_1019940
ko:K21478	saux:SAI6T6_1019960
ko:K21567	saux:SAI6T6_1017540
ko:K21591	saux:SAI6T6_1001950
ko:K18704	saux:SAI6T6_1001980
ko:K21828	saux:SAI6T6_1019630
ko:K22136	saux:SAI6T6_1008330
ko:K00754	saux:SAI6T6_1010510
ko:K22135	saux:SAI6T6_1004360
ko:K03595	saux:SAI6T6_1011370
ko:K22132	saux:SAI6T6_1011800
ko:K22109	saux:SAI6T6_1019470
ko:K03547	saux:SAI6T6_1013610
ko:K17758	saux:SAI6T6_1000060
ko:K02257	saux:SAI6T6_1007920
ko:K22409	saux:SAI6T6_1003400
ko:K13566	saux:SAI6T6_1014900
ko:K22441	saux:SAI6T6_1017520
