ko:K16238	kpj:N559_4105
ko:K09801	kpj:N559_1314
ko:K03631	kpj:N559_1316
ko:K00858	kpj:N559_1317
ko:K03687	kpj:N559_1318
ko:K03106	kpj:N559_1321
ko:K02959	kpj:N559_1322
ko:K02860	kpj:N559_1323
ko:K00554	kpj:N559_1324
ko:K02884	kpj:N559_1325
ko:K02195	kpj:N559_2212
ko:K02196	kpj:N559_2213
ko:K02197	kpj:N559_2214
ko:K02198	kpj:N559_2215
ko:K02199	kpj:N559_2216
ko:K01652	kpj:N559_2228
ko:K01575	kpj:N559_2229
ko:K00019	kpj:N559_2231
ko:K00074	kpj:N559_2234
ko:K01029	kpj:N559_2237
ko:K01028	kpj:N559_2238
ko:K07240	kpj:N559_2243
ko:K02034	kpj:N559_2267
ko:K01673	kpj:N559_2274
ko:K00566	kpj:N559_3154
ko:K07153	kpj:N559_3155
ko:K01756	kpj:N559_3156
ko:K07637	kpj:N559_3160
ko:K12410	kpj:N559_3170
ko:K09808	kpj:N559_3172
ko:K09810	kpj:N559_3173
ko:K09808	kpj:N559_3174
ko:K03723	kpj:N559_3175
ko:K12151	kpj:N559_3177
ko:K03885	kpj:N559_3182
ko:K07000	kpj:N559_3183
ko:K01207	kpj:N559_3184
ko:K07251	kpj:N559_3185
ko:K07337	kpj:N559_3186
ko:K02503	kpj:N559_3188
ko:K03424	kpj:N559_3190
ko:K02341	kpj:N559_3191
ko:K00943	kpj:N559_3192
ko:K07082	kpj:N559_3193
ko:K09458	kpj:N559_3195
ko:K02078	kpj:N559_3196
ko:K00645	kpj:N559_3198
ko:K02038	kpj:N559_0018
ko:K02036	kpj:N559_0019
ko:K02039	kpj:N559_0020
ko:K10124	kpj:N559_0021
ko:K06901	kpj:N559_0025
ko:K08163	kpj:N559_0030
ko:K03650	kpj:N559_0032
ko:K03217	kpj:N559_0033
ko:K03536	kpj:N559_0034
ko:K02313	kpj:N559_0035
ko:K02338	kpj:N559_0036
ko:K03629	kpj:N559_0037
ko:K02470	kpj:N559_0038
ko:K00883	kpj:N559_0043
ko:K01631	kpj:N559_0044
ko:K01684	kpj:N559_0045
ko:K04080	kpj:N559_0049
ko:K04081	kpj:N559_0050
ko:K03482	kpj:N559_0054
ko:K02749	kpj:N559_0055
ko:K02750	kpj:N559_0055
ko:K01232	kpj:N559_0056
ko:K06871	kpj:N559_0059
ko:K01753	kpj:N559_0060
ko:K13629	kpj:N559_0061
ko:K01652	kpj:N559_0067
ko:K01653	kpj:N559_0068
ko:K07675	kpj:N559_0070
ko:K07783	kpj:N559_0071
ko:K05306	kpj:N559_0076
ko:K03430	kpj:N559_0077
ko:K11081	kpj:N559_0079
ko:K11084	kpj:N559_0080
ko:K08169	kpj:N559_0921
ko:K03893	kpj:N559_0931
ko:K03305	kpj:N559_0933
ko:K15550	kpj:N559_0935
ko:K15547	kpj:N559_0936
ko:K15549	kpj:N559_0937
ko:K06975	kpj:N559_0940
ko:K07350	kpj:N559_0942
ko:K07349	kpj:N559_0943
ko:K07348	kpj:N559_0944
ko:K07347	kpj:N559_0945
ko:K07351	kpj:N559_0947
ko:K07345	kpj:N559_0948
ko:K07357	kpj:N559_0951
ko:K07345	kpj:N559_0956
ko:K07347	kpj:N559_0958
ko:K02532	kpj:N559_0975
ko:K01193	kpj:N559_0976
ko:K10192	kpj:N559_0978
ko:K02217	kpj:N559_1854
ko:K16210	kpj:N559_1859
ko:K02255	kpj:N559_1861
ko:K10537	kpj:N559_1863
ko:K10539	kpj:N559_1864
ko:K10538	kpj:N559_1865
ko:K01087	kpj:N559_1866
ko:K00697	kpj:N559_1867
ko:K14064	kpj:N559_1868
ko:K16210	kpj:N559_1869
ko:K15532	kpj:N559_1870
ko:K01887	kpj:N559_1871
ko:K09907	kpj:N559_1872
ko:K15257	kpj:N559_1874
ko:K15256	kpj:N559_1875
ko:K07136	kpj:N559_1876
ko:K01876	kpj:N559_1879
ko:K08310	kpj:N559_1880
ko:K01159	kpj:N559_1882
ko:K03550	kpj:N559_1883
ko:K03551	kpj:N559_1884
ko:K09816	kpj:N559_1885
ko:K09817	kpj:N559_1886
ko:K02560	kpj:N559_1889
ko:K00873	kpj:N559_1890
ko:K00036	kpj:N559_1893
ko:K01690	kpj:N559_1894
ko:K01625	kpj:N559_1895
ko:K08289	kpj:N559_1897
ko:K09918	kpj:N559_1896
ko:K01354	kpj:N559_1899
ko:K10857	kpj:N559_1900
ko:K07156	kpj:N559_1902
ko:K09824	kpj:N559_1908
ko:K03758	kpj:N559_2805
ko:K00427	kpj:N559_0201
ko:K14762	kpj:N559_0202
ko:K02562	kpj:N559_0204
ko:K00009	kpj:N559_0205
ko:K01042	kpj:N559_0210
ko:K03833	kpj:N559_0211
ko:K05796	kpj:N559_0212
ko:K02529	kpj:N559_0216
ko:K10544	kpj:N559_0217
ko:K10545	kpj:N559_0218
ko:K10543	kpj:N559_0219
ko:K01805	kpj:N559_0220
ko:K01878	kpj:N559_0226
ko:K01879	kpj:N559_0227
ko:K03704	kpj:N559_0231
ko:K07726	kpj:N559_0232
ko:K08195	kpj:N559_0233
ko:K00874	kpj:N559_0237
ko:K02525	kpj:N559_0239
ko:K03826	kpj:N559_0243
ko:K01246	kpj:N559_0244
ko:K08177	kpj:N559_0246
ko:K12975	kpj:N559_0247
ko:K12368	kpj:N559_0251
ko:K12369	kpj:N559_0252
ko:K12370	kpj:N559_0253
ko:K12371	kpj:N559_0254
ko:K12372	kpj:N559_0255
ko:K01706	kpj:N559_1100
ko:K00865	kpj:N559_1101
ko:K07678	kpj:N559_1102
ko:K03215	kpj:N559_1103
ko:K01937	kpj:N559_1106
ko:K01689	kpj:N559_1107
ko:K10026	kpj:N559_1110
ko:K01737	kpj:N559_1111
ko:K00381	kpj:N559_1114
ko:K00390	kpj:N559_1115
ko:K09612	kpj:N559_1116
ko:K02302	kpj:N559_1117
ko:K00957	kpj:N559_1118
ko:K00860	kpj:N559_1120
ko:K05589	kpj:N559_1122
ko:K01770	kpj:N559_1125
ko:K03787	kpj:N559_1128
ko:K00573	kpj:N559_1129
ko:K06194	kpj:N559_1130
ko:K03186	kpj:N559_1136
ko:K03555	kpj:N559_1140
ko:K02013	kpj:N559_1143
ko:K02015	kpj:N559_1144
ko:K02016	kpj:N559_1145
ko:K07225	kpj:N559_1146
ko:K16087	kpj:N559_1147
ko:K07401	kpj:N559_1148
ko:K01652	kpj:N559_1149
ko:K07088	kpj:N559_1150
ko:K11606	kpj:N559_1153
ko:K11605	kpj:N559_1154
ko:K00847	kpj:N559_1158
ko:K02759	kpj:N559_1159
ko:K00948	kpj:N559_2039
ko:K00919	kpj:N559_2040
ko:K02494	kpj:N559_2041
ko:K02492	kpj:N559_2042
ko:K02835	kpj:N559_2043
ko:K02493	kpj:N559_2044
ko:K01627	kpj:N559_2047
ko:K07300	kpj:N559_2048
ko:K00372	kpj:N559_2060
ko:K07673	kpj:N559_2064
ko:K02575	kpj:N559_2065
ko:K00370	kpj:N559_2067
ko:K00371	kpj:N559_2068
ko:K00373	kpj:N559_2069
ko:K01433	kpj:N559_2072
ko:K07001	kpj:N559_2074
ko:K00963	kpj:N559_2076
ko:K04072	kpj:N559_2080
ko:K15580	kpj:N559_2084
ko:K15581	kpj:N559_2085
ko:K10716	kpj:N559_2089
ko:K09901	kpj:N559_2090
ko:K06131	kpj:N559_2091
ko:K09780	kpj:N559_2095
ko:K03832	kpj:N559_2096
ko:K03457	kpj:N559_2988
ko:K09975	kpj:N559_2989
ko:K00208	kpj:N559_2990
ko:K01147	kpj:N559_2993
ko:K03113	kpj:N559_2997
ko:K01591	kpj:N559_2998
ko:K01681	kpj:N559_3003
ko:K13634	kpj:N559_3005
ko:K03168	kpj:N559_3006
ko:K06178	kpj:N559_3012
ko:K07053	kpj:N559_3016
ko:K13498	kpj:N559_3018
ko:K01696	kpj:N559_3019
ko:K01695	kpj:N559_3020
ko:K07246	kpj:N559_3022
ko:K13021	kpj:N559_3023
ko:K16090	kpj:N559_3030
ko:K07275	kpj:N559_3032
ko:K06940	kpj:N559_3033
ko:K06190	kpj:N559_3035
ko:K10806	kpj:N559_3037
ko:K01491	kpj:N559_3915
ko:K01883	kpj:N559_3917
ko:K03269	kpj:N559_3919
ko:K01589	kpj:N559_3922
ko:K06917	kpj:N559_3923
ko:K02003	kpj:N559_3927
ko:K10804	kpj:N559_3928
ko:K05838	kpj:N559_3930
ko:K02069	kpj:N559_3931
ko:K02068	kpj:N559_3932
ko:K07340	kpj:N559_3934
ko:K09973	kpj:N559_3937
ko:K08223	kpj:N559_3940
ko:K00892	kpj:N559_3943
ko:K01772	kpj:N559_3944
ko:K11102	kpj:N559_4816
ko:K01895	kpj:N559_4818
ko:K14393	kpj:N559_4820
ko:K07347	kpj:N559_4823
ko:K06901	kpj:N559_4831
ko:K13639	kpj:N559_4833
ko:K13631	kpj:N559_4834
ko:K07277	kpj:N559_4844
ko:K03701	kpj:N559_4853
ko:K03788	kpj:N559_4856
ko:K00832	kpj:N559_4857
ko:K01775	kpj:N559_4858
ko:K05539	kpj:N559_4862
ko:K09823	kpj:N559_4865
ko:K03327	kpj:N559_4868
ko:K01356	kpj:N559_4869
ko:K00648	kpj:N559_3199
ko:K03621	kpj:N559_3200
ko:K02911	kpj:N559_3201
ko:K07040	kpj:N559_3202
ko:K08300	kpj:N559_3205
ko:K09932	kpj:N559_4064
ko:K11736	kpj:N559_4069
ko:K03311	kpj:N559_4070
ko:K07636	kpj:N559_4071
ko:K03547	kpj:N559_4073
ko:K00847	kpj:N559_4075
ko:K03554	kpj:N559_4076
ko:K09913	kpj:N559_4077
ko:K14591	kpj:N559_4078
ko:K00891	kpj:N559_4080
ko:K09945	kpj:N559_4081
ko:K09768	kpj:N559_4082
ko:K00286	kpj:N559_4083
ko:K01921	kpj:N559_4089
ko:K01698	kpj:N559_4096
ko:K03119	kpj:N559_4098
ko:K15552	kpj:N559_4099
ko:K15551	kpj:N559_4101
ko:K03735	kpj:N559_4106
ko:K03736	kpj:N559_4107
ko:K01999	kpj:N559_4109
ko:K01997	kpj:N559_4110
ko:K01998	kpj:N559_4111
ko:K01995	kpj:N559_4112
ko:K01996	kpj:N559_4113
ko:K02029	kpj:N559_4117
ko:K02029	kpj:N559_4118
ko:K05835	kpj:N559_4971
ko:K03654	kpj:N559_4972
ko:K01058	kpj:N559_4973
ko:K05786	kpj:N559_4975
ko:K03284	kpj:N559_4976
ko:K03657	kpj:N559_4977
ko:K03733	kpj:N559_4979
ko:K09921	kpj:N559_4980
ko:K01778	kpj:N559_4981
ko:K06202	kpj:N559_4983
ko:K05851	kpj:N559_4984
ko:K01749	kpj:N559_4985
ko:K02496	kpj:N559_4987
ko:K02498	kpj:N559_4988
ko:K02853	kpj:N559_4991
ko:K12582	kpj:N559_4992
ko:K16693	kpj:N559_4993
ko:K02805	kpj:N559_4994
ko:K16704	kpj:N559_4995
ko:K00973	kpj:N559_4996
ko:K02472	kpj:N559_4998
ko:K05790	kpj:N559_5000
ko:K03628	kpj:N559_5002
ko:K03732	kpj:N559_5004
ko:K01524	kpj:N559_5005
ko:K07150	kpj:N559_5008
ko:K03656	kpj:N559_5009
ko:K00053	kpj:N559_5012
ko:K01754	kpj:N559_5015
ko:K01687	kpj:N559_5016
ko:K00826	kpj:N559_5017
ko:K11258	kpj:N559_5018
ko:K01652	kpj:N559_5019
ko:K07391	kpj:N559_5020
ko:K09897	kpj:N559_5021
ko:K13938	kpj:N559_2806
ko:K07661	kpj:N559_2808
ko:K07639	kpj:N559_2810
ko:K01676	kpj:N559_2813
ko:K01809	kpj:N559_2814
ko:K16136	kpj:N559_2816
ko:K14155	kpj:N559_2819
ko:K16074	kpj:N559_2820
ko:K08987	kpj:N559_2823
ko:K07112	kpj:N559_2824
ko:K00134	kpj:N559_2828
ko:K07248	kpj:N559_2829
ko:K05526	kpj:N559_2834
ko:K01484	kpj:N559_2835
ko:K06447	kpj:N559_2836
ko:K00673	kpj:N559_2837
ko:K00840	kpj:N559_2838
ko:K00261	kpj:N559_2839
ko:K03578	kpj:N559_2847
ko:K01118	kpj:N559_2848
ko:K02617	kpj:N559_2850
ko:K02616	kpj:N559_2851
ko:K01912	kpj:N559_2852
ko:K00074	kpj:N559_2855
ko:K15866	kpj:N559_2856
ko:K02613	kpj:N559_2858
ko:K02013	kpj:N559_3720
ko:K02364	kpj:N559_3721
ko:K02362	kpj:N559_3725
ko:K00615	kpj:N559_3726
ko:K00615	kpj:N559_3727
ko:K00864	kpj:N559_3729
ko:K17202	kpj:N559_3730
ko:K17204	kpj:N559_3732
ko:K17203	kpj:N559_3733
ko:K16053	kpj:N559_3738
ko:K02168	kpj:N559_3740
ko:K02167	kpj:N559_3741
ko:K02034	kpj:N559_3747
ko:K15372	kpj:N559_3750
ko:K02029	kpj:N559_3753
ko:K02029	kpj:N559_3754
ko:K00375	kpj:N559_3756
ko:K06048	kpj:N559_3759
ko:K10679	kpj:N559_3774
ko:K00609	kpj:N559_4639
ko:K00610	kpj:N559_4640
ko:K01531	kpj:N559_4642
ko:K03485	kpj:N559_4643
ko:K02818	kpj:N559_4644
ko:K02819	kpj:N559_4644
ko:K02761	kpj:N559_4646
ko:K02760	kpj:N559_4648
ko:K01042	kpj:N559_4657
ko:K01465	kpj:N559_4658
ko:K15536	kpj:N559_4664
ko:K03592	kpj:N559_4665
ko:K09889	kpj:N559_4666
ko:K02558	kpj:N559_4670
ko:K03841	kpj:N559_4671
ko:K02057	kpj:N559_4672
ko:K02057	kpj:N559_4673
ko:K09800	kpj:N559_4682
ko:K07278	kpj:N559_4683
ko:K07109	kpj:N559_4687
ko:K07322	kpj:N559_4694
ko:K13652	kpj:N559_0742
ko:K02621	kpj:N559_0743
ko:K00655	kpj:N559_0744
ko:K08325	kpj:N559_0750
ko:K03561	kpj:N559_0755
ko:K01061	kpj:N559_0760
ko:K01460	kpj:N559_0765
ko:K01697	kpj:N559_0772
ko:K12055	kpj:N559_0777
ko:K01223	kpj:N559_1679
ko:K07262	kpj:N559_1684
ko:K03823	kpj:N559_1685
ko:K05349	kpj:N559_1688
ko:K05845	kpj:N559_1689
ko:K05846	kpj:N559_1690
ko:K05847	kpj:N559_1691
ko:K05846	kpj:N559_1692
ko:K02478	kpj:N559_1694
ko:K01874	kpj:N559_1698
ko:K06901	kpj:N559_1703
ko:K01486	kpj:N559_1704
ko:K00878	kpj:N559_1708
ko:K00941	kpj:N559_1709
ko:K00039	kpj:N559_1713
ko:K03435	kpj:N559_1714
ko:K00007	kpj:N559_1716
ko:K02034	kpj:N559_1723
ko:K08303	kpj:N559_1727
ko:K07664	kpj:N559_1728
ko:K07642	kpj:N559_1729
ko:K07789	kpj:N559_1731
ko:K07788	kpj:N559_1732
ko:K15396	kpj:N559_1391
ko:K13643	kpj:N559_1392
ko:K04487	kpj:N559_1393
ko:K04082	kpj:N559_1396
ko:K04044	kpj:N559_1397
ko:K04755	kpj:N559_1398
ko:K07751	kpj:N559_1400
ko:K06894	kpj:N559_1404
ko:K00940	kpj:N559_1407
ko:K06941	kpj:N559_1408
ko:K15539	kpj:N559_1409
ko:K01892	kpj:N559_1411
ko:K03977	kpj:N559_1414
ko:K03601	kpj:N559_1417
ko:K01951	kpj:N559_1419
ko:K06871	kpj:N559_1421
ko:K01524	kpj:N559_1426
ko:K00937	kpj:N559_1427
ko:K11175	kpj:N559_1428
ko:K01933	kpj:N559_1429
ko:K01223	kpj:N559_1431
ko:K00761	kpj:N559_1432
ko:K03564	kpj:N559_1440
ko:K03567	kpj:N559_1441
ko:K01714	kpj:N559_1442
ko:K07287	kpj:N559_1443
ko:K01923	kpj:N559_1444
ko:K06957	kpj:N559_1446
ko:K06999	kpj:N559_1447
ko:K12262	kpj:N559_2333
ko:K05358	kpj:N559_2336
ko:K00448	kpj:N559_2338
ko:K00449	kpj:N559_2339
ko:K03817	kpj:N559_2344
ko:K03304	kpj:N559_2346
ko:K16868	kpj:N559_2347
ko:K05782	kpj:N559_2351
ko:K00426	kpj:N559_2358
ko:K00425	kpj:N559_2359
ko:K02054	kpj:N559_2363
ko:K02053	kpj:N559_2364
ko:K00137	kpj:N559_2365
ko:K09936	kpj:N559_2372
ko:K03823	kpj:N559_2373
ko:K11738	kpj:N559_2383
ko:K02029	kpj:N559_2392
ko:K09470	kpj:N559_3266
ko:K09473	kpj:N559_3267
ko:K14056	kpj:N559_3268
ko:K16135	kpj:N559_3271
ko:K07246	kpj:N559_3272
ko:K15580	kpj:N559_3280
ko:K01512	kpj:N559_3283
ko:K06969	kpj:N559_3286
ko:K11940	kpj:N559_3287
ko:K06929	kpj:N559_3288
ko:K01734	kpj:N559_3289
ko:K03658	kpj:N559_3290
ko:K09911	kpj:N559_3297
ko:K04770	kpj:N559_3298
ko:K01716	kpj:N559_3299
ko:K09857	kpj:N559_3300
ko:K06192	kpj:N559_3301
ko:K03808	kpj:N559_3302
ko:K15738	kpj:N559_3303
ko:K12297	kpj:N559_3304
ko:K07140	kpj:N559_3305
ko:K00299	kpj:N559_3308
ko:K15553	kpj:N559_3309
ko:K15554	kpj:N559_3311
ko:K01256	kpj:N559_3313
ko:K00763	kpj:N559_3314
ko:K06016	kpj:N559_3316
ko:K03837	kpj:N559_3317
ko:K01751	kpj:N559_3318
ko:K01893	kpj:N559_3320
ko:K00351	kpj:N559_4177
ko:K00350	kpj:N559_4178
ko:K00349	kpj:N559_4179
ko:K00348	kpj:N559_4180
ko:K00347	kpj:N559_4181
ko:K00346	kpj:N559_4182
ko:K00790	kpj:N559_0568
ko:K02523	kpj:N559_0570
ko:K02888	kpj:N559_0571
ko:K02899	kpj:N559_0572
ko:K03979	kpj:N559_0574
ko:K07259	kpj:N559_0575
ko:K03624	kpj:N559_0576
ko:K07574	kpj:N559_0577
ko:K03798	kpj:N559_0579
ko:K00796	kpj:N559_0580
ko:K03431	kpj:N559_0581
ko:K03075	kpj:N559_0582
ko:K01940	kpj:N559_0587
ko:K09748	kpj:N559_0588
ko:K02600	kpj:N559_0589
ko:K02519	kpj:N559_0590
ko:K02834	kpj:N559_0591
ko:K02956	kpj:N559_0593
ko:K00962	kpj:N559_0594
ko:K05803	kpj:N559_0596
ko:K05592	kpj:N559_0597
ko:K03835	kpj:N559_0598
ko:K08303	kpj:N559_0601
ko:K03824	kpj:N559_0603
ko:K07461	kpj:N559_0604
ko:K09979	kpj:N559_0605
ko:K05520	kpj:N559_0606
ko:K07089	kpj:N559_0608
ko:K07460	kpj:N559_0611
ko:K07121	kpj:N559_0612
ko:K07056	kpj:N559_0613
ko:K02774	kpj:N559_0618
ko:K02773	kpj:N559_0619
ko:K16371	kpj:N559_0620
ko:K02769	kpj:N559_0622
ko:K02770	kpj:N559_0622
ko:K11535	kpj:N559_1507
ko:K03322	kpj:N559_1508
ko:K02478	kpj:N559_1515
ko:K14261	kpj:N559_1517
ko:K03449	kpj:N559_1518
ko:K11921	kpj:N559_1520
ko:K04754	kpj:N559_1524
ko:K06076	kpj:N559_1525
ko:K07320	kpj:N559_1531
ko:K01736	kpj:N559_1532
ko:K07261	kpj:N559_1533
ko:K07090	kpj:N559_1534
ko:K09906	kpj:N559_1535
ko:K15461	kpj:N559_1537
ko:K03473	kpj:N559_1541
ko:K06173	kpj:N559_1543
ko:K03975	kpj:N559_1544
ko:K01963	kpj:N559_1545
ko:K11754	kpj:N559_1546
ko:K03749	kpj:N559_1547
ko:K03558	kpj:N559_1548
ko:K00764	kpj:N559_1549
ko:K03186	kpj:N559_1550
ko:K10013	kpj:N559_1552
ko:K10016	kpj:N559_1554
ko:K10015	kpj:N559_1555
ko:K10017	kpj:N559_1556
ko:K07071	kpj:N559_1559
ko:K05343	kpj:N559_2454
ko:K02761	kpj:N559_2467
ko:K02760	kpj:N559_2473
ko:K02759	kpj:N559_2474
ko:K07507	kpj:N559_2477
ko:K06916	kpj:N559_2478
ko:K03782	kpj:N559_2479
ko:K09936	kpj:N559_2483
ko:K05515	kpj:N559_2484
ko:K01951	kpj:N559_2485
ko:K06139	kpj:N559_2487
ko:K06138	kpj:N559_2488
ko:K06137	kpj:N559_2489
ko:K06136	kpj:N559_2490
ko:K01273	kpj:N559_2491
ko:K13745	kpj:N559_2497
ko:K00836	kpj:N559_2498
ko:K15598	kpj:N559_2499
ko:K15600	kpj:N559_2502
ko:K03707	kpj:N559_2503
ko:K03335	kpj:N559_2506
ko:K02529	kpj:N559_2507
ko:K03457	kpj:N559_2510
ko:K16841	kpj:N559_2512
ko:K16842	kpj:N559_2513
ko:K07090	kpj:N559_2514
ko:K09997	kpj:N559_3384
ko:K09999	kpj:N559_3385
ko:K09996	kpj:N559_3387
ko:K03212	kpj:N559_3390
ko:K11075	kpj:N559_3393
ko:K11076	kpj:N559_3394
ko:K11073	kpj:N559_3395
ko:K07085	kpj:N559_3403
ko:K00760	kpj:N559_4286
ko:K00117	kpj:N559_4287
ko:K14588	kpj:N559_4288
ko:K00797	kpj:N559_4299
ko:K01611	kpj:N559_4300
ko:K09910	kpj:N559_4301
ko:K01682	kpj:N559_4302
ko:K00382	kpj:N559_4307
ko:K00627	kpj:N559_4308
ko:K00163	kpj:N559_4309
ko:K11734	kpj:N559_4312
ko:K03806	kpj:N559_4317
ko:K00767	kpj:N559_4318
ko:K02682	kpj:N559_4319
ko:K02504	kpj:N559_4320
ko:K02505	kpj:N559_4321
ko:K00364	kpj:N559_4322
ko:K00859	kpj:N559_4323
ko:K09862	kpj:N559_4325
ko:K03070	kpj:N559_4327
ko:K13301	kpj:N559_4328
ko:K02535	kpj:N559_4329
ko:K03531	kpj:N559_4330
ko:K03590	kpj:N559_4331
ko:K03589	kpj:N559_4332
ko:K01921	kpj:N559_4333
ko:K01924	kpj:N559_4334
ko:K02563	kpj:N559_4336
ko:K03588	kpj:N559_4337
ko:K01925	kpj:N559_4338
ko:K01000	kpj:N559_4339
ko:K01929	kpj:N559_4340
ko:K03587	kpj:N559_4343
ko:K03438	kpj:N559_4345
ko:K03925	kpj:N559_4346
ko:K03435	kpj:N559_4347
ko:K07799	kpj:N559_1733
ko:K07154	kpj:N559_2640
ko:K07127	kpj:N559_2642
ko:K16840	kpj:N559_2643
ko:K16345	kpj:N559_2644
ko:K02073	kpj:N559_2655
ko:K02071	kpj:N559_2656
ko:K02072	kpj:N559_2657
ko:K00459	kpj:N559_2658
ko:K00041	kpj:N559_2670
ko:K01425	kpj:N559_2674
ko:K08324	kpj:N559_2675
ko:K03829	kpj:N559_2677
ko:K01714	kpj:N559_2684
ko:K02018	kpj:N559_3559
ko:K02020	kpj:N559_3560
ko:K02019	kpj:N559_3562
ko:K05776	kpj:N559_3563
ko:K00965	kpj:N559_3566
ko:K00849	kpj:N559_3567
ko:K01626	kpj:N559_3570
ko:K16264	kpj:N559_3572
ko:K03811	kpj:N559_3573
ko:K03517	kpj:N559_3574
ko:K03640	kpj:N559_3577
ko:K03641	kpj:N559_3578
ko:K03562	kpj:N559_3582
ko:K00426	kpj:N559_3586
ko:K00425	kpj:N559_3587
ko:K01902	kpj:N559_3589
ko:K01903	kpj:N559_3590
ko:K00658	kpj:N559_3591
ko:K00164	kpj:N559_3592
ko:K00240	kpj:N559_3593
ko:K00239	kpj:N559_3595
ko:K00242	kpj:N559_3596
ko:K01647	kpj:N559_3598
ko:K01304	kpj:N559_3600
ko:K13255	kpj:N559_4467
ko:K02761	kpj:N559_4468
ko:K00481	kpj:N559_4473
ko:K02317	kpj:N559_4477
ko:K00041	kpj:N559_4489
ko:K01631	kpj:N559_4496
ko:K00883	kpj:N559_4497
ko:K06015	kpj:N559_4500
ko:K05921	kpj:N559_4507
ko:K05921	kpj:N559_4508
ko:K00455	kpj:N559_4510
ko:K02509	kpj:N559_4512
ko:K02511	kpj:N559_4514
ko:K02508	kpj:N559_4515
ko:K02532	kpj:N559_5384
ko:K14232	kpj:N559_t002
ko:K14227	kpj:N559_t059
ko:K14227	kpj:N559_t074
ko:K14227	kpj:N559_t082
ko:K14237	kpj:N559_t019
ko:K14237	kpj:N559_t045
ko:K14237	kpj:N559_t020
ko:K14237	kpj:N559_t047
ko:K14237	kpj:N559_t021
ko:K14236	kpj:N559_t034
ko:K14236	kpj:N559_t071
ko:K14236	kpj:N559_t035
ko:K14228	kpj:N559_t033
ko:K14235	kpj:N559_t079
ko:K14226	kpj:N559_t077
ko:K14228	kpj:N559_t060
ko:K14228	kpj:N559_t061
ko:K14228	kpj:N559_t076
ko:K14228	kpj:N559_t063
ko:K03271	kpj:N559_4185
ko:K11249	kpj:N559_4188
ko:K08307	kpj:N559_4194
ko:K06222	kpj:N559_4199
ko:K03273	kpj:N559_4200
ko:K02071	kpj:N559_4201
ko:K02072	kpj:N559_4202
ko:K02073	kpj:N559_4203
ko:K06080	kpj:N559_4204
ko:K01881	kpj:N559_4206
ko:K06079	kpj:N559_4208
ko:K04075	kpj:N559_4212
ko:K01962	kpj:N559_4215
ko:K02337	kpj:N559_4216
ko:K03470	kpj:N559_4217
ko:K00748	kpj:N559_4218
ko:K00677	kpj:N559_4219
ko:K02372	kpj:N559_4220
ko:K02536	kpj:N559_4221
ko:K06142	kpj:N559_4222
ko:K11749	kpj:N559_4225
ko:K00981	kpj:N559_4226
ko:K00806	kpj:N559_4227
ko:K07407	kpj:N559_5076
ko:K02529	kpj:N559_5077
ko:K01624	kpj:N559_5084
ko:K00850	kpj:N559_5087
ko:K02379	kpj:N559_5089
ko:K00123	kpj:N559_5091
ko:K02380	kpj:N559_5094
ko:K07560	kpj:N559_5099
ko:K07058	kpj:N559_5100
ko:K06207	kpj:N559_5102
ko:K01915	kpj:N559_5104
ko:K07708	kpj:N559_5105
ko:K07712	kpj:N559_5106
ko:K09894	kpj:N559_5108
ko:K03978	kpj:N559_5109
ko:K03673	kpj:N559_5113
ko:K09896	kpj:N559_5115
ko:K03752	kpj:N559_5116
ko:K03753	kpj:N559_5117
ko:K02529	kpj:N559_5120
ko:K10441	kpj:N559_5124
ko:K06726	kpj:N559_5125
ko:K03549	kpj:N559_5126
ko:K03924	kpj:N559_5127
ko:K01914	kpj:N559_5129
ko:K06205	kpj:N559_5131
ko:K01653	kpj:N559_4348
ko:K01652	kpj:N559_4349
ko:K07075	kpj:N559_5237
ko:K02954	kpj:N559_0447
ko:K02994	kpj:N559_0448
ko:K02933	kpj:N559_0449
ko:K02881	kpj:N559_0450
ko:K02988	kpj:N559_0451
ko:K02907	kpj:N559_0452
ko:K02876	kpj:N559_0453
ko:K03076	kpj:N559_0454
ko:K02952	kpj:N559_0455
ko:K02986	kpj:N559_0456
ko:K03040	kpj:N559_0457
ko:K02879	kpj:N559_0458
ko:K03282	kpj:N559_0461
ko:K03500	kpj:N559_0463
ko:K00604	kpj:N559_0464
ko:K01462	kpj:N559_0465
ko:K04096	kpj:N559_0466
ko:K07479	kpj:N559_0468
ko:K07566	kpj:N559_0469
ko:K00014	kpj:N559_0470
ko:K03557	kpj:N559_0498
ko:K02687	kpj:N559_0500
ko:K01961	kpj:N559_0504
ko:K01626	kpj:N559_1332
ko:K14187	kpj:N559_1333
ko:K14170	kpj:N559_1335
ko:K05809	kpj:N559_1336
ko:K05807	kpj:N559_1337
ko:K06180	kpj:N559_1338
ko:K05810	kpj:N559_1339
ko:K03695	kpj:N559_1341
ko:K05811	kpj:N559_1344
ko:K00998	kpj:N559_1345
ko:K03672	kpj:N559_1348
ko:K03214	kpj:N559_1349
ko:K03648	kpj:N559_1350
ko:K05590	kpj:N559_1352
ko:K00278	kpj:N559_1354
ko:K03088	kpj:N559_1355
ko:K03597	kpj:N559_1356
ko:K03598	kpj:N559_1357
ko:K03596	kpj:N559_1359
ko:K03100	kpj:N559_1360
ko:K03685	kpj:N559_1361
ko:K03584	kpj:N559_1363
ko:K03474	kpj:N559_1364
