ko:K00054	sah:SaurJH1_2621
ko:K14233	sah:SaurJH1_R0029
ko:K14235	sah:SaurJH1_R0043
ko:K14226	sah:SaurJH1_R0033
ko:K14226	sah:SaurJH1_R0042
ko:K01977	sah:SaurJH1_R0070
ko:K01977	sah:SaurJH1_R0021
ko:K01977	sah:SaurJH1_R0081
ko:K01977	sah:SaurJH1_R0017
ko:K01977	sah:SaurJH1_R0005
ko:K01977	sah:SaurJH1_R0067
ko:K11737	sah:SaurJH1_1787
ko:K06909	sah:SaurJH1_0905
ko:K14540	sah:SaurJH1_1327
ko:K11749	sah:SaurJH1_1348
ko:K11936	sah:SaurJH1_2747
ko:K16012	sah:SaurJH1_0725
ko:K16013	sah:SaurJH1_0724
ko:K01239	sah:SaurJH1_2350
ko:K01442	sah:SaurJH1_0266
ko:K00031	sah:SaurJH1_1785
ko:K15586	sah:SaurJH1_2541
ko:K15585	sah:SaurJH1_2542
ko:K03215	sah:SaurJH1_1985
ko:K15581	sah:SaurJH1_1004
ko:K15772	sah:SaurJH1_0207
ko:K15770	sah:SaurJH1_0205
ko:K15584	sah:SaurJH1_2543
ko:K15583	sah:SaurJH1_1006
ko:K15519	sah:SaurJH1_0593
ko:K16301	sah:SaurJH1_0402
ko:K15633	sah:SaurJH1_0816
ko:K15771	sah:SaurJH1_0206
ko:K03929	sah:SaurJH1_2527
ko:K10824	sah:SaurJH1_2539
ko:K15738	sah:SaurJH1_0760
ko:K05352	sah:SaurJH1_0243
ko:K15582	sah:SaurJH1_1005
ko:K15518	sah:SaurJH1_0594
ko:K00122	sah:SaurJH1_0167
ko:K10823	sah:SaurJH1_1007
ko:K15580	sah:SaurJH1_1008
ko:K03817	sah:SaurJH1_0400
ko:K15587	sah:SaurJH1_2540
ko:K02033	sah:SaurJH1_1012
ko:K01835	sah:SaurJH1_2569
ko:K15986	sah:SaurJH1_2009
ko:K18934	sah:SaurJH1_2236
ko:K15973	sah:SaurJH1_2595
ko:K15977	sah:SaurJH1_1118
ko:K15975	sah:SaurJH1_2594
ko:K18936	sah:SaurJH1_2488
ko:K18935	sah:SaurJH1_2238
ko:K04763	sah:SaurJH1_1751
ko:K02424	sah:SaurJH1_2487
ko:K10009	sah:SaurJH1_2486
ko:K01262	sah:SaurJH1_1621
ko:K18940	sah:SaurJH1_1504
ko:K21454	sah:SaurJH1_2427
ko:K02546	sah:SaurJH1_0031
ko:K07038	sah:SaurJH1_1957
ko:K16509	sah:SaurJH1_1015
ko:K16511	sah:SaurJH1_1016
ko:K11733	sah:SaurJH1_1773
ko:K16264	sah:SaurJH1_0159
ko:K06198	sah:SaurJH1_1017
ko:K16329	sah:SaurJH1_0302
ko:K16323	sah:SaurJH1_0682
ko:K16169	sah:SaurJH1_0447
ko:K11737	sah:SaurJH1_2513
ko:K16264	sah:SaurJH1_2220
ko:K02851	sah:SaurJH1_0788
ko:K10010	sah:SaurJH1_2485
ko:K16786	sah:SaurJH1_2290
ko:K16787	sah:SaurJH1_2289
ko:K04564	sah:SaurJH1_0124
ko:K16785	sah:SaurJH1_2288
ko:K02032	sah:SaurJH1_1011
ko:K02755	sah:SaurJH1_0256
ko:K11631	sah:SaurJH1_2781
ko:K16785	sah:SaurJH1_1157
ko:K16786	sah:SaurJH1_1158
ko:K16787	sah:SaurJH1_1158
ko:K16785	sah:SaurJH1_2764
ko:K16786	sah:SaurJH1_2765
ko:K16787	sah:SaurJH1_2765
ko:K02768	sah:SaurJH1_2721
ko:K02769	sah:SaurJH1_2721
ko:K02770	sah:SaurJH1_2721
ko:K11632	sah:SaurJH1_2782
ko:K16937	sah:SaurJH1_0747
ko:K16869	sah:SaurJH1_0627
ko:K11991	sah:SaurJH1_0595
ko:K17716	sah:SaurJH1_0144
ko:K16916	sah:SaurJH1_2602
ko:K16917	sah:SaurJH1_2601
ko:K16925	sah:SaurJH1_1159
ko:K16924	sah:SaurJH1_2766
ko:K16898	sah:SaurJH1_0986
ko:K16899	sah:SaurJH1_0985
ko:K02029	sah:SaurJH1_1946
ko:K02030	sah:SaurJH1_1946
ko:K01992	sah:SaurJH1_0269
ko:K01992	sah:SaurJH1_0270
ko:K02028	sah:SaurJH1_1945
ko:K17217	sah:SaurJH1_0495
ko:K17216	sah:SaurJH1_0494
ko:K17218	sah:SaurJH1_0077
ko:K01992	sah:SaurJH1_1408
ko:K01990	sah:SaurJH1_1407
ko:K01990	sah:SaurJH1_2021
ko:K17472	sah:SaurJH1_1717
ko:K17686	sah:SaurJH1_2633
ko:K02171	sah:SaurJH1_2824
ko:K19080	sah:SaurJH1_0700
ko:K18104	sah:SaurJH1_0681
ko:K05822	sah:SaurJH1_1487
ko:K02479	sah:SaurJH1_1936
ko:K08168	sah:SaurJH1_0128
ko:K02483	sah:SaurJH1_2431
ko:K14204	sah:SaurJH1_0999
ko:K09815	sah:SaurJH1_2478
ko:K07119	sah:SaurJH1_2257
ko:K02828	sah:SaurJH1_1141
ko:K03366	sah:SaurJH1_0117
ko:K07145	sah:SaurJH1_1217
ko:K22580	sah:SaurJH1_1139
ko:K02172	sah:SaurJH1_2825
ko:K21462	sah:SaurJH1_2750
ko:K21461	sah:SaurJH1_2748
ko:K21463	sah:SaurJH1_2426
ko:K18707	sah:SaurJH1_1668
ko:K18766	sah:SaurJH1_2827
ko:K18672	sah:SaurJH1_2233
ko:K18704	sah:SaurJH1_0244
ko:K18682	sah:SaurJH1_1372
ko:K18692	sah:SaurJH1_1650
ko:K18906	sah:SaurJH1_0726
ko:K07723	sah:SaurJH1_2144
ko:K18909	sah:SaurJH1_0392
ko:K18908	sah:SaurJH1_0393
ko:K18941	sah:SaurJH1_1505
ko:K07171	sah:SaurJH1_2143
ko:K04940	sah:SaurJH1_2368
ko:K18907	sah:SaurJH1_0099
ko:K07029	sah:SaurJH1_1986
ko:K02315	sah:SaurJH1_0885
ko:K18979	sah:SaurJH1_1944
ko:K00949	sah:SaurJH1_1307
ko:K01318	sah:SaurJH1_1896
ko:K07498	sah:SaurJH1_2803
ko:K07498	sah:SaurJH1_2808
ko:K05352	sah:SaurJH1_0247
ko:K07498	sah:SaurJH1_2815
ko:K07498	sah:SaurJH1_2817
ko:K07816	sah:SaurJH1_2584
ko:K07498	sah:SaurJH1_0026
ko:K02786	sah:SaurJH1_2261
ko:K19077	sah:SaurJH1_0698
ko:K19078	sah:SaurJH1_0697
ko:K19158	sah:SaurJH1_2479
ko:K19225	sah:SaurJH1_1641
ko:K19068	sah:SaurJH1_0145
ko:K19081	sah:SaurJH1_2703
ko:K19082	sah:SaurJH1_2704
ko:K19083	sah:SaurJH1_2702
ko:K19084	sah:SaurJH1_2701
ko:K19159	sah:SaurJH1_2481
ko:K07485	sah:SaurJH1_0701
ko:K07485	sah:SaurJH1_0668
ko:K07485	sah:SaurJH1_0944
ko:K07485	sah:SaurJH1_1245
ko:K07485	sah:SaurJH1_1934
ko:K07485	sah:SaurJH1_1948
ko:K07485	sah:SaurJH1_2155
ko:K07485	sah:SaurJH1_2391
ko:K01992	sah:SaurJH1_2590
ko:K19411	sah:SaurJH1_0559
ko:K19302	sah:SaurJH1_1506
ko:K19405	sah:SaurJH1_0560
ko:K03574	sah:SaurJH1_1880
ko:K19279	sah:SaurJH1_0040
ko:K19576	sah:SaurJH1_0735
ko:K06881	sah:SaurJH1_1794
ko:K21721	sah:SaurJH1_0108
ko:K19689	sah:SaurJH1_1967
ko:K01258	sah:SaurJH1_1602
ko:K00547	sah:SaurJH1_0415
ko:K00297	sah:SaurJH1_0415
ko:K21636	sah:SaurJH1_2694
ko:K19883	sah:SaurJH1_2806
ko:K19975	sah:SaurJH1_0669
ko:K19976	sah:SaurJH1_0670
ko:K19973	sah:SaurJH1_0671
ko:K20074	sah:SaurJH1_1303
ko:K12132	sah:SaurJH1_1304
ko:K20116	sah:SaurJH1_0179
ko:K20117	sah:SaurJH1_0179
ko:K20118	sah:SaurJH1_0179
ko:K20116	sah:SaurJH1_2614
ko:K20117	sah:SaurJH1_2614
ko:K20118	sah:SaurJH1_2614
ko:K20338	sah:SaurJH1_1852
ko:K21949	sah:SaurJH1_0107
ko:K20337	sah:SaurJH1_1257
ko:K20337	sah:SaurJH1_1258
ko:K20534	sah:SaurJH1_0744
ko:K21029	sah:SaurJH1_2343
ko:K21030	sah:SaurJH1_0242
ko:K21030	sah:SaurJH1_0246
ko:K21064	sah:SaurJH1_0990
ko:K08968	sah:SaurJH1_1809
ko:K00435	sah:SaurJH1_0625
ko:K06958	sah:SaurJH1_0806
ko:K05020	sah:SaurJH1_2255
ko:K21285	sah:SaurJH1_0677
ko:K07497	sah:SaurJH1_0054
ko:K07497	sah:SaurJH1_0055
ko:K22044	sah:SaurJH1_0420
ko:K21478	sah:SaurJH1_2749
ko:K21453	sah:SaurJH1_2746
ko:K21567	sah:SaurJH1_2442
ko:K21591	sah:SaurJH1_0245
ko:K21600	sah:SaurJH1_2162
ko:K18704	sah:SaurJH1_0248
ko:K21828	sah:SaurJH1_2711
ko:K22043	sah:SaurJH1_2219
ko:K22136	sah:SaurJH1_1261
ko:K00754	sah:SaurJH1_1546
ko:K22135	sah:SaurJH1_0604
ko:K22132	sah:SaurJH1_1719
ko:K22109	sah:SaurJH1_2690
ko:K03547	sah:SaurJH1_1931
ko:K17758	sah:SaurJH1_0007
ko:K02257	sah:SaurJH1_1198
ko:K22409	sah:SaurJH1_0499
ko:K13566	sah:SaurJH1_2108
ko:K22441	sah:SaurJH1_2439
