ko:K07068	mavi:RC58_06095
ko:K12132	mavi:RC58_19155
ko:K12132	mavi:RC58_19150
ko:K12132	mavi:RC58_06520
ko:K01985	mavi:RC58_06820
ko:K22552	mavi:RC58_15675
ko:K20497	mavi:RC58_09040
ko:K00525	mavi:RC58_03400
ko:K20469	mavi:RC58_00625
ko:K20466	mavi:RC58_00640
ko:K07695	mavi:RC58_02485
ko:K20468	mavi:RC58_00630
ko:K16227	mavi:RC58_12965
ko:K06889	mavi:RC58_10485
ko:K14230	mavi:RC58_08695
ko:K14228	mavi:RC58_12575
ko:K14226	mavi:RC58_07465
ko:K22213	mavi:RC58_10455
ko:K14236	mavi:RC58_20775
ko:K01179	mavi:RC58_17835
ko:K01214	mavi:RC58_12820
ko:K07100	mavi:RC58_09685
ko:K20814	mavi:RC58_09935
ko:K14219	mavi:RC58_06690
ko:K21071	mavi:RC58_03695
ko:K14234	mavi:RC58_16260
ko:K01768	mavi:RC58_06510
ko:K01768	mavi:RC58_06860
ko:K01768	mavi:RC58_12580
ko:K01768	mavi:RC58_17085
ko:K21014	mavi:RC58_08520
ko:K00249	mavi:RC58_00960
ko:K00821	mavi:RC58_12340
ko:K21119	mavi:RC58_06455
ko:K21147	mavi:RC58_02305
ko:K14228	mavi:RC58_14140
ko:K00632	mavi:RC58_02145
ko:K00560	mavi:RC58_04615
ko:K00287	mavi:RC58_04620
ko:K03465	mavi:RC58_04635
ko:K03553	mavi:RC58_04730
ko:K01520	mavi:RC58_04910
ko:K18955	mavi:RC58_17255
ko:K02314	mavi:RC58_18880
ko:K18955	mavi:RC58_21845
ko:K07465	mavi:RC58_09905
ko:K00526	mavi:RC58_03425
ko:K00526	mavi:RC58_00475
ko:K02335	mavi:RC58_12555
ko:K18955	mavi:RC58_01955
ko:K18955	mavi:RC58_02235
ko:K10747	mavi:RC58_03320
ko:K06191	mavi:RC58_03390
ko:K06217	mavi:RC58_08300
ko:K02316	mavi:RC58_08455
ko:K05364	mavi:RC58_19145
ko:K21302	mavi:RC58_01655
ko:K08884	mavi:RC58_09550
ko:K05375	mavi:RC58_08255
ko:K05375	mavi:RC58_09775
ko:K22468	mavi:RC58_02095
ko:K08884	mavi:RC58_01885
ko:K00249	mavi:RC58_14630
ko:K00249	mavi:RC58_02930
ko:K00249	mavi:RC58_01110
ko:K00249	mavi:RC58_00485
ko:K03636	mavi:RC58_15135
ko:K21200	mavi:RC58_19190
ko:K21310	mavi:RC58_02070
ko:K07005	mavi:RC58_12840
ko:K00632	mavi:RC58_04475
ko:K07054	mavi:RC58_19985
ko:K07027	mavi:RC58_20850
ko:K21397	mavi:RC58_11860
ko:K21397	mavi:RC58_12510
ko:K21416	mavi:RC58_11690
ko:K21417	mavi:RC58_11695
ko:K21473	mavi:RC58_13145
ko:K21474	mavi:RC58_13140
ko:K21471	mavi:RC58_09480
ko:K21401	mavi:RC58_20735
ko:K21481	mavi:RC58_16860
ko:K21397	mavi:RC58_08615
ko:K00146	mavi:RC58_08710
ko:K02483	mavi:RC58_16250
ko:K02483	mavi:RC58_17945
ko:K21397	mavi:RC58_01480
ko:K21397	mavi:RC58_01485
ko:K21600	mavi:RC58_00115
ko:K21600	mavi:RC58_00665
ko:K10914	mavi:RC58_17230
ko:K21672	mavi:RC58_17490
ko:K21672	mavi:RC58_00930
ko:K21672	mavi:RC58_09050
ko:K21686	mavi:RC58_17760
ko:K10914	mavi:RC58_18825
ko:K21672	mavi:RC58_08120
ko:K21672	mavi:RC58_00720
ko:K21689	mavi:RC58_11100
ko:K00344	mavi:RC58_13265
ko:K00344	mavi:RC58_17925
ko:K14234	mavi:RC58_17075
ko:K14237	mavi:RC58_09170
ko:K21929	mavi:RC58_02560
ko:K21929	mavi:RC58_06470
ko:K14220	mavi:RC58_08465
ko:K14225	mavi:RC58_07675
ko:K14228	mavi:RC58_06965
ko:K14218	mavi:RC58_00045
ko:K21961	mavi:RC58_18355
ko:K21992	mavi:RC58_03125
ko:K21962	mavi:RC58_13160
ko:K21993	mavi:RC58_10345
ko:K14234	mavi:RC58_21000
ko:K14219	mavi:RC58_07565
ko:K00936	mavi:RC58_02230
ko:K22010	mavi:RC58_12570
ko:K14232	mavi:RC58_07680
ko:K14229	mavi:RC58_07435
ko:K00257	mavi:RC58_11370
ko:K22044	mavi:RC58_03000
ko:K14223	mavi:RC58_03775
ko:K14223	mavi:RC58_14260
ko:K14227	mavi:RC58_00040
ko:K14225	mavi:RC58_05280
ko:K14222	mavi:RC58_05275
ko:K14221	mavi:RC58_15865
ko:K14231	mavi:RC58_15860
ko:K14230	mavi:RC58_02390
ko:K22107	mavi:RC58_16745
ko:K05275	mavi:RC58_05445
ko:K05275	mavi:RC58_20680
ko:K14224	mavi:RC58_03780
ko:K14224	mavi:RC58_15870
ko:K14218	mavi:RC58_03150
ko:K03595	mavi:RC58_08385
ko:K14233	mavi:RC58_17980
ko:K14219	mavi:RC58_17975
ko:K14238	mavi:RC58_17400
ko:K14228	mavi:RC58_19120
ko:K22108	mavi:RC58_16655
ko:K14232	mavi:RC58_17275
ko:K14232	mavi:RC58_12080
ko:K00467	mavi:RC58_01375
ko:K00467	mavi:RC58_04155
ko:K14233	mavi:RC58_17620
ko:K14235	mavi:RC58_21030
ko:K14218	mavi:RC58_14555
ko:K22209	mavi:RC58_20540
ko:K14230	mavi:RC58_21005
ko:K12436	mavi:RC58_10125
ko:K12436	mavi:RC58_10130
ko:K12436	mavi:RC58_10135
ko:K17758	mavi:RC58_21765
ko:K17759	mavi:RC58_21765
ko:K22295	mavi:RC58_01340
ko:K22297	mavi:RC58_10790
ko:K22306	mavi:RC58_07880
ko:K01585	mavi:RC58_08390
ko:K02257	mavi:RC58_13270
ko:K22311	mavi:RC58_05480
ko:K22316	mavi:RC58_09225
ko:K01563	mavi:RC58_08840
ko:K01066	mavi:RC58_03905
ko:K01934	mavi:RC58_14580
ko:K00721	mavi:RC58_10110
ko:K22298	mavi:RC58_08420
ko:K01551	mavi:RC58_09510
ko:K11206	mavi:RC58_20315
ko:K00728	mavi:RC58_14480
ko:K07566	mavi:RC58_06740
