ko:K01006	lmoz:LM1816_11527
ko:K02810	lmoz:LM1816_09682
ko:K02770	lmoz:LM1816_01537
ko:K02770	lmoz:LM1816_01672
ko:K13731	lmoz:LM1816_01767
ko:K22597	lmoz:LM1816_03342
ko:K02794	lmoz:LM1816_03577
ko:K22597	lmoz:LM1816_02762
ko:K00008	lmoz:LM1816_16875
ko:K00008	lmoz:LM1816_10797
ko:K00008	lmoz:LM1816_02332
ko:K18231	lmoz:LM1816_16280
ko:K05352	lmoz:LM1816_14227
ko:K16960	lmoz:LM1816_13512
ko:K13731	lmoz:LM1816_15937
ko:K09017	lmoz:LM1816_12062
ko:K22579	lmoz:LM1816_01592
ko:K02538	lmoz:LM1816_18270
ko:K03483	lmoz:LM1816_19735
ko:K01297	lmoz:LM1816_09562
ko:K03742	lmoz:LM1816_04828
ko:K03328	lmoz:LM1816_04853
ko:K09809	lmoz:LM1816_14232
ko:K00285	lmoz:LM1816_11772
ko:K18672	lmoz:LM1816_07703
ko:K18673	lmoz:LM1816_02927
ko:K18682	lmoz:LM1816_12882
ko:K18692	lmoz:LM1816_06125
ko:K03790	lmoz:LM1816_03357
ko:K07171	lmoz:LM1816_06865
ko:K18892	lmoz:LM1816_02847
ko:K18891	lmoz:LM1816_02842
ko:K18821	lmoz:LM1816_15977
ko:K03111	lmoz:LM1816_17155
ko:K00662	lmoz:LM1816_07127
ko:K03111	lmoz:LM1816_03742
ko:K03497	lmoz:LM1816_03087
ko:K03496	lmoz:LM1816_03072
ko:K03497	lmoz:LM1816_03067
ko:K03169	lmoz:LM1816_02872
ko:K18967	lmoz:LM1816_07998
ko:K03111	lmoz:LM1816_15752
ko:K08151	lmoz:LM1816_05068
ko:K19005	lmoz:LM1816_12972
ko:K04028	lmoz:LM1816_08358
ko:K00634	lmoz:LM1816_17765
ko:K07029	lmoz:LM1816_07357
ko:K03526	lmoz:LM1816_06075
ko:K07483	lmoz:LM1816_00195
ko:K18979	lmoz:LM1816_13007
ko:K07483	lmoz:LM1816_17410
ko:K13052	lmoz:LM1816_04863
ko:K07483	lmoz:LM1816_05033
ko:K07816	lmoz:LM1816_00910
ko:K19002	lmoz:LM1816_16945
ko:K00354	lmoz:LM1816_14667
ko:K03339	lmoz:LM1816_15927
ko:K00798	lmoz:LM1816_08488
ko:K05881	lmoz:LM1816_05598
ko:K02777	lmoz:LM1816_14587
ko:K05881	lmoz:LM1816_02542
ko:K00020	lmoz:LM1816_14522
ko:K00571	lmoz:LM1816_12737
ko:K19225	lmoz:LM1816_17790
ko:K03722	lmoz:LM1816_11712
ko:K19285	lmoz:LM1816_13017
ko:K01990	lmoz:LM1816_00680
ko:K01992	lmoz:LM1816_09557
ko:K01992	lmoz:LM1816_12962
ko:K19351	lmoz:LM1816_16640
ko:K01990	lmoz:LM1816_12957
ko:K01990	lmoz:LM1816_17615
ko:K19411	lmoz:LM1816_08830
ko:K19302	lmoz:LM1816_12337
ko:K19267	lmoz:LM1816_01777
ko:K04771	lmoz:LM1816_09205
ko:K19405	lmoz:LM1816_08835
ko:K19302	lmoz:LM1816_09472
ko:K03574	lmoz:LM1816_09742
ko:K19509	lmoz:LM1816_12232
ko:K19508	lmoz:LM1816_12237
ko:K19507	lmoz:LM1816_12242
ko:K19504	lmoz:LM1816_12227
ko:K06881	lmoz:LM1816_12702
ko:K19510	lmoz:LM1816_12222
ko:K19504	lmoz:LM1816_03692
ko:K00887	lmoz:LM1816_06200
ko:K02796	lmoz:LM1816_00805
ko:K02796	lmoz:LM1816_04077
ko:K02796	lmoz:LM1816_03587
ko:K19689	lmoz:LM1816_07142
ko:K19689	lmoz:LM1816_09367
ko:K01258	lmoz:LM1816_17755
ko:K00547	lmoz:LM1816_09787
ko:K00297	lmoz:LM1816_09787
ko:K09681	lmoz:LM1816_07257
ko:K21636	lmoz:LM1816_09135
ko:K02538	lmoz:LM1816_19335
ko:K00690	lmoz:LM1816_18055
ko:K03427	lmoz:LM1816_18095
ko:K01154	lmoz:LM1816_18100
ko:K01153	lmoz:LM1816_18105
ko:K07448	lmoz:LM1816_18110
ko:K03043	lmoz:LM1816_18060
ko:K00788	lmoz:LM1816_18140
ko:K00140	lmoz:LM1816_18250
ko:K01507	lmoz:LM1816_18225
ko:K02768	lmoz:LM1816_18230
ko:K02769	lmoz:LM1816_18235
ko:K02770	lmoz:LM1816_18235
ko:K05350	lmoz:LM1816_18240
ko:K02768	lmoz:LM1816_18415
ko:K11203	lmoz:LM1816_18420
ko:K11202	lmoz:LM1816_18425
ko:K01421	lmoz:LM1816_18445
ko:K03744	lmoz:LM1816_18580
ko:K03799	lmoz:LM1816_18585
ko:K01426	lmoz:LM1816_18530
ko:K02371	lmoz:LM1816_18485
ko:K03406	lmoz:LM1816_18455
ko:K07784	lmoz:LM1816_18525
ko:K02760	lmoz:LM1816_18565
ko:K02564	lmoz:LM1816_18575
ko:K00864	lmoz:LM1816_18605
ko:K02755	lmoz:LM1816_18610
ko:K02756	lmoz:LM1816_18610
ko:K02757	lmoz:LM1816_18610
ko:K09693	lmoz:LM1816_18620
ko:K04023	lmoz:LM1816_18655
ko:K02224	lmoz:LM1816_18660
ko:K03763	lmoz:LM1816_18960
ko:K02244	lmoz:LM1816_18965
ko:K02243	lmoz:LM1816_18970
ko:K03581	lmoz:LM1816_18985
ko:K07037	lmoz:LM1816_18980
ko:K01892	lmoz:LM1816_18995
ko:K02337	lmoz:LM1816_19005
ko:K04773	lmoz:LM1816_19010
ko:K00930	lmoz:LM1816_19015
ko:K03575	lmoz:LM1816_19165
ko:K03565	lmoz:LM1816_19170
ko:K04066	lmoz:LM1816_19215
ko:K02529	lmoz:LM1816_19020
ko:K01869	lmoz:LM1816_19050
ko:K09815	lmoz:LM1816_19055
ko:K01990	lmoz:LM1816_19185
ko:K00265	lmoz:LM1816_19195
ko:K02028	lmoz:LM1816_19200
ko:K02004	lmoz:LM1816_19205
ko:K00563	lmoz:LM1816_19225
ko:K02236	lmoz:LM1816_19000
ko:K03469	lmoz:LM1816_19230
ko:K01299	lmoz:LM1816_19235
ko:K05366	lmoz:LM1816_19240
ko:K04487	lmoz:LM1816_19275
ko:K08152	lmoz:LM1816_19290
ko:K05337	lmoz:LM1816_19250
ko:K01624	lmoz:LM1816_19330
ko:K01551	lmoz:LM1816_19380
ko:K01551	lmoz:LM1816_19400
ko:K03325	lmoz:LM1816_19405
ko:K03325	lmoz:LM1816_19410
ko:K01990	lmoz:LM1816_19425
ko:K01992	lmoz:LM1816_19430
ko:K01534	lmoz:LM1816_19440
ko:K07467	lmoz:LM1816_19485
ko:K02250	lmoz:LM1816_19535
ko:K07570	lmoz:LM1816_19615
ko:K01664	lmoz:LM1816_19625
ko:K01665	lmoz:LM1816_19630
ko:K01372	lmoz:LM1816_19540
ko:K03488	lmoz:LM1816_19685
ko:K02768	lmoz:LM1816_19755
ko:K02769	lmoz:LM1816_19755
ko:K02770	lmoz:LM1816_19755
ko:K00059	lmoz:LM1816_19785
ko:K00600	lmoz:LM1816_19700
ko:K04844	lmoz:LM1816_19790
ko:K07027	lmoz:LM1816_19705
ko:K01129	lmoz:LM1816_19740
ko:K03502	lmoz:LM1816_19745
ko:K10536	lmoz:LM1816_19820
ko:K16644	lmoz:LM1816_20205
ko:K02035	lmoz:LM1816_20180
ko:K03798	lmoz:LM1816_20220
ko:K04083	lmoz:LM1816_20225
ko:K00796	lmoz:LM1816_20230
ko:K19976	lmoz:LM1816_11432
ko:K20074	lmoz:LM1816_11287
ko:K12132	lmoz:LM1816_17495
ko:K07741	lmoz:LM1816_19905
ko:K01978	lmoz:LM1816_20235
ko:K20265	lmoz:LM1816_13602
ko:K20265	lmoz:LM1816_03702
ko:K20201	lmoz:LM1816_15842
ko:K00525	lmoz:LM1816_07893
ko:K18889	lmoz:LM1816_19040
ko:K18890	lmoz:LM1816_09622
ko:K14224	lmoz:LM1816_18555
ko:K20885	lmoz:LM1816_05223
ko:K01208	lmoz:LM1816_07738
ko:K21030	lmoz:LM1816_16175
ko:K21029	lmoz:LM1816_12512
ko:K08968	lmoz:LM1816_09327
ko:K21064	lmoz:LM1816_10527
ko:K00821	lmoz:LM1816_17645
ko:K14228	lmoz:LM1816_18010
ko:K14228	lmoz:LM1816_19135
ko:K14228	lmoz:LM1816_19300
ko:K01977	lmoz:LM1816_17955
ko:K14237	lmoz:LM1816_17970
ko:K14234	lmoz:LM1816_18000
ko:K14233	lmoz:LM1816_19605
ko:K14234	lmoz:LM1816_19710
ko:K14229	lmoz:LM1816_19855
ko:K14230	lmoz:LM1816_19100
ko:K14223	lmoz:LM1816_19320
ko:K14234	lmoz:LM1816_19310
ko:K14225	lmoz:LM1816_19140
ko:K01980	lmoz:LM1816_18045
ko:K14230	lmoz:LM1816_19590
ko:K14223	lmoz:LM1816_19560
ko:K14220	lmoz:LM1816_19715
ko:K14218	lmoz:LM1816_19725
ko:K00435	lmoz:LM1816_07648
ko:K02316	lmoz:LM1816_06155
ko:K06217	lmoz:LM1816_06215
ko:K01493	lmoz:LM1816_06305
ko:K01520	lmoz:LM1816_17575
ko:K03546	lmoz:LM1816_19035
ko:K00287	lmoz:LM1816_11567
ko:K00560	lmoz:LM1816_11572
ko:K14228	lmoz:LM1816_18025
ko:K14228	lmoz:LM1816_19145
ko:K01985	lmoz:LM1816_17965
ko:K01985	lmoz:LM1816_18050
ko:K01985	lmoz:LM1816_19210
ko:K14233	lmoz:LM1816_18435
ko:K14233	lmoz:LM1816_18545
ko:K14233	lmoz:LM1816_19065
ko:K14233	lmoz:LM1816_19105
ko:K14220	lmoz:LM1816_18540
ko:K14221	lmoz:LM1816_19585
ko:K14224	lmoz:LM1816_19060
ko:K14226	lmoz:LM1816_19565
ko:K14219	lmoz:LM1816_19690
ko:K14231	lmoz:LM1816_19580
ko:K00857	lmoz:LM1816_15867
ko:K02314	lmoz:LM1816_03787
ko:K04068	lmoz:LM1816_09140
ko:K00558	lmoz:LM1816_18150
ko:K00558	lmoz:LM1816_19945
ko:K13730	lmoz:LM1816_01762
ko:K09935	lmoz:LM1816_18550
ko:K07313	lmoz:LM1816_00170
ko:K07474	lmoz:LM1816_20035
ko:K06909	lmoz:LM1816_20040
ko:K17733	lmoz:LM1816_20145
ko:K06919	lmoz:LM1816_18810
ko:K17733	lmoz:LM1816_18930
ko:K00558	lmoz:LM1816_18715
ko:K03553	lmoz:LM1816_12877
ko:K21298	lmoz:LM1816_07217
ko:K14234	lmoz:LM1816_19155
ko:K14229	lmoz:LM1816_18005
ko:K14225	lmoz:LM1816_19080
ko:K14219	lmoz:LM1816_18665
ko:K14219	lmoz:LM1816_19130
ko:K14219	lmoz:LM1816_19175
ko:K14232	lmoz:LM1816_19125
ko:K14218	lmoz:LM1816_18040
ko:K14218	lmoz:LM1816_19120
ko:K14220	lmoz:LM1816_19070
ko:K14220	lmoz:LM1816_19610
ko:K14221	lmoz:LM1816_18560
ko:K14221	lmoz:LM1816_19095
ko:K14224	lmoz:LM1816_19600
ko:K14227	lmoz:LM1816_19075
ko:K14226	lmoz:LM1816_19085
ko:K14231	lmoz:LM1816_19090
ko:K14236	lmoz:LM1816_19575
ko:K14235	lmoz:LM1816_19570
ko:K14224	lmoz:LM1816_19305
ko:K02335	lmoz:LM1816_06755
ko:K21285	lmoz:LM1816_14237
ko:K14236	lmoz:LM1816_19315
ko:K14222	lmoz:LM1816_19550
ko:K14230	lmoz:LM1816_19110
ko:K14230	lmoz:LM1816_19115
ko:K14228	lmoz:LM1816_19545
ko:K14227	lmoz:LM1816_19730
ko:K14229	lmoz:LM1816_19150
ko:K14229	lmoz:LM1816_19325
ko:K14225	lmoz:LM1816_18015
ko:K14225	lmoz:LM1816_18570
ko:K14237	lmoz:LM1816_19595
ko:K14237	lmoz:LM1816_19795
ko:K01985	lmoz:LM1816_19720
ko:K00980	lmoz:LM1816_14242
ko:K00526	lmoz:LM1816_07888
ko:K21252	lmoz:LM1816_07092
ko:K14225	lmoz:LM1816_19555
ko:K14219	lmoz:LM1816_18030
ko:K14232	lmoz:LM1816_18035
ko:K22044	lmoz:LM1816_14562
ko:K03892	lmoz:LM1816_19385
ko:K21481	lmoz:LM1816_10262
ko:K21465	lmoz:LM1816_06060
ko:K21467	lmoz:LM1816_01802
ko:K03892	lmoz:LM1816_19395
ko:K21471	lmoz:LM1816_16985
ko:K21471	lmoz:LM1816_19695
ko:K18704	lmoz:LM1816_14202
ko:K21567	lmoz:LM1816_13770
ko:K21567	lmoz:LM1816_19260
ko:K21600	lmoz:LM1816_11462
ko:K21560	lmoz:LM1816_04637
ko:K00680	lmoz:LM1816_13537
ko:K21993	lmoz:LM1816_16290
ko:K22043	lmoz:LM1816_14787
ko:K00936	lmoz:LM1816_08293
ko:K21960	lmoz:LM1816_13547
ko:K21903	lmoz:LM1816_19435
ko:K03595	lmoz:LM1816_06190
ko:K03547	lmoz:LM1816_10317
ko:K22103	lmoz:LM1816_07608
ko:K01537	lmoz:LM1816_05078
ko:K22251	lmoz:LM1816_16530
ko:K22278	lmoz:LM1816_01617
ko:K17758	lmoz:LM1816_09467
ko:K02257	lmoz:LM1816_17340
ko:K05592	lmoz:LM1816_17850
ko:K13566	lmoz:LM1816_09155
