ko:K11741	lrg:LRHM_2681
ko:K19802	lrg:LRHM_0512
ko:K21636	lrg:LRHM_0138
ko:K00527	lrg:LRHM_2207
ko:K19975	lrg:LRHM_2330
ko:K19976	lrg:LRHM_2331
ko:K19973	lrg:LRHM_2332
ko:K20074	lrg:LRHM_1604
ko:K12132	lrg:LRHM_1603
ko:K07484	lrg:LRHM_1884
ko:K07484	lrg:LRHM_1885
ko:K20114	lrg:LRHM_0637
ko:K00525	lrg:LRHM_1416
ko:K20345	lrg:LRHM_2294
ko:K20344	lrg:LRHM_2295
ko:K20534	lrg:LRHM_0672
ko:K20488	lrg:LRHM_0529
ko:K18889	lrg:LRHM_1571
ko:K18890	lrg:LRHM_1570
ko:K06147	lrg:LRHM_2352
ko:K02790	lrg:LRHM_2595
ko:K02791	lrg:LRHM_2595
ko:K01208	lrg:LRHM_0901
ko:K08968	lrg:LRHM_1203
ko:K03546	lrg:LRHM_0649
ko:K03553	lrg:LRHM_0846
ko:K00560	lrg:LRHM_1341
ko:K00287	lrg:LRHM_1342
ko:K06191	lrg:LRHM_1415
ko:K01493	lrg:LRHM_1428
ko:K02316	lrg:LRHM_1452
ko:K06217	lrg:LRHM_1491
ko:K07455	lrg:LRHM_1053
ko:K07474	lrg:LRHM_1070
ko:K06909	lrg:LRHM_1071
ko:K00857	lrg:LRHM_1116
ko:K04068	lrg:LRHM_1736
ko:K01520	lrg:LRHM_2252
ko:K06904	lrg:LRHM_2792
ko:K03553	lrg:LRHM_2538
ko:K02314	lrg:LRHM_0123
ko:K07313	lrg:LRHM_0195
ko:K02335	lrg:LRHM_1697
ko:K00633	lrg:LRHM_0040
ko:K00526	lrg:LRHM_1417
ko:K03293	lrg:LRHM_0952
ko:K21471	lrg:LRHM_0032
ko:K21471	lrg:LRHM_0311
ko:K21467	lrg:LRHM_0368
ko:K21471	lrg:LRHM_1938
ko:K21567	lrg:LRHM_0786
ko:K21562	lrg:LRHM_0085
ko:K22043	lrg:LRHM_2329
ko:K22044	lrg:LRHM_0764
ko:K03595	lrg:LRHM_1487
ko:K22103	lrg:LRHM_0289
ko:K22212	lrg:LRHM_0704
ko:K03078	lrg:LRHM_2620
ko:K22106	lrg:LRHM_0069
ko:K22213	lrg:LRHM_0132
ko:K03077	lrg:LRHM_2616
ko:K00104	lrg:LRHM_2240
ko:K03079	lrg:LRHM_2618
ko:K17758	lrg:LRHM_0812
ko:K13566	lrg:LRHM_2817
