ko:K03602	abw:BL01_13710
ko:K01426	abw:BL01_00720
ko:K00059	abw:BL01_00750
ko:K00276	abw:BL01_00770
ko:K01434	abw:BL01_00785
ko:K01055	abw:BL01_00790
ko:K01032	abw:BL01_00800
ko:K01031	abw:BL01_00805
ko:K03381	abw:BL01_00810
ko:K03464	abw:BL01_00815
ko:K02892	abw:BL01_03760
ko:K02926	abw:BL01_03765
ko:K02906	abw:BL01_03770
ko:K02946	abw:BL01_03775
ko:K01760	abw:BL01_03785
ko:K06915	abw:BL01_03790
ko:K05916	abw:BL01_03795
ko:K13771	abw:BL01_03800
ko:K03978	abw:BL01_03805
ko:K07044	abw:BL01_03810
ko:K10805	abw:BL01_03820
ko:K00631	abw:BL01_03825
ko:K03655	abw:BL01_03840
ko:K03574	abw:BL01_03850
ko:K06966	abw:BL01_03855
ko:K03284	abw:BL01_03860
ko:K07122	abw:BL01_03865
ko:K07323	abw:BL01_03870
ko:K02067	abw:BL01_03875
ko:K02066	abw:BL01_03880
ko:K02065	abw:BL01_03885
ko:K01092	abw:BL01_03900
ko:K01662	abw:BL01_03905
ko:K01497	abw:BL01_03910
ko:K00228	abw:BL01_03915
ko:K00014	abw:BL01_03920
ko:K07168	abw:BL01_03945
ko:K01878	abw:BL01_03970
ko:K01879	abw:BL01_03975
ko:K05526	abw:BL01_04020
ko:K01484	abw:BL01_04025
ko:K06447	abw:BL01_04030
ko:K00673	abw:BL01_04035
ko:K00840	abw:BL01_04040
ko:K02049	abw:BL01_08105
ko:K02050	abw:BL01_08110
ko:K02051	abw:BL01_08115
ko:K03710	abw:BL01_08130
ko:K07240	abw:BL01_08135
ko:K01118	abw:BL01_08140
ko:K07506	abw:BL01_08150
ko:K00003	abw:BL01_08160
ko:K07090	abw:BL01_08165
ko:K17218	abw:BL01_08170
ko:K00004	abw:BL01_08190
ko:K03366	abw:BL01_08195
ko:K00382	abw:BL01_08200
ko:K00627	abw:BL01_08205
ko:K03644	abw:BL01_08220
ko:K01736	abw:BL01_08240
ko:K07320	abw:BL01_08245
ko:K06001	abw:BL01_08250
ko:K09989	abw:BL01_08255
ko:K09902	abw:BL01_08270
ko:K03684	abw:BL01_08290
ko:K21645	abw:BL01_08065
ko:K18845	abw:BL01_18365
ko:K03427	abw:BL01_03540
ko:K14218	abw:BL01_01650
ko:K14227	abw:BL01_01655
ko:K14233	abw:BL01_09840
ko:K14220	abw:BL01_06250
ko:K14220	abw:BL01_08815
ko:K14220	abw:BL01_08810
ko:K14220	abw:BL01_08820
ko:K18902	abw:BL01_09025
ko:K18893	abw:BL01_18815
ko:K14223	abw:BL01_07850
ko:K14223	abw:BL01_07865
ko:K14223	abw:BL01_07860
ko:K14223	abw:BL01_07855
ko:K14219	abw:BL01_08990
ko:K18794	abw:BL01_18255
ko:K18900	abw:BL01_09040
ko:K06218	abw:BL01_00190
ko:K14219	abw:BL01_03560
ko:K14219	abw:BL01_03565
ko:K14237	abw:BL01_14005
ko:K14237	abw:BL01_14030
ko:K14237	abw:BL01_14015
ko:K14159	abw:BL01_14560
ko:K14228	abw:BL01_09350
ko:K14228	abw:BL01_09360
ko:K14224	abw:BL01_10075
ko:K14224	abw:BL01_10080
ko:K14224	abw:BL01_10100
ko:K14224	abw:BL01_14600
ko:K14218	abw:BL01_10105
ko:K14228	abw:BL01_10855
ko:K14232	abw:BL01_11080
ko:K14232	abw:BL01_11095
ko:K14219	abw:BL01_11085
ko:K14226	abw:BL01_11090
ko:K14230	abw:BL01_13700
ko:K14229	abw:BL01_02825
ko:K14229	abw:BL01_02830
ko:K14230	abw:BL01_03140
ko:K14230	abw:BL01_03145
ko:K14228	abw:BL01_03150
ko:K14235	abw:BL01_03415
ko:K14237	abw:BL01_04930
ko:K14219	abw:BL01_05390
ko:K14228	abw:BL01_05595
ko:K14228	abw:BL01_05605
ko:K14222	abw:BL01_05610
ko:K14233	abw:BL01_05730
ko:K14233	abw:BL01_14630
ko:K14230	abw:BL01_07930
ko:K14230	abw:BL01_07975
ko:K14231	abw:BL01_09950
ko:K14231	abw:BL01_09955
ko:K14235	abw:BL01_09355
ko:K14235	abw:BL01_09365
ko:K14234	abw:BL01_09750
ko:K14234	abw:BL01_17895
ko:K14230	abw:BL01_15750
ko:K14236	abw:BL01_17900
ko:K14225	abw:BL01_17905
ko:K14234	abw:BL01_17910
ko:K14233	abw:BL01_03570
ko:K18850	abw:BL01_12415
ko:K18901	abw:BL01_09030
ko:K18903	abw:BL01_09020
ko:K01856	abw:BL01_00820
ko:K04565	abw:BL01_10420
ko:K03496	abw:BL01_10430
ko:K03497	abw:BL01_12355
ko:K03496	abw:BL01_12360
ko:K03746	abw:BL01_17860
ko:K18320	abw:BL01_18840
ko:K18476	abw:BL01_17580
ko:K04343	abw:BL01_17605
ko:K10673	abw:BL01_17610
ko:K06979	abw:BL01_18345
ko:K18231	abw:BL01_18350
ko:K03496	abw:BL01_01090
ko:K03502	abw:BL01_04530
ko:K05599	abw:BL01_01855
ko:K03503	abw:BL01_02295
ko:K03646	abw:BL01_06025
ko:K03111	abw:BL01_00375
ko:K03111	abw:BL01_09680
ko:K02663	abw:BL01_10175
ko:K02625	abw:BL01_08090
ko:K00335	abw:BL01_07475
ko:K00336	abw:BL01_07480
ko:K03976	abw:BL01_08535
ko:K14742	abw:BL01_11005
ko:K03526	abw:BL01_17015
ko:K03761	abw:BL01_05630
ko:K07215	abw:BL01_11290
ko:K06596	abw:BL01_14065
ko:K07483	abw:BL01_04560
ko:K18979	abw:BL01_18280
ko:K18997	abw:BL01_03000
ko:K02664	abw:BL01_10180
ko:K09483	abw:BL01_00635
ko:K22444	abw:BL01_07970
ko:K13877	abw:BL01_16085
ko:K00499	abw:BL01_04860
ko:K03446	abw:BL01_19050
ko:K12979	abw:BL01_03280
ko:K19165	abw:BL01_04815
ko:K19165	abw:BL01_16365
ko:K00557	abw:BL01_18200
ko:K01046	abw:BL01_10345
ko:K00020	abw:BL01_01200
ko:K01066	abw:BL01_07955
ko:K01992	abw:BL01_05885
ko:K01992	abw:BL01_08375
ko:K01992	abw:BL01_08380
ko:K01392	abw:BL01_08705
ko:K07497	abw:BL01_18135
ko:K00529	abw:BL01_11460
ko:K00638	abw:BL01_05535
ko:K19302	abw:BL01_17045
ko:K06867	abw:BL01_13185
ko:K04771	abw:BL01_06190
ko:K19272	abw:BL01_19125
ko:K01096	abw:BL01_05240
ko:K00130	abw:BL01_11345
ko:K07216	abw:BL01_11775
ko:K19577	abw:BL01_06710
ko:K19577	abw:BL01_17300
ko:K18137	abw:BL01_04375
ko:K10938	abw:BL01_07020
ko:K17686	abw:BL01_13745
ko:K00992	abw:BL01_12370
ko:K00799	abw:BL01_02405
ko:K06132	abw:BL01_15625
ko:K15777	abw:BL01_14170
ko:K07497	abw:BL01_04565
ko:K19810	abw:BL01_04950
ko:K01457	abw:BL01_13305
ko:K16066	abw:BL01_06245
ko:K20034	abw:BL01_16120
ko:K00020	abw:BL01_16690
ko:K22443	abw:BL01_07960
ko:K03809	abw:BL01_07910
ko:K00507	abw:BL01_10710
ko:K20455	abw:BL01_01325
ko:K09788	abw:BL01_05380
ko:K20534	abw:BL01_05875
ko:K00220	abw:BL01_09180
ko:K00800	abw:BL01_09180
ko:K00632	abw:BL01_03290
ko:K01802	abw:BL01_11395
ko:K02483	abw:BL01_09115
ko:K20881	abw:BL01_04280
ko:K00249	abw:BL01_15730
ko:K21053	abw:BL01_15540
ko:K21062	abw:BL01_18115
ko:K21061	abw:BL01_18095
ko:K01768	abw:BL01_08625
ko:K11935	abw:BL01_17110
ko:K11931	abw:BL01_17115
ko:K11937	abw:BL01_17125
ko:K13877	abw:BL01_18070
ko:K21021	abw:BL01_15610
ko:K21023	abw:BL01_16805
ko:K03892	abw:BL01_02605
ko:K00525	abw:BL01_07425
ko:K21801	abw:BL01_15915
ko:K00249	abw:BL01_08555
ko:K00249	abw:BL01_16105
ko:K00001	abw:BL01_05170
ko:K02316	abw:BL01_07890
ko:K00558	abw:BL01_12030
ko:K02315	abw:BL01_12040
ko:K02314	abw:BL01_12705
ko:K17733	abw:BL01_13195
ko:K03553	abw:BL01_04290
ko:K01520	abw:BL01_11750
ko:K03546	abw:BL01_11820
ko:K07336	abw:BL01_12810
ko:K00560	abw:BL01_12890
ko:K00287	abw:BL01_12895
ko:K09935	abw:BL01_16565
ko:K03676	abw:BL01_16885
ko:K03462	abw:BL01_15995
ko:K06217	abw:BL01_17475
ko:K06889	abw:BL01_12505
ko:K20938	abw:BL01_02530
ko:K02335	abw:BL01_16495
ko:K01139	abw:BL01_10270
ko:K00526	abw:BL01_07415
ko:K21416	abw:BL01_08215
ko:K21417	abw:BL01_08210
ko:K21472	abw:BL01_06750
ko:K21420	abw:BL01_01695
ko:K21699	abw:BL01_09370
ko:K10914	abw:BL01_02735
ko:K03496	abw:BL01_p0150
ko:K03746	abw:BL01_p0200
ko:K03502	abw:BL01_p0280
ko:K12056	abw:BL01_p0295
ko:K12072	abw:BL01_p0300
ko:K12057	abw:BL01_p0310
ko:K12058	abw:BL01_p0315
ko:K12059	abw:BL01_p0320
ko:K12060	abw:BL01_p0325
ko:K12061	abw:BL01_p0330
ko:K12062	abw:BL01_p0335
ko:K12063	abw:BL01_p0345
ko:K12064	abw:BL01_p0350
ko:K03981	abw:BL01_p0360
ko:K12065	abw:BL01_p0365
ko:K12066	abw:BL01_p0370
ko:K12067	abw:BL01_p0375
ko:K12068	abw:BL01_p0380
ko:K18793	abw:BL01_p0470
ko:K03824	abw:BL01_p0475
ko:K16053	abw:BL01_p0500
ko:K02014	abw:BL01_p0505
ko:K03719	abw:BL01_p0520
ko:K04093	abw:BL01_p0525
ko:K09803	abw:BL01_p0015
ko:K02014	abw:BL01_p0025
ko:K21747	abw:BL01_08565
ko:K01081	abw:BL01_19235
ko:K00950	abw:BL01_19420
ko:K10914	abw:BL01_19390
ko:K06992	abw:BL01_19430
ko:K06992	abw:BL01_19435
ko:K21756	abw:BL01_00825
ko:K21757	abw:BL01_13755
ko:K21758	abw:BL01_13790
ko:K19591	abw:BL01_13740
ko:K21990	abw:BL01_06790
ko:K22003	abw:BL01_11145
ko:K22027	abw:BL01_00725
ko:K22025	abw:BL01_16065
ko:K22105	abw:BL01_06515
ko:K22067	abw:BL01_04525
ko:K01816	abw:BL01_16695
ko:K13874	abw:BL01_16315
ko:K03595	abw:BL01_06220
ko:K07183	abw:BL01_04520
ko:K22132	abw:BL01_16755
ko:K08994	abw:BL01_08185
ko:K08994	abw:BL01_10905
ko:K22186	abw:BL01_16080
ko:K13875	abw:BL01_00840
ko:K22292	abw:BL01_01545
ko:K02257	abw:BL01_12725
ko:K01505	abw:BL01_07565
ko:K00611	abw:BL01_04380
ko:K13061	abw:BL01_01170
ko:K00590	abw:BL01_14825
ko:K00424	abw:BL01_19275
ko:K22550	abw:BL01_18090
ko:K22549	abw:BL01_18085
