ko:K02495	eab:ECABU_c43700
ko:K06872	eab:ECABU_c30470
ko:K06872	eab:ECABU_c30480
ko:K01689	eab:ECABU_c30500
ko:K01937	eab:ECABU_c30510
ko:K07347	eab:ECABU_c38540
ko:K00688	eab:ECABU_c38570
ko:K00703	eab:ECABU_c38580
ko:K00975	eab:ECABU_c38590
ko:K00133	eab:ECABU_c38620
ko:K03654	eab:ECABU_c38650
ko:K06156	eab:ECABU_c38660
ko:K06145	eab:ECABU_c38690
ko:K06911	eab:ECABU_c38700
ko:K01126	eab:ECABU_c38790
ko:K05813	eab:ECABU_c38830
ko:K01996	eab:ECABU_c38840
ko:K01995	eab:ECABU_c38850
ko:K01998	eab:ECABU_c38860
ko:K01997	eab:ECABU_c38870
ko:K01999	eab:ECABU_c38880
ko:K01999	eab:ECABU_c38900
ko:K03089	eab:ECABU_c38910
ko:K09811	eab:ECABU_c38920
ko:K09812	eab:ECABU_c38930
ko:K03110	eab:ECABU_c38940
ko:K08993	eab:ECABU_c38960
ko:K03765	eab:ECABU_c46870
ko:K04084	eab:ECABU_c46900
ko:K03926	eab:ECABU_c46910
ko:K07791	eab:ECABU_c46920
ko:K01744	eab:ECABU_c46940
ko:K07113	eab:ECABU_c46950
ko:K04078	eab:ECABU_c46970
ko:K04077	eab:ECABU_c46990
ko:K02356	eab:ECABU_c47030
ko:K03098	eab:ECABU_c47080
ko:K00246	eab:ECABU_c47110
ko:K04568	eab:ECABU_c47140
ko:K06949	eab:ECABU_c47190
ko:K13288	eab:ECABU_c47200
ko:K06925	eab:ECABU_c47260
ko:K01448	eab:ECABU_c47270
ko:K03572	eab:ECABU_c47280
ko:K00791	eab:ECABU_c47290
ko:K03666	eab:ECABU_c47300
ko:K03665	eab:ECABU_c47310
ko:K04088	eab:ECABU_c47320
ko:K04087	eab:ECABU_c47330
ko:K09937	eab:ECABU_c47340
ko:K01939	eab:ECABU_c47350
ko:K13771	eab:ECABU_c47360
ko:K12573	eab:ECABU_c47370
ko:K03218	eab:ECABU_c47380
ko:K09980	eab:ECABU_c47390
ko:K08989	eab:ECABU_c47420
ko:K06946	eab:ECABU_c12290
ko:K12687	eab:ECABU_c12300
ko:K12972	eab:ECABU_c12480
ko:K06214	eab:ECABU_c12520
ko:K04338	eab:ECABU_c12530
ko:K04337	eab:ECABU_c12540
ko:K04335	eab:ECABU_c12560
ko:K04334	eab:ECABU_c12570
ko:K04336	eab:ECABU_c12580
ko:K03684	eab:ECABU_c20620
ko:K07285	eab:ECABU_c20640
ko:K09917	eab:ECABU_c20700
ko:K01665	eab:ECABU_c20710
ko:K01752	eab:ECABU_c20730
ko:K00563	eab:ECABU_c20820
ko:K03704	eab:ECABU_c20830
ko:K08169	eab:ECABU_c20870
ko:K03799	eab:ECABU_c20880
ko:K03797	eab:ECABU_c20890
ko:K03607	eab:ECABU_c20900
ko:K03808	eab:ECABU_c20920
ko:K07156	eab:ECABU_c21010
ko:K10857	eab:ECABU_c21040
ko:K01354	eab:ECABU_c21050
ko:K09918	eab:ECABU_c21090
ko:K08289	eab:ECABU_c21100
ko:K01625	eab:ECABU_c21110
ko:K01690	eab:ECABU_c21120
ko:K00036	eab:ECABU_c21130
ko:K05807	eab:ECABU_c28970
ko:K05809	eab:ECABU_c28980
ko:K14170	eab:ECABU_c29000
ko:K14187	eab:ECABU_c29010
ko:K01626	eab:ECABU_c29020
ko:K02884	eab:ECABU_c29070
ko:K00554	eab:ECABU_c29080
ko:K02860	eab:ECABU_c29090
ko:K02959	eab:ECABU_c29100
ko:K03106	eab:ECABU_c29110
ko:K03687	eab:ECABU_c29150
ko:K00858	eab:ECABU_c29160
ko:K03631	eab:ECABU_c29170
ko:K06186	eab:ECABU_c29180
ko:K09801	eab:ECABU_c29190
ko:K03664	eab:ECABU_c29210
ko:K15737	eab:ECABU_c29220
ko:K15736	eab:ECABU_c29230
ko:K11735	eab:ECABU_c29260
ko:K15735	eab:ECABU_c29270
ko:K00375	eab:ECABU_c29370
ko:K02000	eab:ECABU_c29430
ko:K02001	eab:ECABU_c29440
ko:K02002	eab:ECABU_c29450
ko:K15974	eab:ECABU_c29500
ko:K03543	eab:ECABU_c29510
ko:K02455	eab:ECABU_c37480
ko:K02456	eab:ECABU_c37490
ko:K02457	eab:ECABU_c37500
ko:K02458	eab:ECABU_c37510
ko:K02459	eab:ECABU_c37520
ko:K02460	eab:ECABU_c37530
ko:K02461	eab:ECABU_c37540
ko:K02462	eab:ECABU_c37550
ko:K03594	eab:ECABU_c37570
ko:K02192	eab:ECABU_c37580
ko:K02358	eab:ECABU_c37610
ko:K02355	eab:ECABU_c37620
ko:K02992	eab:ECABU_c37630
ko:K02950	eab:ECABU_c37640
ko:K07237	eab:ECABU_c37650
ko:K07236	eab:ECABU_c37660
ko:K07235	eab:ECABU_c37670
ko:K03745	eab:ECABU_c37700
ko:K03775	eab:ECABU_c37720
ko:K07070	eab:ECABU_c37730
ko:K06158	eab:ECABU_c37760
ko:K00855	eab:ECABU_c37790
ko:K07397	eab:ECABU_c37800
ko:K04095	eab:ECABU_c37850
ko:K06141	eab:ECABU_c37880
ko:K00362	eab:ECABU_c37890
ko:K00363	eab:ECABU_c37900
ko:K02598	eab:ECABU_c37910
ko:K02302	eab:ECABU_c37920
ko:K00832	eab:ECABU_c45850
ko:K00164	eab:ECABU_c45860
ko:K00658	eab:ECABU_c45870
ko:K00382	eab:ECABU_c45880
ko:K01903	eab:ECABU_c45890
ko:K01902	eab:ECABU_c45900
ko:K10126	eab:ECABU_c45930
ko:K12297	eab:ECABU_c09800
ko:K15738	eab:ECABU_c09810
ko:K03808	eab:ECABU_c09820
ko:K06192	eab:ECABU_c09830
ko:K09857	eab:ECABU_c09840
ko:K03812	eab:ECABU_c09850
ko:K01716	eab:ECABU_c09860
ko:K04770	eab:ECABU_c09870
ko:K09911	eab:ECABU_c09880
ko:K01626	eab:ECABU_c11090
ko:K13408	eab:ECABU_c11170
ko:K13409	eab:ECABU_c11180
ko:K07345	eab:ECABU_c11250
ko:K07351	eab:ECABU_c11260
ko:K12507	eab:ECABU_c19550
ko:K09773	eab:ECABU_c19580
ko:K01626	eab:ECABU_c19590
ko:K06074	eab:ECABU_c19640
ko:K00432	eab:ECABU_c19650
ko:K06073	eab:ECABU_c19660
ko:K04764	eab:ECABU_c19670
ko:K01890	eab:ECABU_c19680
ko:K01889	eab:ECABU_c19690
ko:K02887	eab:ECABU_c19700
ko:K02916	eab:ECABU_c19720
ko:K02520	eab:ECABU_c19730
ko:K01868	eab:ECABU_c19740
ko:K07038	eab:ECABU_c19840
ko:K06956	eab:ECABU_c19850
ko:K15722	eab:ECABU_c19870
ko:K03781	eab:ECABU_c19880
ko:K03490	eab:ECABU_c19910
ko:K02759	eab:ECABU_c19920
ko:K02761	eab:ECABU_c19930
ko:K02760	eab:ECABU_c19940
ko:K04064	eab:ECABU_c19950
ko:K05984	eab:ECABU_c19970
ko:K09975	eab:ECABU_c19980
ko:K05526	eab:ECABU_c20010
ko:K01484	eab:ECABU_c20020
ko:K06447	eab:ECABU_c20030
ko:K00673	eab:ECABU_c20040
ko:K00840	eab:ECABU_c20050
ko:K01142	eab:ECABU_c20060
ko:K03567	eab:ECABU_c27910
ko:K03564	eab:ECABU_c27920
ko:K10763	eab:ECABU_c27960
ko:K00761	eab:ECABU_c27980
ko:K01933	eab:ECABU_c27990
ko:K11175	eab:ECABU_c28000
ko:K00937	eab:ECABU_c28010
ko:K01524	eab:ECABU_c28020
ko:K01951	eab:ECABU_c28090
ko:K03601	eab:ECABU_c28110
ko:K13735	eab:ECABU_c28140
ko:K03977	eab:ECABU_c28160
ko:K01892	eab:ECABU_c28190
ko:K15539	eab:ECABU_c28210
ko:K06941	eab:ECABU_c28220
ko:K00940	eab:ECABU_c28240
ko:K05367	eab:ECABU_c28250
ko:K06894	eab:ECABU_c28260
ko:K07751	eab:ECABU_c28290
ko:K04755	eab:ECABU_c28310
ko:K04044	eab:ECABU_c28320
ko:K04082	eab:ECABU_c28330
ko:K04487	eab:ECABU_c28360
ko:K13643	eab:ECABU_c28370
ko:K15396	eab:ECABU_c28380
ko:K05820	eab:ECABU_c28420
ko:K15977	eab:ECABU_c28440
ko:K02996	eab:ECABU_c36390
ko:K02871	eab:ECABU_c36400
ko:K06916	eab:ECABU_c36410
ko:K09908	eab:ECABU_c36420
ko:K04691	eab:ECABU_c36440
ko:K00024	eab:ECABU_c36450
ko:K10125	eab:ECABU_c45940
ko:K03788	eab:ECABU_c45970
ko:K03701	eab:ECABU_c46000
ko:K13631	eab:ECABU_c46040
ko:K13639	eab:ECABU_c46050
ko:K06901	eab:ECABU_c46070
ko:K14393	eab:ECABU_c46120
ko:K01895	eab:ECABU_c46140
ko:K03385	eab:ECABU_c46150
ko:K04013	eab:ECABU_c46160
ko:K04016	eab:ECABU_c46190
ko:K11102	eab:ECABU_c46220
ko:K02034	eab:ECABU_c46270
ko:K15550	eab:ECABU_c46330
ko:K15547	eab:ECABU_c46340
ko:K15549	eab:ECABU_c46350
ko:K00426	eab:ECABU_c07780
ko:K07107	eab:ECABU_c07820
ko:K03562	eab:ECABU_c07830
ko:K03641	eab:ECABU_c07860
ko:K03640	eab:ECABU_c07870
ko:K03517	eab:ECABU_c07890
ko:K03811	eab:ECABU_c07900
ko:K01626	eab:ECABU_c07930
ko:K00849	eab:ECABU_c07960
ko:K00965	eab:ECABU_c07970
ko:K05776	eab:ECABU_c07990
ko:K02019	eab:ECABU_c08000
ko:K02020	eab:ECABU_c08040
ko:K02018	eab:ECABU_c08050
ko:K03319	eab:ECABU_c08110
ko:K01681	eab:ECABU_c08120
ko:K01051	eab:ECABU_c08130
ko:K00833	eab:ECABU_c08170
ko:K01012	eab:ECABU_c08160
ko:K02169	eab:ECABU_c08190
ko:K01935	eab:ECABU_c08200
ko:K03702	eab:ECABU_c08210
ko:K03639	eab:ECABU_c08230
ko:K03638	eab:ECABU_c08240
ko:K03637	eab:ECABU_c08250
ko:K03636	eab:ECABU_c08260
ko:K03737	eab:ECABU_c16330
ko:K03778	eab:ECABU_c16360
ko:K09978	eab:ECABU_c16390
ko:K00981	eab:ECABU_c16440
ko:K01118	eab:ECABU_c16470
ko:K03578	eab:ECABU_c16480
ko:K07248	eab:ECABU_c16500
ko:K00134	eab:ECABU_c16510
ko:K09794	eab:ECABU_c16580
ko:K03817	eab:ECABU_c16590
ko:K03304	eab:ECABU_c16610
ko:K05782	eab:ECABU_c16650
ko:K08303	eab:ECABU_c16660
ko:K02053	eab:ECABU_c16730
ko:K00137	eab:ECABU_c16740
ko:K09936	eab:ECABU_c16770
ko:K03823	eab:ECABU_c16780
ko:K11534	eab:ECABU_c08810
ko:K08160	eab:ECABU_c08830
ko:K07085	eab:ECABU_c08880
ko:K11073	eab:ECABU_c08950
ko:K11076	eab:ECABU_c08960
ko:K11075	eab:ECABU_c08970
ko:K11074	eab:ECABU_c08980
ko:K03212	eab:ECABU_c09000
ko:K09996	eab:ECABU_c09010
ko:K09999	eab:ECABU_c09030
ko:K09997	eab:ECABU_c09040
ko:K11066	eab:ECABU_c09080
ko:K01620	eab:ECABU_c09110
ko:K00156	eab:ECABU_c09120
ko:K11933	eab:ECABU_c09130
ko:K06188	eab:ECABU_c09160
ko:K09824	eab:ECABU_c09180
ko:K13888	eab:ECABU_c09190
ko:K05685	eab:ECABU_c09200
ko:K03704	eab:ECABU_c09210
ko:K06891	eab:ECABU_c09220
ko:K03694	eab:ECABU_c09230
ko:K02518	eab:ECABU_c09250
ko:K00684	eab:ECABU_c09260
ko:K07347	eab:ECABU_c17390
ko:K07345	eab:ECABU_c17410
ko:K07154	eab:ECABU_c17440
ko:K00041	eab:ECABU_c17480
ko:K01425	eab:ECABU_c17510
ko:K08324	eab:ECABU_c17520
ko:K08159	eab:ECABU_c17540
ko:K03712	eab:ECABU_c17560
ko:K13632	eab:ECABU_c17570
ko:K13630	eab:ECABU_c17580
ko:K01223	eab:ECABU_c17590
ko:K10124	eab:ECABU_c17600
ko:K02759	eab:ECABU_c17610
ko:K02761	eab:ECABU_c17620
ko:K02760	eab:ECABU_c17630
ko:K03482	eab:ECABU_c17640
ko:K15268	eab:ECABU_c17650
ko:K01284	eab:ECABU_c17690
ko:K08322	eab:ECABU_c17760
ko:K08323	eab:ECABU_c17770
ko:K09771	eab:ECABU_c17780
ko:K07309	eab:ECABU_c17830
ko:K07310	eab:ECABU_c17840
ko:K07311	eab:ECABU_c17850
ko:K03281	eab:ECABU_c17880
ko:K01935	eab:ECABU_c17890
ko:K07806	eab:ECABU_c25870
ko:K10012	eab:ECABU_c25880
ko:K10011	eab:ECABU_c25890
ko:K13014	eab:ECABU_c25900
ko:K07264	eab:ECABU_c25910
ko:K12962	eab:ECABU_c25920
ko:K12963	eab:ECABU_c25930
ko:K01911	eab:ECABU_c25950
ko:K01661	eab:ECABU_c25980
ko:K02551	eab:ECABU_c26000
ko:K05594	eab:ECABU_c26020
ko:K00343	eab:ECABU_c26080
ko:K00342	eab:ECABU_c26090
ko:K00341	eab:ECABU_c26100
ko:K00340	eab:ECABU_c26110
ko:K00339	eab:ECABU_c26120
ko:K00338	eab:ECABU_c26130
ko:K00337	eab:ECABU_c26140
ko:K00334	eab:ECABU_c26170
ko:K13378	eab:ECABU_c26180
ko:K00331	eab:ECABU_c26190
ko:K00330	eab:ECABU_c26200
ko:K14260	eab:ECABU_c26220
ko:K09161	eab:ECABU_c26260
ko:K09899	eab:ECABU_c26270
ko:K00925	eab:ECABU_c26280
ko:K13788	eab:ECABU_c26290
ko:K07095	eab:ECABU_c26330
ko:K07589	eab:ECABU_c26360
ko:K07071	eab:ECABU_c26370
ko:K10017	eab:ECABU_c26380
ko:K00655	eab:ECABU_c34270
ko:K02621	eab:ECABU_c34280
ko:K07471	eab:ECABU_c34300
ko:K03923	eab:ECABU_c34370
ko:K02016	eab:ECABU_c34400
ko:K02015	eab:ECABU_c34410
ko:K02015	eab:ECABU_c34420
ko:K02013	eab:ECABU_c34430
ko:K02622	eab:ECABU_c34460
ko:K07000	eab:ECABU_c34470
ko:K03651	eab:ECABU_c34480
ko:K09920	eab:ECABU_c34490
ko:K12340	eab:ECABU_c34510
ko:K03673	eab:ECABU_c34550
ko:K03611	eab:ECABU_c34560
ko:K07238	eab:ECABU_c34580
ko:K03272	eab:ECABU_c34690
ko:K00982	eab:ECABU_c34700
ko:K07184	eab:ECABU_c34740
ko:K06153	eab:ECABU_c34760
ko:K01633	eab:ECABU_c34770
ko:K08591	eab:ECABU_c34780
ko:K02472	eab:ECABU_c42660
ko:K00973	eab:ECABU_c42680
ko:K02805	eab:ECABU_c42700
ko:K12582	eab:ECABU_c42720
ko:K02853	eab:ECABU_c42730
ko:K03658	eab:ECABU_c09940
ko:K01734	eab:ECABU_c09950
ko:K06929	eab:ECABU_c09970
ko:K11940	eab:ECABU_c09980
ko:K06969	eab:ECABU_c09990
ko:K01512	eab:ECABU_c10000
ko:K03620	eab:ECABU_c10070
ko:K03619	eab:ECABU_c10090
ko:K03618	eab:ECABU_c10100
ko:K00425	eab:ECABU_c10110
ko:K00426	eab:ECABU_c10120
ko:K01093	eab:ECABU_c10140
ko:K03704	eab:ECABU_c10150
ko:K03704	eab:ECABU_c10160
ko:K07647	eab:ECABU_c10210
ko:K11930	eab:ECABU_c10220
ko:K03532	eab:ECABU_c10240
ko:K07811	eab:ECABU_c10250
ko:K03533	eab:ECABU_c10260
ko:K05516	eab:ECABU_c10280
ko:K01085	eab:ECABU_c10290
ko:K03809	eab:ECABU_c10310
ko:K09016	eab:ECABU_c10330
ko:K07639	eab:ECABU_c18610
ko:K01676	eab:ECABU_c18640
ko:K01809	eab:ECABU_c18650
ko:K01195	eab:ECABU_c18690
ko:K14155	eab:ECABU_c18740
ko:K10773	eab:ECABU_c18860
ko:K03305	eab:ECABU_c18870
ko:K00868	eab:ECABU_c18890
ko:K01866	eab:ECABU_c18900
ko:K00275	eab:ECABU_c18910
ko:K09001	eab:ECABU_c18930
ko:K06077	eab:ECABU_c18940
ko:K07797	eab:ECABU_c26880
ko:K07690	eab:ECABU_c26890
ko:K07679	eab:ECABU_c26900
ko:K07088	eab:ECABU_c26920
ko:K12974	eab:ECABU_c26980
ko:K14261	eab:ECABU_c26990
ko:K02478	eab:ECABU_c27000
ko:K08483	eab:ECABU_c27030
ko:K11189	eab:ECABU_c27030
ko:K11201	eab:ECABU_c27030
ko:K08326	eab:ECABU_c27050
ko:K11203	eab:ECABU_c27060
ko:K11202	eab:ECABU_c27070
ko:K03322	eab:ECABU_c27130
ko:K11535	eab:ECABU_c27140
ko:K11537	eab:ECABU_c27260
ko:K03815	eab:ECABU_c27270
ko:K14347	eab:ECABU_c27300
ko:K09954	eab:ECABU_c27310
ko:K01972	eab:ECABU_c27320
ko:K03528	eab:ECABU_c27330
ko:K06203	eab:ECABU_c27340
ko:K01738	eab:ECABU_c27350
ko:K00868	eab:ECABU_c27390
ko:K03838	eab:ECABU_c35330
ko:K01754	eab:ECABU_c35340
ko:K07592	eab:ECABU_c35350
ko:K07591	eab:ECABU_c35360
ko:K00865	eab:ECABU_c35370
ko:K12299	eab:ECABU_c35400
ko:K02746	eab:ECABU_c35470
ko:K02747	eab:ECABU_c35480
ko:K02079	eab:ECABU_c35500
ko:K02082	eab:ECABU_c35510
ko:K10984	eab:ECABU_c35540
ko:K10985	eab:ECABU_c35550
ko:K10986	eab:ECABU_c35560
ko:K02080	eab:ECABU_c35570
ko:K07056	eab:ECABU_c35580
ko:K07121	eab:ECABU_c35590
ko:K07460	eab:ECABU_c35600
ko:K07089	eab:ECABU_c35630
ko:K09979	eab:ECABU_c35650
ko:K07461	eab:ECABU_c35660
ko:K03824	eab:ECABU_c35670
ko:K08303	eab:ECABU_c35690
ko:K03835	eab:ECABU_c35720
ko:K05592	eab:ECABU_c35730
ko:K05803	eab:ECABU_c35740
ko:K00962	eab:ECABU_c35760
ko:K02956	eab:ECABU_c35770
ko:K02834	eab:ECABU_c35790
ko:K02519	eab:ECABU_c35800
ko:K02600	eab:ECABU_c35810
ko:K09748	eab:ECABU_c35820
ko:K07712	eab:ECABU_c43720
ko:K07708	eab:ECABU_c43730
ko:K01915	eab:ECABU_c43740
ko:K06207	eab:ECABU_c43750
ko:K08318	eab:ECABU_c43810
ko:K07058	eab:ECABU_c43880
ko:K07560	eab:ECABU_c43890
ko:K02380	eab:ECABU_c43960
ko:K00123	eab:ECABU_c43990
ko:K02379	eab:ECABU_c44020
ko:K03534	eab:ECABU_c44060
ko:K00848	eab:ECABU_c44090
ko:K02854	eab:ECABU_c44120
ko:K02856	eab:ECABU_c44130
ko:K04564	eab:ECABU_c44140
ko:K02526	eab:ECABU_c44150
ko:K06006	eab:ECABU_c44190
ko:K00850	eab:ECABU_c44210
ko:K02048	eab:ECABU_c44220
ko:K01521	eab:ECABU_c44240
ko:K01803	eab:ECABU_c44250
ko:K03402	eab:ECABU_c36460
ko:K03623	eab:ECABU_c36480
ko:K03468	eab:ECABU_c36490
ko:K15548	eab:ECABU_c36500
ko:K03568	eab:ECABU_c36530
ko:K08301	eab:ECABU_c36550
ko:K06287	eab:ECABU_c36560
ko:K03571	eab:ECABU_c36570
ko:K03570	eab:ECABU_c36580
ko:K03569	eab:ECABU_c36590
ko:K02160	eab:ECABU_c36640
ko:K01961	eab:ECABU_c36650
ko:K10441	eab:ECABU_c36690
ko:K14392	eab:ECABU_c36750
ko:K02687	eab:ECABU_c36760
ko:K03557	eab:ECABU_c36780
ko:K09969	eab:ECABU_c36860
ko:K09970	eab:ECABU_c36870
ko:K09971	eab:ECABU_c36880
ko:K09972	eab:ECABU_c36890
ko:K00322	eab:ECABU_c44750
ko:K01776	eab:ECABU_c44820
ko:K00075	eab:ECABU_c44870
ko:K03524	eab:ECABU_c44880
ko:K02358	eab:ECABU_c44940
ko:K03073	eab:ECABU_c44950
ko:K02601	eab:ECABU_c44960
ko:K02867	eab:ECABU_c44970
ko:K02863	eab:ECABU_c44980
ko:K02864	eab:ECABU_c45000
ko:K03043	eab:ECABU_c45030
ko:K03046	eab:ECABU_c45040
ko:K03150	eab:ECABU_c45050
ko:K03149	eab:ECABU_c45060
ko:K03154	eab:ECABU_c45070
ko:K00788	eab:ECABU_c45090
ko:K03147	eab:ECABU_c45100
ko:K07740	eab:ECABU_c45110
ko:K03426	eab:ECABU_c45120
ko:K01599	eab:ECABU_c45130
ko:K05982	eab:ECABU_c45140
ko:K09891	eab:ECABU_c45150
ko:K05787	eab:ECABU_c45160
ko:K07803	eab:ECABU_c45180
ko:K01945	eab:ECABU_c45210
ko:K00602	eab:ECABU_c45220
ko:K03827	eab:ECABU_c45280
ko:K00651	eab:ECABU_c45290
ko:K14744	eab:ECABU_c13860
ko:K11738	eab:ECABU_c16820
ko:K02529	eab:ECABU_c24820
ko:K07148	eab:ECABU_c24830
ko:K01495	eab:ECABU_c24840
ko:K01070	eab:ECABU_c24850
ko:K11733	eab:ECABU_c24870
ko:K01151	eab:ECABU_c24900
ko:K10213	eab:ECABU_c24930
ko:K02769	eab:ECABU_c24980
ko:K02770	eab:ECABU_c24980
ko:K02768	eab:ECABU_c25000
ko:K11183	eab:ECABU_c25000
ko:K03291	eab:ECABU_c25010
ko:K06940	eab:ECABU_c25020
ko:K02356	eab:ECABU_c25030
ko:K13694	eab:ECABU_c25070
ko:K13893	eab:ECABU_c25090
ko:K13894	eab:ECABU_c25100
ko:K13895	eab:ECABU_c25110
ko:K13896	eab:ECABU_c25120
ko:K07552	eab:ECABU_c25140
ko:K06899	eab:ECABU_c25190
ko:K09904	eab:ECABU_c25200
ko:K07014	eab:ECABU_c25210
ko:K07685	eab:ECABU_c25270
ko:K02199	eab:ECABU_c25290
ko:K02198	eab:ECABU_c25300
ko:K02197	eab:ECABU_c25310
ko:K02196	eab:ECABU_c25320
ko:K02195	eab:ECABU_c25330
ko:K02194	eab:ECABU_c25340
ko:K06946	eab:ECABU_c33220
ko:K12687	eab:ECABU_c33230
ko:K06041	eab:ECABU_c33430
ko:K10107	eab:ECABU_c33440
ko:K00979	eab:ECABU_c33460
ko:K07266	eab:ECABU_c33470
ko:K07265	eab:ECABU_c33480
ko:K09689	eab:ECABU_c33550
ko:K09688	eab:ECABU_c33560
ko:K02462	eab:ECABU_c33570
ko:K02461	eab:ECABU_c33580
ko:K02460	eab:ECABU_c33590
ko:K02459	eab:ECABU_c33600
ko:K02458	eab:ECABU_c33610
ko:K02457	eab:ECABU_c33620
ko:K02456	eab:ECABU_c33630
ko:K02455	eab:ECABU_c33640
ko:K02453	eab:ECABU_c33660
ko:K02452	eab:ECABU_c33670
ko:K02654	eab:ECABU_c33690
ko:K10939	eab:ECABU_c33700
ko:K01638	eab:ECABU_c33740
ko:K07085	eab:ECABU_c41660
ko:K04081	eab:ECABU_c41680
ko:K04080	eab:ECABU_c41690
ko:K01684	eab:ECABU_c41740
ko:K01631	eab:ECABU_c41750
ko:K00883	eab:ECABU_c41760
ko:K02470	eab:ECABU_c41810
ko:K03629	eab:ECABU_c41820
ko:K02338	eab:ECABU_c41830
ko:K02313	eab:ECABU_c41840
ko:K03536	eab:ECABU_c41870
ko:K08998	eab:ECABU_c41880
ko:K03217	eab:ECABU_c41890
ko:K03650	eab:ECABU_c41900
ko:K01667	eab:ECABU_c41910
ko:K03836	eab:ECABU_c41920
ko:K08163	eab:ECABU_c41930
ko:K06901	eab:ECABU_c41970
ko:K10124	eab:ECABU_c42020
ko:K01223	eab:ECABU_c42030
ko:K02039	eab:ECABU_c42060
ko:K02036	eab:ECABU_c42080
ko:K02038	eab:ECABU_c42090
ko:K02037	eab:ECABU_c42100
ko:K02040	eab:ECABU_c42110
ko:K00820	eab:ECABU_c42120
ko:K04042	eab:ECABU_c42130
ko:K02114	eab:ECABU_c42150
ko:K03424	eab:ECABU_c50130
ko:K01839	eab:ECABU_c50180
ko:K03800	eab:ECABU_c50210
ko:K01079	eab:ECABU_c50230
ko:K04485	eab:ECABU_c50240
ko:K06211	eab:ECABU_c50250
ko:K08309	eab:ECABU_c50290
ko:K03720	eab:ECABU_c50300
ko:K05804	eab:ECABU_c50330
ko:K05805	eab:ECABU_c50340
ko:K07663	eab:ECABU_c50350
ko:K07641	eab:ECABU_c50360
ko:K06143	eab:ECABU_c50370
ko:K07773	eab:ECABU_c50380
ko:K06871	eab:ECABU_c42800
ko:K02498	eab:ECABU_c42820
ko:K02496	eab:ECABU_c42830
ko:K01749	eab:ECABU_c42850
ko:K05851	eab:ECABU_c42860
ko:K06202	eab:ECABU_c42870
ko:K01778	eab:ECABU_c42910
ko:K09921	eab:ECABU_c42920
ko:K03733	eab:ECABU_c42930
ko:K03657	eab:ECABU_c42950
ko:K03284	eab:ECABU_c42980
ko:K05786	eab:ECABU_c43010
ko:K01058	eab:ECABU_c43030
ko:K03654	eab:ECABU_c43040
ko:K05835	eab:ECABU_c43050
ko:K05834	eab:ECABU_c43060
ko:K03576	eab:ECABU_c43100
ko:K00549	eab:ECABU_c43110
ko:K08094	eab:ECABU_c43160
ko:K00615	eab:ECABU_c43180
ko:K01175	eab:ECABU_c07400
ko:K05879	eab:ECABU_c14700
ko:K05878	eab:ECABU_c14710
ko:K05880	eab:ECABU_c14720
ko:K06942	eab:ECABU_c14740
ko:K01056	eab:ECABU_c14750
ko:K03321	eab:ECABU_c14770
ko:K00948	eab:ECABU_c14780
ko:K00919	eab:ECABU_c14790
ko:K02494	eab:ECABU_c14800
ko:K02492	eab:ECABU_c14810
ko:K02835	eab:ECABU_c14820
ko:K02493	eab:ECABU_c14830
ko:K01627	eab:ECABU_c14860
ko:K07300	eab:ECABU_c14900
ko:K07673	eab:ECABU_c14970
ko:K02575	eab:ECABU_c14990
ko:K00370	eab:ECABU_c15000
ko:K00371	eab:ECABU_c15010
ko:K00373	eab:ECABU_c15020
ko:K00648	eab:ECABU_c15040
ko:K01433	eab:ECABU_c15130
ko:K09858	eab:ECABU_c15140
ko:K07001	eab:ECABU_c15150
ko:K00963	eab:ECABU_c15180
ko:K04072	eab:ECABU_c15220
ko:K15580	eab:ECABU_c15240
ko:K15581	eab:ECABU_c15250
ko:K09802	eab:ECABU_c23370
ko:K07470	eab:ECABU_c23390
ko:K01141	eab:ECABU_c23410
ko:K00765	eab:ECABU_c23470
ko:K00013	eab:ECABU_c23480
ko:K00817	eab:ECABU_c23490
ko:K01089	eab:ECABU_c23500
ko:K02501	eab:ECABU_c23510
ko:K01814	eab:ECABU_c23520
ko:K02500	eab:ECABU_c23530
ko:K11755	eab:ECABU_c23540
ko:K05789	eab:ECABU_c23550
ko:K00012	eab:ECABU_c23560
ko:K01790	eab:ECABU_c23700
ko:K00973	eab:ECABU_c23710
ko:K00067	eab:ECABU_c23720
ko:K00963	eab:ECABU_c23750
ko:K12527	eab:ECABU_c31590
ko:K12529	eab:ECABU_c31610
ko:K12528	eab:ECABU_c31620
ko:K06901	eab:ECABU_c31650
ko:K04567	eab:ECABU_c31710
ko:K02836	eab:ECABU_c31720
ko:K07462	eab:ECABU_c31730
ko:K03981	eab:ECABU_c31740
ko:K03840	eab:ECABU_c31760
ko:K09159	eab:ECABU_c31790
ko:K06980	eab:ECABU_c31800
ko:K11068	eab:ECABU_c31810
ko:K09900	eab:ECABU_c31820
ko:K01223	eab:ECABU_c31830
ko:K00281	eab:ECABU_c31840
ko:K02437	eab:ECABU_c31850
ko:K00605	eab:ECABU_c31860
ko:K03185	eab:ECABU_c31900
ko:K09895	eab:ECABU_c31920
ko:K09888	eab:ECABU_c31930
ko:K01807	eab:ECABU_c31970
ko:K05596	eab:ECABU_c31980
ko:K09807	eab:ECABU_c32020
ko:K06895	eab:ECABU_c32030
ko:K01624	eab:ECABU_c32050
