ko:K19079	sauk:SAI3T3_1005120
ko:K01271	sauk:SAI3T3_1012460
ko:K18979	sauk:SAI3T3_1013730
ko:K00949	sauk:SAI3T3_1008730
ko:K01318	sauk:SAI3T3_1013270
ko:K01318	sauk:SAI3T3_1007420
ko:K07498	sauk:SAI3T3_20130
ko:K07498	sauk:SAI3T3_20160
ko:K07816	sauk:SAI3T3_1018660
ko:K03429	sauk:SAI3T3_1007200
ko:K02755	sauk:SAI3T3_1002050
ko:K03293	sauk:SAI3T3_1017110
ko:K19077	sauk:SAI3T3_1005110
ko:K01174	sauk:SAI3T3_1009510
ko:K19078	sauk:SAI3T3_1005100
ko:K01239	sauk:SAI3T3_1016860
ko:K19225	sauk:SAI3T3_1011230
ko:K02777	sauk:SAI3T3_1010290
ko:K14198	sauk:SAI3T3_1014710
ko:K19068	sauk:SAI3T3_1001090
ko:K19081	sauk:SAI3T3_1019620
ko:K19082	sauk:SAI3T3_1019630
ko:K19083	sauk:SAI3T3_1019610
ko:K19084	sauk:SAI3T3_1019600
ko:K08259	sauk:SAI3T3_1002140
ko:K02031	sauk:SAI3T3_1006980
ko:K14195	sauk:SAI3T3_1018570
ko:K14195	sauk:SAI3T3_1018580
ko:K02032	sauk:SAI3T3_1009950
ko:K07485	sauk:SAI3T3_1002910
ko:K03722	sauk:SAI3T3_1010510
ko:K01992	sauk:SAI3T3_1018720
ko:K19411	sauk:SAI3T3_1004000
ko:K01046	sauk:SAI3T3_1002460
ko:K19302	sauk:SAI3T3_1010250
ko:K19405	sauk:SAI3T3_1004010
ko:K07485	sauk:SAI3T3_1004370
ko:K07485	sauk:SAI3T3_1004850
ko:K07485	sauk:SAI3T3_1006520
ko:K07485	sauk:SAI3T3_1008250
ko:K07485	sauk:SAI3T3_1012570
ko:K07485	sauk:SAI3T3_1013770
ko:K07485	sauk:SAI3T3_1015330
ko:K03574	sauk:SAI3T3_1013140
ko:K19279	sauk:SAI3T3_1006330
ko:K19576	sauk:SAI3T3_1005380
ko:K06881	sauk:SAI3T3_1012430
ko:K01906	sauk:SAI3T3_1017980
ko:K00561	sauk:SAI3T3_1011990
ko:K19689	sauk:SAI3T3_1014230
ko:K01258	sauk:SAI3T3_1010990
ko:K03483	sauk:SAI3T3_1015930
ko:K07119	sauk:SAI3T3_1016280
ko:K00547	sauk:SAI3T3_1002750
ko:K00297	sauk:SAI3T3_1002750
ko:K02538	sauk:SAI3T3_1019770
ko:K21636	sauk:SAI3T3_1019550
ko:K19976	sauk:SAI3T3_1004870
ko:K12132	sauk:SAI3T3_1008700
ko:K20074	sauk:SAI3T3_1008690
ko:K20116	sauk:SAI3T3_1001390
ko:K20117	sauk:SAI3T3_1001390
ko:K20118	sauk:SAI3T3_1001390
ko:K20116	sauk:SAI3T3_1018900
ko:K20117	sauk:SAI3T3_1018900
ko:K20118	sauk:SAI3T3_1018900
ko:K20338	sauk:SAI3T3_1012950
ko:K21949	sauk:SAI3T3_1000720
ko:K20534	sauk:SAI3T3_1005450
ko:K21721	sauk:SAI3T3_1000730
ko:K02790	sauk:SAI3T3_1001850
ko:K02791	sauk:SAI3T3_1001850
ko:K21029	sauk:SAI3T3_1016790
ko:K21030	sauk:SAI3T3_1001920
ko:K00525	sauk:SAI3T3_1005680
ko:K21030	sauk:SAI3T3_1001960
ko:K21064	sauk:SAI3T3_1006820
ko:K00435	sauk:SAI3T3_1004520
ko:K00526	sauk:SAI3T3_1005690
ko:K00632	sauk:SAI3T3_1001760
ko:K03546	sauk:SAI3T3_1009670
ko:K00287	sauk:SAI3T3_1010320
ko:K00560	sauk:SAI3T3_1010330
ko:K02316	sauk:SAI3T3_1011340
ko:K06217	sauk:SAI3T3_1011400
ko:K01493	sauk:SAI3T3_1011550
ko:K11038	sauk:SAI3T3_1013340
ko:K11038	sauk:SAI3T3_1013350
ko:K01174	sauk:SAI3T3_1006230
ko:K03553	sauk:SAI3T3_1009250
ko:K02314	sauk:SAI3T3_1000130
ko:K00857	sauk:SAI3T3_1015610
ko:K11038	sauk:SAI3T3_1017940
ko:K11038	sauk:SAI3T3_1017950
ko:K11038	sauk:SAI3T3_1017960
ko:K04068	sauk:SAI3T3_1019540
ko:K06958	sauk:SAI3T3_1005990
ko:K05020	sauk:SAI3T3_1016260
ko:K13714	sauk:SAI3T3_1007450
ko:K02335	sauk:SAI3T3_1012300
ko:K00108	sauk:SAI3T3_1019500
ko:K21285	sauk:SAI3T3_1004940
ko:K02032	sauk:SAI3T3_1006990
ko:K03296	sauk:SAI3T3_1016690
ko:K02031	sauk:SAI3T3_1009960
ko:K22044	sauk:SAI3T3_1002790
ko:K21453	sauk:SAI3T3_1019990
ko:K21478	sauk:SAI3T3_1020010
ko:K21567	sauk:SAI3T3_1017590
ko:K21591	sauk:SAI3T3_1001950
ko:K18704	sauk:SAI3T3_1001980
ko:K21828	sauk:SAI3T3_1019680
ko:K22136	sauk:SAI3T3_1008360
ko:K00754	sauk:SAI3T3_1010540
ko:K22135	sauk:SAI3T3_1004390
ko:K03595	sauk:SAI3T3_1011390
ko:K22132	sauk:SAI3T3_1011820
ko:K22109	sauk:SAI3T3_1019520
ko:K03547	sauk:SAI3T3_1013630
ko:K17758	sauk:SAI3T3_1000060
ko:K02257	sauk:SAI3T3_1007950
ko:K22409	sauk:SAI3T3_1003400
ko:K13566	sauk:SAI3T3_1014930
ko:K22441	sauk:SAI3T3_1017570
