ko:K09796	nmm:NMBM01240149_0624
ko:K07488	nmm:NMBM01240149_0752
ko:K07288	nmm:NMBM01240149_1743
ko:K01802	nmm:NMBM01240149_0025
ko:K07280	nmm:NMBM01240149_1950
ko:K19342	nmm:NMBM01240149_1522
ko:K03722	nmm:NMBM01240149_1799
ko:K07497	nmm:NMBM01240149_1036
ko:K19337	nmm:NMBM01240149_0766
ko:K19416	nmm:NMBM01240149_0162
ko:K07486	nmm:NMBM01240149_0437
ko:K07280	nmm:NMBM01240149_1770
ko:K00992	nmm:NMBM01240149_0344
ko:K19784	nmm:NMBM01240149_0392
ko:K06132	nmm:NMBM01240149_0732
ko:K08992	nmm:NMBM01240149_1746
ko:K19804	nmm:NMBM01240149_1745
ko:K16066	nmm:NMBM01240149_1163
ko:K09788	nmm:NMBM01240149_1654
ko:K20455	nmm:NMBM01240149_1655
ko:K02650	nmm:NMBM01240149_0020
ko:K08968	nmm:NMBM01240149_0304
ko:K00821	nmm:NMBM01240149_0784
ko:K21029	nmm:NMBM01240149_0119
ko:K00560	nmm:NMBM01240149_0478
ko:K00558	nmm:NMBM01240149_0861
ko:K02314	nmm:NMBM01240149_1203
ko:K00558	nmm:NMBM01240149_0899
ko:K00558	nmm:NMBM01240149_1365
ko:K03553	nmm:NMBM01240149_0720
ko:K06217	nmm:NMBM01240149_1251
ko:K00558	nmm:NMBM01240149_1266
ko:K00558	nmm:NMBM01240149_0578
ko:K03676	nmm:NMBM01240149_0397
ko:K01520	nmm:NMBM01240149_1197
ko:K02316	nmm:NMBM01240149_0632
ko:K00287	nmm:NMBM01240149_1775
ko:K00525	nmm:NMBM01240149_0860
ko:K06020	nmm:NMBM01240149_1700
ko:K05799	nmm:NMBM01240149_0475
ko:K02335	nmm:NMBM01240149_0204
ko:K01420	nmm:NMBM01240149_1705
ko:K10026	nmm:NMBM01240149_1575
ko:K21929	nmm:NMBM01240149_0316
ko:K03595	nmm:NMBM01240149_1405
ko:K07488	nmm:NMBM01240149_0485
ko:K07488	nmm:NMBM01240149_1518
ko:K22292	nmm:NMBM01240149_1476
ko:K01947	nmm:NMBM01240149_0108
ko:K17758	nmm:NMBM01240149_0971
ko:K11206	nmm:NMBM01240149_1647
ko:K01007	nmm:NMBM01240149_1478
