ko:K19743	apq:APA22_08140
ko:K10026	apq:APA22_11580
ko:K21495	apq:APA22_43870
ko:K21686	apq:APA22_03580
ko:K00344	apq:APA22_24830
ko:K21929	apq:APA22_16940
ko:K21929	apq:APA22_04010
ko:K22027	apq:APA22_22070
ko:K22067	apq:APA22_42050
ko:K03595	apq:APA22_06490
ko:K07183	apq:APA22_42060
ko:K08994	apq:APA22_10140
ko:K22186	apq:APA22_13840
ko:K22296	apq:APA22_23800
ko:K11991	apq:APA22_25670
ko:K02257	apq:APA22_16820
