ko:K19079	suk:SAA6008_00677
ko:K03111	suk:SAA6008_00343
ko:K07467	suk:SAA6008_00407
ko:K11040	suk:SAA6008_00839
ko:K11040	suk:SAA6008_00840
ko:K03169	suk:SAA6008_02291
ko:K07467	suk:SAA6008_02640
ko:K03497	suk:SAA6008_02770
ko:K03502	suk:SAA6008_01329
ko:K07029	suk:SAA6008_01918
ko:K07497	suk:SAA6008_02625
ko:K07132	suk:SAA6008_02624
ko:K03498	suk:SAA6008_02063
ko:K09145	suk:SAA6008_00688
ko:K18979	suk:SAA6008_01813
ko:K00949	suk:SAA6008_01178
ko:K01318	suk:SAA6008_01003
ko:K07498	suk:SAA6008_01968
ko:K03741	suk:SAA6008_01746
ko:K07816	suk:SAA6008_02544
ko:K07498	suk:SAA6008_00027
ko:K07498	suk:SAA6008_00029
ko:K07498	suk:SAA6008_00035
ko:K07452	suk:SAA6008_00064
ko:K03293	suk:SAA6008_02352
ko:K19159	suk:SAA6008_02449
ko:K19077	suk:SAA6008_00676
ko:K01174	suk:SAA6008_01288
ko:K19147	suk:SAA6008_00065
ko:K19078	suk:SAA6008_00675
ko:K19158	suk:SAA6008_02448
ko:K19225	suk:SAA6008_01518
ko:K02777	suk:SAA6008_01390
ko:K19068	suk:SAA6008_00132
ko:K19081	suk:SAA6008_02683
ko:K19082	suk:SAA6008_02684
ko:K19083	suk:SAA6008_02682
ko:K19084	suk:SAA6008_02681
ko:K02031	suk:SAA6008_00945
ko:K02032	suk:SAA6008_01343
ko:K11442	suk:SAA6008_02209
ko:K03722	suk:SAA6008_01424
ko:K01992	suk:SAA6008_02552
ko:K19411	suk:SAA6008_00529
ko:K19302	suk:SAA6008_01385
ko:K19405	suk:SAA6008_00530
ko:K07485	suk:SAA6008_01817
ko:K03574	suk:SAA6008_01769
ko:K02031	suk:SAA6008_01344
ko:K19279	suk:SAA6008_00829
ko:K19576	suk:SAA6008_00711
ko:K06881	suk:SAA6008_01672
ko:K00561	suk:SAA6008_01623
ko:K21721	suk:SAA6008_00095
ko:K19689	suk:SAA6008_01899
ko:K01258	suk:SAA6008_01481
ko:K07119	suk:SAA6008_02228
ko:K00547	suk:SAA6008_00334
ko:K00297	suk:SAA6008_00334
ko:K02538	suk:SAA6008_02699
ko:K21636	suk:SAA6008_02674
ko:K19883	suk:SAA6008_01993
ko:K19975	suk:SAA6008_00648
ko:K19976	suk:SAA6008_00649
ko:K19973	suk:SAA6008_00650
ko:K20074	suk:SAA6008_01174
ko:K12132	suk:SAA6008_01175
ko:K20116	suk:SAA6008_00168
ko:K20117	suk:SAA6008_00168
ko:K20118	suk:SAA6008_00168
ko:K20116	suk:SAA6008_02575
ko:K20117	suk:SAA6008_02575
ko:K20118	suk:SAA6008_02575
ko:K20338	suk:SAA6008_01734
ko:K21949	suk:SAA6008_00094
ko:K20335	suk:SAA6008_09903
ko:K20335	suk:SAA6008_09902
ko:K20337	suk:SAA6008_01127
ko:K20337	suk:SAA6008_01128
ko:K20336	suk:SAA6008_09901
ko:K20534	suk:SAA6008_00720
ko:K21029	suk:SAA6008_02313
ko:K21030	suk:SAA6008_00224
ko:K00525	suk:SAA6008_00746
ko:K21030	suk:SAA6008_00229
ko:K21064	suk:SAA6008_00924
ko:K08968	suk:SAA6008_01687
ko:K00435	suk:SAA6008_00594
ko:K00526	suk:SAA6008_00747
ko:K02314	suk:SAA6008_00016
ko:K14199	suk:SAA6008_00198
ko:K06919	suk:SAA6008_00355
ko:K07474	suk:SAA6008_00363
ko:K01174	suk:SAA6008_00807
ko:K03546	suk:SAA6008_01312
ko:K07474	suk:SAA6008_00857
ko:K14199	suk:SAA6008_01112
ko:K03553	suk:SAA6008_01240
ko:K04068	suk:SAA6008_02673
ko:K00287	suk:SAA6008_01394
ko:K00560	suk:SAA6008_01395
ko:K02316	suk:SAA6008_01531
ko:K06217	suk:SAA6008_01541
ko:K01493	suk:SAA6008_01559
ko:K14199	suk:SAA6008_01955
ko:K00857	suk:SAA6008_02157
ko:K00287	suk:SAA6008_01970
ko:K00560	suk:SAA6008_01971
ko:K07455	suk:SAA6008_02040
ko:K11038	suk:SAA6008_02460
ko:K11038	suk:SAA6008_02461
ko:K11038	suk:SAA6008_02462
ko:K11038	suk:SAA6008_02058
ko:K11038	suk:SAA6008_02059
ko:K07474	suk:SAA6008_02066
ko:K06958	suk:SAA6008_00780
ko:K05020	suk:SAA6008_02226
ko:K02335	suk:SAA6008_01657
ko:K21285	suk:SAA6008_00656
ko:K03296	suk:SAA6008_02298
ko:K07741	suk:SAA6008_02047
ko:K22044	suk:SAA6008_00338
ko:K21478	suk:SAA6008_02727
ko:K21453	suk:SAA6008_02725
ko:K21567	suk:SAA6008_02410
ko:K21591	suk:SAA6008_00228
ko:K21600	suk:SAA6008_02125
ko:K18704	suk:SAA6008_00231
ko:K21828	suk:SAA6008_02690
ko:K22043	suk:SAA6008_02184
ko:K21903	suk:SAA6008_00050
ko:K22136	suk:SAA6008_01131
ko:K00754	suk:SAA6008_01427
ko:K22135	suk:SAA6008_00575
ko:K22132	suk:SAA6008_01598
ko:K22109	suk:SAA6008_02671
ko:K03547	suk:SAA6008_01801
ko:K17758	suk:SAA6008_00007
ko:K02257	suk:SAA6008_01071
ko:K22409	suk:SAA6008_00468
ko:K13566	suk:SAA6008_02072
ko:K22441	suk:SAA6008_02407
