ko:K02313	lcw:BN194_00010
ko:K12132	lcw:BN194_18020
ko:K07484	lcw:BN194_14410
ko:K20112	lcw:BN194_07420
ko:K20114	lcw:BN194_07440
ko:K20488	lcw:BN194_05330
ko:K20113	lcw:BN194_07430
ko:K00525	lcw:BN194_16600
ko:K20345	lcw:BN194_25120
ko:K20344	lcw:BN194_25130
ko:K20534	lcw:BN194_07760
ko:K18890	lcw:BN194_17730
ko:K02790	lcw:BN194_28190
ko:K02791	lcw:BN194_28190
ko:K02793	lcw:BN194_04820
ko:K01208	lcw:BN194_11150
ko:K08968	lcw:BN194_14450
ko:K00527	lcw:BN194_24230
ko:K02314	lcw:BN194_01140
ko:K07313	lcw:BN194_01630
ko:K02315	lcw:BN194_05720
ko:K03546	lcw:BN194_07540
ko:K06217	lcw:BN194_17020
ko:K03553	lcw:BN194_10080
ko:K07455	lcw:BN194_12800
ko:K06191	lcw:BN194_12950
ko:K07474	lcw:BN194_12960
ko:K00857	lcw:BN194_13500
ko:K00560	lcw:BN194_15800
ko:K00287	lcw:BN194_15810
ko:K06191	lcw:BN194_16590
ko:K01493	lcw:BN194_16730
ko:K02316	lcw:BN194_16940
ko:K07455	lcw:BN194_09410
ko:K02315	lcw:BN194_09450
ko:K01520	lcw:BN194_24640
ko:K03553	lcw:BN194_27650
ko:K06919	lcw:BN194_30250
ko:K06904	lcw:BN194_30330
ko:K04068	lcw:BN194_19270
ko:K02031	lcw:BN194_17920
ko:K02821	lcw:BN194_00840
ko:K00526	lcw:BN194_16610
ko:K02335	lcw:BN194_18930
ko:K03293	lcw:BN194_11700
ko:K21471	lcw:BN194_00240
ko:K21467	lcw:BN194_03320
ko:K21471	lcw:BN194_21500
ko:K22043	lcw:BN194_25440
ko:K21471	lcw:BN194_02820
ko:K21567	lcw:BN194_08950
ko:K21562	lcw:BN194_00750
ko:K22044	lcw:BN194_08700
ko:K03595	lcw:BN194_16990
ko:K22103	lcw:BN194_02570
ko:K22212	lcw:BN194_08070
ko:K03078	lcw:BN194_28550
ko:K03077	lcw:BN194_28510
ko:K03079	lcw:BN194_28530
ko:K17758	lcw:BN194_09250
ko:K09121	lcw:BN194_P0250
