ko:K04042	cba:CLB_3626
ko:K17675	cba:CLB_1391
ko:K17758	cba:CLB_3456
ko:K17759	cba:CLB_3456
ko:K07284	cba:CLB_2071
ko:K17722	cba:CLB_2763
ko:K17723	cba:CLB_2762
ko:K02107	cba:CLB_2573
ko:K00004	cba:CLB_2156
ko:K02116	cba:CLB_0185
ko:K07076	cba:CLB_3106
ko:K00335	cba:CLB_1784
ko:K00336	cba:CLB_1783
ko:K08314	cba:CLB_3468
ko:K03742	cba:CLB_0252
ko:K18672	cba:CLB_3487
ko:K06896	cba:CLB_1625
ko:K18707	cba:CLB_2919
ko:K18682	cba:CLB_2267
ko:K11749	cba:CLB_2289
ko:K07723	cba:CLB_3453
ko:K03480	cba:CLB_2696
ko:K03480	cba:CLB_2780
ko:K06864	cba:CLB_0140
ko:K20025	cba:CLB_2136
ko:K14230	cba:CLB_3784
ko:K06147	cba:CLB_1869
ko:K07171	cba:CLB_3452
ko:K06147	cba:CLB_1870
ko:K18888	cba:CLB_1891
ko:K18887	cba:CLB_1892
ko:K19055	cba:CLB_1531
ko:K02315	cba:CLB_3068
ko:K03526	cba:CLB_2288
ko:K19141	cba:CLB_2110
ko:K19221	cba:CLB_0996
ko:K14761	cba:CLB_0003
ko:K19142	cba:CLB_2109
ko:K19076	cba:CLB_2113
ko:K07317	cba:CLB_3119
ko:K19091	cba:CLB_2117
ko:K01990	cba:CLB_0533
ko:K01990	cba:CLB_0819
ko:K01990	cba:CLB_1219
ko:K01990	cba:CLB_1405
ko:K01990	cba:CLB_3409
ko:K01066	cba:CLB_2125
ko:K19271	cba:CLB_1961
ko:K19302	cba:CLB_0393
ko:K01567	cba:CLB_3120
ko:K01992	cba:CLB_0535
ko:K12952	cba:CLB_1334
ko:K19310	cba:CLB_2226
ko:K00638	cba:CLB_0925
ko:K19271	cba:CLB_1568
ko:K04771	cba:CLB_3622
ko:K19405	cba:CLB_3570
ko:K19302	cba:CLB_3464
ko:K19411	cba:CLB_3571
ko:K19350	cba:CLB_2802
ko:K19689	cba:CLB_2737
ko:K21636	cba:CLB_0129
ko:K00100	cba:CLB_1432
ko:K01560	cba:CLB_1063
ko:K12132	cba:CLB_2377
ko:K20074	cba:CLB_2378
ko:K20037	cba:CLB_2054
ko:K20107	cba:CLB_1624
ko:K20108	cba:CLB_1624
ko:K20116	cba:CLB_2695
ko:K20117	cba:CLB_2695
ko:K20118	cba:CLB_2695
ko:K07800	cba:CLB_0375
ko:K20265	cba:CLB_2339
ko:K20265	cba:CLB_0386
ko:K20116	cba:CLB_1354
ko:K20117	cba:CLB_1354
ko:K20118	cba:CLB_1354
ko:K01400	cba:CLB_1471
ko:K20491	cba:CLB_1603
ko:K20492	cba:CLB_1604
ko:K20487	cba:CLB_1863
ko:K20487	cba:CLB_1606
ko:K20488	cba:CLB_1605
ko:K20490	cba:CLB_1602
ko:K07800	cba:CLB_0382
ko:K20534	cba:CLB_0341
ko:K20488	cba:CLB_1864
ko:K21405	cba:CLB_1645
ko:K22103	cba:CLB_1635
ko:K14230	cba:CLB_3785
ko:K20882	cba:CLB_2137
ko:K20026	cba:CLB_2135
ko:K20904	cba:CLB_3345
ko:K20903	cba:CLB_3346
ko:K21028	cba:CLB_1178
ko:K08968	cba:CLB_2871
ko:K07258	cba:CLB_1789
ko:K07258	cba:CLB_3004
ko:K02077	cba:CLB_3376
ko:K21417	cba:CLB_1648
ko:K21405	cba:CLB_1663
ko:K21405	cba:CLB_1875
ko:K22044	cba:CLB_3724
ko:K21416	cba:CLB_1647
ko:K21405	cba:CLB_1659
ko:K05364	cba:CLB_3439
ko:K21471	cba:CLB_0098
ko:K10670	cba:CLB_1290
ko:K21576	cba:CLB_1292
ko:K21577	cba:CLB_1291
ko:K21562	cba:CLB_0695
ko:K21600	cba:CLB_1331
ko:K21600	cba:CLB_2539
ko:K10672	cba:CLB_1285
ko:K10671	cba:CLB_1284
ko:K21929	cba:CLB_0061
ko:K21929	cba:CLB_0109
ko:K21898	cba:CLB_1914
ko:K21903	cba:CLB_0517
ko:K22129	cba:CLB_2148
ko:K22024	cba:CLB_2147
ko:K22132	cba:CLB_0052
ko:K07456	cba:CLB_0670
ko:K01046	cba:CLB_2000
ko:K01585	cba:CLB_3147
ko:K07755	cba:CLB_0799
ko:K22405	cba:CLB_2561
ko:K22432	cba:CLB_2132
ko:K22431	cba:CLB_3343
ko:K05592	cba:CLB_1715
ko:K22373	cba:CLB_1046
ko:K22431	cba:CLB_2133
ko:K22432	cba:CLB_3342
ko:K22430	cba:CLB_3344
ko:K22430	cba:CLB_2134
ko:K22579	cba:CLB_2523
