ko:K18893	babo:DK55_1517
ko:K02990	babo:DK55_489
ko:K02232	babo:DK55_1307
ko:K12257	babo:DK55_1318
ko:K03455	babo:DK55_1319
ko:K07027	babo:DK55_1320
ko:K07002	babo:DK55_1321
ko:K02047	babo:DK55_1322
ko:K02046	babo:DK55_1323
ko:K02048	babo:DK55_1324
ko:K02431	babo:DK55_1330
ko:K02056	babo:DK55_1332
ko:K02057	babo:DK55_1333
ko:K02057	babo:DK55_1334
ko:K02058	babo:DK55_1335
ko:K02013	babo:DK55_1336
ko:K02015	babo:DK55_1338
ko:K02016	babo:DK55_1339
ko:K16092	babo:DK55_1340
ko:K13926	babo:DK55_1342
ko:K13926	babo:DK55_1343
ko:K01993	babo:DK55_1344
ko:K01430	babo:DK55_1347
ko:K01429	babo:DK55_1348
ko:K01428	babo:DK55_1349
ko:K03187	babo:DK55_1350
ko:K03188	babo:DK55_1351
ko:K03189	babo:DK55_1352
ko:K03190	babo:DK55_1353
ko:K08717	babo:DK55_1354
ko:K02009	babo:DK55_1355
ko:K02007	babo:DK55_1356
ko:K02387	babo:DK55_2146
ko:K02388	babo:DK55_2147
ko:K02408	babo:DK55_2148
ko:K02392	babo:DK55_2149
ko:K02386	babo:DK55_2150
ko:K02393	babo:DK55_2154
ko:K02415	babo:DK55_2155
ko:K02419	babo:DK55_2156
ko:K09709	babo:DK55_2161
ko:K01644	babo:DK55_2162
ko:K08738	babo:DK55_2166
ko:K09794	babo:DK55_2167
ko:K00104	babo:DK55_2171
ko:K11472	babo:DK55_2172
ko:K11473	babo:DK55_2173
ko:K06221	babo:DK55_2174
ko:K01246	babo:DK55_2176
ko:K01892	babo:DK55_2178
ko:K02502	babo:DK55_2179
ko:K00765	babo:DK55_2180
ko:K02429	babo:DK55_2181
ko:K15977	babo:DK55_2182
ko:K01679	babo:DK55_2183
ko:K04077	babo:DK55_2185
ko:K04078	babo:DK55_2186
ko:K11753	babo:DK55_2188
ko:K01870	babo:DK55_2189
ko:K12262	babo:DK55_2191
ko:K06178	babo:DK55_2193
ko:K08316	babo:DK55_2194
ko:K00627	babo:DK55_2983
ko:K02035	babo:DK55_2984
ko:K11381	babo:DK55_2985
ko:K00074	babo:DK55_2987
ko:K06446	babo:DK55_2989
ko:K01434	babo:DK55_2990
ko:K02035	babo:DK55_2991
ko:K02033	babo:DK55_2992
ko:K02034	babo:DK55_2993
ko:K02035	babo:DK55_2997
ko:K02033	babo:DK55_2998
ko:K02034	babo:DK55_2999
ko:K01426	babo:DK55_3003
ko:K11078	babo:DK55_3005
ko:K01845	babo:DK55_3008
ko:K01628	babo:DK55_3010
ko:K03777	babo:DK55_3015
ko:K09815	babo:DK55_3027
ko:K09817	babo:DK55_3028
ko:K09816	babo:DK55_3029
ko:K09823	babo:DK55_3030
ko:K02421	babo:DK55_3036
ko:K14232	babo:DK55_209
ko:K14232	babo:DK55_738
ko:K14234	babo:DK55_307
ko:K14234	babo:DK55_942
ko:K14233	babo:DK55_663
ko:K14233	babo:DK55_1797
ko:K14237	babo:DK55_967
ko:K14225	babo:DK55_2923
ko:K14225	babo:DK55_2332
ko:K01977	babo:DK55_1610
ko:K01977	babo:DK55_1809
ko:K01977	babo:DK55_3023
ko:K14219	babo:DK55_740
ko:K14219	babo:DK55_968
ko:K14219	babo:DK55_1971
ko:K14228	babo:DK55_1091
ko:K14228	babo:DK55_1083
ko:K14228	babo:DK55_1888
ko:K14228	babo:DK55_2955
ko:K14221	babo:DK55_2831
ko:K14221	babo:DK55_816
ko:K14235	babo:DK55_1247
ko:K14220	babo:DK55_2585
ko:K14229	babo:DK55_1328
ko:K14229	babo:DK55_2621
ko:K14223	babo:DK55_542
ko:K14223	babo:DK55_1584
ko:K14218	babo:DK55_1608
ko:K14218	babo:DK55_1807
ko:K14218	babo:DK55_3021
ko:K14225	babo:DK55_970
ko:K14236	babo:DK55_1250
ko:K14230	babo:DK55_1456
ko:K14230	babo:DK55_1569
ko:K14226	babo:DK55_1571
ko:K14227	babo:DK55_1609
ko:K14227	babo:DK55_1808
ko:K14227	babo:DK55_3022
ko:K14233	babo:DK55_2649
ko:K14233	babo:DK55_2973
ko:K14222	babo:DK55_2592
ko:K14234	babo:DK55_2393
ko:K18707	babo:DK55_1873
ko:K01161	babo:DK55_2590
ko:K05366	babo:DK55_135
ko:K07171	babo:DK55_3014
ko:K18954	babo:DK55_2572
ko:K18893	babo:DK55_1518
ko:K00335	babo:DK55_823
ko:K16898	babo:DK55_2035
ko:K03497	babo:DK55_3110
ko:K03496	babo:DK55_3109
ko:K19055	babo:DK55_2333
ko:K14224	babo:DK55_1623
ko:K01980	babo:DK55_3019
ko:K09472	babo:DK55_3078
ko:K00020	babo:DK55_1309
ko:K14224	babo:DK55_1273
ko:K14224	babo:DK55_1274
ko:K01980	babo:DK55_1606
ko:K18979	babo:DK55_2947
ko:K03526	babo:DK55_1731
ko:K07483	babo:DK55_2651
ko:K07483	babo:DK55_563
ko:K02483	babo:DK55_2218
ko:K07498	babo:DK55_1801
ko:K03761	babo:DK55_1436
ko:K16899	babo:DK55_2034
ko:K03111	babo:DK55_1111
ko:K03497	babo:DK55_1990
ko:K03496	babo:DK55_1991
ko:K00446	babo:DK55_3066
ko:K03196	babo:DK55_3163
ko:K03204	babo:DK55_3165
ko:K03203	babo:DK55_3166
ko:K03202	babo:DK55_3167
ko:K03201	babo:DK55_3168
ko:K03194	babo:DK55_3173
ko:K04565	babo:DK55_2515
ko:K07484	babo:DK55_2652
ko:K14218	babo:DK55_1927
ko:K02483	babo:DK55_639
ko:K00611	babo:DK55_351
ko:K18996	babo:DK55_3111
ko:K02032	babo:DK55_2914
ko:K13581	babo:DK55_522
ko:K13642	babo:DK55_2849
ko:K00875	babo:DK55_2879
ko:K07497	babo:DK55_2974
ko:K07492	babo:DK55_925
ko:K02032	babo:DK55_2774
ko:K02032	babo:DK55_2978
ko:K12448	babo:DK55_2662
ko:K04747	babo:DK55_2899
ko:K00529	babo:DK55_2491
ko:K00798	babo:DK55_1911
ko:K01621	babo:DK55_2793
ko:K01239	babo:DK55_3115
ko:K19181	babo:DK55_1982
ko:K00102	babo:DK55_1395
ko:K01710	babo:DK55_2372
ko:K22468	babo:DK55_346
ko:K02032	babo:DK55_2442
ko:K07492	babo:DK55_985
ko:K00344	babo:DK55_2787
ko:K08678	babo:DK55_2663
ko:K19221	babo:DK55_1301
ko:K09691	babo:DK55_549
ko:K00020	babo:DK55_955
ko:K00020	babo:DK55_956
ko:K00001	babo:DK55_864
ko:K01992	babo:DK55_1341
ko:K01992	babo:DK55_2732
ko:K19342	babo:DK55_2870
ko:K07497	babo:DK55_2136
ko:K07497	babo:DK55_3016
ko:K07497	babo:DK55_545
ko:K07497	babo:DK55_546
ko:K06041	babo:DK55_3177
ko:K02032	babo:DK55_2995
ko:K11080	babo:DK55_3007
ko:K04771	babo:DK55_1380
ko:K07492	babo:DK55_558
ko:K00001	babo:DK55_2777
ko:K07498	babo:DK55_1798
ko:K00525	babo:DK55_2837
ko:K19339	babo:DK55_2875
ko:K19340	babo:DK55_2872
ko:K19341	babo:DK55_2871
ko:K02032	babo:DK55_3001
ko:K02031	babo:DK55_2994
ko:K02031	babo:DK55_2979
ko:K02031	babo:DK55_2915
ko:K02031	babo:DK55_2773
ko:K03446	babo:DK55_2111
ko:K03446	babo:DK55_2112
ko:K09690	babo:DK55_550
ko:K09386	babo:DK55_335
ko:K17686	babo:DK55_234
ko:K07102	babo:DK55_2032
ko:K19689	babo:DK55_2079
ko:K00992	babo:DK55_2033
ko:K17722	babo:DK55_334
ko:K19777	babo:DK55_2815
ko:K00799	babo:DK55_957
ko:K08744	babo:DK55_718
ko:K07147	babo:DK55_2239
ko:K19802	babo:DK55_1024
ko:K00632	babo:DK55_2576
ko:K09796	babo:DK55_73
ko:K20265	babo:DK55_2817
ko:K02483	babo:DK55_2723
ko:K00525	babo:DK55_1048
ko:K00526	babo:DK55_2836
ko:K20539	babo:DK55_1611
ko:K03200	babo:DK55_3169
ko:K03198	babo:DK55_3171
ko:K03197	babo:DK55_3172
ko:K03296	babo:DK55_327
ko:K00304	babo:DK55_242
ko:K03199	babo:DK55_3170
ko:K03195	babo:DK55_3164
ko:K11529	babo:DK55_401
ko:K16011	babo:DK55_2811
ko:K21054	babo:DK55_2361
ko:K21062	babo:DK55_2905
ko:K22025	babo:DK55_2139
ko:K00821	babo:DK55_350
ko:K21136	babo:DK55_2310
ko:K13609	babo:DK55_2904
ko:K21134	babo:DK55_2312
ko:K03676	babo:DK55_1822
ko:K01286	babo:DK55_1077
ko:K09882	babo:DK55_1956
ko:K01286	babo:DK55_1968
ko:K01286	babo:DK55_1175
ko:K06191	babo:DK55_2839
ko:K03553	babo:DK55_1202
ko:K06217	babo:DK55_2085
ko:K02314	babo:DK55_484
ko:K00287	babo:DK55_1384
ko:K00560	babo:DK55_1385
ko:K06904	babo:DK55_615
ko:K02316	babo:DK55_1462
ko:K06952	babo:DK55_686
ko:K01520	babo:DK55_1643
ko:K02004	babo:DK55_1640
ko:K02483	babo:DK55_631
ko:K01740	babo:DK55_809
ko:K01738	babo:DK55_809
ko:K00108	babo:DK55_1603
ko:K01802	babo:DK55_1103
ko:K09017	babo:DK55_331
ko:K09806	babo:DK55_1500
ko:K01139	babo:DK55_673
ko:K02335	babo:DK55_140
ko:K21137	babo:DK55_2311
ko:K00015	babo:DK55_15
ko:K07497	babo:DK55_747
ko:K01649	babo:DK55_697
ko:K01649	babo:DK55_698
ko:K21420	babo:DK55_775
ko:K01649	babo:DK55_699
ko:K21470	babo:DK55_781
ko:K01420	babo:DK55_675
ko:K21603	babo:DK55_3047
ko:K21564	babo:DK55_2868
ko:K21697	babo:DK55_2116
ko:K21564	babo:DK55_2885
ko:K00344	babo:DK55_2638
ko:K21832	babo:DK55_1444
ko:K19591	babo:DK55_233
ko:K21910	babo:DK55_2357
ko:K21948	babo:DK55_2142
ko:K21929	babo:DK55_670
ko:K21929	babo:DK55_647
ko:K05802	babo:DK55_1316
ko:K22131	babo:DK55_2141
ko:K22130	babo:DK55_2138
ko:K03595	babo:DK55_683
ko:K00302	babo:DK55_243
ko:K00302	babo:DK55_244
ko:K00302	babo:DK55_245
ko:K22187	babo:DK55_223
ko:K22310	babo:DK55_165
ko:K11991	babo:DK55_2192
ko:K02257	babo:DK55_501
ko:K11206	babo:DK55_1821
ko:K00424	babo:DK55_2691
ko:K22548	babo:DK55_382
