ko:K18893	mhao:J451_05385
ko:K20074	mhao:J451_11850
ko:K07488	mhao:J451_08360
ko:K07488	mhao:J451_09610
ko:K07488	mhao:J451_09630
ko:K07488	mhao:J451_07720
ko:K07488	mhao:J451_00185
ko:K21394	mhao:J451_08010
ko:K21303	mhao:J451_10250
ko:K02438	mhao:J451_13400
ko:K21029	mhao:J451_03530
ko:K00821	mhao:J451_04230
ko:K02495	mhao:J451_03455
ko:K00526	mhao:J451_10680
ko:K00857	mhao:J451_02105
ko:K03791	mhao:J451_03245
ko:K01160	mhao:J451_03265
ko:K03553	mhao:J451_05240
ko:K00560	mhao:J451_05870
ko:K09961	mhao:J451_02425
ko:K06909	mhao:J451_02430
ko:K07474	mhao:J451_02435
ko:K02314	mhao:J451_02515
ko:K06223	mhao:J451_04550
ko:K02314	mhao:J451_00265
ko:K06903	mhao:J451_01235
ko:K06907	mhao:J451_01265
ko:K06908	mhao:J451_01270
ko:K06906	mhao:J451_01290
ko:K06905	mhao:J451_01295
ko:K02314	mhao:J451_00795
ko:K07474	mhao:J451_00875
ko:K06909	mhao:J451_00880
ko:K04068	mhao:J451_10890
ko:K06903	mhao:J451_11115
ko:K06217	mhao:J451_12210
ko:K06866	mhao:J451_12310
ko:K06903	mhao:J451_12815
ko:K06905	mhao:J451_12825
ko:K00287	mhao:J451_13145
ko:K06919	mhao:J451_13455
ko:K02314	mhao:J451_13680
ko:K01520	mhao:J451_09720
ko:K02316	mhao:J451_10280
ko:K02335	mhao:J451_02730
ko:K21395	mhao:J451_07660
ko:K21394	mhao:J451_07665
ko:K21393	mhao:J451_08005
ko:K21393	mhao:J451_07670
ko:K21395	mhao:J451_08000
ko:K21449	mhao:J451_09960
ko:K21449	mhao:J451_06560
ko:K21470	mhao:J451_05555
ko:K21395	mhao:J451_07995
ko:K13818	mhao:J451_10095
ko:K07334	mhao:J451_00740
ko:K21498	mhao:J451_02565
ko:K21602	mhao:J451_05650
ko:K10026	mhao:J451_04380
ko:K00983	mhao:J451_04325
ko:K21936	mhao:J451_08700
ko:K21948	mhao:J451_08670
ko:K19591	mhao:J451_04010
ko:K22024	mhao:J451_09775
ko:K22132	mhao:J451_11695
ko:K22131	mhao:J451_08680
ko:K22105	mhao:J451_09970
ko:K22129	mhao:J451_09765
ko:K03595	mhao:J451_03055
ko:K22130	mhao:J451_08675
ko:K21029	mhao:J451_13025
ko:K03079	mhao:J451_07295
ko:K03077	mhao:J451_07290
ko:K18446	mhao:J451_13240
ko:K22302	mhao:J451_03860
