ko:K19079	suw:SATW20_07360
ko:K20117	suw:SATW20_26590
ko:K20118	suw:SATW20_26590
ko:K20338	suw:SATW20_17520
ko:K20491	suw:SATW20_18140
ko:K20494	suw:SATW20_18130
ko:K20482	suw:SATW20_18201
ko:K21949	suw:SATW20_01280
ko:K20484	suw:SATW20_18180
ko:K20486	suw:SATW20_18160
ko:K20490	suw:SATW20_18150
ko:K20335	suw:SATW20_05204
ko:K20335	suw:SATW20_05203
ko:K20337	suw:SATW20_11670
ko:K20337	suw:SATW20_11680
ko:K20336	suw:SATW20_05202
ko:K20534	suw:SATW20_07790
ko:K02790	suw:SATW20_02440
ko:K02791	suw:SATW20_02440
ko:K21029	suw:SATW20_24080
ko:K21030	suw:SATW20_02530
ko:K21030	suw:SATW20_02570
ko:K21064	suw:SATW20_09710
ko:K08968	suw:SATW20_17090
ko:K00435	suw:SATW20_06560
ko:K00526	suw:SATW20_08070
ko:K02314	suw:SATW20_00160
ko:K00526	suw:SATW20_20380
ko:K04068	suw:SATW20_27540
ko:K01174	suw:SATW20_08660
ko:K07474	suw:SATW20_09080
ko:K11038	suw:SATW20_18210
ko:K11038	suw:SATW20_18220
ko:K14199	suw:SATW20_19360
ko:K00558	suw:SATW20_20500
ko:K07313	suw:SATW20_20900
ko:K01174	suw:SATW20_21100
ko:K07455	suw:SATW20_19810
ko:K11038	suw:SATW20_20010
ko:K11038	suw:SATW20_20020
ko:K07474	suw:SATW20_20100
ko:K11038	suw:SATW20_25490
ko:K11038	suw:SATW20_25500
ko:K11038	suw:SATW20_25510
ko:K00857	suw:SATW20_22570
ko:K14199	suw:SATW20_11510
ko:K03553	suw:SATW20_12790
ko:K03546	suw:SATW20_13480
ko:K00287	suw:SATW20_14270
ko:K00560	suw:SATW20_14280
ko:K02316	suw:SATW20_15580
ko:K06217	suw:SATW20_15670
ko:K01493	suw:SATW20_15840
ko:K07455	suw:SATW20_03400
ko:K14199	suw:SATW20_02300
ko:K06958	suw:SATW20_08400
ko:K05020	suw:SATW20_23230
ko:K02335	suw:SATW20_16800
ko:K21285	suw:SATW20_07140
ko:K03296	suw:SATW20_23940
ko:K00525	suw:SATW20_20390
ko:K00525	suw:SATW20_08060
ko:K22044	suw:SATW20_04290
ko:K21478	suw:SATW20_28060
ko:K21453	suw:SATW20_28030
ko:K21567	suw:SATW20_25040
ko:K21591	suw:SATW20_02560
ko:K21600	suw:SATW20_22260
ko:K18704	suw:SATW20_02590
ko:K21828	suw:SATW20_27690
ko:K08365	suw:SATW20_p1250
ko:K22043	suw:SATW20_22830
ko:K21903	suw:SATW20_00840
ko:K21903	suw:SATW20_p1210
ko:K22136	suw:SATW20_11710
ko:K00754	suw:SATW20_14570
ko:K22135	suw:SATW20_06370
ko:K03595	suw:SATW20_15630
ko:K22132	suw:SATW20_16230
ko:K22109	suw:SATW20_27520
ko:K03547	suw:SATW20_18380
ko:K17758	suw:SATW20_00070
ko:K02257	suw:SATW20_11110
ko:K22409	suw:SATW20_05330
ko:K13566	suw:SATW20_20170
ko:K22441	suw:SATW20_25010
