ko:K08744	mtue:J114_09725
ko:K00273	mtue:J114_10155
ko:K19221	mtue:J114_15190
ko:K19159	mtue:J114_18005
ko:K19138	mtue:J114_15050
ko:K16192	mtue:J114_04800
ko:K06893	mtue:J114_00775
ko:K07064	mtue:J114_03530
ko:K07064	mtue:J114_15320
ko:K19093	mtue:J114_11485
ko:K00798	mtue:J114_07075
ko:K19158	mtue:J114_18010
ko:K07064	mtue:J114_01510
ko:K19140	mtue:J114_15035
ko:K01865	mtue:J114_16465
ko:K07492	mtue:J114_06210
ko:K07016	mtue:J114_15055
ko:K01710	mtue:J114_20215
ko:K01710	mtue:J114_18550
ko:K09951	mtue:J114_15020
ko:K00135	mtue:J114_09250
ko:K07064	mtue:J114_03995
ko:K07064	mtue:J114_09800
ko:K07493	mtue:J114_04930
ko:K19094	mtue:J114_11490
ko:K07496	mtue:J114_03235
ko:K00020	mtue:J114_03970
ko:K12952	mtue:J114_04845
ko:K03722	mtue:J114_07150
ko:K01992	mtue:J114_09010
ko:K07496	mtue:J114_04410
ko:K00091	mtue:J114_00765
ko:K07486	mtue:J114_10780
ko:K07485	mtue:J114_07070
ko:K17840	mtue:J114_01420
ko:K07064	mtue:J114_11275
ko:K07486	mtue:J114_04245
ko:K07065	mtue:J114_03110
ko:K02483	mtue:J114_03215
ko:K07497	mtue:J114_18375
ko:K07486	mtue:J114_17835
ko:K07098	mtue:J114_19675
ko:K15856	mtue:J114_00620
ko:K08884	mtue:J114_09330
ko:K19686	mtue:J114_03335
ko:K19686	mtue:J114_03250
ko:K19687	mtue:J114_03330
ko:K19687	mtue:J114_09300
ko:K19710	mtue:J114_13980
ko:K19687	mtue:J114_03245
ko:K19686	mtue:J114_10575
ko:K19687	mtue:J114_10580
ko:K19686	mtue:J114_14720
ko:K19686	mtue:J114_09305
ko:K15510	mtue:J114_02165
ko:K12132	mtue:J114_00090
ko:K12132	mtue:J114_00095
ko:K12132	mtue:J114_00100
ko:K20074	mtue:J114_00115
ko:K20467	mtue:J114_01120
ko:K22552	mtue:J114_04505
ko:K03636	mtue:J114_07180
ko:K20469	mtue:J114_01130
ko:K20497	mtue:J114_12155
ko:K20470	mtue:J114_01135
ko:K07695	mtue:J114_16765
ko:K20468	mtue:J114_01125
ko:K01179	mtue:J114_00335
ko:K01179	mtue:J114_05885
ko:K01179	mtue:J114_05890
ko:K01214	mtue:J114_08395
ko:K07100	mtue:J114_11495
ko:K07100	mtue:J114_03050
ko:K05375	mtue:J114_12730
ko:K20814	mtue:J114_11320
ko:K21059	mtue:J114_15755
ko:K21071	mtue:J114_16085
ko:K21140	mtue:J114_07175
ko:K21014	mtue:J114_01615
ko:K00821	mtue:J114_08850
ko:K21119	mtue:J114_06770
ko:K21147	mtue:J114_17165
ko:K21142	mtue:J114_16680
ko:K21199	mtue:J114_12165
ko:K00526	mtue:J114_16300
ko:K00526	mtue:J114_01275
ko:K00526	mtue:J114_10570
ko:K02335	mtue:J114_08705
ko:K02314	mtue:J114_00310
ko:K06904	mtue:J114_08450
ko:K06919	mtue:J114_08475
ko:K06191	mtue:J114_16325
ko:K06217	mtue:J114_12685
ko:K06904	mtue:J114_14175
ko:K01520	mtue:J114_14395
ko:K03553	mtue:J114_14595
ko:K03465	mtue:J114_14695
ko:K00287	mtue:J114_14740
ko:K00560	mtue:J114_14745
ko:K07465	mtue:J114_11355
ko:K08884	mtue:J114_11655
ko:K21302	mtue:J114_17745
ko:K05364	mtue:J114_00105
ko:K21142	mtue:J114_17820
ko:K00525	mtue:J114_16315
ko:K22468	mtue:J114_17330
ko:K08884	mtue:J114_04985
ko:K06954	mtue:J114_02385
ko:K07027	mtue:J114_03125
ko:K00257	mtue:J114_07235
ko:K08884	mtue:J114_09315
ko:K00632	mtue:J114_14880
ko:K21147	mtue:J114_16665
ko:K21148	mtue:J114_07185
ko:K03636	mtue:J114_04625
ko:K07133	mtue:J114_17660
ko:K00525	mtue:J114_03045
ko:K21200	mtue:J114_09500
ko:K21310	mtue:J114_17360
ko:K07054	mtue:J114_02230
ko:K21397	mtue:J114_09335
ko:K21473	mtue:J114_07930
ko:K03651	mtue:J114_04285
ko:K21474	mtue:J114_07935
ko:K21401	mtue:J114_03000
ko:K21481	mtue:J114_19205
ko:K21609	mtue:J114_01030
ko:K21687	mtue:J114_04620
ko:K21600	mtue:J114_05195
ko:K21600	mtue:J114_01050
ko:K10914	mtue:J114_19635
ko:K21608	mtue:J114_04510
ko:K21691	mtue:J114_13135
ko:K21672	mtue:J114_05720
ko:K21686	mtue:J114_06090
ko:K21689	mtue:J114_10040
ko:K21690	mtue:J114_12795
ko:K21884	mtue:J114_08955
ko:K21885	mtue:J114_10670
ko:K21886	mtue:J114_20000
ko:K21929	mtue:J114_06785
ko:K21887	mtue:J114_19995
ko:K21961	mtue:J114_20605
ko:K21992	mtue:J114_07240
ko:K21962	mtue:J114_07915
ko:K22027	mtue:J114_16555
ko:K00936	mtue:J114_17245
ko:K22010	mtue:J114_08690
ko:K22044	mtue:J114_16610
ko:K22107	mtue:J114_19115
ko:K03595	mtue:J114_12660
ko:K22108	mtue:J114_19025
ko:K12436	mtue:J114_10960
ko:K17758	mtue:J114_18400
ko:K17759	mtue:J114_18400
ko:K22297	mtue:J114_10180
ko:K22306	mtue:J114_12960
ko:K01563	mtue:J114_13800
ko:K02257	mtue:J114_07795
ko:K22336	mtue:J114_20520
ko:K01563	mtue:J114_12280
ko:K01934	mtue:J114_05340
ko:K19302	mtue:J114_01675
ko:K21495	mtue:J114_10415
ko:K18688	mtue:J114_18785
ko:K05606	mtue:J114_07115
ko:K01563	mtue:J114_09775
ko:K22295	mtue:J114_18245
ko:K22298	mtue:J114_12630
ko:K01551	mtue:J114_11695
ko:K22303	mtue:J114_18250
ko:K03181	mtue:J114_15750
ko:K11206	mtue:J114_02555
ko:K07141	mtue:J114_01855
ko:K00728	mtue:J114_05400
ko:K08300	mtue:J114_13105
ko:K08301	mtue:J114_13105
ko:K07566	mtue:J114_07010
