ko:K09796	mys:NF92_13045
ko:K01621	mys:NF92_11615
ko:K05558	mys:NF92_01090
ko:K01710	mys:NF92_05350
ko:K01621	mys:NF92_11920
ko:K05558	mys:NF92_00525
ko:K01066	mys:NF92_07885
ko:K08095	mys:NF92_05200
ko:K08095	mys:NF92_05425
ko:K08095	mys:NF92_02360
ko:K08095	mys:NF92_07875
ko:K01990	mys:NF92_03165
ko:K00020	mys:NF92_01965
ko:K19302	mys:NF92_22000
ko:K03722	mys:NF92_16235
ko:K15868	mys:NF92_12825
ko:K07068	mys:NF92_11300
ko:K17476	mys:NF92_04430
ko:K12952	mys:NF92_18645
ko:K01267	mys:NF92_19615
ko:K01992	mys:NF92_03170
ko:K19271	mys:NF92_09320
ko:K01066	mys:NF92_22620
ko:K00059	mys:NF92_19160
ko:K01822	mys:NF92_17510
ko:K06867	mys:NF92_22245
ko:K22476	mys:NF92_03300
ko:K06221	mys:NF92_09500
ko:K20261	mys:NF92_21635
ko:K16238	mys:NF92_10455
ko:K14232	mys:NF92_15670
ko:K19577	mys:NF92_16470
ko:K01457	mys:NF92_15785
ko:K19710	mys:NF92_09925
ko:K00128	mys:NF92_01975
ko:K19777	mys:NF92_08150
ko:K01977	mys:NF92_16315
ko:K19777	mys:NF92_06685
ko:K01980	mys:NF92_16310
ko:K20938	mys:NF92_12035
ko:K08744	mys:NF92_12455
ko:K01431	mys:NF92_10320
ko:K13775	mys:NF92_04505
ko:K15510	mys:NF92_03090
ko:K01985	mys:NF92_16305
ko:K05770	mys:NF92_03000
ko:K05770	mys:NF92_13260
ko:K12132	mys:NF92_22870
ko:K12132	mys:NF92_02210
ko:K12132	mys:NF92_17895
ko:K12132	mys:NF92_22865
ko:K20074	mys:NF92_22850
ko:K20265	mys:NF92_19220
ko:K20470	mys:NF92_01885
ko:K20469	mys:NF92_01820
ko:K20467	mys:NF92_14465
ko:K20466	mys:NF92_01780
ko:K20467	mys:NF92_01785
ko:K20468	mys:NF92_01805
ko:K16227	mys:NF92_03750
ko:K22107	mys:NF92_03235
ko:K07749	mys:NF92_01170
ko:K00249	mys:NF92_21510
ko:K00249	mys:NF92_18110
ko:K00249	mys:NF92_14800
ko:K00249	mys:NF92_06735
ko:K00249	mys:NF92_06705
ko:K00632	mys:NF92_18465
ko:K00632	mys:NF92_06860
ko:K00001	mys:NF92_18545
ko:K16936	mys:NF92_00715
ko:K16937	mys:NF92_00715
ko:K01768	mys:NF92_20705
ko:K01768	mys:NF92_16295
ko:K01768	mys:NF92_01810
ko:K01768	mys:NF92_00560
ko:K00130	mys:NF92_07525
ko:K08884	mys:NF92_14130
ko:K05375	mys:NF92_00960
ko:K00091	mys:NF92_19540
ko:K01802	mys:NF92_18685
ko:K14220	mys:NF92_15030
ko:K14228	mys:NF92_11255
ko:K14226	mys:NF92_15920
ko:K22213	mys:NF92_21625
ko:K01179	mys:NF92_00520
ko:K01214	mys:NF92_10985
ko:K20814	mys:NF92_13530
ko:K14222	mys:NF92_12775
ko:K14237	mys:NF92_14680
ko:K20940	mys:NF92_13190
ko:K21071	mys:NF92_07490
ko:K21140	mys:NF92_16200
ko:K21014	mys:NF92_15850
ko:K22445	mys:NF92_03565
ko:K21119	mys:NF92_16585
ko:K00821	mys:NF92_12715
ko:K21147	mys:NF92_06515
ko:K14222	mys:NF92_09740
ko:K14228	mys:NF92_17685
ko:K00526	mys:NF92_07145
ko:K00526	mys:NF92_04205
ko:K02335	mys:NF92_11315
ko:K00525	mys:NF92_07080
ko:K01520	mys:NF92_09245
ko:K02314	mys:NF92_00310
ko:K18955	mys:NF92_00605
ko:K06223	mys:NF92_14535
ko:K02316	mys:NF92_15040
ko:K06217	mys:NF92_15240
ko:K18955	mys:NF92_01930
ko:K18955	mys:NF92_06915
ko:K06191	mys:NF92_07070
ko:K01286	mys:NF92_21500
ko:K00560	mys:NF92_08810
ko:K00287	mys:NF92_08815
ko:K03465	mys:NF92_08835
ko:K03553	mys:NF92_08960
ko:K07465	mys:NF92_13610
ko:K22552	mys:NF92_20825
ko:K21281	mys:NF92_13010
ko:K00108	mys:NF92_19215
ko:K00091	mys:NF92_15170
ko:K01167	mys:NF92_12105
ko:K05375	mys:NF92_13120
ko:K05364	mys:NF92_22860
ko:K03636	mys:NF92_16195
ko:K21148	mys:NF92_16190
ko:K03636	mys:NF92_18960
ko:K14215	mys:NF92_15200
ko:K21200	mys:NF92_14370
ko:K00632	mys:NF92_14795
ko:K00632	mys:NF92_21265
ko:K21401	mys:NF92_07135
ko:K21397	mys:NF92_05735
ko:K03293	mys:NF92_04920
ko:K21473	mys:NF92_10805
ko:K21480	mys:NF92_00550
ko:K21474	mys:NF92_10810
ko:K21401	mys:NF92_04585
ko:K21471	mys:NF92_14200
ko:K21481	mys:NF92_20355
ko:K00863	mys:NF92_22030
ko:K21691	mys:NF92_15580
ko:K21600	mys:NF92_01715
ko:K10914	mys:NF92_21070
ko:K21608	mys:NF92_17205
ko:K21672	mys:NF92_21830
ko:K21686	mys:NF92_01345
ko:K00344	mys:NF92_06150
ko:K21608	mys:NF92_20880
ko:K09458	mys:NF92_13945
ko:K14228	mys:NF92_13890
ko:K14232	mys:NF92_21125
ko:K21885	mys:NF92_11375
ko:K14228	mys:NF92_16145
ko:K14230	mys:NF92_06645
ko:K21961	mys:NF92_18540
ko:K21962	mys:NF92_10790
ko:K21992	mys:NF92_08640
ko:K14229	mys:NF92_19270
ko:K14219	mys:NF92_18355
ko:K14236	mys:NF92_04675
ko:K00936	mys:NF92_06440
ko:K22010	mys:NF92_11260
ko:K14225	mys:NF92_15675
ko:K14229	mys:NF92_15935
ko:K22044	mys:NF92_06755
ko:K22044	mys:NF92_16560
ko:K14227	mys:NF92_22935
ko:K14233	mys:NF92_21765
ko:K14233	mys:NF92_21700
ko:K14218	mys:NF92_18030
ko:K22107	mys:NF92_20225
ko:K03595	mys:NF92_15220
ko:K14224	mys:NF92_19265
ko:K14219	mys:NF92_21890
ko:K22108	mys:NF92_20130
ko:K14232	mys:NF92_12530
ko:K14230	mys:NF92_04745
ko:K14225	mys:NF92_02615
ko:K14234	mys:NF92_04740
ko:K14235	mys:NF92_04770
ko:K14218	mys:NF92_06895
ko:K14223	mys:NF92_07725
ko:K14219	mys:NF92_15795
ko:K14228	mys:NF92_22835
ko:K00467	mys:NF92_13765
ko:K14225	mys:NF92_09745
ko:K14234	mys:NF92_20695
ko:K14219	mys:NF92_16450
ko:K14223	mys:NF92_17820
ko:K14221	mys:NF92_19260
ko:K14234	mys:NF92_19760
ko:K14233	mys:NF92_21895
ko:K22270	mys:NF92_21675
ko:K22187	mys:NF92_19180
ko:K17758	mys:NF92_05545
ko:K17759	mys:NF92_05545
ko:K22303	mys:NF92_03195
ko:K22297	mys:NF92_12090
ko:K22306	mys:NF92_15460
ko:K02257	mys:NF92_10585
ko:K22336	mys:NF92_22385
ko:K22311	mys:NF92_09935
ko:K22303	mys:NF92_22580
ko:K22316	mys:NF92_14590
ko:K22336	mys:NF92_22380
ko:K22295	mys:NF92_22585
ko:K22298	mys:NF92_15185
ko:K01551	mys:NF92_14160
ko:K01505	mys:NF92_15060
ko:K11206	mys:NF92_03870
ko:K00728	mys:NF92_17950
ko:K22468	mys:NF92_03570
ko:K08300	mys:NF92_15530
ko:K08301	mys:NF92_15530
ko:K22468	mys:NF92_18250
ko:K07566	mys:NF92_16385
