ko:K04042	cbo:CBO3545
ko:K17758	cbo:CBO3399
ko:K17759	cbo:CBO3399
ko:K07284	cbo:CBO2133
ko:K17722	cbo:CBO2820
ko:K17723	cbo:CBO2819
ko:K02107	cbo:CBO2629A
ko:K00004	cbo:CBO2217
ko:K02116	cbo:CBO0149
ko:K07076	cbo:CBO3077
ko:K00335	cbo:CBO1848
ko:K00336	cbo:CBO1847
ko:K08314	cbo:CBO3411
ko:K03742	cbo:CBO0211
ko:K18672	cbo:CBO3431
ko:K06896	cbo:CBO1606
ko:K18707	cbo:CBO2955
ko:K18682	cbo:CBO2404
ko:K20025	cbo:CBO2198
ko:K06147	cbo:CBO1930
ko:K07171	cbo:CBO3395A
ko:K06147	cbo:CBO1931
ko:K18888	cbo:CBO1952
ko:K18887	cbo:CBO1953
ko:K19055	cbo:CBO1509
ko:K02315	cbo:CBO2378
ko:K03526	cbo:CBO2424
ko:K03294	cbo:CBO2191
ko:K19141	cbo:CBO2172
ko:K19221	cbo:CBO0954
ko:K14761	cbo:CBO0003
ko:K19142	cbo:CBO2171
ko:K19076	cbo:CBO2175
ko:K07317	cbo:CBO3090
ko:K19091	cbo:CBO2179
ko:K01990	cbo:CBO0492
ko:K01990	cbo:CBO0777
ko:K01990	cbo:CBO1188
ko:K01990	cbo:CBO1381
ko:K01990	cbo:CBO3351
ko:K01066	cbo:CBO2187
ko:K19271	cbo:CBO2021
ko:K19302	cbo:CBO0350
ko:K01567	cbo:CBO3091
ko:K12952	cbo:CBO1306
ko:K19310	cbo:CBO2282
ko:K00638	cbo:CBO0886
ko:K19271	cbo:CBO1547
ko:K04771	cbo:CBO3541
ko:K19405	cbo:CBO3510
ko:K02051	cbo:CBO3254
ko:K19302	cbo:CBO3407
ko:K19411	cbo:CBO3511
ko:K19350	cbo:CBO2858
ko:K02005	cbo:CBO0085
ko:K19689	cbo:CBO2794
ko:K03616	cbo:CBO0373
ko:K21636	cbo:CBO0094
ko:K00100	cbo:CBO1407
ko:K01560	cbo:CBO1023
ko:K12132	cbo:CBO2504
ko:K20074	cbo:CBO2505
ko:K20037	cbo:CBO2117
ko:K20107	cbo:CBO1605
ko:K20108	cbo:CBO1605
ko:K20116	cbo:CBO2754
ko:K20117	cbo:CBO2754
ko:K20118	cbo:CBO2754
ko:K07800	cbo:CBO0332A
ko:K20265	cbo:CBO2472
ko:K20265	cbo:CBO0343
ko:K20116	cbo:CBO1327
ko:K20117	cbo:CBO1327
ko:K20118	cbo:CBO1327
ko:K01400	cbo:CBO1446
ko:K20491	cbo:CBO1583
ko:K20492	cbo:CBO1584
ko:K20487	cbo:CBO1925
ko:K20487	cbo:CBO1586
ko:K20488	cbo:CBO1585
ko:K20490	cbo:CBO1582
ko:K07800	cbo:CBO0339
ko:K20534	cbo:CBO0297
ko:K20488	cbo:CBO1926
ko:K22103	cbo:CBO1616
ko:K20882	cbo:CBO2199
ko:K20026	cbo:CBO2197
ko:K20904	cbo:CBO3289
ko:K20903	cbo:CBO3290
ko:K21028	cbo:CBO1141
ko:K08968	cbo:CBO2908
ko:K07258	cbo:CBO1853
ko:K07258	cbo:CBO2979
ko:K02077	cbo:CBO3318
ko:K21417	cbo:CBO1631
ko:K21405	cbo:CBO1628
ko:K21405	cbo:CBO1937
ko:K22044	cbo:CBO3631
ko:K21416	cbo:CBO1630
ko:K21405	cbo:CBO1642
ko:K05364	cbo:CBO3383
ko:K21471	cbo:CBO0062
ko:K21576	cbo:CBO1264
ko:K21562	cbo:CBO0657
ko:K21600	cbo:CBO1303
ko:K06864	cbo:CBO0104
ko:K21600	cbo:CBO2598
ko:K10671	cbo:CBO1256
ko:K21929	cbo:CBO0042A
ko:K21929	cbo:CBO0073
ko:K21898	cbo:CBO1973
ko:K21903	cbo:CBO0477
ko:K22129	cbo:CBO2209
ko:K22024	cbo:CBO2208
ko:K22132	cbo:CBO0040
ko:K07456	cbo:CBO0630
ko:K01046	cbo:CBO2061
ko:K22405	cbo:CBO2619
ko:K22430	cbo:CBO2196
ko:K22431	cbo:CBO3287
ko:K22432	cbo:CBO2194
ko:K05592	cbo:CBO1780
ko:K22373	cbo:CBO1006
ko:K22431	cbo:CBO2195
ko:K22432	cbo:CBO3286
ko:K22430	cbo:CBO3288
ko:K22579	cbo:CBO2582
