ko:K19416	amh:I633_11325
ko:K12065	amh:I633_22711
ko:K03746	amh:I633_11920
ko:K08722	amh:I633_12010
ko:K08722	amh:I633_12015
ko:K08722	amh:I633_12095
ko:K03646	amh:I633_06910
ko:K08722	amh:I633_12465
ko:K14266	amh:I633_20735
ko:K07467	amh:I633_04490
ko:K09797	amh:I633_15440
ko:K03496	amh:I633_15715
ko:K14266	amh:I633_21345
ko:K03497	amh:I633_21465
ko:K03496	amh:I633_21470
ko:K14266	amh:I633_10290
ko:K04565	amh:I633_15850
ko:K11811	amh:I633_15980
ko:K03496	amh:I633_21956
ko:K12063	amh:I633_22061
ko:K03111	amh:I633_22116
ko:K12061	amh:I633_22201
ko:K12060	amh:I633_22206
ko:K12058	amh:I633_22216
ko:K08363	amh:I633_11090
ko:K08364	amh:I633_11095
ko:K10748	amh:I633_22486
ko:K12056	amh:I633_22506
ko:K12072	amh:I633_22521
ko:K12057	amh:I633_22526
ko:K12070	amh:I633_22561
ko:K12071	amh:I633_22566
ko:K03111	amh:I633_22626
ko:K01729	amh:I633_17220
ko:K03976	amh:I633_08495
ko:K07483	amh:I633_18250
ko:K07483	amh:I633_09995
ko:K03526	amh:I633_14220
ko:K07481	amh:I633_01620
ko:K02663	amh:I633_02310
ko:K18979	amh:I633_19405
ko:K02664	amh:I633_02305
ko:K07746	amh:I633_02840
ko:K07746	amh:I633_13060
ko:K07746	amh:I633_16710
ko:K19155	amh:I633_18770
ko:K19156	amh:I633_18765
ko:K19166	amh:I633_21215
ko:K07448	amh:I633_00655
ko:K07448	amh:I633_00660
ko:K19163	amh:I633_09965
ko:K22452	amh:I633_07865
ko:K19158	amh:I633_12235
ko:K19159	amh:I633_12230
ko:K01710	amh:I633_18165
ko:K19228	amh:I633_05815
ko:K19229	amh:I633_05810
ko:K00798	amh:I633_08510
ko:K19227	amh:I633_05820
ko:K19230	amh:I633_05805
ko:K07448	amh:I633_16640
ko:K19092	amh:I633_13055
ko:K19164	amh:I633_09970
ko:K07497	amh:I633_00940
ko:K07497	amh:I633_00950
ko:K07497	amh:I633_00970
ko:K07497	amh:I633_18255
ko:K07497	amh:I633_15160
ko:K19337	amh:I633_12595
ko:K01175	amh:I633_11925
ko:K20116	amh:I633_07965
ko:K20117	amh:I633_07965
ko:K20118	amh:I633_07965
ko:K19302	amh:I633_01175
ko:K19302	amh:I633_03315
ko:K02650	amh:I633_15510
ko:K19641	amh:I633_05025
ko:K19577	amh:I633_15880
ko:K02030	amh:I633_20395
ko:K19707	amh:I633_09800
ko:K01214	amh:I633_12540
ko:K01069	amh:I633_10585
ko:K07119	amh:I633_19800
ko:K07147	amh:I633_12105
ko:K07662	amh:I633_02420
ko:K19804	amh:I633_11415
ko:K07274	amh:I633_04380
ko:K19810	amh:I633_03265
ko:K19954	amh:I633_01910
ko:K21636	amh:I633_20060
ko:K09796	amh:I633_02620
ko:K07484	amh:I633_19830
ko:K20264	amh:I633_17180
ko:K00507	amh:I633_17365
ko:K01439	amh:I633_14080
ko:K12062	amh:I633_22196
ko:K20455	amh:I633_16160
ko:K20542	amh:I633_17600
ko:K20541	amh:I633_17605
ko:K16044	amh:I633_20085
ko:K20920	amh:I633_08315
ko:K20988	amh:I633_08320
ko:K16554	amh:I633_08325
ko:K03148	amh:I633_00790
ko:K21029	amh:I633_12220
ko:K21029	amh:I633_19960
ko:K21053	amh:I633_08150
ko:K00821	amh:I633_02235
ko:K01768	amh:I633_02145
ko:K14379	amh:I633_08755
ko:K21023	amh:I633_12835
ko:K00971	amh:I633_18310
ko:K08968	amh:I633_10765
ko:K02495	amh:I633_12180
ko:K20977	amh:I633_06820
ko:K20975	amh:I633_17055
ko:K21218	amh:I633_06390
ko:K03553	amh:I633_04700
ko:K10906	amh:I633_22086
ko:K09882	amh:I633_22256
ko:K06223	amh:I633_16635
ko:K06223	amh:I633_02275
ko:K06217	amh:I633_07635
ko:K03676	amh:I633_02455
ko:K02314	amh:I633_19455
ko:K00287	amh:I633_02980
ko:K00560	amh:I633_03105
ko:K02316	amh:I633_03505
ko:K04068	amh:I633_20065
ko:K00857	amh:I633_14780
ko:K14623	amh:I633_21260
ko:K02315	amh:I633_21485
ko:K02481	amh:I633_15735
ko:K01139	amh:I633_00870
ko:K21217	amh:I633_18520
ko:K00249	amh:I633_12145
ko:K03292	amh:I633_21365
ko:K02483	amh:I633_18985
ko:K02483	amh:I633_14930
ko:K02483	amh:I633_03910
ko:K21420	amh:I633_09660
ko:K21470	amh:I633_13145
ko:K21498	amh:I633_02850
ko:K01420	amh:I633_11210
ko:K21498	amh:I633_04965
ko:K21498	amh:I633_02805
ko:K07334	amh:I633_02810
ko:K21575	amh:I633_10395
ko:K21498	amh:I633_18480
ko:K10914	amh:I633_13050
ko:K07334	amh:I633_02855
ko:K08365	amh:I633_11085
ko:K21973	amh:I633_00985
ko:K22105	amh:I633_17360
ko:K22132	amh:I633_10205
ko:K01816	amh:I633_01890
ko:K03595	amh:I633_13830
ko:K02257	amh:I633_20210
ko:K02257	amh:I633_20930
ko:K11391	amh:I633_03300
ko:K00424	amh:I633_19635
ko:K00275	amh:I633_09030
ko:K01007	amh:I633_09560
