ko:K07726	lmc:Lm4b_00760
ko:K06147	lmc:Lm4b_00112
ko:K04757	lmc:Lm4b_00912
ko:K14228	lmc:Lm4b_t00040
ko:K00868	lmc:Lm4b_00689
ko:K02030	lmc:Lm4b_01752
ko:K14233	lmc:Lm4b_t00058
ko:K14222	lmc:Lm4b_t00047
ko:K08325	lmc:Lm4b_00580
ko:K14230	lmc:Lm4b_t00028
ko:K05937	lmc:Lm4b_00405
ko:K01980	lmc:Lm4b_r00002
ko:K01980	lmc:Lm4b_r00005
ko:K01980	lmc:Lm4b_r00017
ko:K01980	lmc:Lm4b_r00014
ko:K01980	lmc:Lm4b_r00011
ko:K01980	lmc:Lm4b_r00008
ko:K03215	lmc:Lm4b_01765
ko:K01990	lmc:Lm4b_02163
ko:K06608	lmc:Lm4b_00400
ko:K14205	lmc:Lm4b_01709
ko:K02304	lmc:Lm4b_01146
ko:K22010	lmc:Lm4b_01177
ko:K03324	lmc:Lm4b_00844
ko:K00008	lmc:Lm4b_02637
ko:K01838	lmc:Lm4b_02804
ko:K01985	lmc:Lm4b_r00003
ko:K01985	lmc:Lm4b_r00013
ko:K01985	lmc:Lm4b_r00006
ko:K01985	lmc:Lm4b_r00016
ko:K01985	lmc:Lm4b_r00010
ko:K01985	lmc:Lm4b_r00007
ko:K02005	lmc:Lm4b_00190
ko:K01628	lmc:Lm4b_02115
ko:K07052	lmc:Lm4b_02151
ko:K14234	lmc:Lm4b_t00003
ko:K14234	lmc:Lm4b_t00037
ko:K14219	lmc:Lm4b_t00008
ko:K14219	lmc:Lm4b_t00032
ko:K14188	lmc:Lm4b_00992
ko:K05346	lmc:Lm4b_02008
ko:K01183	lmc:Lm4b_00109
ko:K10947	lmc:Lm4b_00625
ko:K00537	lmc:Lm4b_02394
ko:K14227	lmc:Lm4b_t00021
ko:K14227	lmc:Lm4b_t00066
ko:K14227	lmc:Lm4b_t00061
ko:K01990	lmc:Lm4b_02242
ko:K14221	lmc:Lm4b_t00025
ko:K14221	lmc:Lm4b_t00054
ko:K14221	lmc:Lm4b_t00015
ko:K14237	lmc:Lm4b_t00067
ko:K07692	lmc:Lm4b_02484
ko:K14166	lmc:Lm4b_02083
ko:K07404	lmc:Lm4b_00584
ko:K07052	lmc:Lm4b_01018
ko:K03436	lmc:Lm4b_02301
ko:K14235	lmc:Lm4b_t00051
ko:K14231	lmc:Lm4b_t00024
ko:K14231	lmc:Lm4b_t00053
ko:K07052	lmc:Lm4b_02091
ko:K14226	lmc:Lm4b_t00050
ko:K14226	lmc:Lm4b_t00023
ko:K14223	lmc:Lm4b_t00044
ko:K06610	lmc:Lm4b_02822
ko:K00634	lmc:Lm4b_01378
ko:K02798	lmc:Lm4b_02770
ko:K01426	lmc:Lm4b_00865
ko:K07045	lmc:Lm4b_00887
ko:K02769	lmc:Lm4b_00447
ko:K00008	lmc:Lm4b_02636
ko:K00020	lmc:Lm4b_01025
ko:K09681	lmc:Lm4b_01749
ko:K02538	lmc:Lm4b_02162
ko:K06147	lmc:Lm4b_00111
ko:K06147	lmc:Lm4b_00634
ko:K06147	lmc:Lm4b_00853
ko:K10027	lmc:Lm4b_01020
ko:K02028	lmc:Lm4b_01753
ko:K01992	lmc:Lm4b_01982
ko:K03483	lmc:Lm4b_02618
ko:K02249	lmc:Lm4b_01349
ko:K14229	lmc:Lm4b_t00001
ko:K11749	lmc:Lm4b_01326
ko:K01081	lmc:Lm4b_00134
ko:K02799	lmc:Lm4b_02772
ko:K02800	lmc:Lm4b_02772
ko:K02083	lmc:Lm4b_00563
ko:K01674	lmc:Lm4b_00826
ko:K00691	lmc:Lm4b_02145
ko:K16013	lmc:Lm4b_02690
ko:K16012	lmc:Lm4b_02689
ko:K02794	lmc:Lm4b_00025
ko:K02794	lmc:Lm4b_00798
ko:K15771	lmc:Lm4b_00276
ko:K00564	lmc:Lm4b_00272
ko:K00571	lmc:Lm4b_01593
ko:K01992	lmc:Lm4b_02164
ko:K01426	lmc:Lm4b_02570
ko:K01992	lmc:Lm4b_02253
ko:K01990	lmc:Lm4b_00764
ko:K01840	lmc:Lm4b_00881
ko:K01182	lmc:Lm4b_00278
ko:K03574	lmc:Lm4b_01632
ko:K11051	lmc:Lm4b_01007
ko:K01759	lmc:Lm4b_00430
ko:K01101	lmc:Lm4b_02373
ko:K02428	lmc:Lm4b_01244
ko:K15581	lmc:Lm4b_02222
ko:K15583	lmc:Lm4b_02220
ko:K15633	lmc:Lm4b_02425
ko:K11741	lmc:Lm4b_00869
ko:K15738	lmc:Lm4b_01892
ko:K19689	lmc:Lm4b_01725
ko:K11741	lmc:Lm4b_00870
ko:K01026	lmc:Lm4b_02197
ko:K10823	lmc:Lm4b_02219
ko:K15582	lmc:Lm4b_02221
ko:K15580	lmc:Lm4b_02223
ko:K15780	lmc:Lm4b_00217
ko:K01835	lmc:Lm4b_02444
ko:K03839	lmc:Lm4b_01724
ko:K15986	lmc:Lm4b_01458
ko:K18926	lmc:Lm4b_00541
ko:K15975	lmc:Lm4b_00775
ko:K15975	lmc:Lm4b_00294
ko:K14233	lmc:Lm4b_t00011
ko:K14219	lmc:Lm4b_t00039
ko:K10716	lmc:Lm4b_02080
ko:K11737	lmc:Lm4b_00802
ko:K07038	lmc:Lm4b_01704
ko:K16509	lmc:Lm4b_02218
ko:K11733	lmc:Lm4b_00814
ko:K01223	lmc:Lm4b_00299
ko:K01223	lmc:Lm4b_00284
ko:K06198	lmc:Lm4b_02216
ko:K16511	lmc:Lm4b_02217
ko:K03699	lmc:Lm4b_02712
ko:K01223	lmc:Lm4b_00600
ko:K16329	lmc:Lm4b_02304
ko:K16169	lmc:Lm4b_01900
ko:K16301	lmc:Lm4b_00386
ko:K16264	lmc:Lm4b_02543
ko:K02851	lmc:Lm4b_00979
ko:K16644	lmc:Lm4b_00202
ko:K15770	lmc:Lm4b_02149
ko:K15770	lmc:Lm4b_00275
ko:K15771	lmc:Lm4b_02148
ko:K02027	lmc:Lm4b_01744
ko:K02026	lmc:Lm4b_01746
ko:K16786	lmc:Lm4b_02568
ko:K02026	lmc:Lm4b_00177
ko:K02025	lmc:Lm4b_00782
ko:K16787	lmc:Lm4b_02567
ko:K16785	lmc:Lm4b_02566
ko:K16789	lmc:Lm4b_01439
ko:K02025	lmc:Lm4b_00176
ko:K16785	lmc:Lm4b_02601
ko:K11050	lmc:Lm4b_01006
ko:K16651	lmc:Lm4b_01175
ko:K02851	lmc:Lm4b_02488
ko:K02025	lmc:Lm4b_01745
ko:K16898	lmc:Lm4b_02294
ko:K11991	lmc:Lm4b_02693
ko:K10974	lmc:Lm4b_00480
ko:K04027	lmc:Lm4b_01185
ko:K16899	lmc:Lm4b_02295
ko:K16960	lmc:Lm4b_02310
ko:K16959	lmc:Lm4b_02311
ko:K16958	lmc:Lm4b_02312
ko:K16957	lmc:Lm4b_02313
ko:K02029	lmc:Lm4b_00863
ko:K02030	lmc:Lm4b_00863
ko:K02029	lmc:Lm4b_02277
ko:K02030	lmc:Lm4b_02277
ko:K17319	lmc:Lm4b_02021
ko:K17318	lmc:Lm4b_02019
ko:K02028	lmc:Lm4b_00864
ko:K02028	lmc:Lm4b_02278
ko:K17320	lmc:Lm4b_02020
ko:K01992	lmc:Lm4b_00773
ko:K17472	lmc:Lm4b_01525
ko:K01992	lmc:Lm4b_00695
ko:K01992	lmc:Lm4b_01000
ko:K01992	lmc:Lm4b_02266
ko:K17686	lmc:Lm4b_01869
ko:K01990	lmc:Lm4b_00033
ko:K01990	lmc:Lm4b_00694
ko:K01990	lmc:Lm4b_00999
ko:K01990	lmc:Lm4b_01111
ko:K01990	lmc:Lm4b_01983
ko:K01990	lmc:Lm4b_02620
ko:K01990	lmc:Lm4b_02744
ko:K01990	lmc:Lm4b_01647
ko:K07260	lmc:Lm4b_01871
ko:K17752	lmc:Lm4b_00909
ko:K17828	lmc:Lm4b_01849
ko:K17763	lmc:Lm4b_00162
ko:K17763	lmc:Lm4b_00907
ko:K17762	lmc:Lm4b_00908
ko:K07145	lmc:Lm4b_00504
ko:K10780	lmc:Lm4b_01702
ko:K09022	lmc:Lm4b_00860
ko:K02759	lmc:Lm4b_02327
ko:K18104	lmc:Lm4b_02719
ko:K08221	lmc:Lm4b_01418
ko:K08316	lmc:Lm4b_02074
ko:K02538	lmc:Lm4b_00445
ko:K22597	lmc:Lm4b_02813
ko:K22597	lmc:Lm4b_02709
ko:K18231	lmc:Lm4b_00939
ko:K05352	lmc:Lm4b_01100
ko:K07124	lmc:Lm4b_01988
ko:K01990	lmc:Lm4b_02267
ko:K09811	lmc:Lm4b_02475
ko:K13731	lmc:Lm4b_02526
ko:K10536	lmc:Lm4b_00047
ko:K15772	lmc:Lm4b_00277
ko:K01222	lmc:Lm4b_00548
ko:K01992	lmc:Lm4b_01112
ko:K02244	lmc:Lm4b_01354
ko:K06948	lmc:Lm4b_01501
ko:K01448	lmc:Lm4b_01531
ko:K03060	lmc:Lm4b_01842
ko:K09017	lmc:Lm4b_01981
ko:K22579	lmc:Lm4b_00434
ko:K02004	lmc:Lm4b_00419
ko:K01154	lmc:Lm4b_00547
ko:K04029	lmc:Lm4b_01150
ko:K07030	lmc:Lm4b_00616
ko:K15772	lmc:Lm4b_02147
ko:K01772	lmc:Lm4b_02238
ko:K03742	lmc:Lm4b_01406
ko:K18672	lmc:Lm4b_02143
ko:K18673	lmc:Lm4b_02739
ko:K18682	lmc:Lm4b_01408
ko:K18692	lmc:Lm4b_01460
ko:K03790	lmc:Lm4b_02816
ko:K07171	lmc:Lm4b_00906
ko:K06147	lmc:Lm4b_00633
ko:K18892	lmc:Lm4b_02726
ko:K18891	lmc:Lm4b_02725
ko:K18821	lmc:Lm4b_02534
ko:K18967	lmc:Lm4b_02199
ko:K19005	lmc:Lm4b_00946
ko:K07029	lmc:Lm4b_01767
ko:K03526	lmc:Lm4b_01451
ko:K18979	lmc:Lm4b_00954
ko:K07816	lmc:Lm4b_00817
ko:K19002	lmc:Lm4b_02523
ko:K00354	lmc:Lm4b_02440
ko:K03339	lmc:Lm4b_02524
ko:K00798	lmc:Lm4b_01213
ko:K05881	lmc:Lm4b_00369
ko:K05881	lmc:Lm4b_02670
ko:K19225	lmc:Lm4b_01345
ko:K19285	lmc:Lm4b_00956
ko:K01990	lmc:Lm4b_00772
ko:K01992	lmc:Lm4b_00944
ko:K01992	lmc:Lm4b_01648
ko:K19351	lmc:Lm4b_00201
ko:K19411	lmc:Lm4b_00250
ko:K19302	lmc:Lm4b_02029
ko:K19267	lmc:Lm4b_00464
ko:K04771	lmc:Lm4b_00320
ko:K19405	lmc:Lm4b_00251
ko:K19302	lmc:Lm4b_01634
ko:K03574	lmc:Lm4b_01682
ko:K19509	lmc:Lm4b_02012
ko:K19508	lmc:Lm4b_02013
ko:K19507	lmc:Lm4b_02014
ko:K19504	lmc:Lm4b_02011
ko:K06881	lmc:Lm4b_01586
ko:K19510	lmc:Lm4b_02010
ko:K19504	lmc:Lm4b_00044
ko:K00887	lmc:Lm4b_01474
ko:K01258	lmc:Lm4b_01384
ko:K22251	lmc:Lm4b_00362
ko:K00547	lmc:Lm4b_01691
ko:K00297	lmc:Lm4b_01691
ko:K21636	lmc:Lm4b_00307
ko:K19975	lmc:Lm4b_01863
ko:K19976	lmc:Lm4b_01864
ko:K19973	lmc:Lm4b_01865
ko:K20074	lmc:Lm4b_01837
ko:K12132	lmc:Lm4b_01836
ko:K20265	lmc:Lm4b_02332
ko:K20201	lmc:Lm4b_02509
ko:K20265	lmc:Lm4b_00046
ko:K18889	lmc:Lm4b_01662
ko:K18890	lmc:Lm4b_01661
ko:K19689	lmc:Lm4b_01614
ko:K20885	lmc:Lm4b_00880
ko:K01208	lmc:Lm4b_02150
ko:K21030	lmc:Lm4b_01099
ko:K21029	lmc:Lm4b_01069
ko:K08968	lmc:Lm4b_01606
ko:K21064	lmc:Lm4b_02290
ko:K00821	lmc:Lm4b_01599
ko:K00435	lmc:Lm4b_02135
ko:K21298	lmc:Lm4b_01742
ko:K21285	lmc:Lm4b_01103
ko:K21252	lmc:Lm4b_01716
ko:K22044	lmc:Lm4b_01033
ko:K21481	lmc:Lm4b_02240
ko:K21465	lmc:Lm4b_01448
ko:K21467	lmc:Lm4b_00468
ko:K21471	lmc:Lm4b_02473
ko:K21471	lmc:Lm4b_02474
ko:K18704	lmc:Lm4b_01096
ko:K21567	lmc:Lm4b_02363
ko:K21567	lmc:Lm4b_01980
ko:K21600	lmc:Lm4b_01870
ko:K21560	lmc:Lm4b_00197
ko:K00680	lmc:Lm4b_02314
ko:K21993	lmc:Lm4b_00932
ko:K22043	lmc:Lm4b_02462
ko:K00936	lmc:Lm4b_01178
ko:K21960	lmc:Lm4b_02316
ko:K03547	lmc:Lm4b_02249
ko:K01537	lmc:Lm4b_00857
ko:K22278	lmc:Lm4b_00438
ko:K17758	lmc:Lm4b_01633
ko:K02257	lmc:Lm4b_02078
ko:K05592	lmc:Lm4b_01254
ko:K13566	lmc:Lm4b_00310
