ko:K11741	lce:LC2W_2988
ko:K02793	lce:LC2W_0477
ko:K01208	lce:LC2W_1131
ko:K08968	lce:LC2W_1421
ko:K06919	lce:LC2W_3091
ko:K06904	lce:LC2W_3097
ko:K03553	lce:LC2W_1022
ko:K02314	lce:LC2W_0101
ko:K07313	lce:LC2W_0151
ko:K02315	lce:LC2W_0569
ko:K03546	lce:LC2W_0754
ko:K07455	lce:LC2W_0955
ko:K02315	lce:LC2W_0958
ko:K00857	lce:LC2W_1321
ko:K06191	lce:LC2W_1639
ko:K01493	lce:LC2W_1654
ko:K02316	lce:LC2W_1676
ko:K06217	lce:LC2W_1686
ko:K00560	lce:LC2W_1551
ko:K00287	lce:LC2W_1553
ko:K04068	lce:LC2W_1919
ko:K01520	lce:LC2W_2494
ko:K03553	lce:LC2W_2812
ko:K02821	lce:LC2W_0070
ko:K00526	lce:LC2W_1641
ko:K02335	lce:LC2W_1884
ko:K03293	lce:LC2W_1191
ko:K21471	lce:LC2W_0025
ko:K21467	lce:LC2W_0322
ko:K21471	lce:LC2W_2149
ko:K21471	lce:LC2W_0264
ko:K21567	lce:LC2W_0906
ko:K22043	lce:LC2W_2582
ko:K22044	lce:LC2W_0881
ko:K03595	lce:LC2W_1682
ko:K22212	lce:LC2W_0816
ko:K03078	lce:LC2W_2914
ko:K03077	lce:LC2W_2910
ko:K03079	lce:LC2W_2912
ko:K17758	lce:LC2W_0939
