ko:K15581	sew:SeSA_A1879
ko:K10012	sew:SeSA_A2526
ko:K10011	sew:SeSA_A2527
ko:K02549	sew:SeSA_A2534
ko:K01661	sew:SeSA_A2535
ko:K08680	sew:SeSA_A2536
ko:K02551	sew:SeSA_A2537
ko:K02552	sew:SeSA_A2538
ko:K05594	sew:SeSA_A2539
ko:K02348	sew:SeSA_A2540
ko:K00784	sew:SeSA_A2542
ko:K03415	sew:SeSA_A2543
ko:K00343	sew:SeSA_A2544
ko:K00342	sew:SeSA_A2545
ko:K00341	sew:SeSA_A2546
ko:K00340	sew:SeSA_A2547
ko:K00339	sew:SeSA_A2548
ko:K00338	sew:SeSA_A2549
ko:K00337	sew:SeSA_A2550
ko:K00336	sew:SeSA_A2551
ko:K00335	sew:SeSA_A2552
ko:K00334	sew:SeSA_A2553
ko:K00331	sew:SeSA_A2555
ko:K00330	sew:SeSA_A2556
ko:K09161	sew:SeSA_A2563
ko:K09899	sew:SeSA_A2564
ko:K00925	sew:SeSA_A2566
ko:K00615	sew:SeSA_A2569
ko:K00615	sew:SeSA_A2570
ko:K02822	sew:SeSA_A2572
ko:K02821	sew:SeSA_A2573
ko:K01752	sew:SeSA_A3431
ko:K00656	sew:SeSA_A3432
ko:K01754	sew:SeSA_A3435
ko:K08302	sew:SeSA_A3445
ko:K02775	sew:SeSA_A3449
ko:K07056	sew:SeSA_A3452
ko:K07121	sew:SeSA_A3453
ko:K07460	sew:SeSA_A3454
ko:K07461	sew:SeSA_A3459
ko:K03824	sew:SeSA_A3461
ko:K08303	sew:SeSA_A3463
ko:K03835	sew:SeSA_A3466
ko:K05592	sew:SeSA_A3467
ko:K05803	sew:SeSA_A3468
ko:K02956	sew:SeSA_A3471
ko:K03177	sew:SeSA_A3473
ko:K02834	sew:SeSA_A3474
ko:K02519	sew:SeSA_A3476
ko:K02600	sew:SeSA_A3477
ko:K09748	sew:SeSA_A3478
ko:K01940	sew:SeSA_A3480
ko:K03431	sew:SeSA_A3483
ko:K00796	sew:SeSA_A3485
ko:K03798	sew:SeSA_A3486
ko:K00970	sew:SeSA_A0212
ko:K02427	sew:SeSA_A3487
ko:K07574	sew:SeSA_A3488
ko:K03624	sew:SeSA_A3489
ko:K01438	sew:SeSA_A4330
ko:K00145	sew:SeSA_A4331
ko:K00930	sew:SeSA_A4332
ko:K01755	sew:SeSA_A4333
ko:K04761	sew:SeSA_A4335
ko:K00322	sew:SeSA_A4336
ko:K01776	sew:SeSA_A4342
ko:K00075	sew:SeSA_A4348
ko:K00867	sew:SeSA_A4350
ko:K03073	sew:SeSA_A4357
ko:K02601	sew:SeSA_A4358
ko:K02867	sew:SeSA_A4359
ko:K02863	sew:SeSA_A4360
ko:K02864	sew:SeSA_A4361
ko:K02935	sew:SeSA_A4362
ko:K03043	sew:SeSA_A4364
ko:K03046	sew:SeSA_A4365
ko:K03150	sew:SeSA_A4369
ko:K03149	sew:SeSA_A4370
ko:K03154	sew:SeSA_A4371
ko:K00788	sew:SeSA_A4373
ko:K03147	sew:SeSA_A4374
ko:K07740	sew:SeSA_A4376
ko:K01599	sew:SeSA_A4378
ko:K05982	sew:SeSA_A4379
ko:K09891	sew:SeSA_A4380
ko:K07803	sew:SeSA_A4383
ko:K07709	sew:SeSA_A4384
ko:K01945	sew:SeSA_A4386
ko:K00651	sew:SeSA_A4393
ko:K01638	sew:SeSA_A4394
ko:K10004	sew:SeSA_A0815
ko:K10002	sew:SeSA_A0816
ko:K10003	sew:SeSA_A0817
ko:K10001	sew:SeSA_A0819
ko:K03820	sew:SeSA_A0820
ko:K06189	sew:SeSA_A0821
ko:K07042	sew:SeSA_A0822
ko:K06217	sew:SeSA_A0823
ko:K03184	sew:SeSA_A0825
ko:K01953	sew:SeSA_A0835
ko:K02565	sew:SeSA_A0837
ko:K01443	sew:SeSA_A0838
ko:K02564	sew:SeSA_A0839
ko:K01886	sew:SeSA_A0841
ko:K03839	sew:SeSA_A0850
ko:K03756	sew:SeSA_A0857
ko:K07667	sew:SeSA_A0860
ko:K07646	sew:SeSA_A0861
ko:K01548	sew:SeSA_A0862
ko:K01547	sew:SeSA_A0863
ko:K01546	sew:SeSA_A0864
ko:K01669	sew:SeSA_A0866
ko:K03305	sew:SeSA_A0867
ko:K07160	sew:SeSA_A0871
ko:K11065	sew:SeSA_A1807
ko:K03721	sew:SeSA_A1808
ko:K08990	sew:SeSA_A1809
ko:K06918	sew:SeSA_A1810
ko:K03969	sew:SeSA_A1815
ko:K03974	sew:SeSA_A1816
ko:K00208	sew:SeSA_A1828
ko:K04062	sew:SeSA_A1834
ko:K03113	sew:SeSA_A1835
ko:K01591	sew:SeSA_A1836
ko:K01681	sew:SeSA_A1841
ko:K04023	sew:SeSA_A2694
ko:K04024	sew:SeSA_A2696
ko:K04032	sew:SeSA_A2701
ko:K04029	sew:SeSA_A2703
ko:K04031	sew:SeSA_A2704
ko:K00616	sew:SeSA_A2706
ko:K00821	sew:SeSA_A3665
ko:K03040	sew:SeSA_A3611
ko:K05539	sew:SeSA_A4491
ko:K02314	sew:SeSA_A4494
ko:K01775	sew:SeSA_A4495
ko:K03788	sew:SeSA_A4498
ko:K03701	sew:SeSA_A4503
ko:K03111	sew:SeSA_A4504
ko:K06901	sew:SeSA_A4520
ko:K03637	sew:SeSA_A0953
ko:K03635	sew:SeSA_A0955
ko:K06890	sew:SeSA_A0956
ko:K06890	sew:SeSA_A0957
ko:K01993	sew:SeSA_A0966
ko:K03722	sew:SeSA_A0969
ko:K06970	sew:SeSA_A0974
ko:K00656	sew:SeSA_A0994
ko:K04069	sew:SeSA_A0995
ko:K03750	sew:SeSA_A0997
ko:K07300	sew:SeSA_A1908
ko:K01627	sew:SeSA_A1909
ko:K02493	sew:SeSA_A1912
ko:K02835	sew:SeSA_A1913
ko:K02492	sew:SeSA_A1914
ko:K02494	sew:SeSA_A1916
ko:K00919	sew:SeSA_A1917
ko:K00948	sew:SeSA_A1919
ko:K01056	sew:SeSA_A1922
ko:K06942	sew:SeSA_A1923
ko:K06282	sew:SeSA_A1928
ko:K06281	sew:SeSA_A1929
ko:K03620	sew:SeSA_A1930
ko:K03619	sew:SeSA_A1932
ko:K03618	sew:SeSA_A1933
ko:K00425	sew:SeSA_A1934
ko:K00426	sew:SeSA_A1935
ko:K00261	sew:SeSA_A1936
ko:K01194	sew:SeSA_A1938
ko:K11105	sew:SeSA_A1943
ko:K01775	sew:SeSA_A1944
ko:K00285	sew:SeSA_A1945
ko:K03603	sew:SeSA_A1947
ko:K03314	sew:SeSA_A1948
ko:K03611	sew:SeSA_A1949
ko:K09160	sew:SeSA_A1953
ko:K09902	sew:SeSA_A1955
ko:K03684	sew:SeSA_A1959
ko:K07285	sew:SeSA_A1963
ko:K09917	sew:SeSA_A1967
ko:K00077	sew:SeSA_A2816
ko:K00997	sew:SeSA_A2820
ko:K03474	sew:SeSA_A2821
ko:K03584	sew:SeSA_A2822
ko:K03595	sew:SeSA_A2823
ko:K03685	sew:SeSA_A2824
ko:K03100	sew:SeSA_A2826
ko:K03596	sew:SeSA_A2828
ko:K03803	sew:SeSA_A2829
ko:K03598	sew:SeSA_A2830
ko:K03597	sew:SeSA_A2831
ko:K03088	sew:SeSA_A2832
ko:K00278	sew:SeSA_A2834
ko:K05590	sew:SeSA_A2837
ko:K03648	sew:SeSA_A2841
ko:K03214	sew:SeSA_A2842
ko:K03672	sew:SeSA_A2843
ko:K09181	sew:SeSA_A2845
ko:K00998	sew:SeSA_A2846
ko:K05811	sew:SeSA_A2847
ko:K03761	sew:SeSA_A2848
ko:K03695	sew:SeSA_A2856
ko:K05810	sew:SeSA_A2857
ko:K00872	sew:SeSA_A0003
ko:K01733	sew:SeSA_A0004
ko:K09861	sew:SeSA_A0005
ko:K03310	sew:SeSA_A0006
ko:K00616	sew:SeSA_A0007
ko:K03831	sew:SeSA_A0008
ko:K07034	sew:SeSA_A0009
ko:K04043	sew:SeSA_A0013
ko:K01252	sew:SeSA_A0755
ko:K00216	sew:SeSA_A0756
ko:K06200	sew:SeSA_A0758
ko:K03805	sew:SeSA_A0765
ko:K06140	sew:SeSA_A0775
ko:K05964	sew:SeSA_A0779
ko:K01646	sew:SeSA_A0782
ko:K01910	sew:SeSA_A0783
ko:K07700	sew:SeSA_A0784
ko:K03326	sew:SeSA_A0786
ko:K03704	sew:SeSA_A0788
ko:K06199	sew:SeSA_A0789
ko:K03644	sew:SeSA_A0792
ko:K03801	sew:SeSA_A0795
ko:K09158	sew:SeSA_A0796
ko:K07258	sew:SeSA_A0797
ko:K03642	sew:SeSA_A0798
ko:K05837	sew:SeSA_A0799
ko:K00783	sew:SeSA_A0801
ko:K09710	sew:SeSA_A0802
ko:K00969	sew:SeSA_A0805
ko:K02340	sew:SeSA_A0806
ko:K03643	sew:SeSA_A0807
ko:K01869	sew:SeSA_A0808
ko:K05782	sew:SeSA_A1723
ko:K03304	sew:SeSA_A1726
ko:K02774	sew:SeSA_A1730
ko:K02775	sew:SeSA_A1731
ko:K09936	sew:SeSA_A3740
ko:K07048	sew:SeSA_A3741
ko:K00681	sew:SeSA_A3742
ko:K01126	sew:SeSA_A3744
ko:K05816	sew:SeSA_A3745
ko:K05815	sew:SeSA_A3746
ko:K05814	sew:SeSA_A3747
ko:K05813	sew:SeSA_A3748
ko:K01996	sew:SeSA_A3751
ko:K01995	sew:SeSA_A3752
ko:K01998	sew:SeSA_A3753
ko:K01997	sew:SeSA_A3754
ko:K01999	sew:SeSA_A3755
ko:K01999	sew:SeSA_A3759
ko:K03089	sew:SeSA_A3760
ko:K09811	sew:SeSA_A3761
ko:K09812	sew:SeSA_A3762
ko:K08316	sew:SeSA_A3764
ko:K08993	sew:SeSA_A3765
ko:K09125	sew:SeSA_A3771
ko:K07722	sew:SeSA_A3776
ko:K01993	sew:SeSA_A3779
ko:K07007	sew:SeSA_A3781
ko:K06144	sew:SeSA_A3783
ko:K03305	sew:SeSA_A3785
ko:K01414	sew:SeSA_A3787
ko:K03475	sew:SeSA_A4651
ko:K08996	sew:SeSA_A4657
ko:K02990	sew:SeSA_A4659
ko:K02686	sew:SeSA_A4660
ko:K02963	sew:SeSA_A4661
ko:K02939	sew:SeSA_A4662
ko:K07269	sew:SeSA_A4664
ko:K07322	sew:SeSA_A4667
ko:K07109	sew:SeSA_A4673
ko:K09800	sew:SeSA_A4679
ko:K01507	sew:SeSA_A4683
ko:K02558	sew:SeSA_A4686
ko:K09889	sew:SeSA_A4687
ko:K03592	sew:SeSA_A4688
ko:K01465	sew:SeSA_A4696
ko:K04068	sew:SeSA_A4702
ko:K01226	sew:SeSA_A4705
ko:K03485	sew:SeSA_A4708
ko:K01531	sew:SeSA_A4709
ko:K09022	sew:SeSA_A4711
ko:K06180	sew:SeSA_A2858
ko:K05807	sew:SeSA_A2859
ko:K05809	sew:SeSA_A2860
ko:K01626	sew:SeSA_A2864
ko:K02884	sew:SeSA_A2868
ko:K00554	sew:SeSA_A2869
ko:K02860	sew:SeSA_A2870
ko:K02959	sew:SeSA_A2871
ko:K03106	sew:SeSA_A2873
ko:K03687	sew:SeSA_A2877
ko:K00851	sew:SeSA_A3731
ko:K06145	sew:SeSA_A3732
ko:K06911	sew:SeSA_A3733
ko:K03825	sew:SeSA_A3736
ko:K02774	sew:SeSA_A3993
ko:K02773	sew:SeSA_A3994
ko:K07784	sew:SeSA_A3997
ko:K07783	sew:SeSA_A3998
ko:K02429	sew:SeSA_A4002
ko:K00852	sew:SeSA_A4003
ko:K01653	sew:SeSA_A4005
ko:K01753	sew:SeSA_A4011
ko:K06871	sew:SeSA_A4012
ko:K00389	sew:SeSA_A4014
ko:K07085	sew:SeSA_A4017
ko:K04081	sew:SeSA_A4018
ko:K04080	sew:SeSA_A4019
ko:K02200	sew:SeSA_A4023
ko:K00984	sew:SeSA_B0063
ko:K00984	sew:SeSA_B0065
ko:K08363	sew:SeSA_B0082
ko:K03194	sew:SeSA_B0106
ko:K01468	sew:SeSA_A0937
ko:K05836	sew:SeSA_A0939
ko:K01712	sew:SeSA_A0940
ko:K01745	sew:SeSA_A0941
ko:K06910	sew:SeSA_A0942
ko:K01012	sew:SeSA_A0944
ko:K02169	sew:SeSA_A0946
ko:K01935	sew:SeSA_A0947
ko:K03702	sew:SeSA_A0948
ko:K03639	sew:SeSA_A0951
ko:K03638	sew:SeSA_A0952
ko:K01890	sew:SeSA_A1433
ko:K06518	sew:SeSA_A2420
ko:K05876	sew:SeSA_A1744
ko:K03475	sew:SeSA_A2571
ko:K03789	sew:SeSA_A4811
ko:K02100	sew:SeSA_A3184
ko:K01023	sew:SeSA_A3378
ko:K03633	sew:SeSA_A1106
ko:K03075	sew:SeSA_A3482
ko:K02774	sew:SeSA_A3448
ko:K02760	sew:SeSA_A1409
ko:K01652	sew:SeSA_A4111
ko:K01652	sew:SeSA_A4006
ko:K02818	sew:SeSA_A4706
ko:K02819	sew:SeSA_A4706
ko:K08682	sew:SeSA_A0461
ko:K05835	sew:SeSA_A4167
ko:K02822	sew:SeSA_A4652
ko:K02798	sew:SeSA_A3885
ko:K02799	sew:SeSA_A3885
ko:K02800	sew:SeSA_A3885
ko:K02806	sew:SeSA_A3514
ko:K11139	sew:SeSA_A1678
ko:K07404	sew:SeSA_A0935
ko:K03222	sew:SeSA_A1505
ko:K05596	sew:SeSA_A3237
ko:K03230	sew:SeSA_A3049
ko:K03230	sew:SeSA_A1510
ko:K00757	sew:SeSA_A4176
ko:K07806	sew:SeSA_A2525
ko:K01582	sew:SeSA_A2801
ko:K07774	sew:SeSA_A2928
ko:K03841	sew:SeSA_A4684
ko:K00813	sew:SeSA_A1113
ko:K07309	sew:SeSA_A1601
ko:K07639	sew:SeSA_A1570
ko:K07310	sew:SeSA_A1600
ko:K01582	sew:SeSA_A0261
ko:K08722	sew:SeSA_A2560
ko:K01581	sew:SeSA_A0858
ko:K07312	sew:SeSA_A1598
ko:K03719	sew:SeSA_A1073
ko:K07283	sew:SeSA_A1424
ko:K01868	sew:SeSA_A1428
ko:K02520	sew:SeSA_A1429
ko:K02916	sew:SeSA_A1430
ko:K02887	sew:SeSA_A1431
ko:K01889	sew:SeSA_A1432
ko:K04764	sew:SeSA_A1434
ko:K06073	sew:SeSA_A1435
ko:K00432	sew:SeSA_A1436
ko:K06074	sew:SeSA_A1437
ko:K01626	sew:SeSA_A1442
ko:K09773	sew:SeSA_A1443
ko:K01007	sew:SeSA_A1445
ko:K00313	sew:SeSA_A1448
ko:K03785	sew:SeSA_A1454
ko:K05997	sew:SeSA_A1466
ko:K09014	sew:SeSA_A1467
ko:K09013	sew:SeSA_A1468
ko:K09015	sew:SeSA_A1469
ko:K02426	sew:SeSA_A1471
ko:K06078	sew:SeSA_A1473
ko:K06078	sew:SeSA_A1474
ko:K00873	sew:SeSA_A1475
ko:K05846	sew:SeSA_A2400
ko:K05846	sew:SeSA_A2402
ko:K03777	sew:SeSA_A2405
ko:K07262	sew:SeSA_A2406
ko:K05541	sew:SeSA_A2413
ko:K00450	sew:SeSA_A2417
ko:K01489	sew:SeSA_A2422
ko:K10541	sew:SeSA_A2427
ko:K10542	sew:SeSA_A2428
ko:K10540	sew:SeSA_A2429
ko:K07148	sew:SeSA_A2431
ko:K01495	sew:SeSA_A2432
ko:K01752	sew:SeSA_A2435
ko:K07783	sew:SeSA_A2437
ko:K01151	sew:SeSA_A2442
ko:K00882	sew:SeSA_A2444
ko:K03291	sew:SeSA_A2447
ko:K06940	sew:SeSA_A2450
ko:K02356	sew:SeSA_A2451
ko:K01195	sew:SeSA_A3313
ko:K08191	sew:SeSA_A3316
ko:K01686	sew:SeSA_A3317
ko:K01812	sew:SeSA_A3319
ko:K02020	sew:SeSA_A3323
ko:K02016	sew:SeSA_A3324
ko:K04653	sew:SeSA_A3325
ko:K06281	sew:SeSA_A3329
ko:K03559	sew:SeSA_A3341
ko:K00655	sew:SeSA_A3359
ko:K07645	sew:SeSA_A3363
ko:K03923	sew:SeSA_A3364
ko:K02335	sew:SeSA_A4210
ko:K03978	sew:SeSA_A4212
ko:K09894	sew:SeSA_A4214
ko:K01585	sew:SeSA_A3260
ko:K07712	sew:SeSA_A4216
ko:K07708	sew:SeSA_A4217
ko:K01915	sew:SeSA_A4218
ko:K06207	sew:SeSA_A4219
ko:K07058	sew:SeSA_A4238
ko:K07560	sew:SeSA_A4239
ko:K02380	sew:SeSA_A4247
ko:K00127	sew:SeSA_A4248
ko:K05306	sew:SeSA_A0492
ko:K03152	sew:SeSA_A0493
ko:K00077	sew:SeSA_A0494
ko:K09767	sew:SeSA_A0495
ko:K02300	sew:SeSA_A0498
ko:K02299	sew:SeSA_A0499
ko:K02298	sew:SeSA_A0500
ko:K02297	sew:SeSA_A0501
ko:K08218	sew:SeSA_A0503
ko:K03545	sew:SeSA_A0506
ko:K03544	sew:SeSA_A0508
ko:K01338	sew:SeSA_A0509
ko:K03530	sew:SeSA_A0510
ko:K03770	sew:SeSA_A0511
ko:K06920	sew:SeSA_A0514
ko:K02379	sew:SeSA_A4252
ko:K03534	sew:SeSA_A4257
ko:K01629	sew:SeSA_A4259
ko:K00848	sew:SeSA_A4261
ko:K02855	sew:SeSA_A4262
ko:K02854	sew:SeSA_A4263
ko:K02856	sew:SeSA_A4264
ko:K03229	sew:SeSA_A1518
ko:K19504	sew:SeSA_A4793
ko:K02805	sew:SeSA_A4136
ko:K02679	sew:SeSA_A3163
ko:K02680	sew:SeSA_A3162
ko:K02681	sew:SeSA_A3160
ko:K02682	sew:SeSA_A0161
ko:K02504	sew:SeSA_A0160
ko:K13920	sew:SeSA_A2212
ko:K01921	sew:SeSA_A0434
ko:K00286	sew:SeSA_A0441
ko:K09768	sew:SeSA_A0443
ko:K00891	sew:SeSA_A0444
ko:K09913	sew:SeSA_A0447
ko:K03554	sew:SeSA_A0448
ko:K00847	sew:SeSA_A0449
ko:K03546	sew:SeSA_A0451
ko:K03547	sew:SeSA_A0452
ko:K03311	sew:SeSA_A0457
ko:K07568	sew:SeSA_A0462
ko:K00773	sew:SeSA_A0464
ko:K03210	sew:SeSA_A0465
ko:K03072	sew:SeSA_A0466
ko:K03074	sew:SeSA_A0467
ko:K05517	sew:SeSA_A0471
ko:K07738	sew:SeSA_A0475
ko:K00794	sew:SeSA_A0477
ko:K03625	sew:SeSA_A0478
ko:K00946	sew:SeSA_A0479
ko:K01095	sew:SeSA_A0480
ko:K01662	sew:SeSA_A0482
ko:K00795	sew:SeSA_A0483
ko:K03602	sew:SeSA_A0484
ko:K03151	sew:SeSA_A0485
ko:K03430	sew:SeSA_A0491
ko:K02505	sew:SeSA_A0159
ko:K04651	sew:SeSA_A3007
ko:K04651	sew:SeSA_A1635
ko:K04651	sew:SeSA_A3326
ko:K02401	sew:SeSA_A2069
ko:K03787	sew:SeSA_A3078
ko:K00266	sew:SeSA_A3524
ko:K06222	sew:SeSA_A0285
ko:K08161	sew:SeSA_A1221
ko:K11391	sew:SeSA_A3411
ko:K08219	sew:SeSA_A1081
ko:K05396	sew:SeSA_A2109
ko:K01643	sew:SeSA_A0067
ko:K01643	sew:SeSA_A0780
ko:K03711	sew:SeSA_A0849
ko:K03636	sew:SeSA_A0954
ko:K00059	sew:SeSA_A1265
ko:K00758	sew:SeSA_A4822
ko:K01760	sew:SeSA_A3344
ko:K01104	sew:SeSA_A2350
ko:K11903	sew:SeSA_A3308
ko:K00031	sew:SeSA_A1317
ko:K11530	sew:SeSA_A4295
ko:K07689	sew:SeSA_A2103
ko:K01897	sew:SeSA_A1961
ko:K11531	sew:SeSA_A4289
ko:K03748	sew:SeSA_A2423
ko:K11072	sew:SeSA_A1305
ko:K03773	sew:SeSA_A4665
ko:K02217	sew:SeSA_A2090
ko:K07278	sew:SeSA_A4678
ko:K07122	sew:SeSA_A3501
ko:K09898	sew:SeSA_A3659
ko:K08224	sew:SeSA_A1588
ko:K07264	sew:SeSA_A2529
ko:K11535	sew:SeSA_A2643
ko:K03780	sew:SeSA_A3546
ko:K03779	sew:SeSA_A3547
ko:K11896	sew:SeSA_A0298
ko:K11892	sew:SeSA_A0314
ko:K07592	sew:SeSA_A3436
ko:K03972	sew:SeSA_A1811
ko:K01420	sew:SeSA_A1785
ko:K01894	sew:SeSA_A0213
ko:K11747	sew:SeSA_A3653
ko:K11537	sew:SeSA_A2656
ko:K07011	sew:SeSA_A0877
ko:K09251	sew:SeSA_A3409
ko:K08359	sew:SeSA_A1481
ko:K08322	sew:SeSA_A1608
ko:K06956	sew:SeSA_A1465
ko:K04334	sew:SeSA_A1210
ko:K00262	sew:SeSA_A1393
ko:K11749	sew:SeSA_A0248
ko:K03208	sew:SeSA_A2339
ko:K04335	sew:SeSA_A1209
ko:K04333	sew:SeSA_A1208
ko:K11811	sew:SeSA_A0716
ko:K01916	sew:SeSA_A1407
ko:K07726	sew:SeSA_A3986
ko:K06889	sew:SeSA_A4648
ko:K07782	sew:SeSA_A2106
ko:K04751	sew:SeSA_A2803
ko:K11755	sew:SeSA_A2306
ko:K07343	sew:SeSA_A1135
ko:K07126	sew:SeSA_A4538
ko:K09953	sew:SeSA_A1425
ko:K12975	sew:SeSA_A3835
ko:K07347	sew:SeSA_A4844
ko:K07349	sew:SeSA_A1268
ko:K12962	sew:SeSA_A2530
ko:K12963	sew:SeSA_A2531
ko:K12981	sew:SeSA_A3914
ko:K02851	sew:SeSA_A4129
ko:K01779	sew:SeSA_A4766
ko:K01460	sew:SeSA_A3321
ko:K00906	sew:SeSA_A4397
ko:K07794	sew:SeSA_A2931
ko:K03278	sew:SeSA_A3917
ko:K01176	sew:SeSA_A2120
ko:K06183	sew:SeSA_A2462
ko:K12370	sew:SeSA_A3826
ko:K09476	sew:SeSA_A1114
ko:K10906	sew:SeSA_A2289
ko:K00138	sew:SeSA_A3879
ko:K01130	sew:SeSA_A3297
ko:K05874	sew:SeSA_A4786
ko:K08324	sew:SeSA_A1629
ko:K06218	sew:SeSA_A1655
ko:K06218	sew:SeSA_A4701
ko:K05875	sew:SeSA_A3406
ko:K12944	sew:SeSA_A2523
ko:K12979	sew:SeSA_A4541
ko:K13005	sew:SeSA_A2320
ko:K01424	sew:SeSA_A1388
ko:K13288	sew:SeSA_A4619
ko:K09961	sew:SeSA_A0634
ko:K00558	sew:SeSA_A2151
ko:K00558	sew:SeSA_A4747
ko:K00799	sew:SeSA_A1548
ko:K11209	sew:SeSA_A3322
ko:K01813	sew:SeSA_A4260
ko:K04775	sew:SeSA_A1585
ko:K02436	sew:SeSA_A3451
ko:K00748	sew:SeSA_A0255
ko:K03324	sew:SeSA_A4402
ko:K11929	sew:SeSA_A0369
ko:K11898	sew:SeSA_A0300
ko:K07307	sew:SeSA_A4561
ko:K04065	sew:SeSA_A4815
ko:K09017	sew:SeSA_A1186
ko:K11738	sew:SeSA_A1702
ko:K02009	sew:SeSA_A2191
ko:K03759	sew:SeSA_A4549
ko:K03755	sew:SeSA_A4550
ko:K07347	sew:SeSA_A0194
ko:K03757	sew:SeSA_A2800
ko:K11753	sew:SeSA_A0049
ko:K11735	sew:SeSA_A2938
ko:K11745	sew:SeSA_A0096
ko:K04018	sew:SeSA_A4535
ko:K04750	sew:SeSA_A4543
ko:K03760	sew:SeSA_A4548
ko:K08314	sew:SeSA_A4326
ko:K08364	sew:SeSA_B0081
ko:K12297	sew:SeSA_A1123
ko:K12290	sew:SeSA_A3687
ko:K00632	sew:SeSA_A4189
ko:K11732	sew:SeSA_A0735
ko:K08344	sew:SeSA_A1178
ko:K01809	sew:SeSA_A1566
ko:K03426	sew:SeSA_A4377
ko:K02002	sew:SeSA_A2959
ko:K04477	sew:SeSA_A1202
ko:K04337	sew:SeSA_A1207
ko:K00046	sew:SeSA_A4738
ko:K01207	sew:SeSA_A1285
ko:K03478	sew:SeSA_A1414
ko:K07289	sew:SeSA_A2354
ko:K03769	sew:SeSA_A4120
ko:K03827	sew:SeSA_A4392
ko:K01042	sew:SeSA_A4697
ko:K07470	sew:SeSA_A2231
ko:K08317	sew:SeSA_A0760
ko:K07724	sew:SeSA_A3498
ko:K12455	sew:SeSA_A2322
ko:K04021	sew:SeSA_A2697
ko:K04025	sew:SeSA_A2689
ko:K12452	sew:SeSA_A2323
ko:K12410	sew:SeSA_A1298
ko:K08485	sew:SeSA_A3516
ko:K05540	sew:SeSA_A3576
ko:K08163	sew:SeSA_A4056
ko:K01175	sew:SeSA_A0853
ko:K08092	sew:SeSA_A3866
ko:K00835	sew:SeSA_A3863
ko:K05934	sew:SeSA_A2196
ko:K02598	sew:SeSA_A3674
ko:K00228	sew:SeSA_A2687
ko:K07351	sew:SeSA_A0589
ko:K11736	sew:SeSA_A0458
ko:K07186	sew:SeSA_A4828
ko:K06079	sew:SeSA_A0268
ko:K00385	sew:SeSA_A2791
ko:K11737	sew:SeSA_A4666
ko:K07027	sew:SeSA_A0959
ko:K01497	sew:SeSA_A1840
ko:K01491	sew:SeSA_A0587
ko:K02790	sew:SeSA_A1563
ko:K02791	sew:SeSA_A1563
ko:K06889	sew:SeSA_A2788
ko:K03078	sew:SeSA_A4654
ko:K12372	sew:SeSA_A3824
ko:K03394	sew:SeSA_A2193
ko:K13053	sew:SeSA_A1134
ko:K04336	sew:SeSA_A1211
ko:K01069	sew:SeSA_A0291
ko:K05595	sew:SeSA_A1626
ko:K00537	sew:SeSA_A2732
ko:K00537	sew:SeSA_A0718
ko:K05368	sew:SeSA_A4187
ko:K02840	sew:SeSA_A3918
ko:K07459	sew:SeSA_A1057
ko:K12525	sew:SeSA_A4318
ko:K12500	sew:SeSA_A0513
ko:K03819	sew:SeSA_A2347
ko:K03970	sew:SeSA_A1814
ko:K03838	sew:SeSA_A3434
ko:K08137	sew:SeSA_A3265
ko:K02478	sew:SeSA_A2398
ko:K04020	sew:SeSA_A2700
ko:K13051	sew:SeSA_A0998
ko:K13085	sew:SeSA_A1155
ko:K12961	sew:SeSA_A3455
ko:K12992	sew:SeSA_A2313
ko:K10804	sew:SeSA_A0571
ko:K13014	sew:SeSA_A2528
ko:K13292	sew:SeSA_A3166
ko:K01011	sew:SeSA_A2772
ko:K07005	sew:SeSA_A0856
ko:K11897	sew:SeSA_A0299
ko:K00626	sew:SeSA_A3188
ko:K04772	sew:SeSA_A3540
ko:K11939	sew:SeSA_A0982
ko:K08477	sew:SeSA_A2624
ko:K09474	sew:SeSA_A4589
ko:K11685	sew:SeSA_A2945
ko:K11930	sew:SeSA_A4036
ko:K04771	sew:SeSA_A0232
ko:K00884	sew:SeSA_A1297
ko:K01139	sew:SeSA_A3950
ko:K00060	sew:SeSA_A3907
ko:K11607	sew:SeSA_A3015
ko:K11605	sew:SeSA_A3016
ko:K01739	sew:SeSA_A4317
ko:K00568	sew:SeSA_A2503
ko:K11891	sew:SeSA_A0318
ko:K11893	sew:SeSA_A0313
ko:K11907	sew:SeSA_A0303
ko:K11925	sew:SeSA_A0122
ko:K11752	sew:SeSA_A0476
ko:K08154	sew:SeSA_A4008
ko:K00694	sew:SeSA_A3814
ko:K01766	sew:SeSA_A3147
ko:K11906	sew:SeSA_A0312
ko:K11926	sew:SeSA_A0368
ko:K11901	sew:SeSA_A0305
ko:K06957	sew:SeSA_A2718
ko:K00965	sew:SeSA_A0925
ko:K03417	sew:SeSA_A0420
ko:K11928	sew:SeSA_A1190
ko:K11927	sew:SeSA_A0968
ko:K11903	sew:SeSA_A0311
ko:K10026	sew:SeSA_A3109
ko:K00040	sew:SeSA_A3318
ko:K00040	sew:SeSA_A1610
ko:K00134	sew:SeSA_A2179
ko:K11895	sew:SeSA_A0297
ko:K11933	sew:SeSA_A1053
ko:K11934	sew:SeSA_A0983
ko:K03768	sew:SeSA_A0581
ko:K03472	sew:SeSA_A3243
ko:K04487	sew:SeSA_A2783
