ko:K19416	amad:I636_10590
ko:K00639	amad:I636_00305
ko:K02441	amad:I636_00320
ko:K09806	amad:I636_00350
ko:K01784	amad:I636_04670
ko:K02851	amad:I636_04710
ko:K00030	amad:I636_04735
ko:K00674	amad:I636_04810
ko:K03455	amad:I636_04915
ko:K07004	amad:I636_09055
ko:K03386	amad:I636_09070
ko:K13628	amad:I636_13390
ko:K01092	amad:I636_13440
ko:K02004	amad:I636_13535
ko:K01077	amad:I636_13550
ko:K08234	amad:I636_17805
ko:K03442	amad:I636_17810
ko:K05341	amad:I636_17820
ko:K03409	amad:I636_17990
ko:K16012	amad:I636_00435
ko:K16013	amad:I636_00440
ko:K03386	amad:I636_00470
ko:K03451	amad:I636_00510
ko:K01719	amad:I636_00675
ko:K00575	amad:I636_05045
ko:K06603	amad:I636_05130
ko:K01424	amad:I636_09405
ko:K07258	amad:I636_09425
ko:K02427	amad:I636_09510
ko:K02014	amad:I636_13870
ko:K01692	amad:I636_13920
ko:K02004	amad:I636_18075
ko:K03776	amad:I636_18080
ko:K05350	amad:I636_18135
ko:K01989	amad:I636_18275
ko:K00567	amad:I636_18315
ko:K01585	amad:I636_18330
ko:K07640	amad:I636_02445
ko:K01048	amad:I636_02450
ko:K03560	amad:I636_07010
ko:K04767	amad:I636_07135
ko:K06889	amad:I636_11275
ko:K02017	amad:I636_11370
ko:K03635	amad:I636_11385
ko:K02014	amad:I636_15670
ko:K00101	amad:I636_15885
ko:K02030	amad:I636_02760
ko:K00652	amad:I636_07250
ko:K01104	amad:I636_07270
ko:K06147	amad:I636_07300
ko:K01885	amad:I636_07320
ko:K02004	amad:I636_07365
ko:K07660	amad:I636_07390
ko:K07305	amad:I636_11690
ko:K00033	amad:I636_11695
ko:K00700	amad:I636_11705
ko:K00845	amad:I636_11730
ko:K15629	amad:I636_15975
ko:K03087	amad:I636_02970
ko:K03406	amad:I636_03015
ko:K06177	amad:I636_03105
ko:K01515	amad:I636_03165
ko:K00569	amad:I636_07510
ko:K02014	amad:I636_07560
ko:K00845	amad:I636_11805
ko:K01243	amad:I636_11835
ko:K07004	amad:I636_11925
ko:K00380	amad:I636_16195
ko:K07304	amad:I636_16320
ko:K15460	amad:I636_16390
ko:K01278	amad:I636_16400
ko:K00813	amad:I636_11060
ko:K17686	amad:I636_01705
ko:K01533	amad:I636_10465
ko:K00130	amad:I636_13935
ko:K01069	amad:I636_12130
ko:K09857	amad:I636_07180
ko:K00537	amad:I636_10795
ko:K01130	amad:I636_19365
ko:K06138	amad:I636_15775
ko:K02477	amad:I636_10115
ko:K17758	amad:I636_17955
ko:K17759	amad:I636_17955
ko:K00290	amad:I636_14935
ko:K14742	amad:I636_12605
ko:K05540	amad:I636_18580
ko:K05799	amad:I636_14410
ko:K03892	amad:I636_14845
ko:K03767	amad:I636_03260
ko:K01791	amad:I636_13650
ko:K01658	amad:I636_07430
ko:K00632	amad:I636_06745
ko:K00248	amad:I636_11085
ko:K00128	amad:I636_02690
ko:K00632	amad:I636_02920
ko:K01190	amad:I636_15540
ko:K08485	amad:I636_03875
ko:K00018	amad:I636_19160
ko:K01467	amad:I636_18325
ko:K01840	amad:I636_09865
ko:K00661	amad:I636_07470
ko:K07675	amad:I636_15835
ko:K03566	amad:I636_07845
ko:K12574	amad:I636_11530
ko:K01190	amad:I636_01125
ko:K07552	amad:I636_04310
ko:K01497	amad:I636_00905
ko:K03286	amad:I636_18000
ko:K07186	amad:I636_13015
ko:K17737	amad:I636_10185
ko:K01487	amad:I636_08055
ko:K18139	amad:I636_06060
ko:K01046	amad:I636_17910
ko:K03973	amad:I636_05555
ko:K18138	amad:I636_00860
ko:K00520	amad:I636_14285
ko:K18138	amad:I636_03435
ko:K07814	amad:I636_03600
ko:K01659	amad:I636_15030
ko:K03719	amad:I636_10655
ko:K00956	amad:I636_06625
ko:K00956	amad:I636_06670
ko:K00020	amad:I636_15850
ko:K07814	amad:I636_08980
ko:K00114	amad:I636_15730
ko:K00557	amad:I636_16145
ko:K00344	amad:I636_11325
ko:K03741	amad:I636_14850
ko:K09017	amad:I636_08090
ko:K03296	amad:I636_11210
ko:K02483	amad:I636_14875
ko:K01447	amad:I636_15095
ko:K00118	amad:I636_15595
ko:K03772	amad:I636_18825
ko:K07003	amad:I636_10340
ko:K03585	amad:I636_03430
ko:K03605	amad:I636_01490
ko:K03522	amad:I636_11780
ko:K00311	amad:I636_11785
ko:K03782	amad:I636_16610
ko:K03782	amad:I636_16615
ko:K00971	amad:I636_08245
ko:K09948	amad:I636_04360
ko:K01560	amad:I636_08760
ko:K02358	amad:I636_17690
ko:K00059	amad:I636_05185
ko:K06958	amad:I636_05235
ko:K01673	amad:I636_05455
ko:K09948	amad:I636_09645
ko:K03832	amad:I636_09735
ko:K03832	amad:I636_09750
ko:K03796	amad:I636_18605
ko:K01181	amad:I636_18895
ko:K00615	amad:I636_18905
ko:K00604	amad:I636_01355
ko:K14683	amad:I636_05935
ko:K00382	amad:I636_06025
ko:K01785	amad:I636_18925
ko:K07156	amad:I636_01675
ko:K00604	amad:I636_01695
ko:K02014	amad:I636_15015
ko:K07154	amad:I636_19270
ko:K16264	amad:I636_15440
ko:K02406	amad:I636_06955
ko:K07302	amad:I636_11250
ko:K01255	amad:I636_15760
ko:K02015	amad:I636_07275
ko:K00874	amad:I636_16090
ko:K07165	amad:I636_18410
ko:K07165	amad:I636_06475
ko:K07165	amad:I636_15865
ko:K02554	amad:I636_15935
ko:K00138	amad:I636_15825
ko:K00108	amad:I636_13940
ko:K09017	amad:I636_16520
ko:K18446	amad:I636_03040
ko:K07645	amad:I636_03820
ko:K01437	amad:I636_14465
ko:K00681	amad:I636_02185
ko:K00681	amad:I636_11010
ko:K00681	amad:I636_02705
ko:K00681	amad:I636_08175
ko:K20978	amad:I636_06915
ko:K18640	amad:I636_05800
ko:K18691	amad:I636_04935
ko:K06218	amad:I636_02825
ko:K18850	amad:I636_09300
ko:K06218	amad:I636_02840
ko:K10747	amad:I636_17870
ko:K07171	amad:I636_16050
ko:K18829	amad:I636_18455
ko:K18831	amad:I636_19285
ko:K20862	amad:I636_00955
ko:K20881	amad:I636_18745
ko:K18778	amad:I636_14455
ko:K00526	amad:I636_10725
ko:K10747	amad:I636_03640
ko:K18893	amad:I636_17765
ko:K03496	amad:I636_05395
ko:K14266	amad:I636_09925
ko:K08364	amad:I636_14290
ko:K08363	amad:I636_14295
ko:K14266	amad:I636_18845
ko:K03502	amad:I636_05815
ko:K03503	amad:I636_05820
ko:K12070	amad:I636_05895
ko:K12071	amad:I636_05900
ko:K12068	amad:I636_05955
ko:K12067	amad:I636_05960
ko:K12065	amad:I636_05970
ko:K03496	amad:I636_14615
ko:K04565	amad:I636_14750
ko:K12063	amad:I636_06100
ko:K12062	amad:I636_06110
ko:K12061	amad:I636_06115
ko:K12060	amad:I636_06120
ko:K12058	amad:I636_06125
ko:K03111	amad:I636_06165
ko:K12057	amad:I636_06240
ko:K12072	amad:I636_06245
ko:K12056	amad:I636_06250
ko:K11811	amad:I636_14855
ko:K03497	amad:I636_19570
ko:K03496	amad:I636_19575
ko:K03746	amad:I636_11140
ko:K03646	amad:I636_07015
ko:K08722	amad:I636_11230
ko:K08722	amad:I636_11235
ko:K08722	amad:I636_11290
ko:K03976	amad:I636_08410
ko:K07484	amad:I636_13815
ko:K07484	amad:I636_15475
ko:K07483	amad:I636_00805
ko:K07483	amad:I636_09585
ko:K07483	amad:I636_04395
ko:K03526	amad:I636_13355
ko:K02663	amad:I636_02340
ko:K12064	amad:I636_05975
ko:K12069	amad:I636_05980
ko:K18979	amad:I636_17960
ko:K02664	amad:I636_02335
ko:K07746	amad:I636_09670
ko:K07746	amad:I636_12310
ko:K07746	amad:I636_14195
ko:K07746	amad:I636_15495
ko:K19155	amad:I636_17455
ko:K19156	amad:I636_17450
ko:K19166	amad:I636_19280
ko:K07448	amad:I636_00525
ko:K22452	amad:I636_07890
ko:K19158	amad:I636_11420
ko:K19159	amad:I636_11415
ko:K01710	amad:I636_16855
ko:K19228	amad:I636_05525
ko:K19229	amad:I636_05520
ko:K00798	amad:I636_08425
ko:K19227	amad:I636_05530
ko:K19230	amad:I636_05515
ko:K07448	amad:I636_15380
ko:K07497	amad:I636_00810
ko:K03722	amad:I636_12610
ko:K00839	amad:I636_08165
ko:K19337	amad:I636_11750
ko:K01175	amad:I636_11145
ko:K19302	amad:I636_00990
ko:K19302	amad:I636_03280
ko:K19337	amad:I636_11825
ko:K02650	amad:I636_14435
ko:K19577	amad:I636_14785
ko:K13665	amad:I636_13695
ko:K02030	amad:I636_18570
ko:K19592	amad:I636_05990
ko:K19594	amad:I636_06055
ko:K19707	amad:I636_09490
ko:K01214	amad:I636_11700
ko:K01069	amad:I636_10135
ko:K07119	amad:I636_18260
ko:K07147	amad:I636_11300
ko:K07662	amad:I636_02440
ko:K19804	amad:I636_10670
ko:K07274	amad:I636_04260
ko:K19810	amad:I636_03220
ko:K19954	amad:I636_01990
ko:K09796	amad:I636_02640
ko:K20035	amad:I636_11770
ko:K07484	amad:I636_09745
ko:K07484	amad:I636_17010
ko:K07484	amad:I636_04405
ko:K20264	amad:I636_15930
ko:K00507	amad:I636_16155
ko:K09788	amad:I636_15040
ko:K20455	amad:I636_15035
ko:K20444	amad:I636_16850
ko:K20542	amad:I636_16365
ko:K20543	amad:I636_16360
ko:K20541	amad:I636_16370
ko:K16044	amad:I636_18295
ko:K11529	amad:I636_15055
ko:K01200	amad:I636_09935
ko:K20920	amad:I636_08255
ko:K20988	amad:I636_08260
ko:K16554	amad:I636_08265
ko:K03148	amad:I636_00650
ko:K21029	amad:I636_11405
ko:K21053	amad:I636_08110
ko:K00821	amad:I636_02265
ko:K01768	amad:I636_02195
ko:K00525	amad:I636_10720
ko:K14379	amad:I636_08620
ko:K21023	amad:I636_11955
ko:K16011	amad:I636_16840
ko:K08968	amad:I636_10285
ko:K02495	amad:I636_11365
ko:K20977	amad:I636_06920
ko:K20975	amad:I636_15810
ko:K21218	amad:I636_06500
ko:K03546	amad:I636_04205
ko:K03553	amad:I636_04595
ko:K07336	amad:I636_17650
ko:K02314	amad:I636_18005
ko:K00558	amad:I636_00555
ko:K00857	amad:I636_13865
ko:K09882	amad:I636_14260
ko:K09882	amad:I636_06185
ko:K02315	amad:I636_19590
ko:K06223	amad:I636_02305
ko:K06223	amad:I636_15375
ko:K03676	amad:I636_02475
ko:K00287	amad:I636_02965
ko:K00560	amad:I636_03075
ko:K06217	amad:I636_07680
ko:K14059	amad:I636_12015
ko:K00558	amad:I636_12030
ko:K02316	amad:I636_03460
ko:K02335	amad:I636_00070
ko:K02481	amad:I636_14635
ko:K01139	amad:I636_00710
ko:K21217	amad:I636_17240
ko:K00249	amad:I636_11335
ko:K02483	amad:I636_14010
ko:K02483	amad:I636_03825
ko:K02483	amad:I636_17635
ko:K21420	amad:I636_09355
ko:K21470	amad:I636_12385
ko:K01420	amad:I636_10480
ko:K21498	amad:I636_02810
ko:K07334	amad:I636_02815
ko:K21575	amad:I636_09960
ko:K21498	amad:I636_17200
ko:K21699	amad:I636_06575
ko:K10914	amad:I636_12300
ko:K10914	amad:I636_16525
ko:K08365	amad:I636_14300
ko:K21973	amad:I636_00825
ko:K21990	amad:I636_12720
ko:K22105	amad:I636_16150
ko:K22132	amad:I636_09850
ko:K01816	amad:I636_01970
ko:K03595	amad:I636_13030
ko:K22293	amad:I636_15530
ko:K01505	amad:I636_14895
ko:K02257	amad:I636_18425
ko:K02257	amad:I636_19035
ko:K01439	amad:I636_13240
ko:K11391	amad:I636_03265
ko:K00275	amad:I636_08855
ko:K01007	amad:I636_09260
