ko:K01006	lms:LMLG_2238
ko:K07260	lms:LMLG_2097
ko:K02027	lms:LMLG_1508
ko:K01791	lms:LMLG_1891
ko:K17752	lms:LMLG_1378
ko:K02026	lms:LMLG_1602
ko:K02026	lms:LMLG_1506
ko:K02026	lms:LMLG_1346
ko:K02026	lms:LMLG_0194
ko:K02027	lms:LMLG_2404
ko:K01658	lms:LMLG_1153
ko:K17828	lms:LMLG_2076
ko:K02027	lms:LMLG_1603
ko:K02027	lms:LMLG_0192
ko:K12574	lms:LMLG_2891
ko:K12574	lms:LMLG_1690
ko:K17763	lms:LMLG_2862
ko:K17763	lms:LMLG_1376
ko:K02027	lms:LMLG_1344
ko:K00661	lms:LMLG_0634
ko:K00537	lms:LMLG_2146
ko:K01183	lms:LMLG_0056
ko:K17762	lms:LMLG_1377
ko:K01187	lms:LMLG_2402
ko:K07145	lms:LMLG_2751
ko:K09022	lms:LMLG_2474
ko:K18104	lms:LMLG_0280
ko:K08221	lms:LMLG_1716
ko:K02770	lms:LMLG_2216
ko:K08316	lms:LMLG_0376
ko:K01101	lms:LMLG_2169
ko:K02770	lms:LMLG_2026
ko:K02770	lms:LMLG_1996
ko:K13731	lms:LMLG_2755
ko:K22597	lms:LMLG_0191
ko:K02794	lms:LMLG_1620
ko:K02794	lms:LMLG_0152
ko:K22597	lms:LMLG_0290
ko:K00008	lms:LMLG_3022
ko:K00008	lms:LMLG_3021
ko:K18231	lms:LMLG_1408
ko:K05352	lms:LMLG_2570
ko:K09017	lms:LMLG_0469
ko:K22579	lms:LMLG_2941
ko:K02538	lms:LMLG_1999
ko:K03483	lms:LMLG_3020
ko:K01297	lms:LMLG_1159
ko:K03742	lms:LMLG_1728
ko:K03328	lms:LMLG_2369
ko:K04749	lms:LMLG_1380
ko:K18672	lms:LMLG_2231
ko:K18673	lms:LMLG_0260
ko:K18682	lms:LMLG_1726
ko:K18692	lms:LMLG_1672
ko:K03790	lms:LMLG_3026
ko:K07171	lms:LMLG_1375
ko:K18892	lms:LMLG_0273
ko:K18891	lms:LMLG_0274
ko:K18821	lms:LMLG_2526
ko:K18967	lms:LMLG_2178
ko:K03111	lms:LMLG_1876
ko:K00662	lms:LMLG_1533
ko:K08151	lms:LMLG_2479
ko:K03502	lms:LMLG_1299
ko:K03111	lms:LMLG_0122
ko:K03169	lms:LMLG_0269
ko:K03497	lms:LMLG_0235
ko:K03496	lms:LMLG_0234
ko:K03497	lms:LMLG_0231
ko:K06148	lms:LMLG_2598
ko:K00020	lms:LMLG_2805
ko:K19005	lms:LMLG_1415
ko:K04028	lms:LMLG_1077
ko:K00634	lms:LMLG_1954
ko:K07029	lms:LMLG_1484
ko:K03526	lms:LMLG_1682
ko:K18979	lms:LMLG_1423
ko:K07816	lms:LMLG_1640
ko:K19002	lms:LMLG_2758
ko:K19088	lms:LMLG_2943
ko:K02777	lms:LMLG_2793
ko:K09951	lms:LMLG_2420
ko:K00354	lms:LMLG_1819
ko:K03339	lms:LMLG_2757
ko:K00798	lms:LMLG_1051
ko:K19075	lms:LMLG_2425
ko:K19090	lms:LMLG_2944
ko:K05881	lms:LMLG_0698
ko:K01710	lms:LMLG_2302
ko:K05881	lms:LMLG_1321
ko:K00571	lms:LMLG_1744
ko:K19091	lms:LMLG_2428
ko:K07448	lms:LMLG_0746
ko:K19225	lms:LMLG_1920
ko:K19285	lms:LMLG_1425
ko:K03722	lms:LMLG_2272
ko:K01990	lms:LMLG_1591
ko:K01992	lms:LMLG_1158
ko:K01992	lms:LMLG_1413
ko:K19351	lms:LMLG_2382
ko:K19411	lms:LMLG_0829
ko:K19302	lms:LMLG_0414
ko:K19267	lms:LMLG_1988
ko:K04771	lms:LMLG_0758
ko:K19405	lms:LMLG_0828
ko:K19302	lms:LMLG_1144
ko:K03574	lms:LMLG_1193
ko:K19509	lms:LMLG_0431
ko:K19508	lms:LMLG_0430
ko:K19507	lms:LMLG_0429
ko:K19504	lms:LMLG_0432
ko:K06881	lms:LMLG_1752
ko:K02796	lms:LMLG_1617
ko:K02796	lms:LMLG_0150
ko:K02796	lms:LMLG_0064
ko:K19510	lms:LMLG_0433
ko:K19504	lms:LMLG_0132
ko:K00887	lms:LMLG_2565
ko:K19689	lms:LMLG_1530
ko:K19689	lms:LMLG_1123
ko:K01258	lms:LMLG_1962
ko:K00547	lms:LMLG_1203
ko:K00297	lms:LMLG_1203
ko:K02538	lms:LMLG_2213
ko:K00285	lms:LMLG_2284
ko:K21636	lms:LMLG_0772
ko:K19975	lms:LMLG_2089
ko:K19976	lms:LMLG_2090
ko:K19973	lms:LMLG_2091
ko:K20074	lms:LMLG_2064
ko:K12132	lms:LMLG_2063
ko:K20265	lms:LMLG_0962
ko:K20265	lms:LMLG_0130
ko:K20265	lms:LMLG_1977
ko:K20201	lms:LMLG_1894
ko:K00525	lms:LMLG_2197
ko:K18889	lms:LMLG_1174
ko:K20534	lms:LMLG_1421
ko:K18890	lms:LMLG_1173
ko:K20534	lms:LMLG_2763
ko:K22103	lms:LMLG_0319
ko:K20885	lms:LMLG_1349
ko:K01208	lms:LMLG_2225
ko:K21030	lms:LMLG_2569
ko:K21029	lms:LMLG_2340
ko:K08968	lms:LMLG_1116
ko:K21064	lms:LMLG_0925
ko:K00821	lms:LMLG_1108
ko:K00435	lms:LMLG_0313
ko:K04068	lms:LMLG_0771
ko:K03553	lms:LMLG_1727
ko:K02316	lms:LMLG_1667
ko:K06217	lms:LMLG_2562
ko:K01493	lms:LMLG_2544
ko:K07313	lms:LMLG_0624
ko:K03546	lms:LMLG_1167
ko:K00857	lms:LMLG_2769
ko:K01520	lms:LMLG_1550
ko:K09935	lms:LMLG_1387
ko:K02314	lms:LMLG_0113
ko:K00287	lms:LMLG_2244
ko:K00560	lms:LMLG_2245
ko:K21298	lms:LMLG_1512
ko:K02335	lms:LMLG_1764
ko:K21285	lms:LMLG_2571
ko:K00526	lms:LMLG_2198
ko:K21252	lms:LMLG_1539
ko:K22044	lms:LMLG_2797
ko:K21481	lms:LMLG_3007
ko:K21465	lms:LMLG_1686
ko:K21467	lms:LMLG_1984
ko:K21471	lms:LMLG_1854
ko:K21471	lms:LMLG_1856
ko:K18704	lms:LMLG_2568
ko:K21567	lms:LMLG_2641
ko:K21567	lms:LMLG_0470
ko:K21600	lms:LMLG_2096
ko:K21560	lms:LMLG_2385
ko:K18704	lms:LMLG_2308
ko:K00680	lms:LMLG_0949
ko:K21993	lms:LMLG_1401
ko:K22043	lms:LMLG_1841
ko:K00936	lms:LMLG_1088
ko:K21960	lms:LMLG_0951
ko:K03595	lms:LMLG_2567
ko:K01537	lms:LMLG_2477
ko:K03547	lms:LMLG_3008
ko:K22251	lms:LMLG_0705
ko:K22278	lms:LMLG_2009
ko:K17758	lms:LMLG_1143
ko:K02257	lms:LMLG_0371
ko:K05592	lms:LMLG_1011
ko:K13566	lms:LMLG_0768
ko:K22441	lms:LMLG_1660
