ko:K01006	lmt:LMRG_01014
ko:K14229	lmt:LMRG_05001
ko:K14229	lmt:LMRG_05004
ko:K14229	lmt:LMRG_05036
ko:K14229	lmt:LMRG_05045
ko:K14237	lmt:LMRG_05002
ko:K14237	lmt:LMRG_05056
ko:K14237	lmt:LMRG_05038
ko:K14228	lmt:LMRG_05007
ko:K14228	lmt:LMRG_05033
ko:K14225	lmt:LMRG_05006
ko:K14225	lmt:LMRG_05034
ko:K14225	lmt:LMRG_05048
ko:K14225	lmt:LMRG_05016
ko:K14225	lmt:LMRG_05022
ko:K14219	lmt:LMRG_05008
ko:K14219	lmt:LMRG_05032
ko:K14219	lmt:LMRG_05017
ko:K14220	lmt:LMRG_05012
ko:K14220	lmt:LMRG_05064
ko:K14220	lmt:LMRG_05059
ko:K14220	lmt:LMRG_05020
ko:K14221	lmt:LMRG_05015
ko:K14221	lmt:LMRG_05025
ko:K14221	lmt:LMRG_05054
ko:K14227	lmt:LMRG_05021
ko:K14227	lmt:LMRG_05061
ko:K14227	lmt:LMRG_05066
ko:K14226	lmt:LMRG_05023
ko:K14226	lmt:LMRG_05050
ko:K14230	lmt:LMRG_05026
ko:K14230	lmt:LMRG_05055
ko:K14230	lmt:LMRG_05029
ko:K14233	lmt:LMRG_05027
ko:K14234	lmt:LMRG_05042
ko:K14228	lmt:LMRG_05040
ko:K14228	lmt:LMRG_05046
ko:K14223	lmt:LMRG_05044
ko:K14222	lmt:LMRG_05047
ko:K14233	lmt:LMRG_05058
ko:K14219	lmt:LMRG_05062
ko:K04027	lmt:LMRG_00626
ko:K16899	lmt:LMRG_01562
ko:K16960	lmt:LMRG_01497
ko:K16959	lmt:LMRG_01496
ko:K16958	lmt:LMRG_01495
ko:K16957	lmt:LMRG_01494
ko:K11070	lmt:LMRG_02788
ko:K10027	lmt:LMRG_02100
ko:K01992	lmt:LMRG_01606
ko:K01990	lmt:LMRG_01605
ko:K02029	lmt:LMRG_01581
ko:K02030	lmt:LMRG_01581
ko:K02029	lmt:LMRG_02270
ko:K02030	lmt:LMRG_02270
ko:K17319	lmt:LMRG_01157
ko:K17318	lmt:LMRG_01155
ko:K02028	lmt:LMRG_02532
ko:K01990	lmt:LMRG_01617
ko:K13923	lmt:LMRG_00603
ko:K01992	lmt:LMRG_02593
ko:K01990	lmt:LMRG_02594
ko:K02028	lmt:LMRG_01580
ko:K02028	lmt:LMRG_02271
ko:K01980	lmt:LMRG_05514
ko:K01980	lmt:LMRG_05517
ko:K01980	lmt:LMRG_05502
ko:K01980	lmt:LMRG_05505
ko:K01980	lmt:LMRG_05511
ko:K01980	lmt:LMRG_05508
ko:K17320	lmt:LMRG_01156
ko:K00951	lmt:LMRG_01447
ko:K00265	lmt:LMRG_02537
ko:K08986	lmt:LMRG_02021
ko:K01992	lmt:LMRG_01618
ko:K01992	lmt:LMRG_00445
ko:K17472	lmt:LMRG_01455
ko:K01992	lmt:LMRG_00355
ko:K01992	lmt:LMRG_01593
ko:K01992	lmt:LMRG_02080
ko:K10112	lmt:LMRG_02597
ko:K14233	lmt:LMRG_05011
ko:K14233	lmt:LMRG_05013
ko:K14233	lmt:LMRG_05019
ko:K14223	lmt:LMRG_05049
ko:K17686	lmt:LMRG_01000
ko:K01990	lmt:LMRG_00354
ko:K01990	lmt:LMRG_01111
ko:K01990	lmt:LMRG_01592
ko:K01990	lmt:LMRG_01926
ko:K01990	lmt:LMRG_02079
ko:K01990	lmt:LMRG_01330
ko:K01990	lmt:LMRG_02023
ko:K07260	lmt:LMRG_01002
ko:K02027	lmt:LMRG_02541
ko:K01791	lmt:LMRG_01710
ko:K17752	lmt:LMRG_02315
ko:K02026	lmt:LMRG_00455
ko:K02026	lmt:LMRG_02284
ko:K02026	lmt:LMRG_02539
ko:K02026	lmt:LMRG_01861
ko:K02027	lmt:LMRG_02746
ko:K01658	lmt:LMRG_01334
ko:K17828	lmt:LMRG_00980
ko:K02027	lmt:LMRG_00456
ko:K02027	lmt:LMRG_01859
ko:K12574	lmt:LMRG_00886
ko:K12574	lmt:LMRG_02127
ko:K17763	lmt:LMRG_02406
ko:K17763	lmt:LMRG_02313
ko:K02027	lmt:LMRG_02282
ko:K00661	lmt:LMRG_00351
ko:K00537	lmt:LMRG_01822
ko:K17762	lmt:LMRG_02314
ko:K01187	lmt:LMRG_02748
ko:K17733	lmt:LMRG_01554
ko:K07145	lmt:LMRG_00165
ko:K09022	lmt:LMRG_02267
ko:K18104	lmt:LMRG_01951
ko:K08221	lmt:LMRG_00861
ko:K02770	lmt:LMRG_02805
ko:K08316	lmt:LMRG_01203
ko:K01101	lmt:LMRG_01847
ko:K07741	lmt:LMRG_02920
ko:K02770	lmt:LMRG_00093
ko:K02770	lmt:LMRG_00120
ko:K13731	lmt:LMRG_02909
ko:K22597	lmt:LMRG_01858
ko:K02794	lmt:LMRG_02869
ko:K02794	lmt:LMRG_02451
ko:K22597	lmt:LMRG_01961
ko:K00008	lmt:LMRG_02209
ko:K00008	lmt:LMRG_02208
ko:K18231	lmt:LMRG_02019
ko:K05352	lmt:LMRG_00549
ko:K09017	lmt:LMRG_01109
ko:K22579	lmt:LMRG_00103
ko:K02538	lmt:LMRG_00117
ko:K03483	lmt:LMRG_02904
ko:K01297	lmt:LMRG_01328
ko:K03742	lmt:LMRG_00849
ko:K04749	lmt:LMRG_02317
ko:K18672	lmt:LMRG_01274
ko:K18673	lmt:LMRG_01931
ko:K18682	lmt:LMRG_00851
ko:K18692	lmt:LMRG_00902
ko:K03790	lmt:LMRG_01854
ko:K07171	lmt:LMRG_02312
ko:K18892	lmt:LMRG_01944
ko:K18891	lmt:LMRG_01945
ko:K18821	lmt:LMRG_02703
ko:K18967	lmt:LMRG_01658
ko:K03111	lmt:LMRG_01725
ko:K00662	lmt:LMRG_02562
ko:K08151	lmt:LMRG_02262
ko:K03502	lmt:LMRG_02221
ko:K03111	lmt:LMRG_02474
ko:K03169	lmt:LMRG_01940
ko:K03497	lmt:LMRG_01907
ko:K03496	lmt:LMRG_01906
ko:K03497	lmt:LMRG_01903
ko:K06148	lmt:LMRG_00574
ko:K19005	lmt:LMRG_02026
ko:K04028	lmt:LMRG_00630
ko:K07029	lmt:LMRG_02518
ko:K03526	lmt:LMRG_00893
ko:K18979	lmt:LMRG_02033
ko:K07816	lmt:LMRG_02795
ko:K19002	lmt:LMRG_01692
ko:K02777	lmt:LMRG_02117
ko:K00354	lmt:LMRG_01777
ko:K03339	lmt:LMRG_01691
ko:K00798	lmt:LMRG_00655
ko:K05881	lmt:LMRG_00042
ko:K01710	lmt:LMRG_00545
ko:K05881	lmt:LMRG_02000
ko:K19137	lmt:LMRG_02135
ko:K19225	lmt:LMRG_00787
ko:K19285	lmt:LMRG_02035
ko:K03722	lmt:LMRG_01046
ko:K01990	lmt:LMRG_00444
ko:K01992	lmt:LMRG_01329
ko:K01992	lmt:LMRG_02024
ko:K19351	lmt:LMRG_02625
ko:K19411	lmt:LMRG_02676
ko:K19302	lmt:LMRG_01166
ko:K19267	lmt:LMRG_00129
ko:K04771	lmt:LMRG_02579
ko:K19405	lmt:LMRG_02675
ko:K19302	lmt:LMRG_01343
ko:K03574	lmt:LMRG_01298
ko:K19509	lmt:LMRG_01148
ko:K19508	lmt:LMRG_01149
ko:K19507	lmt:LMRG_01150
ko:K19504	lmt:LMRG_01147
ko:K06881	lmt:LMRG_01392
ko:K02796	lmt:LMRG_00469
ko:K02796	lmt:LMRG_02453
ko:K02796	lmt:LMRG_02347
ko:K19510	lmt:LMRG_01146
ko:K19504	lmt:LMRG_02464
ko:K00887	lmt:LMRG_00916
ko:K19689	lmt:LMRG_02558
ko:K19689	lmt:LMRG_01364
ko:K01258	lmt:LMRG_00826
ko:K00547	lmt:LMRG_01289
ko:K00297	lmt:LMRG_01289
ko:K00285	lmt:LMRG_01057
ko:K21636	lmt:LMRG_02596
ko:K19975	lmt:LMRG_00994
ko:K19976	lmt:LMRG_00995
ko:K19973	lmt:LMRG_00996
ko:K20074	lmt:LMRG_00968
ko:K12132	lmt:LMRG_00967
ko:K20265	lmt:LMRG_01480
ko:K20265	lmt:LMRG_02466
ko:K20265	lmt:LMRG_00140
ko:K20201	lmt:LMRG_01707
ko:K00525	lmt:LMRG_01677
ko:K18889	lmt:LMRG_01315
ko:K20534	lmt:LMRG_02032
ko:K18890	lmt:LMRG_01316
ko:K20534	lmt:LMRG_01697
ko:K22103	lmt:LMRG_01261
ko:K20885	lmt:LMRG_02287
ko:K01208	lmt:LMRG_01280
ko:K21030	lmt:LMRG_00548
ko:K21029	lmt:LMRG_00510
ko:K08968	lmt:LMRG_01372
ko:K21064	lmt:LMRG_01568
ko:K00821	lmt:LMRG_01379
ko:K00435	lmt:LMRG_01267
ko:K02316	lmt:LMRG_00907
ko:K06909	lmt:LMRG_01532
ko:K07474	lmt:LMRG_01531
ko:K07455	lmt:LMRG_01525
ko:K06217	lmt:LMRG_00919
ko:K01493	lmt:LMRG_00936
ko:K07313	lmt:LMRG_00342
ko:K03546	lmt:LMRG_01321
ko:K01520	lmt:LMRG_02765
ko:K00857	lmt:LMRG_01703
ko:K09935	lmt:LMRG_02841
ko:K02314	lmt:LMRG_02483
ko:K00287	lmt:LMRG_01020
ko:K00560	lmt:LMRG_01021
ko:K04068	lmt:LMRG_02595
ko:K03553	lmt:LMRG_00850
ko:K21298	lmt:LMRG_02543
ko:K02335	lmt:LMRG_01402
ko:K21285	lmt:LMRG_00550
ko:K01658	lmt:LMRG_01947
ko:K00526	lmt:LMRG_01678
ko:K21252	lmt:LMRG_02776
ko:K22044	lmt:LMRG_02113
ko:K21481	lmt:LMRG_01619
ko:K21465	lmt:LMRG_00890
ko:K21467	lmt:LMRG_00133
ko:K21471	lmt:LMRG_01744
ko:K21471	lmt:LMRG_01743
ko:K18704	lmt:LMRG_00547
ko:K21567	lmt:LMRG_02735
ko:K21567	lmt:LMRG_01108
ko:K21600	lmt:LMRG_01001
ko:K21560	lmt:LMRG_02622
ko:K18704	lmt:LMRG_00539
ko:K00680	lmt:LMRG_01493
ko:K21993	lmt:LMRG_02012
ko:K22043	lmt:LMRG_01755
ko:K00936	lmt:LMRG_00619
ko:K21960	lmt:LMRG_01491
ko:K03595	lmt:LMRG_00914
ko:K03547	lmt:LMRG_02924
ko:K01537	lmt:LMRG_02264
ko:K22251	lmt:LMRG_00035
ko:K22278	lmt:LMRG_00107
ko:K17758	lmt:LMRG_01344
ko:K02257	lmt:LMRG_01207
ko:K05592	lmt:LMRG_00692
ko:K13566	lmt:LMRG_02589
ko:K22441	lmt:LMRG_02781
