ko:K01006	lmoj:LM220_20145
ko:K01990	lmoj:LM220_04081
ko:K01990	lmoj:LM220_08860
ko:K19411	lmoj:LM220_01337
ko:K19302	lmoj:LM220_15645
ko:K19267	lmoj:LM220_06162
ko:K04771	lmoj:LM220_17760
ko:K19405	lmoj:LM220_17655
ko:K19302	lmoj:LM220_07492
ko:K03574	lmoj:LM220_15860
ko:K19509	lmoj:LM220_15515
ko:K19508	lmoj:LM220_15520
ko:K19507	lmoj:LM220_15525
ko:K19504	lmoj:LM220_15510
ko:K06881	lmoj:LM220_12187
ko:K19510	lmoj:LM220_15505
ko:K19504	lmoj:LM220_16402
ko:K02796	lmoj:LM220_10922
ko:K00887	lmoj:LM220_03327
ko:K02796	lmoj:LM220_16292
ko:K02796	lmoj:LM220_15373
ko:K02769	lmoj:LM220_22705
ko:K02770	lmoj:LM220_22705
ko:K02768	lmoj:LM220_22710
ko:K00788	lmoj:LM220_22740
ko:K03424	lmoj:LM220_22745
ko:K00796	lmoj:LM220_22815
ko:K03502	lmoj:LM220_22925
ko:K01129	lmoj:LM220_22935
ko:K19689	lmoj:LM220_05757
ko:K01258	lmoj:LM220_19445
ko:K14228	lmoj:LM220_23480
ko:K14228	lmoj:LM220_23420
ko:K14228	lmoj:LM220_23100
ko:K00547	lmoj:LM220_15915
ko:K00297	lmoj:LM220_15915
ko:K01992	lmoj:LM220_22395
ko:K01990	lmoj:LM220_22400
ko:K02371	lmoj:LM220_22535
ko:K07124	lmoj:LM220_22560
ko:K11069	lmoj:LM220_22565
ko:K02027	lmoj:LM220_22580
ko:K02026	lmoj:LM220_22585
ko:K02025	lmoj:LM220_22590
ko:K09704	lmoj:LM220_22595
ko:K02250	lmoj:LM220_23105
ko:K03088	lmoj:LM220_23240
ko:K02250	lmoj:LM220_23370
ko:K07318	lmoj:LM220_22985
ko:K02549	lmoj:LM220_23015
ko:K05337	lmoj:LM220_23455
ko:K11065	lmoj:LM220_23565
ko:K09681	lmoj:LM220_02196
ko:K21636	lmoj:LM220_01712
ko:K19976	lmoj:LM220_20130
ko:K20074	lmoj:LM220_09105
ko:K15780	lmoj:LM220_22820
ko:K12132	lmoj:LM220_20100
ko:K01978	lmoj:LM220_23630
ko:K01977	lmoj:LM220_22810
ko:K01980	lmoj:LM220_22995
ko:K20265	lmoj:LM220_20935
ko:K20265	lmoj:LM220_16417
ko:K20201	lmoj:LM220_21190
ko:K00525	lmoj:LM220_20580
ko:K18890	lmoj:LM220_08945
ko:K14224	lmoj:LM220_22500
ko:K14224	lmoj:LM220_23555
ko:K14224	lmoj:LM220_23050
ko:K14224	lmoj:LM220_23415
ko:K22103	lmoj:LM220_20500
ko:K01985	lmoj:LM220_23035
ko:K01985	lmoj:LM220_22805
ko:K01985	lmoj:LM220_23000
ko:K01985	lmoj:LM220_23465
ko:K20885	lmoj:LM220_18520
ko:K01208	lmoj:LM220_20540
ko:K14235	lmoj:LM220_23080
ko:K21030	lmoj:LM220_05532
ko:K14230	lmoj:LM220_23505
ko:K14232	lmoj:LM220_23490
ko:K21029	lmoj:LM220_05947
ko:K08968	lmoj:LM220_05712
ko:K21064	lmoj:LM220_12752
ko:K00821	lmoj:LM220_19775
ko:K14233	lmoj:LM220_23045
ko:K14220	lmoj:LM220_22510
ko:K14220	lmoj:LM220_23545
ko:K14220	lmoj:LM220_23005
ko:K14220	lmoj:LM220_23040
ko:K14225	lmoj:LM220_23475
ko:K14225	lmoj:LM220_22490
ko:K14225	lmoj:LM220_23535
ko:K14219	lmoj:LM220_23485
ko:K14219	lmoj:LM220_23580
ko:K14233	lmoj:LM220_23510
ko:K00435	lmoj:LM220_14566
ko:K07313	lmoj:LM220_02735
ko:K14233	lmoj:LM220_22610
ko:K14233	lmoj:LM220_22505
ko:K14233	lmoj:LM220_23550
ko:K14219	lmoj:LM220_23470
ko:K14222	lmoj:LM220_23095
ko:K14219	lmoj:LM220_23020
ko:K07455	lmoj:LM220_23185
ko:K17733	lmoj:LM220_22150
ko:K02314	lmoj:LM220_16527
ko:K00560	lmoj:LM220_09420
ko:K00287	lmoj:LM220_09415
ko:K00857	lmoj:LM220_09875
ko:K01493	lmoj:LM220_01252
ko:K06217	lmoj:LM220_03352
ko:K02316	lmoj:LM220_19575
ko:K01520	lmoj:LM220_01921
ko:K03553	lmoj:LM220_19495
ko:K13730	lmoj:LM220_06132
ko:K04068	lmoj:LM220_01717
ko:K21298	lmoj:LM220_02146
ko:K02335	lmoj:LM220_12122
ko:K21285	lmoj:LM220_18775
ko:K14221	lmoj:LM220_22495
ko:K14221	lmoj:LM220_23065
ko:K14221	lmoj:LM220_23520
ko:K14227	lmoj:LM220_23540
ko:K14226	lmoj:LM220_23530
ko:K14226	lmoj:LM220_23085
ko:K14231	lmoj:LM220_23070
ko:K14231	lmoj:LM220_23525
ko:K14230	lmoj:LM220_23060
ko:K14230	lmoj:LM220_23515
ko:K14230	lmoj:LM220_23500
ko:K14223	lmoj:LM220_23090
ko:K14234	lmoj:LM220_23010
ko:K14237	lmoj:LM220_22895
ko:K14229	lmoj:LM220_22855
ko:K14229	lmoj:LM220_23395
ko:K14237	lmoj:LM220_23055
ko:K14236	lmoj:LM220_23075
ko:K14236	lmoj:LM220_23405
ko:K14223	lmoj:LM220_23400
ko:K14234	lmoj:LM220_23410
ko:K00980	lmoj:LM220_05572
ko:K00526	lmoj:LM220_10260
ko:K21252	lmoj:LM220_01986
ko:K22044	lmoj:LM220_18680
ko:K21481	lmoj:LM220_12437
ko:K21465	lmoj:LM220_19560
ko:K21467	lmoj:LM220_18075
ko:K21471	lmoj:LM220_09645
ko:K18704	lmoj:LM220_05507
ko:K21567	lmoj:LM220_21045
ko:K21600	lmoj:LM220_09300
ko:K21560	lmoj:LM220_06562
ko:K00680	lmoj:LM220_03827
ko:K21993	lmoj:LM220_18565
ko:K22043	lmoj:LM220_14312
ko:K00936	lmoj:LM220_18855
ko:K21960	lmoj:LM220_03837
ko:K03547	lmoj:LM220_20675
ko:K03595	lmoj:LM220_03317
ko:K01537	lmoj:LM220_13157
ko:K22251	lmoj:LM220_05007
ko:K22278	lmoj:LM220_05452
ko:K17758	lmoj:LM220_07487
ko:K02257	lmoj:LM220_00965
ko:K05592	lmoj:LM220_19295
ko:K13566	lmoj:LM220_01732
ko:K22441	lmoj:LM220_22525
