ko:K02881	lpr:LBP_cg0827
ko:K01980	lpr:LBP_cr0007
ko:K01980	lpr:LBP_cr0010
ko:K01980	lpr:LBP_cr0008
ko:K01980	lpr:LBP_cr0011
ko:K01980	lpr:LBP_cr0009
ko:K01985	lpr:LBP_cr0001
ko:K01985	lpr:LBP_cr0004
ko:K01985	lpr:LBP_cr0002
ko:K01985	lpr:LBP_cr0006
ko:K01985	lpr:LBP_cr0005
ko:K01985	lpr:LBP_cr0003
ko:K00525	lpr:LBP_cg0508
ko:K20345	lpr:LBP_cg0336
ko:K20344	lpr:LBP_cg0335
ko:K18889	lpr:LBP_cg2372
ko:K18890	lpr:LBP_cg2371
ko:K20708	lpr:LBP_cg1326
ko:K20861	lpr:LBP_cg2384
ko:K20742	lpr:LBP_cg2073
ko:K01208	lpr:LBP_cg2257
ko:K01023	lpr:LBP_cg1052
ko:K21030	lpr:LBP_cg1412
ko:K21064	lpr:LBP_cg1328
ko:K08968	lpr:LBP_cg1911
ko:K00821	lpr:LBP_cg0425
ko:K14229	lpr:LBP_ct0001
ko:K14219	lpr:LBP_ct0015
ko:K14219	lpr:LBP_ct0053
ko:K14219	lpr:LBP_ct0018
ko:K14228	lpr:LBP_ct0014
ko:K14228	lpr:LBP_ct0054
ko:K14225	lpr:LBP_ct0013
ko:K14225	lpr:LBP_ct0055
ko:K14227	lpr:LBP_ct0002
ko:K14227	lpr:LBP_ct0044
ko:K14227	lpr:LBP_ct0019
ko:K14218	lpr:LBP_ct0003
ko:K14218	lpr:LBP_ct0020
ko:K14220	lpr:LBP_ct0004
ko:K14220	lpr:LBP_ct0021
ko:K14234	lpr:LBP_ct0005
ko:K14234	lpr:LBP_ct0012
ko:K14236	lpr:LBP_ct0006
ko:K14236	lpr:LBP_ct0026
ko:K14223	lpr:LBP_ct0007
ko:K14228	lpr:LBP_ct0008
ko:K14228	lpr:LBP_ct0031
ko:K14228	lpr:LBP_ct0033
ko:K14219	lpr:LBP_ct0036
ko:K14232	lpr:LBP_ct0017
ko:K14233	lpr:LBP_ct0022
ko:K14233	lpr:LBP_ct0037
ko:K14233	lpr:LBP_ct0043
ko:K14233	lpr:LBP_ct0049
ko:K14224	lpr:LBP_ct0023
ko:K14224	lpr:LBP_ct0042
ko:K14224	lpr:LBP_ct0064
ko:K14231	lpr:LBP_ct0025
ko:K14231	lpr:LBP_ct0046
ko:K01071	lpr:LBP_cg0521
ko:K00287	lpr:LBP_cg1452
ko:K00560	lpr:LBP_cg1453
ko:K03546	lpr:LBP_cg1172
ko:K01520	lpr:LBP_cg0485
ko:K06191	lpr:LBP_cg0509
ko:K00558	lpr:LBP_cg1666
ko:K02315	lpr:LBP_cg1670
ko:K01493	lpr:LBP_cg1736
ko:K02316	lpr:LBP_cg1545
ko:K06217	lpr:LBP_cg1552
ko:K04068	lpr:LBP_cg2400
ko:K03553	lpr:LBP_cg1886
ko:K01185	lpr:LBP_cg2169
ko:K00857	lpr:LBP_cg1955
ko:K06909	lpr:LBP_cg1994
ko:K07474	lpr:LBP_cg1996
ko:K06904	lpr:LBP_cg2023
ko:K02314	lpr:LBP_cg0013
ko:K02335	lpr:LBP_cg1138
ko:K07444	lpr:LBP_cg1356
ko:K15772	lpr:LBP_cg0150
ko:K00625	lpr:LBP_cg0606
ko:K00928	lpr:LBP_cg1893
ko:K00620	lpr:LBP_cg0423
ko:K02424	lpr:LBP_cg2613
ko:K15580	lpr:LBP_cg0173
ko:K05832	lpr:LBP_cg2092
ko:K01990	lpr:LBP_cg1021
ko:K02755	lpr:LBP_cg2395
ko:K02756	lpr:LBP_cg0675
ko:K02757	lpr:LBP_cg0675
ko:K03549	lpr:LBP_cg0415
ko:K02237	lpr:LBP_cg1737
ko:K02246	lpr:LBP_cg1840
ko:K00571	lpr:LBP_cg1836
ko:K00344	lpr:LBP_cg1270
ko:K03741	lpr:LBP_cg0049
ko:K03293	lpr:LBP_cg1407
ko:K03311	lpr:LBP_cg1805
ko:K03316	lpr:LBP_cg2140
ko:K07090	lpr:LBP_cg0961
ko:K07090	lpr:LBP_cg2588
ko:K07124	lpr:LBP_cg1698
ko:K01101	lpr:LBP_cg1830
ko:K03671	lpr:LBP_cg0211
ko:K03328	lpr:LBP_cg0433
ko:K03293	lpr:LBP_cg0100
ko:K14232	lpr:LBP_ct0016
ko:K14232	lpr:LBP_ct0052
ko:K14222	lpr:LBP_ct0030
ko:K14229	lpr:LBP_ct0057
ko:K14229	lpr:LBP_ct0059
ko:K14234	lpr:LBP_ct0066
ko:K14220	lpr:LBP_ct0062
ko:K14223	lpr:LBP_ct0065
ko:K14218	lpr:LBP_ct0067
ko:K00526	lpr:LBP_cg0507
ko:K07040	lpr:LBP_cg1163
ko:K00789	lpr:LBP_cg0995
ko:K00215	lpr:LBP_cg1457
ko:K00817	lpr:LBP_cg2099
ko:K00001	lpr:LBP_cg0069
ko:K00001	lpr:LBP_cg1274
ko:K00001	lpr:LBP_cg2355
ko:K02770	lpr:LBP_cg2634
ko:K00086	lpr:LBP_cg2496
ko:K00980	lpr:LBP_cg0230
ko:K00980	lpr:LBP_cg0951
ko:K01126	lpr:LBP_cg2126
ko:K02428	lpr:LBP_cg1858
ko:K02343	lpr:LBP_cg0512
ko:K01955	lpr:LBP_cg2210
ko:K01953	lpr:LBP_cg2524
ko:K01875	lpr:LBP_cg0395
ko:K00383	lpr:LBP_cg0955
ko:K01000	lpr:LBP_cg1792
ko:K01633	lpr:LBP_cg2694
ko:K11754	lpr:LBP_cg2691
ko:K00604	lpr:LBP_cg1232
ko:K01271	lpr:LBP_cg1849
ko:K03486	lpr:LBP_cg0225
ko:K07726	lpr:LBP_cg2825
ko:K00974	lpr:LBP_cg1456
ko:K00563	lpr:LBP_cg1807
ko:K04066	lpr:LBP_cg1231
ko:K16013	lpr:LBP_cg0893
ko:K11071	lpr:LBP_cg0277
ko:K11072	lpr:LBP_cg0278
ko:K14220	lpr:LBP_ct0010
ko:K14223	lpr:LBP_ct0029
ko:K14228	lpr:LBP_ct0011
ko:K14219	lpr:LBP_ct0009
ko:K14237	lpr:LBP_ct0024
ko:K14237	lpr:LBP_ct0058
ko:K14237	lpr:LBP_ct0060
ko:K14235	lpr:LBP_ct0027
ko:K14235	lpr:LBP_ct0038
ko:K14235	lpr:LBP_ct0061
ko:K14226	lpr:LBP_ct0028
ko:K14226	lpr:LBP_ct0032
ko:K14225	lpr:LBP_ct0034
ko:K14225	lpr:LBP_ct0045
ko:K14225	lpr:LBP_ct0063
ko:K14221	lpr:LBP_ct0035
ko:K14221	lpr:LBP_ct0040
ko:K14221	lpr:LBP_ct0047
ko:K14230	lpr:LBP_ct0039
ko:K14230	lpr:LBP_ct0050
ko:K14230	lpr:LBP_ct0041
ko:K14230	lpr:LBP_ct0048
ko:K14230	lpr:LBP_ct0051
ko:K14234	lpr:LBP_ct0056
ko:K03293	lpr:LBP_cg1834
ko:K03293	lpr:LBP_cg2722
ko:K03293	lpr:LBP_p1g036
ko:K03651	lpr:LBP_cg2652
ko:K21562	lpr:LBP_cg1104
ko:K21498	lpr:LBP_cg0342
ko:K07334	lpr:LBP_cg0341
ko:K21713	lpr:LBP_cg1304
ko:K21567	lpr:LBP_cg2127
ko:K00863	lpr:LBP_cg0139
ko:K21562	lpr:LBP_cg2798
ko:K21613	lpr:LBP_cg1273
ko:K22044	lpr:LBP_cg1853
ko:K05275	lpr:LBP_cg0117
ko:K03595	lpr:LBP_cg1549
ko:K22212	lpr:LBP_cg0885
ko:K03547	lpr:LBP_cg1081
ko:K22213	lpr:LBP_cg2423
ko:K17758	lpr:LBP_cg1009
ko:K22296	lpr:LBP_cg2727
ko:K22373	lpr:LBP_cg0087
ko:K13566	lpr:LBP_cg0344
ko:K22441	lpr:LBP_cg1416
