ko:K18923	lpo:LPO_3236
ko:K20533	lpo:LPO_2465
ko:K20534	lpo:LPO_2667
ko:K20528	lpo:LPO_2459
ko:K20530	lpo:LPO_2461
ko:K01945	lpo:LPO_1713
ko:K20762	lpo:LPO_1236
ko:K21071	lpo:LPO_1989
ko:K01768	lpo:LPO_1784
ko:K01768	lpo:LPO_1142
ko:K01768	lpo:LPO_1300
ko:K00526	lpo:LPO_1820
ko:K21218	lpo:LPO_3297
ko:K02314	lpo:LPO_0818
ko:K01520	lpo:LPO_2676
ko:K03553	lpo:LPO_1847
ko:K14623	lpo:LPO_0168
ko:K00287	lpo:LPO_0357
ko:K00560	lpo:LPO_3173
ko:K06217	lpo:LPO_1438
ko:K03676	lpo:LPO_2382
ko:K02316	lpo:LPO_2440
ko:K00857	lpo:LPO_0714
ko:K06223	lpo:LPO_0733
ko:K02335	lpo:LPO_0107
ko:K00525	lpo:LPO_1819
ko:K08365	lpo:LPO_0068
ko:K21929	lpo:LPO_0305
ko:K01634	lpo:LPO_2245
ko:K05802	lpo:LPO_1579
ko:K03595	lpo:LPO_1026
ko:K08994	lpo:LPO_0046
ko:K17759	lpo:LPO_3114
ko:K01505	lpo:LPO_1356
ko:K02257	lpo:LPO_0472
ko:K22352	lpo:LPO_p0062
ko:K22352	lpo:LPO_1645
ko:K11206	lpo:LPO_1034
ko:K01007	lpo:LPO_0883
