ko:K19416	amal:I607_10355
ko:K02017	amal:I607_11120
ko:K03635	amal:I607_11135
ko:K00799	amal:I607_15100
ko:K01679	amal:I607_15135
ko:K02055	amal:I607_15250
ko:K00970	amal:I607_17340
ko:K01580	amal:I607_17360
ko:K07386	amal:I607_17545
ko:K08234	amal:I607_17575
ko:K03442	amal:I607_17580
ko:K05341	amal:I607_17590
ko:K01156	amal:I607_02945
ko:K07316	amal:I607_02950
ko:K06177	amal:I607_03005
ko:K03455	amal:I607_07220
ko:K02014	amal:I607_07340
ko:K03793	amal:I607_07410
ko:K03606	amal:I607_07445
ko:K07305	amal:I607_11435
ko:K00033	amal:I607_11440
ko:K00700	amal:I607_11450
ko:K00845	amal:I607_11475
ko:K01243	amal:I607_11505
ko:K02014	amal:I607_15500
ko:K00568	amal:I607_17680
ko:K09966	amal:I607_17685
ko:K12942	amal:I607_17710
ko:K03409	amal:I607_17790
ko:K02004	amal:I607_17870
ko:K01515	amal:I607_03065
ko:K02014	amal:I607_03135
ko:K02014	amal:I607_03150
ko:K02303	amal:I607_03225
ko:K03406	amal:I607_03235
ko:K15576	amal:I607_03240
ko:K15577	amal:I607_03245
ko:K15578	amal:I607_03250
ko:K01104	amal:I607_07465
ko:K00065	amal:I607_11580
ko:K07004	amal:I607_11680
ko:K03593	amal:I607_11745
ko:K03442	amal:I607_11755
ko:K03768	amal:I607_11800
ko:K01077	amal:I607_11810
ko:K01077	amal:I607_11815
ko:K03406	amal:I607_15680
ko:K00101	amal:I607_15730
ko:K03406	amal:I607_15875
ko:K03776	amal:I607_17875
ko:K05350	amal:I607_17925
ko:K02014	amal:I607_17980
ko:K01409	amal:I607_03375
ko:K07657	amal:I607_03440
ko:K01243	amal:I607_03535
ko:K03406	amal:I607_03565
ko:K01525	amal:I607_03570
ko:K04763	amal:I607_03605
ko:K00626	amal:I607_07760
ko:K09749	amal:I607_07780
ko:K03469	amal:I607_07865
ko:K02342	amal:I607_07870
ko:K02348	amal:I607_07955
ko:K06179	amal:I607_07975
ko:K08086	amal:I607_11935
ko:K00647	amal:I607_11970
ko:K00657	amal:I607_12010
ko:K02014	amal:I607_15895
ko:K00666	amal:I607_15940
ko:K00380	amal:I607_16000
ko:K07304	amal:I607_16130
ko:K00567	amal:I607_18160
ko:K01585	amal:I607_18175
ko:K03769	amal:I607_18240
ko:K02342	amal:I607_18360
ko:K01426	amal:I607_18385
ko:K04765	amal:I607_03650
ko:K02806	amal:I607_03790
ko:K02067	amal:I607_03845
ko:K00059	amal:I607_08015
ko:K02619	amal:I607_08030
ko:K00626	amal:I607_08100
ko:K00045	amal:I607_08135
ko:K03177	amal:I607_08195
ko:K07004	amal:I607_08245
ko:K03386	amal:I607_08260
ko:K00219	amal:I607_12100
ko:K01692	amal:I607_12105
ko:K08305	amal:I607_12200
ko:K07017	amal:I607_12345
ko:K07263	amal:I607_12355
ko:K15460	amal:I607_16200
ko:K01278	amal:I607_16210
ko:K02014	amal:I607_16290
ko:K09020	amal:I607_16320
ko:K02454	amal:I607_18500
ko:K02463	amal:I607_18545
ko:K00135	amal:I607_18555
ko:K01082	amal:I607_18575
ko:K09898	amal:I607_18600
ko:K07019	amal:I607_18605
ko:K11105	amal:I607_03920
ko:K03298	amal:I607_03930
ko:K01479	amal:I607_04125
ko:K00813	amal:I607_10795
ko:K17686	amal:I607_01550
ko:K01533	amal:I607_10135
ko:K00130	amal:I607_13555
ko:K01069	amal:I607_11765
ko:K09857	amal:I607_06350
ko:K00537	amal:I607_10575
ko:K06138	amal:I607_15615
ko:K02477	amal:I607_09365
ko:K17758	amal:I607_17755
ko:K17759	amal:I607_17755
ko:K00290	amal:I607_14825
ko:K14742	amal:I607_12235
ko:K05540	amal:I607_18400
ko:K05799	amal:I607_14295
ko:K03892	amal:I607_14745
ko:K03767	amal:I607_03160
ko:K01658	amal:I607_06600
ko:K00632	amal:I607_05945
ko:K00248	amal:I607_10830
ko:K00128	amal:I607_02635
ko:K01190	amal:I607_15370
ko:K08485	amal:I607_03780
ko:K00018	amal:I607_18870
ko:K01467	amal:I607_18170
ko:K01840	amal:I607_09110
ko:K00661	amal:I607_06640
ko:K03566	amal:I607_06985
ko:K12574	amal:I607_11275
ko:K01190	amal:I607_01120
ko:K01497	amal:I607_00880
ko:K03790	amal:I607_12180
ko:K03286	amal:I607_17800
ko:K07186	amal:I607_12625
ko:K17737	amal:I607_09575
ko:K01487	amal:I607_07250
ko:K01046	amal:I607_17675
ko:K03973	amal:I607_05325
ko:K18138	amal:I607_00835
ko:K00520	amal:I607_13895
ko:K18138	amal:I607_03330
ko:K07814	amal:I607_03495
ko:K01659	amal:I607_14925
ko:K03719	amal:I607_10430
ko:K00956	amal:I607_05870
ko:K00020	amal:I607_15695
ko:K07814	amal:I607_08170
ko:K00114	amal:I607_15570
ko:K00557	amal:I607_15950
ko:K00344	amal:I607_11075
ko:K03741	amal:I607_14750
ko:K09017	amal:I607_07285
ko:K03296	amal:I607_10955
ko:K02483	amal:I607_14775
ko:K01447	amal:I607_14990
ko:K00118	amal:I607_15425
ko:K03772	amal:I607_18645
ko:K07003	amal:I607_09730
ko:K03585	amal:I607_03325
ko:K03605	amal:I607_01490
ko:K18298	amal:I607_14265
ko:K18299	amal:I607_14260
ko:K03832	amal:I607_08990
ko:K02014	amal:I607_13705
ko:K12205	amal:I607_19732
ko:K07165	amal:I607_09410
ko:K07165	amal:I607_05720
ko:K07165	amal:I607_15710
ko:K07165	amal:I607_18230
ko:K02554	amal:I607_15790
ko:K00138	amal:I607_15665
ko:K13409	amal:I607_19942
ko:K00382	amal:I607_09870
ko:K03563	amal:I607_13845
ko:K12282	amal:I607_20522
ko:K01669	amal:I607_10030
ko:K03554	amal:I607_20692
ko:K03408	amal:I607_01785
ko:K03411	amal:I607_01800
ko:K03406	amal:I607_01835
ko:K02406	amal:I607_06160
ko:K07787	amal:I607_14465
ko:K07787	amal:I607_14470
ko:K02015	amal:I607_06445
ko:K07302	amal:I607_10995
ko:K02014	amal:I607_14910
ko:K02358	amal:I607_17450
ko:K01255	amal:I607_15600
ko:K01625	amal:I607_11625
ko:K01560	amal:I607_07960
ko:K03796	amal:I607_18425
ko:K00108	amal:I607_13560
ko:K09017	amal:I607_16330
ko:K07645	amal:I607_03725
ko:K01437	amal:I607_14350
ko:K00681	amal:I607_02135
ko:K00681	amal:I607_10745
ko:K00681	amal:I607_02650
ko:K00681	amal:I607_07370
ko:K20978	amal:I607_06120
ko:K18640	amal:I607_19752
ko:K18676	amal:I607_14150
ko:K18691	amal:I607_04705
ko:K06218	amal:I607_02765
ko:K18850	amal:I607_08490
ko:K06218	amal:I607_02780
ko:K18800	amal:I607_14185
ko:K18829	amal:I607_18275
ko:K18831	amal:I607_18985
ko:K20862	amal:I607_00930
ko:K20881	amal:I607_18565
ko:K18778	amal:I607_14340
ko:K18831	amal:I607_09390
ko:K00526	amal:I607_10500
ko:K10747	amal:I607_03545
ko:K18893	amal:I607_17535
ko:K03497	amal:I607_19170
ko:K03496	amal:I607_19175
ko:K08364	amal:I607_04765
ko:K08363	amal:I607_04770
ko:K03496	amal:I607_05165
ko:K14266	amal:I607_09170
ko:K12204	amal:I607_19737
ko:K12203	amal:I607_19742
ko:K12217	amal:I607_19807
ko:K12218	amal:I607_19812
ko:K12214	amal:I607_19862
ko:K12213	amal:I607_19867
ko:K12206	amal:I607_19897
ko:K10748	amal:I607_19902
ko:K03503	amal:I607_20002
ko:K03502	amal:I607_20007
ko:K12065	amal:I607_09920
ko:K12067	amal:I607_09930
ko:K12068	amal:I607_09935
ko:K08364	amal:I607_13900
ko:K08363	amal:I607_13905
ko:K12071	amal:I607_09960
ko:K03496	amal:I607_09980
ko:K03497	amal:I607_09985
ko:K03497	amal:I607_20807
ko:K03646	amal:I607_06215
ko:K09797	amal:I607_14255
ko:K03496	amal:I607_14500
ko:K04565	amal:I607_14635
ko:K11811	amal:I607_14755
ko:K03746	amal:I607_10885
ko:K08722	amal:I607_10975
ko:K08722	amal:I607_10980
ko:K08722	amal:I607_11035
ko:K03496	amal:I607_20802
ko:K03976	amal:I607_07600
ko:K10277	amal:I607_20302
ko:K07483	amal:I607_00780
ko:K07483	amal:I607_19957
ko:K07483	amal:I607_19977
ko:K07483	amal:I607_13825
ko:K07483	amal:I607_07485
ko:K03526	amal:I607_12980
ko:K02663	amal:I607_02295
ko:K12064	amal:I607_09915
ko:K12069	amal:I607_09910
ko:K18979	amal:I607_17760
ko:K02664	amal:I607_02290
ko:K01729	amal:I607_15845
ko:K05375	amal:I607_20292
ko:K07746	amal:I607_11965
ko:K07746	amal:I607_15330
ko:K19155	amal:I607_17185
ko:K19156	amal:I607_17180
ko:K00476	amal:I607_20347
ko:K19163	amal:I607_08890
ko:K19166	amal:I607_09385
ko:K00986	amal:I607_02935
ko:K19058	amal:I607_04760
ko:K19163	amal:I607_08900
ko:K22452	amal:I607_07025
ko:K19158	amal:I607_11170
ko:K17248	amal:I607_07515
ko:K08365	amal:I607_04775
ko:K19159	amal:I607_11165
ko:K01710	amal:I607_16665
ko:K19166	amal:I607_19070
ko:K19228	amal:I607_05295
ko:K19229	amal:I607_05290
ko:K00798	amal:I607_07615
ko:K19227	amal:I607_05300
ko:K19092	amal:I607_11960
ko:K19230	amal:I607_05285
ko:K19164	amal:I607_08905
ko:K07497	amal:I607_00730
ko:K07497	amal:I607_00740
ko:K07497	amal:I607_00785
ko:K07497	amal:I607_19972
ko:K03722	amal:I607_12240
ko:K07496	amal:I607_09480
ko:K00839	amal:I607_07360
ko:K19337	amal:I607_11495
ko:K01175	amal:I607_10890
ko:K19302	amal:I607_00965
ko:K19302	amal:I607_03180
ko:K02650	amal:I607_14320
ko:K19577	amal:I607_14670
ko:K02030	amal:I607_18390
ko:K19592	amal:I607_09900
ko:K19707	amal:I607_08680
ko:K01069	amal:I607_09525
ko:K01214	amal:I607_11445
ko:K07119	amal:I607_18100
ko:K07147	amal:I607_11045
ko:K07662	amal:I607_02390
ko:K19804	amal:I607_10445
ko:K07274	amal:I607_04160
ko:K19810	amal:I607_03120
ko:K19954	amal:I607_01940
ko:K19170	amal:I607_19507
ko:K09796	amal:I607_02585
ko:K07484	amal:I607_01725
ko:K20264	amal:I607_15775
ko:K00507	amal:I607_15960
ko:K09788	amal:I607_14935
ko:K20455	amal:I607_14930
ko:K20444	amal:I607_16660
ko:K20542	amal:I607_16175
ko:K20543	amal:I607_16170
ko:K16044	amal:I607_18140
ko:K11529	amal:I607_14950
ko:K01200	amal:I607_09185
ko:K20920	amal:I607_07450
ko:K20988	amal:I607_07455
ko:K16554	amal:I607_07460
ko:K03148	amal:I607_00610
ko:K21029	amal:I607_11155
ko:K21053	amal:I607_07305
ko:K00821	amal:I607_02220
ko:K01768	amal:I607_02145
ko:K00525	amal:I607_10495
ko:K14379	amal:I607_07810
ko:K21023	amal:I607_11710
ko:K16011	amal:I607_16650
ko:K00971	amal:I607_16810
ko:K08968	amal:I607_09675
ko:K02495	amal:I607_11115
ko:K20977	amal:I607_06125
ko:K20975	amal:I607_15650
ko:K21218	amal:I607_05745
ko:K03553	amal:I607_04365
ko:K02315	amal:I607_19190
ko:K00857	amal:I607_13475
ko:K09882	amal:I607_13860
ko:K06223	amal:I607_02260
ko:K03676	amal:I607_02425
ko:K06217	amal:I607_06825
ko:K07336	amal:I607_17400
ko:K00560	amal:I607_02975
ko:K02314	amal:I607_17805
ko:K02316	amal:I607_03355
ko:K03546	amal:I607_04110
ko:K02335	amal:I607_00070
ko:K02481	amal:I607_14520
ko:K01139	amal:I607_00670
ko:K21217	amal:I607_16970
ko:K00249	amal:I607_11085
ko:K02483	amal:I607_13640
ko:K02483	amal:I607_17385
ko:K02483	amal:I607_03730
ko:K21420	amal:I607_08545
ko:K21470	amal:I607_12035
ko:K01420	amal:I607_10150
ko:K21498	amal:I607_02750
ko:K07334	amal:I607_02755
ko:K21575	amal:I607_09210
ko:K21498	amal:I607_16930
ko:K21699	amal:I607_05820
ko:K10914	amal:I607_11955
ko:K10914	amal:I607_16335
ko:K08365	amal:I607_13910
ko:K21973	amal:I607_00800
ko:K21990	amal:I607_12350
ko:K22105	amal:I607_15955
ko:K22132	amal:I607_09095
ko:K01816	amal:I607_01920
ko:K03595	amal:I607_12640
ko:K22293	amal:I607_15360
ko:K01505	amal:I607_14795
ko:K02257	amal:I607_18245
ko:K02257	amal:I607_18735
ko:K01439	amal:I607_12845
ko:K11391	amal:I607_03165
ko:K00424	amal:I607_17950
ko:K00275	amal:I607_08055
ko:K01007	amal:I607_08450
