ko:K01154	saw:SAHV_0430
ko:K19302	saw:SAHV_1405
ko:K19405	saw:SAHV_0521
ko:K07485	saw:SAHV_0627
ko:K07485	saw:SAHV_0921
ko:K07485	saw:SAHV_1152
ko:K07485	saw:SAHV_1685
ko:K07485	saw:SAHV_1706
ko:K07485	saw:SAHV_1845
ko:K07485	saw:SAHV_2065
ko:K07485	saw:SAHV_2363
ko:K07485	saw:SAHV_2485
ko:K03574	saw:SAHV_1779
ko:K19279	saw:SAHV_0052
ko:K19576	saw:SAHV_0692
ko:K06881	saw:SAHV_1690
ko:K21721	saw:SAHV_0116
ko:K07487	saw:SAHV_1185
ko:K07487	saw:SAHV_1378
ko:K07487	saw:SAHV_1908
ko:K19689	saw:SAHV_1864
ko:K01258	saw:SAHV_1500
ko:K00547	saw:SAHV_0354
ko:K00297	saw:SAHV_0354
ko:K21636	saw:SAHV_2601
ko:K19975	saw:SAHV_0628
ko:K19976	saw:SAHV_0629
ko:K19973	saw:SAHV_0630
ko:K20074	saw:SAHV_1209
ko:K12132	saw:SAHV_1210
ko:K20116	saw:SAHV_0188
ko:K20117	saw:SAHV_0188
ko:K20118	saw:SAHV_0188
ko:K20116	saw:SAHV_2522
ko:K20117	saw:SAHV_2522
ko:K20118	saw:SAHV_2522
ko:K20338	saw:SAHV_1750
ko:K20494	saw:SAHV_1801
ko:K21949	saw:SAHV_0115
ko:K20534	saw:SAHV_0701
ko:K21029	saw:SAHV_2260
ko:K21030	saw:SAHV_0250
ko:K21030	saw:SAHV_0254
ko:K21064	saw:SAHV_0966
ko:K08968	saw:SAHV_1704
ko:K00435	saw:SAHV_0585
ko:K06958	saw:SAHV_0762
ko:K05020	saw:SAHV_2169
ko:K02031	saw:SAHV_0204
ko:K02032	saw:SAHV_0204
ko:K21285	saw:SAHV_0636
ko:K07497	saw:SAHV_0065
ko:K07497	saw:SAHV_0066
ko:K22044	saw:SAHV_0358
ko:K21453	saw:SAHV_2649
ko:K21478	saw:SAHV_2652
ko:K21591	saw:SAHV_0253
ko:K21600	saw:SAHV_2072
ko:K21567	saw:SAHV_2356
ko:K18704	saw:SAHV_0256
ko:K21828	saw:SAHV_2615
ko:K22043	saw:SAHV_2129
ko:K22136	saw:SAHV_1167
ko:K00754	saw:SAHV_1446
ko:K22135	saw:SAHV_0565
ko:K22132	saw:SAHV_1615
ko:K22109	saw:SAHV_2598
ko:K03547	saw:SAHV_1829
ko:K17758	saw:SAHV_0007
ko:K02257	saw:SAHV_1108
ko:K22409	saw:SAHV_0462
ko:K13566	saw:SAHV_2019
ko:K22441	saw:SAHV_2353
